Nebraska, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.31,-0.33
189502,0.91,0.40
189503,1.00,0.63
189504,1.06,0.63
189505,0.80,0.29
189506,1.69,1.21
189507,1.59,0.97
189508,1.99,1.21
189509,-0.33,-1.09
189510,-0.75,-1.54
189511,-0.49,-1.24
189512,-0.74,-1.46
189601,-0.73,-1.37
189602,-0.99,-1.50
189603,0.18,-0.19
189604,1.60,1.17
189605,1.66,1.15
189606,1.82,1.34
189607,2.74,2.12
189608,2.54,1.76
189609,2.68,1.92
189610,2.97,2.18
189611,3.15,2.40
189612,2.68,1.96
189701,2.77,2.13
189702,2.67,2.16
189703,3.05,2.68
189704,4.12,3.69
189705,3.04,2.53
189706,2.78,2.30
189707,2.56,1.94
189708,2.58,1.80
189709,1.52,0.76
189710,2.39,1.60
189711,2.07,1.32
189712,2.43,1.71
189801,2.36,1.72
189802,2.07,1.56
189803,1.56,1.19
189804,1.34,0.91
189805,2.31,1.80
189806,-0.12,-0.60
189807,0.20,-0.42
189808,-0.14,-0.92
189809,-0.01,-0.77
189810,-0.06,-0.85
189811,-0.08,-0.83
189812,-0.31,-1.03
189901,-0.43,-1.07
189902,-0.36,-0.87
189903,-0.45,-0.82
189904,-1.06,-1.49
189905,0.01,-0.50
189906,0.02,-0.46
189907,0.07,-0.55
189908,0.14,-0.64
189909,-1.00,-1.76
189910,-1.17,-1.96
189911,-1.36,-2.11
189912,-1.21,-1.93
190001,-1.58,-2.22
190002,-1.22,-1.73
190003,-1.73,-2.10
190004,-0.59,-1.02
190005,-1.40,-1.91
190006,-2.27,-2.75
190007,-1.50,-2.12
190008,-1.20,-1.98
190009,-1.01,-1.77
190010,-0.78,-1.57
190011,-1.16,-1.91
190012,-1.42,-2.14
190101,-1.72,-2.36
190102,-1.53,-2.04
190103,-1.24,-1.61
190104,-1.08,-1.51
190105,-1.91,-2.42
190106,-1.37,-1.85
190107,-2.42,-3.04
190108,-2.74,-3.52
190109,-1.34,-2.10
190110,-0.91,-1.70
190111,-1.16,-1.91
190112,-1.09,-1.81
190201,-0.97,-1.61
190202,-1.05,-1.56
190203,-1.28,-1.65
190204,-1.88,-2.31
190205,-2.07,-2.58
190206,0.60,0.12
190207,1.92,1.30
190208,2.56,1.78
190209,3.36,2.60
190210,3.47,2.68
190211,2.94,2.19
190212,3.43,2.71
190301,3.00,2.36
190302,3.49,2.98
190303,3.10,2.73
190304,2.77,2.34
190305,4.33,3.82
190306,3.55,3.07
190307,4.90,4.28
190308,6.27,5.49
190309,5.65,4.89
190310,5.22,4.43
190311,4.84,4.09
190312,4.16,3.44
190401,3.76,3.12
190402,3.22,2.71
190403,2.47,2.10
190404,2.32,1.89
190405,2.28,1.77
190406,2.76,2.28
190407,3.73,3.11
190408,4.02,3.24
190409,3.79,3.03
190410,4.29,3.50
190411,3.41,2.66
190412,2.85,2.13
190501,3.14,2.50
190502,3.12,2.61
190503,2.73,2.36
190504,3.73,3.30
190505,5.05,4.54
190506,5.37,4.89
190507,6.41,5.79
190508,6.48,5.70
190509,6.81,6.05
190510,6.48,5.69
190511,6.39,5.64
190512,5.58,4.86
190601,5.21,4.57
190602,4.98,4.47
190603,5.33,4.96
190604,6.34,5.91
190605,5.63,5.12
190606,4.80,4.32
