New Hampshire, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-0.23,0.13
189502,-1.14,-0.77
189503,-1.74,-1.52
189504,-0.76,-0.52
189505,-1.29,-0.92
189506,-1.53,-1.18
189507,-1.34,-1.14
189508,-1.16,-1.00
189509,-1.46,-1.37
189510,0.01,0.16
189511,1.02,1.34
189512,1.09,1.47
189601,-0.89,-0.53
189602,1.03,1.40
189603,2.36,2.58
189604,-1.15,-0.91
189605,-1.78,-1.41
189606,-2.28,-1.93
189607,-2.35,-2.15
189608,-2.46,-2.30
189609,0.79,0.88
189610,1.19,1.34
189611,-0.12,0.20
189612,-1.11,-0.73
189701,-0.80,-0.44
189702,-0.92,-0.55
189703,-0.61,-0.39
189704,-1.00,-0.76
189705,0.51,0.88
189706,1.40,1.75
189707,3.20,3.40
189708,3.03,3.19
189709,2.28,2.37
189710,1.27,1.42
189711,2.16,2.48
189712,2.44,2.82
189801,2.92,3.28
189802,3.47,3.84
189803,2.14,2.36
189804,2.22,2.46
189805,1.84,2.21
189806,1.67,2.02
189807,0.88,1.08
189808,1.36,1.52
189809,1.28,1.37
189810,1.94,2.09
189811,2.11,2.43
189812,1.36,1.74
189901,1.01,1.37
189902,0.98,1.35
189903,2.22,2.44
189904,-0.93,-0.69
189905,-1.70,-1.33
189906,-2.19,-1.84
189907,-1.72,-1.52
189908,-2.30,-2.14
189909,-1.98,-1.89
189910,-2.51,-2.36
189911,-3.13,-2.81
189912,-3.45,-3.07
190001,0.64,1.00
190002,2.96,3.33
190003,3.61,3.83
190004,-0.90,-0.66
190005,-0.81,-0.44
190006,-1.21,-0.86
190007,-1.36,-1.16
190008,-1.45,-1.29
190009,-1.75,-1.66
190010,-1.92,-1.77
190011,-0.99,-0.67
190012,-1.48,-1.10
190101,-1.78,-1.42
190102,-2.70,-2.33
190103,0.62,0.84
190104,1.43,1.67
190105,1.93,2.30
190106,-0.74,-0.39
190107,-0.49,-0.29
190108,-0.26,-0.10
190109,-0.53,-0.44
190110,-0.66,-0.51
190111,-1.29,-0.97
190112,1.37,1.75
190201,1.00,1.36
190202,0.76,1.13
190203,1.62,1.84
190204,1.84,2.08
190205,1.62,1.99
190206,1.95,2.30
190207,2.27,2.47
190208,2.85,3.01
190209,3.17,3.26
190210,3.67,3.82
190211,2.11,2.43
190212,2.63,3.01
190301,2.45,2.81
190302,2.76,3.13
190303,3.27,3.49
190304,-0.76,-0.52
190305,-1.97,-1.60
190306,1.31,1.66
190307,1.55,1.75
190308,1.72,1.88
190309,-0.60,-0.51
190310,-0.57,-0.42
190311,-1.37,-1.05
190312,-1.60,-1.22
190401,-1.48,-1.12
190402,-1.82,-1.45
190403,-2.04,-1.82
190404,1.30,1.54
190405,-0.13,0.24
