New Jersey, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.38,0.43
189502,-0.77,-0.80
189503,-0.79,-0.76
189504,-0.13,-0.06
189505,-0.37,-0.22
189506,-0.63,-0.63
189507,-0.50,-0.53
189508,-1.25,-1.31
189509,-2.20,-2.37
189510,-1.92,-2.08
189511,-2.06,-1.90
189512,-2.11,-2.09
189601,-2.54,-2.49
189602,1.78,1.75
189603,2.45,2.48
189604,-0.97,-0.90
189605,-1.23,-1.08
189606,0.80,0.80
189607,1.16,1.13
189608,-0.69,-0.75
189609,-0.45,-0.62
189610,-0.55,-0.71
189611,-0.75,-0.59
189612,-1.39,-1.37
189701,-1.51,-1.46
189702,0.33,0.30
189703,-0.42,-0.39
189704,0.09,0.16
189705,0.56,0.71
189706,0.58,0.58
189707,2.90,2.87
189708,3.02,2.96
189709,2.28,2.11
189710,1.76,1.60
189711,2.01,2.17
189712,2.20,2.22
189801,2.26,2.31
189802,2.26,2.23
189803,1.60,1.63
189804,1.50,1.57
189805,2.35,2.50
189806,1.49,1.49
189807,1.31,1.28
189808,1.34,1.28
189809,0.59,0.42
189810,1.20,1.04
189811,2.19,2.35
189812,2.08,2.10
189901,2.02,2.07
189902,3.07,3.04
189903,3.75,3.78
189904,-0.73,-0.66
189905,-1.30,-1.15
189906,-1.72,-1.72
189907,-1.24,-1.27
189908,-1.33,-1.39
189909,-0.66,-0.83
189910,-0.83,-0.99
189911,-1.12,-0.96
189912,-1.44,-1.42
190001,0.09,0.14
190002,1.11,1.08
190003,-0.01,0.02
190004,-0.53,-0.46
190005,-0.31,-0.16
190006,-0.48,-0.48
190007,-0.39,-0.42
190008,-1.01,-1.07
190009,-1.42,-1.59
190010,-1.54,-1.70
190011,-1.71,-1.55
190012,-1.86,-1.84
190101,-2.00,-1.95
190102,-2.69,-2.72
190103,0.32,0.35
190104,1.25,1.32
190105,1.71,1.86
190106,0.78,0.78
190107,0.89,0.86
190108,2.19,2.13
190109,2.06,1.89
190110,1.63,1.47
190111,1.35,1.51
190112,2.64,2.66
190201,2.33,2.38
190202,3.61,3.58
190203,3.26,3.29
190204,2.88,2.95
190205,1.96,2.11
190206,3.11,3.11
190207,3.01,2.98
190208,2.72,2.66
190209,3.13,2.96
190210,4.09,3.93
190211,3.22,3.38
190212,4.28,4.30
190301,4.06,4.11
190302,4.50,4.47
190303,4.12,4.15
190304,3.73,3.80
190305,2.20,2.35
190306,3.74,3.74
190307,3.81,3.78
190308,4.24,4.18
190309,3.83,3.66
190310,5.50,5.34
190311,-0.54,-0.38
190312,-0.21,-0.19
190401,-0.34,-0.29
190402,-0.48,-0.51
190403,-0.47,-0.44
190404,-0.46,-0.39
190405,-0.97,-0.82
190406,-1.11,-1.11
190407,0.14,0.11
190408,0.75,0.69
190409,1.14,0.97
190410,1.59,1.43
190411,1.17,1.33
190412,0.99,1.01
190501,1.29,1.34
190502,-0.15,-0.18
190503,-0.08,-0.05
190504,-0.34,-0.27
190505,-1.04,-0.89
190506,-1.16,-1.16
190507,-1.36,-1.39
190508,0.41,0.35
190509,0.79,0.62
190510,-0.06,-0.22
190511,-0.44,-0.28
190512,-0.24,-0.22
190601,-0.46,-0.41
190602,-0.54,-0.57
190603,0.65,0.68
190604,0.49,0.56
190605,0.39,0.54
190606,0.51,0.51
190607,0.95,0.92
190608,1.60,1.54
190609,1.03,0.86
190610,1.55,1.39
190611,-0.49,-0.33
190612,-0.18,-0.16
190701,-0.10,-0.05
190702,-0.24,-0.27
190703,-0.58,-0.55
190704,0.23,0.30
190705,0.76,0.91
190706,1.29,1.29
190707,-0.42,-0.45
190708,-0.53,-0.59
190709,1.30,1.13
190710,1.97,1.81
190711,2.54,2.70
190712,2.86,2.88
190801,2.70,2.75
190802,3.14,3.11
190803,-0.38,-0.35
190804,-0.75,-0.68
190805,0.91,1.06
190806,0.30,0.30
