New Mexico, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.72,0.62
189502,1.49,1.31
189503,1.04,0.87
189504,0.99,0.71
189505,3.19,2.93
189506,4.27,3.89
189507,6.25,5.75
189508,6.65,6.29
189509,5.41,5.17
189510,5.09,4.86
189511,5.32,5.17
189512,-0.06,-0.24
189601,-0.33,-0.43
189602,-0.48,-0.66
189603,-0.83,-1.00
189604,-1.16,-1.44
189605,-1.99,-2.25
189606,-2.08,-2.46
189607,-1.65,-2.15
189608,-2.57,-2.93
189609,0.33,0.09
189610,2.67,2.44
189611,2.19,2.04
189612,1.88,1.70
189701,2.27,2.17
189702,2.04,1.86
189703,2.24,2.07
189704,2.44,2.16
189705,4.17,3.91
189706,4.54,4.16
189707,4.62,4.12
189708,4.08,3.72
189709,4.56,4.32
189710,4.62,4.39
189711,3.60,3.45
189712,3.15,2.97
189801,3.01,2.91
189802,2.22,2.04
189803,1.94,1.77
189804,1.92,1.64
189805,1.40,1.14
189806,2.26,1.88
189807,2.95,2.45
189808,2.73,2.37
189809,-0.79,-1.03
189810,-1.41,-1.64
189811,-1.18,-1.33
189812,-0.56,-0.74
189901,-0.79,-0.89
189902,-0.72,-0.90
189903,-0.93,-1.10
189904,-1.25,-1.53
189905,-1.94,-2.20
189906,-1.84,-2.22
189907,1.56,1.06
189908,-1.13,-1.49
189909,-1.01,-1.25
189910,-1.39,-1.62
189911,-0.92,-1.07
189912,-0.90,-1.08
190001,-1.05,-1.15
190002,-1.16,-1.34
190003,-1.23,-1.40
190004,0.82,0.54
190005,1.32,1.06
190006,-0.29,-0.67
190007,-0.74,-1.24
190008,-1.46,-1.82
190009,1.41,1.17
190010,0.00,-0.23
190011,-0.30,-0.45
190012,-0.73,-0.91
190101,-0.96,-1.06
190102,-0.56,-0.74
190103,-0.75,-0.92
190104,-0.44,-0.72
190105,-0.18,-0.44
190106,-1.11,-1.49
190107,-1.00,-1.50
190108,-1.75,-2.11
190109,-2.00,-2.24
190110,-1.62,-1.85
190111,-0.88,-1.03
190112,-1.17,-1.35
190201,-1.26,-1.36
190202,-1.62,-1.80
190203,-1.47,-1.64
190204,-1.98,-2.26
190205,-1.89,-2.15
190206,-2.51,-2.89
190207,-2.35,-2.85
190208,-1.87,-2.23
190209,-1.89,-2.13
190210,-2.13,-2.36
190211,0.17,0.02
190212,0.40,0.22
190301,0.00,-0.10
190302,0.79,0.61
190303,0.84,0.67
190304,0.94,0.66
190305,0.56,0.30
190306,2.56,2.18
190307,-1.27,-1.77
190308,-1.71,-2.07
190309,-1.71,-1.95
190310,-2.22,-2.45
190311,-2.74,-2.89
190312,-3.02,-3.20
190401,-3.17,-3.27
190402,-3.71,-3.89
190403,-4.32,-4.49
190404,-4.85,-5.13
190405,-4.90,-5.16
190406,-4.16,-4.54
190407,-4.29,-4.79
190408,-4.03,-4.39
190409,1.62,1.38
190410,2.23,2.00
190411,1.75,1.60
190412,1.79,1.61
190501,2.18,2.08
190502,3.64,3.46
190503,4.65,4.48
190504,6.45,6.17
190505,6.66,6.40
190506,7.73,7.35
190507,8.18,7.68
190508,6.79,6.43
190509,6.35,6.11
190510,5.23,5.00
190511,6.76,6.61
190512,6.70,6.52
190601,6.14,6.04
190602,5.86,5.68
190603,5.55,5.38
190604,6.29,6.01
190605,6.08,5.82
190606,5.63,5.25
190607,6.58,6.08
190608,6.17,5.81
190609,5.64,5.40
190610,5.03,4.80
190611,5.36,5.21
190612,5.82,5.64
190701,5.85,5.75
190702,4.81,4.63
190703,3.53,3.36
190704,3.76,3.48
190705,4.10,3.84
190706,4.37,3.99
190707,4.23,3.73
190708,5.03,4.67
190709,3.99,3.75
190710,4.47,4.24
190711,4.48,4.33
190712,3.66,3.48
190801,3.14,3.04
190802,3.20,3.02
190803,2.30,2.13
190804,2.53,2.25
190805,2.10,1.84
190806,1.34,0.96
190807,2.03,1.53
190808,2.39,2.03
190809,-0.80,-1.04
190810,-1.19,-1.42
190811,-0.74,-0.89
190812,-0.96,-1.14
190901,-1.56,-1.66
190902,-1.59,-1.77
190903,-0.79,-0.96
190904,-0.81,-1.09
190905,-1.30,-1.56
190906,-1.71,-2.09
190907,-1.76,-2.26
190908,-1.49,-1.85
190909,-1.38,-1.62
190910,-1.66,-1.89
190911,-1.72,-1.87
190912,-1.45,-1.63
191001,-1.70,-1.80
191002,-1.75,-1.93
191003,-2.47,-2.64
191004,-2.74,-3.02
191005,-3.53,-3.79
191006,-3.83,-4.21
191007,-4.38,-4.88
191008,-4.13,-4.49
191009,-4.65,-4.89
191010,-4.54,-4.77
191011,-4.26,-4.41
191012,-4.37,-4.55
191101,-4.38,-4.48
191102,1.19,1.01
191103,0.96,0.79
191104,1.15,0.87
191105,0.91,0.65
191106,0.75,0.37
191107,2.61,2.11
191108,1.62,1.26
191109,1.45,1.21
191110,1.99,1.76
191111,1.74,1.59
191112,1.68,1.50
191201,0.95,0.85
191202,1.16,0.98
191203,1.51,1.34
191204,1.86,1.58
191205,1.50,1.24
191206,2.04,1.66
191207,1.90,1.40
191208,1.91,1.55
191209,1.55,1.31
191210,1.31,1.08
191211,0.80,0.65
191212,0.70,0.52
191301,0.59,0.49
191302,1.11,0.93
191303,1.08,0.91
191304,1.70,1.42
191305,1.03,0.77
191306,2.10,1.72
191307,-0.90,-1.40
191308,-1.46,-1.82
191309,0.54,0.30
191310,0.22,-0.01
191311,0.82,0.67
191312,1.49,1.31
191401,-0.45,-0.55
191402,-0.63,-0.81
191403,-0.79,-0.96
191404,0.43,0.15
191405,1.56,1.30
191406,1.95,1.57
191407,3.95,3.45
191408,3.58,3.22
191409,2.41,2.17
191410,3.21,2.98
191411,2.65,2.50
191412,3.60,3.42
191501,3.66,3.56
191502,3.86,3.68
191503,4.31,4.14
191504,6.10,5.82
191505,6.39,6.13
191506,6.57,6.19
191507,7.59,7.09
191508,6.76,6.40
191509,6.73,6.49
