Arkansas, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.37,0.44
189502,-0.89,-0.68
189503,-0.72,-0.44
189504,-1.51,-1.47
189505,-1.69,-1.59
189506,0.46,0.39
189507,1.94,1.89
189508,2.04,1.90
189509,-0.44,-0.47
189510,-0.77,-0.68
189511,-0.67,-0.61
189512,-0.53,-0.44
189601,-0.44,-0.37
189602,-0.63,-0.42
189603,-0.39,-0.11
189604,-0.92,-0.88
189605,-1.48,-1.38
189606,-1.93,-2.00
189607,-3.02,-3.07
189608,-3.39,-3.53
189609,-3.21,-3.24
189610,-2.89,-2.80
189611,-2.72,-2.66
189612,-3.49,-3.40
189701,-2.47,-2.40
189702,-2.68,-2.47
189703,-1.30,-1.02
189704,-1.29,-1.25
189705,-1.95,-1.85
189706,-2.06,-2.13
189707,-2.31,-2.36
189708,-2.41,-2.55
189709,-3.28,-3.31
189710,-3.71,-3.62
189711,-3.94,-3.88
189712,0.19,0.28
189801,1.27,1.34
189802,0.52,0.73
189803,0.73,1.01
189804,0.29,0.33
189805,0.42,0.52
189806,0.54,0.47
189807,0.83,0.78
189808,1.21,1.07
189809,2.07,2.04
189810,2.72,2.81
189811,0.00,0.06
189812,-0.56,-0.47
189901,0.62,0.69
189902,-0.46,-0.25
189903,-0.97,-0.69
189904,-1.28,-1.24
189905,-0.99,-0.89
189906,-1.34,-1.41
189907,-0.79,-0.84
189908,-1.12,-1.26
189909,-1.72,-1.75
189910,-1.90,-1.81
189911,-2.41,-2.35
189912,-2.45,-2.36
190001,-2.60,-2.53
190002,-2.00,-1.79
190003,-2.47,-2.19
190004,-2.20,-2.16
190005,-2.44,-2.34
190006,0.81,0.74
190007,1.12,1.07
190008,1.23,1.09
190009,1.13,1.10
190010,1.11,1.20
190011,-0.03,0.03
190012,-0.48,-0.39
190101,-0.93,-0.86
190102,-1.19,-0.98
190103,-1.17,-0.89
190104,-1.23,-1.19
190105,-1.68,-1.58
190106,-2.41,-2.48
190107,-3.22,-3.27
190108,-3.31,-3.45
190109,-3.19,-3.22
190110,-3.37,-3.28
190111,-3.61,-3.55
190112,-3.35,-3.26
190201,-2.82,-2.75
190202,-2.84,-2.63
190203,-2.32,-2.04
190204,-2.59,-2.55
190205,-2.83,-2.73
190206,0.43,0.36
190207,0.97,0.92
190208,0.83,0.69
190209,1.47,1.44
190210,1.21,1.30
190211,1.58,1.64
190212,1.95,2.04
190301,1.44,1.51
190302,2.52,2.73
