New York, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.21,0.31
189502,-0.49,-0.40
189503,-1.15,-1.18
189504,-1.32,-1.31
189505,-1.77,-1.72
189506,-2.24,-2.28
189507,-2.29,-2.32
189508,-1.78,-1.81
189509,-2.35,-2.35
189510,-2.70,-2.70
189511,-2.45,-2.33
189512,-1.84,-1.62
189601,-2.14,-2.04
189602,1.51,1.60
189603,2.53,2.50
189604,-1.51,-1.50
189605,-2.14,-2.09
189606,-2.10,-2.14
189607,-1.59,-1.62
189608,-2.07,-2.10
189609,-1.28,-1.28
189610,-1.20,-1.20
189611,-1.05,-0.93
189612,-1.86,-1.64
189701,-1.80,-1.70
189702,-2.06,-1.97
189703,0.25,0.22
189704,0.05,0.06
189705,0.31,0.36
189706,0.58,0.54
189707,2.25,2.22
189708,0.02,-0.01
189709,-0.49,-0.49
189710,-1.40,-1.40
189711,0.66,0.78
189712,1.06,1.28
189801,1.82,1.92
189802,1.90,1.99
189803,-0.69,-0.72
189804,-0.67,-0.66
189805,-0.31,-0.26
189806,-0.38,-0.42
189807,-0.70,-0.73
189808,1.45,1.42
189809,1.10,1.10
189810,1.80,1.80
189811,2.03,2.15
189812,1.61,1.83
189901,1.27,1.37
189902,1.15,1.24
189903,1.94,1.91
189904,-1.19,-1.18
189905,-1.45,-1.40
189906,-2.02,-2.06
189907,-1.81,-1.84
189908,-2.82,-2.85
189909,-2.47,-2.47
189910,-2.88,-2.88
189911,-3.48,-3.36
189912,0.14,0.36
190001,0.47,0.57
190002,1.27,1.36
190003,1.94,1.91
190004,-1.13,-1.12
190005,-1.58,-1.53
190006,-1.91,-1.95
190007,-1.59,-1.62
190008,-1.80,-1.83
190009,-2.48,-2.48
190010,-2.86,-2.86
190011,-1.78,-1.66
190012,-1.94,-1.72
190101,-2.08,-1.98
190102,-2.66,-2.57
190103,0.24,0.21
190104,1.22,1.23
190105,1.79,1.84
190106,1.47,1.43
190107,1.39,1.36
190108,1.95,1.92
190109,1.77,1.77
190110,1.15,1.15
190111,0.91,1.03
190112,1.97,2.19
190201,1.40,1.50
190202,1.56,1.65
190203,1.53,1.50
190204,1.19,1.20
190205,0.85,0.90
190206,1.81,1.77
190207,3.28,3.25
190208,2.86,2.83
190209,2.82,2.82
190210,3.16,3.16
190211,1.83,1.95
190212,2.11,2.33
190301,2.07,2.17
190302,2.24,2.33
190303,2.56,2.53
190304,-0.56,-0.55
190305,-2.03,-1.98
190306,1.83,1.79
190307,2.23,2.20
190308,3.81,3.78
190309,2.65,2.65
190310,3.61,3.61
190311,2.92,3.04
190312,2.37,2.59
190401,2.50,2.60
190402,2.11,2.20
190403,2.00,1.97
190404,1.91,1.92
190405,1.41,1.46
190406,1.12,1.08
190407,1.58,1.55
190408,1.79,1.76
190409,2.27,2.27
190410,2.50,2.50
190411,-0.94,-0.82
190412,-1.22,-1.00
190501,-0.86,-0.76
190502,-1.48,-1.39
190503,-1.67,-1.70
190504,-1.92,-1.91
190505,-2.32,-2.27
190506,1.31,1.27
190507,2.03,2.00
190508,2.44,2.41
190509,2.72,2.72
190510,2.77,2.77
190511,-0.30,-0.18
190512,-0.15,0.07
190601,-0.63,-0.53
190602,-1.13,-1.04
190603,-0.75,-0.78
190604,-1.27,-1.26
190605,0.24,0.29
190606,0.61,0.57
190607,0.72,0.69
190608,-0.20,-0.23
190609,-0.63,-0.63
190610,-0.17,-0.17
190611,-0.41,-0.29
190612,-0.40,-0.18
190701,-0.22,-0.12
190702,-0.90,-0.81
190703,-1.43,-1.46
190704,-1.04,-1.03
190705,-0.78,-0.73
190706,-0.78,-0.82
190707,-0.91,-0.94
190708,-2.02,-2.05
190709,1.01,1.01
190710,1.76,1.76
190711,1.95,2.07
190712,2.26,2.48
190801,1.90,2.00
190802,2.54,2.63
190803,2.05,2.02
190804,1.82,1.83
190805,2.19,2.24
190806,-0.49,-0.53
190807,-0.44,-0.47
190808,-0.92,-0.95
190809,-2.16,-2.16
190810,-2.90,-2.90
190811,-4.22,-4.10
190812,-4.76,-4.54
190901,-3.91,-3.81
190902,-2.23,-2.14
190903,-2.08,-2.11
190904,-1.55,-1.54
190905,-1.19,-1.14
190906,-1.44,-1.48
190907,-1.54,-1.57
190908,-1.78,-1.81
190909,-2.02,-2.02
190910,-2.45,-2.45
190911,-3.42,-3.30
190912,-3.68,-3.46
191001,-2.56,-2.46
191002,-1.15,-1.06
191003,-2.45,-2.48
191004,-2.32,-2.31
191005,-1.69,-1.64
191006,-1.77,-1.81
191007,-2.14,-2.17
191008,-2.22,-2.25
191009,-2.05,-2.05
191010,-2.35,-2.35
191011,-2.34,-2.22
191012,-2.44,-2.22
191101,-2.40,-2.30
191102,-2.05,-1.96
191103,-1.99,-2.02
191104,-2.58,-2.57
191105,-3.27,-3.22
191106,-2.74,-2.78
191107,-3.15,-3.18
191108,-2.70,-2.73
191109,-2.53,-2.53
191110,-2.05,-2.05
191111,-1.83,-1.71
191112,-1.78,-1.56
191201,-1.96,-1.86
191202,-1.87,-1.78
191203,0.19,0.16
191204,0.57,0.58
191205,0.89,0.94
191206,-1.00,-1.04
191207,-1.39,-1.42
191208,0.46,0.43
191209,1.07,1.07
191210,0.97,0.97
191211,1.07,1.19
191212,0.75,0.97
191301,1.63,1.73
191302,1.09,1.18
191303,2.46,2.43
191304,-0.23,-0.22
191305,-0.36,-0.31
191306,-1.01,-1.05
191307,-1.67,-1.70
191308,-2.36,-2.39
191309,-2.78,-2.78
191310,-2.12,-2.12
191311,-2.12,-2.00
191312,-2.34,-2.12
191401,-2.22,-2.12
191402,-2.23,-2.14
191403,0.29,0.26
191404,1.29,1.30
191405,-0.35,-0.30
191406,-0.40,-0.44
191407,-0.49,-0.52
191408,0.71,0.68
191409,-0.81,-0.81
191410,-1.58,-1.58
191411,-2.15,-2.03
191412,-2.07,-1.85
191501,0.87,0.97
191502,1.30,1.39
191503,-1.29,-1.32
191504,-2.58,-2.57
191505,-2.55,-2.50
191506,0.00,-0.04
191507,1.58,1.55
191508,2.96,2.93
191509,2.56,2.56
191510,2.44,2.44
191511,1.82,1.94
191512,2.16,2.38
191601,1.83,1.93
191602,2.20,2.29
191603,2.19,2.16
191604,1.93,1.94
191605,2.09,2.14
191606,2.71,2.67
191607,-0.38,-0.41
191608,-1.32,-1.35
191609,-1.17,-1.17
191610,-1.61,-1.61
191611,-1.82,-1.70
191612,-1.75,-1.53
191701,-1.55,-1.45
191702,-1.69,-1.60
191703,-1.54,-1.57
191704,-1.87,-1.86
191705,0.64,0.69
191706,1.93,1.89
191707,1.76,1.73
191708,1.88,1.85
191709,1.20,1.20
191710,2.82,2.82
191711,-0.89,-0.77
191712,-1.21,-0.99
191801,-1.13,-1.03
191802,-0.86,-0.77
191803,-1.03,-1.06
191804,-1.13,-1.12
191805,-1.05,-1.00
191806,-0.66,-0.70
191807,-0.66,-0.69
191808,-1.03,-1.06
191809,1.21,1.21
191810,1.62,1.62
191811,-0.35,-0.23
191812,-0.44,-0.22
191901,-0.84,-0.74
191902,-1.27,-1.18
191903,0.41,0.38
191904,0.50,0.51
191905,1.20,1.25
191906,0.56,0.52
191907,0.96,0.93
191908,1.09,1.06
191909,0.72,0.72
191910,0.93,0.93
191911,1.00,1.12
191912,-0.70,-0.48
192001,-0.87,-0.77
192002,0.24,0.33
192003,0.22,0.19
192004,0.79,0.80
192005,-0.84,-0.79
192006,-0.94,-0.98
192007,0.86,0.83
192008,0.88,0.85
192009,1.07,1.07
192010,-0.48,-0.48
192011,0.53,0.65
192012,1.10,1.32
192101,-0.56,-0.46
192102,-0.57,-0.48
192103,-0.53,-0.56
192104,-0.96,-0.95
192105,-1.64,-1.59
192106,-2.02,-2.06
192107,-1.96,-1.99
192108,-2.21,-2.24
192109,-2.83,-2.83
192110,-2.97,-2.97
192111,0.85,0.97
192112,-0.64,-0.42
192201,-0.77,-0.67
192202,-0.66,-0.57
192203,-0.17,-0.20
192204,-0.23,-0.22
192205,-0.54,-0.49
192206,2.18,2.14
192207,1.65,1.62
192208,2.36,2.33
192209,-0.80,-0.80
192210,-1.14,-1.14
192211,-2.07,-1.95
192212,-2.17,-1.95
192301,-1.16,-1.06
192302,-1.48,-1.39
192303,-1.55,-1.58
192304,-1.64,-1.63
192305,-1.69,-1.64
192306,-1.51,-1.55
192307,-1.70,-1.73
192308,-2.22,-2.25
192309,-2.26,-2.26
192310,-2.16,-2.16
192311,-2.21,-2.09
192312,-1.81,-1.59
192401,-1.03,-0.93
192402,-0.79,-0.70
192403,-1.84,-1.87
192404,0.84,0.85
192405,1.50,1.55
192406,1.05,1.01
192407,1.00,0.97
192408,0.97,0.94
192409,2.49,2.49
192410,-0.87,-0.87
192411,-1.38,-1.26
192412,-1.75,-1.53
192501,0.37,0.47
192502,0.40,0.49
192503,0.55,0.52
192504,-0.60,-0.59
192505,-0.65,-0.60
192506,0.13,0.09
192507,0.87,0.84
192508,0.36,0.33
192509,1.02,1.02
192510,1.93,1.93
192511,2.07,2.19
192512,-0.43,-0.21
192601,-0.66,-0.56
192602,-0.11,-0.02
192603,-0.50,-0.53
192604,-0.18,-0.17
192605,-0.91,-0.86
192606,0.28,0.24
192607,0.10,0.07
192608,0.79,0.76
192609,1.05,1.05
192610,1.99,1.99
192611,2.35,2.47
192612,-0.46,-0.24
192701,-0.76,-0.66
192702,-0.42,-0.33
192703,-1.01,-1.04
192704,-1.60,-1.59
192705,0.69,0.74
192706,0.10,0.06
192707,0.68,0.65
192708,1.21,1.18
192709,-0.71,-0.71
192710,0.87,0.87
192711,3.11,3.23
192712,3.51,3.73
192801,3.01,3.11
192802,2.73,2.82
192803,2.41,2.38
192804,2.60,2.61
192805,1.87,1.92
192806,3.15,3.11
192807,3.29,3.26
192808,3.43,3.40
192809,2.79,2.79
192810,2.38,2.38
192811,2.08,2.20
192812,0.92,1.14
192901,1.20,1.30
192902,0.87,0.96
192903,0.78,0.75
192904,2.46,2.47
192905,2.70,2.75
192906,0.01,-0.03
192907,-0.15,-0.18
192908,-0.48,-0.51
192909,-0.80,-0.80
192910,0.21,0.21
192911,0.13,0.25
192912,0.40,0.62
193001,0.58,0.68
193002,-0.57,-0.48
193003,-0.06,-0.09
193004,-0.67,-0.66
193005,-0.63,-0.58
193006,-0.38,-0.42
193007,-0.60,-0.63
193008,-1.34,-1.37
193009,-1.86,-1.86
193010,-2.67,-2.67
193011,-3.72,-3.60
193012,-4.52,-4.30
193101,-4.24,-4.14
193102,-4.28,-4.19
193103,-4.26,-4.29
193104,-3.94,-3.93
193105,-3.10,-3.05
193106,-2.99,-3.03
193107,-1.90,-1.93
193108,-2.03,-2.06
193109,-1.93,-1.93
193110,-2.28,-2.28
193111,-3.05,-2.93
193112,-0.05,0.17
193201,0.87,0.97
193202,0.65,0.74
193203,1.21,1.18
193204,-0.23,-0.22
193205,-0.66,-0.61
193206,-0.88,-0.92
193207,0.74,0.71
193208,0.87,0.84
193209,-0.89,-0.89
193210,0.94,0.94
193211,1.87,1.99
193212,-0.58,-0.36
193301,-1.13,-1.03
193302,-1.16,-1.07
193303,0.53,0.50
193304,0.74,0.75
193305,-0.24,-0.19
193306,-1.20,-1.24
193307,-2.07,-2.10
193308,1.28,1.25
193309,1.14,1.14
193310,-0.25,-0.25
193311,-0.48,-0.36
193312,-0.54,-0.32
193401,-0.50,-0.40
193402,-1.08,-0.99
193403,-1.07,-1.10
193404,-0.90,-0.89
193405,-1.73,-1.68
193406,-1.78,-1.82
193407,-2.29,-2.32
193408,-2.73,-2.76
193409,-2.18,-2.18
193410,-2.33,-2.33
193411,-2.66,-2.54
193412,-2.54,-2.32
193501,-1.72,-1.62
193502,-1.74,-1.65
193503,-2.09,-2.12
193504,-2.05,-2.04
193505,-2.03,-1.98
193506,0.47,0.43
193507,1.95,1.92
193508,-0.58,-0.61
193509,-0.35,-0.35
193510,-0.35,-0.35
193511,-0.17,-0.05
193512,-0.78,-0.56
193601,0.40,0.50
193602,0.09,0.18
193603,1.43,1.40
193604,1.64,1.65
193605,-0.57,-0.52
193606,-1.22,-1.26
193607,-2.07,-2.10
193608,-1.80,-1.83
193609,-2.17,-2.17
193610,0.21,0.21
193611,0.01,0.13
193612,0.05,0.27
193701,1.19,1.29
193702,0.98,1.07
193703,0.67,0.64
193704,0.91,0.92
193705,0.91,0.96
193706,1.58,1.54
193707,1.08,1.05
193708,1.42,1.39
193709,0.87,0.87
193710,1.45,1.45
193711,0.05,0.17
193712,-0.34,-0.12
193801,0.08,0.18
193802,0.42,0.51
193803,-0.44,-0.47
193804,-0.94,-0.93
193805,-1.10,-1.05
193806,-1.05,-1.09
193807,0.73,0.70
193808,0.90,0.87
193809,2.90,2.90
193810,-0.68,-0.68
193811,-0.95,-0.83
193812,-1.00,-0.78
193901,-0.92,-0.82
193902,0.69,0.78
193903,0.73,0.70
193904,0.92,0.93
193905,-0.98,-0.93
193906,-1.23,-1.27
193907,-1.82,-1.85
193908,-2.58,-2.61
193909,-2.85,-2.85
193910,-2.82,-2.82
193911,-3.66,-3.54
193912,-3.63,-3.41
194001,-3.86,-3.76
194002,0.37,0.46
194003,1.17,1.14
194004,1.67,1.68
194005,1.59,1.64
194006,1.87,1.83
194007,-0.09,-0.12
194008,-0.67,-0.70
194009,-0.67,-0.67
194010,-1.00,-1.00
194011,-0.78,-0.66
194012,-0.24,-0.02
194101,-0.59,-0.49
194102,-0.92,-0.83
194103,-1.20,-1.23
194104,-2.51,-2.50
194105,-3.11,-3.06
194106,-3.27,-3.31
194107,-2.62,-2.65
