North Carolina, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.13,1.16
189502,0.60,0.60
189503,1.19,1.19
189504,2.55,2.46
189505,2.64,2.72
189506,-0.39,-0.50
189507,-0.25,-0.33
189508,-0.05,-0.08
189509,-1.11,-1.06
189510,-1.55,-1.57
189511,-1.77,-1.66
189512,-1.96,-1.84
189601,-2.14,-2.11
189602,-1.34,-1.34
189603,-1.69,-1.69
189604,-2.26,-2.35
189605,-2.27,-2.19
189606,0.26,0.15
189607,1.11,1.03
189608,-0.79,-0.82
189609,-0.38,-0.33
189610,-0.72,-0.74
189611,-0.27,-0.16
189612,-0.51,-0.39
189701,-1.00,-0.97
189702,0.74,0.74
189703,1.06,1.06
189704,0.95,0.86
189705,0.96,1.04
189706,-0.15,-0.26
189707,0.14,0.06
189708,-0.55,-0.58
189709,-1.53,-1.48
189710,-1.68,-1.70
189711,-1.93,-1.82
189712,-1.96,-1.84
189801,-2.28,-2.25
189802,-3.11,-3.11
189803,-3.04,-3.04
189804,0.26,0.17
189805,0.19,0.27
189806,0.01,-0.10
189807,0.52,0.44
189808,1.27,1.24
189809,1.37,1.42
189810,2.08,2.06
189811,2.19,2.30
189812,1.68,1.80
189901,1.52,1.55
189902,3.04,3.04
189903,3.85,3.85
189904,3.79,3.70
189905,-0.26,-0.18
189906,-0.34,-0.45
189907,-0.07,-0.15
189908,-0.33,-0.36
189909,-0.67,-0.62
189910,-0.36,-0.38
189911,-0.94,-0.83
189912,-1.07,-0.95
190001,-1.05,-1.02
190002,0.78,0.78
190003,0.89,0.89
190004,1.36,1.27
190005,-0.53,-0.45
190006,0.53,0.42
190007,-0.64,-0.72
190008,-1.57,-1.60
190009,-2.47,-2.42
190010,-2.85,-2.87
190011,-2.64,-2.53
190012,-2.14,-2.02
190101,-2.18,-2.15
190102,-2.54,-2.54
190103,0.18,0.18
190104,1.50,1.41
190105,3.02,3.10
190106,3.10,2.99
190107,3.10,3.02
190108,5.20,5.17
190109,5.50,5.55
190110,4.58,4.56
190111,3.67,3.78
190112,4.52,4.64
190201,3.66,3.69
190202,4.33,4.33
190203,-0.22,-0.22
190204,-0.57,-0.66
190205,-1.28,-1.20
190206,-1.25,-1.36
190207,-2.32,-2.40
190208,-2.71,-2.74
190209,-2.53,-2.48
190210,-0.03,-0.05
190211,0.02,0.13
190212,0.12,0.24
190301,0.08,0.11
190302,1.15,1.15
190303,1.96,1.96
190304,2.36,2.27
190305,-0.75,-0.67
190306,0.80,0.69
190307,-0.47,-0.55
190308,-0.30,-0.33
190309,-0.83,-0.78
190310,-0.73,-0.75
190311,-1.10,-0.99
190312,-1.40,-1.28
190401,-1.51,-1.48
190402,-1.19,-1.19
190403,-1.09,-1.09
190404,-1.67,-1.76
190405,-1.80,-1.72
190406,0.05,-0.06
190407,0.24,0.16
190408,0.82,0.79
190409,0.80,0.85
190410,0.39,0.37
190411,0.63,0.74
190412,0.66,0.78
190501,0.36,0.39
190502,1.20,1.20
190503,-0.83,-0.83
190504,0.43,0.34
190505,1.32,1.40
190506,0.77,0.66
190507,1.55,1.47
190508,2.07,2.04
190509,-0.34,-0.29
190510,-0.49,-0.51
190511,-1.29,-1.18
190512,1.26,1.38
190601,1.77,1.80
190602,1.50,1.50
190603,2.04,2.04
190604,-0.88,-0.97
190605,-1.31,-1.23
190606,0.95,0.84
190607,2.41,2.33
190608,3.66,3.63
190609,3.17,3.22
190610,3.35,3.33
190611,-0.46,-0.35
190612,-0.37,-0.25
190701,-1.68,-1.65
190702,-1.51,-1.51
190703,-2.16,-2.16
190704,0.69,0.60
190705,0.98,1.06
190706,2.40,2.29
190707,2.08,2.00
190708,1.74,1.71
190709,1.77,1.82
190710,1.00,0.98
190711,1.54,1.65
190712,2.07,2.19
190801,2.19,2.22
190802,2.48,2.48
190803,2.30,2.30
190804,1.71,1.62
190805,1.59,1.67
190806,1.80,1.69
190807,2.96,2.88
190808,4.61,4.58
190809,3.95,4.00
190810,4.47,4.45
190811,3.55,3.66
190812,3.47,3.59
190901,2.30,2.33
190902,2.09,2.09
190903,1.53,1.53
190904,1.60,1.51
190905,2.17,2.25
190906,3.51,3.40
190907,3.52,3.44
190908,3.83,3.80
190909,-0.11,-0.06
190910,-0.29,-0.31
190911,-1.22,-1.11
190912,-1.38,-1.26
191001,-1.41,-1.38
191002,-1.03,-1.03
191003,-2.21,-2.21
191004,-2.06,-2.15
191005,0.63,0.71
191006,2.15,2.04
191007,2.04,1.96
191008,2.80,2.77
191009,-0.19,-0.14
191010,-0.08,-0.10
191011,-0.70,-0.59
