North Dakota, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.72,0.16
189502,1.20,0.62
189503,1.25,0.74
189504,1.31,0.85
189505,1.73,1.29
189506,2.79,2.35
189507,3.56,2.98
189508,3.33,2.56
189509,2.56,1.76
189510,1.89,1.10
189511,2.31,1.59
189512,1.92,1.26
189601,2.20,1.64
189602,2.12,1.54
189603,2.62,2.11
189604,4.29,3.83
189605,5.82,5.38
189606,5.92,5.48
189607,5.74,5.16
189608,4.87,4.10
189609,4.84,4.04
189610,4.35,3.56
189611,5.74,5.02
189612,5.29,4.63
189701,5.32,4.76
189702,6.02,5.44
189703,6.41,5.90
189704,6.16,5.70
189705,4.77,4.33
189706,4.79,4.35
189707,5.65,5.07
189708,-0.06,-0.83
189709,-1.21,-2.01
189710,-1.46,-2.25
189711,-1.46,-2.18
189712,-1.49,-2.15
189801,-1.82,-2.38
189802,-1.64,-2.22
189803,-1.52,-2.03
189804,-1.53,-1.99
189805,-1.46,-1.90
189806,-1.37,-1.81
189807,-1.26,-1.84
189808,-1.60,-2.37
189809,-1.87,-2.67
189810,1.45,0.66
189811,-0.12,-0.84
189812,-0.25,-0.91
189901,-0.37,-0.93
189902,-0.52,-1.10
189903,0.21,-0.30
189904,0.29,-0.17
189905,1.34,0.90
189906,1.75,1.31
189907,1.81,1.23
189908,2.36,1.59
189909,-0.60,-1.40
189910,-0.23,-1.02
189911,-0.65,-1.37
189912,-0.65,-1.31
190001,-0.89,-1.45
190002,-0.73,-1.31
190003,-0.36,-0.87
190004,-1.39,-1.85
190005,-2.72,-3.16
190006,-4.41,-4.85
190007,-4.52,-5.10
190008,1.34,0.57
190009,3.02,2.22
190010,3.15,2.36
190011,2.91,2.19
190012,-0.07,-0.73
190101,-0.30,-0.86
190102,-0.32,-0.90
190103,-0.29,-0.80
190104,-0.77,-1.23
190105,-2.59,-3.03
190106,1.78,1.34
190107,2.56,1.98
190108,1.97,1.20
190109,2.32,1.52
190110,1.98,1.19
190111,1.46,0.74
190112,1.81,1.15
190201,1.23,0.67
190202,1.73,1.15
190203,3.17,2.66
190204,2.86,2.40
190205,3.32,2.88
190206,4.03,3.59
190207,4.14,3.56
190208,4.26,3.49
190209,3.35,2.55
190210,3.14,2.35
190211,2.66,1.94
190212,2.63,1.97
190301,2.56,2.00
190302,2.37,1.79
190303,1.93,1.42
190304,1.34,0.88
190305,2.00,1.56
190306,0.87,0.43
190307,0.72,0.14
190308,2.59,1.82
190309,3.51,2.71
190310,3.13,2.34
190311,2.65,1.93
190312,2.89,2.23
190401,2.58,2.02
190402,2.72,2.14
190403,3.14,2.63
190404,3.19,2.73
190405,2.66,2.22
190406,4.25,3.81
190407,4.48,3.90
190408,4.56,3.79
190409,4.15,3.35
190410,3.50,2.71
190411,2.60,1.88
190412,2.74,2.08
190501,2.31,1.75
190502,2.06,1.48
190503,1.80,1.29
190504,1.07,0.61
190505,1.64,1.20
190506,2.63,2.19
190507,3.91,3.33
190508,4.08,3.31
190509,3.75,2.95
190510,3.15,2.36
190511,3.77,3.05
190512,3.16,2.50
190601,3.21,2.65
190602,2.72,2.14
190603,2.27,1.76
190604,1.70,1.24
190605,3.52,3.08
190606,4.29,3.85
190607,4.07,3.49
190608,4.17,3.40
190609,3.35,2.55
190610,2.60,1.81
190611,3.15,2.43
190612,3.63,2.97
190701,4.29,3.73
190702,3.93,3.35
190703,3.79,3.28
190704,3.53,3.07
190705,3.25,2.81
190706,2.92,2.48
190707,3.68,3.10
190708,3.63,2.86
190709,3.39,2.59
