Ohio, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.57,0.49
189502,-0.65,-0.84
189503,-1.16,-1.16
189504,-1.76,-1.77
189505,-2.45,-2.47
189506,-3.07,-3.06
189507,-3.70,-3.66
189508,-4.10,-4.16
189509,-4.72,-4.85
189510,-4.95,-5.19
189511,-4.58,-4.76
189512,-3.94,-4.04
189601,-3.83,-3.91
189602,-3.55,-3.74
189603,-2.76,-2.76
189604,-3.22,-3.23
189605,-3.65,-3.67
189606,0.16,0.17
189607,2.45,2.49
189608,2.69,2.63
189609,3.54,3.41
189610,3.41,3.17
189611,3.45,3.27
189612,2.94,2.84
189701,2.55,2.47
189702,3.00,2.81
189703,3.26,3.26
189704,3.04,3.03
189705,3.06,3.04
189706,2.54,2.55
189707,2.65,2.69
189708,-0.26,-0.32
189709,-1.34,-1.47
189710,-2.44,-2.68
189711,1.05,0.87
189712,1.20,1.10
189801,2.28,2.20
189802,2.16,1.97
189803,3.07,3.07
189804,2.59,2.58
189805,2.37,2.35
189806,1.73,1.74
189807,1.28,1.32
189808,1.45,1.39
189809,0.97,0.84
189810,1.47,1.23
189811,1.69,1.51
189812,1.81,1.71
189901,1.87,1.79
189902,1.73,1.54
189903,2.32,2.32
189904,-1.10,-1.11
189905,-1.18,-1.20
189906,-1.40,-1.39
189907,-1.21,-1.17
189908,-2.11,-2.17
189909,-2.03,-2.16
189910,-2.27,-2.51
189911,-3.03,-3.21
189912,-3.10,-3.20
190001,-2.96,-3.04
190002,-2.01,-2.20
190003,-1.98,-1.98
190004,-2.52,-2.53
190005,-2.91,-2.93
190006,-2.96,-2.95
190007,-2.45,-2.41
190008,-2.35,-2.41
190009,-3.05,-3.18
190010,-3.47,-3.71
190011,-2.90,-3.08
190012,-3.28,-3.38
190101,-3.29,-3.37
190102,-3.44,-3.63
190103,-3.40,-3.40
190104,-2.69,-2.70
190105,-2.21,-2.23
190106,-1.77,-1.76
190107,-2.33,-2.29
190108,-2.34,-2.40
190109,-2.26,-2.39
190110,-2.92,-3.16
190111,-3.48,-3.66
190112,-3.09,-3.19
190201,-3.11,-3.19
190202,-3.35,-3.54
190203,-3.30,-3.30
190204,-3.41,-3.42
190205,-3.53,-3.55
190206,1.62,1.63
190207,1.71,1.75
190208,0.87,0.81
190209,1.61,1.48
190210,1.45,1.21
190211,1.21,1.03
190212,1.95,1.85
190301,1.78,1.70
190302,2.94,2.75
190303,-0.25,-0.25
190304,0.29,0.28
190305,-0.67,-0.69
190306,-0.34,-0.33
190307,-0.38,-0.34
190308,-0.71,-0.77
190309,-1.50,-1.63
190310,-1.40,-1.64
190311,-1.68,-1.86
190312,-2.00,-2.10
190401,0.50,0.42
190402,0.55,0.36
190403,1.68,1.68
190404,1.75,1.74
190405,-0.14,-0.16
190406,-0.43,-0.42
190407,-0.19,-0.15
190408,-0.36,-0.42
190409,-0.81,-0.94
190410,-1.16,-1.40
190411,-2.37,-2.55
190412,-2.50,-2.60
190501,-2.69,-2.77
190502,-2.68,-2.87
190503,-2.83,-2.83
190504,-2.64,-2.65
190505,0.70,0.68
190506,1.02,1.03
