Oklahoma, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.26,0.08
189502,-0.21,-0.26
189503,-0.65,-0.83
189504,-1.35,-1.62
189505,-2.05,-2.25
189506,0.21,0.06
189507,1.12,0.97
189508,1.74,1.55
189509,-0.80,-1.01
189510,-1.01,-1.24
189511,0.32,0.08
189512,1.21,0.97
189601,1.19,1.01
189602,-0.23,-0.28
189603,-0.48,-0.66
189604,-1.14,-1.41
189605,-1.86,-2.06
189606,-2.29,-2.44
189607,-2.66,-2.81
189608,-3.25,-3.44
189609,-3.32,-3.53
189610,-2.96,-3.19
189611,-2.75,-2.99
189612,-2.95,-3.19
189701,-2.53,-2.71
189702,-2.63,-2.68
189703,-1.87,-2.05
189704,-1.05,-1.32
189705,-1.02,-1.22
189706,-1.02,-1.17
189707,-0.97,-1.12
189708,-0.75,-0.94
189709,-1.47,-1.68
189710,-1.97,-2.20
189711,-2.53,-2.77
189712,-2.78,-3.02
189801,0.39,0.21
189802,0.30,0.25
189803,0.99,0.81
189804,0.44,0.17
189805,1.18,0.98
189806,1.35,1.20
189807,1.94,1.79
189808,2.32,2.13
189809,-0.32,-0.53
189810,-0.44,-0.67
189811,-0.71,-0.95
189812,-0.30,-0.54
189901,-0.19,-0.37
189902,-0.39,-0.44
189903,-0.79,-0.97
189904,0.14,-0.13
189905,0.19,-0.01
189906,0.17,0.02
189907,1.16,1.01
189908,-0.38,-0.57
189909,-0.86,-1.07
189910,-0.63,-0.86
189911,-0.16,-0.40
189912,-0.01,-0.25
190001,-0.17,-0.35
190002,-0.12,-0.17
190003,-0.61,-0.79
190004,0.56,0.29
190005,-0.14,-0.34
190006,-0.56,-0.71
190007,0.55,0.40
190008,0.22,0.03
190009,1.08,0.87
190010,1.18,0.95
190011,-0.27,-0.51
190012,-0.76,-1.00
190101,-1.16,-1.34
190102,-1.47,-1.52
190103,-1.65,-1.83
190104,-1.50,-1.77
190105,-1.30,-1.50
190106,-1.93,-2.08
190107,-2.53,-2.68
190108,-2.92,-3.11
190109,-3.28,-3.49
190110,-3.46,-3.69
190111,-3.70,-3.94
190112,-3.83,-4.07
190201,-4.13,-4.31
190202,-4.61,-4.66
190203,0.29,0.11
190204,0.05,-0.22
190205,1.16,0.96
190206,0.69,0.54
190207,0.54,0.39
190208,0.14,-0.05
190209,0.89,0.68
190210,0.58,0.35
190211,1.71,1.47
190212,2.03,1.79
190301,1.77,1.59
190302,2.76,2.71
190303,2.67,2.49
190304,1.81,1.54
190305,2.37,2.17
190306,-0.24,-0.39
190307,0.15,0.00
190308,0.35,0.16
190309,-0.30,-0.51
190310,-0.28,-0.51
190311,-0.89,-1.13
190312,-1.44,-1.68
190401,-1.58,-1.76
190402,-2.36,-2.41
190403,-3.05,-3.23
190404,-3.17,-3.44
190405,-3.11,-3.31
190406,1.15,1.00
190407,1.85,1.70
190408,2.30,2.11
190409,-0.23,-0.44
190410,-0.82,-1.05
190411,-1.58,-1.82
190412,-2.01,-2.25
190501,-1.84,-2.02
190502,-1.96,-2.01
190503,0.40,0.22
190504,0.91,0.64
190505,1.60,1.40
190506,1.02,0.87
190507,1.97,1.82
190508,2.24,2.05
190509,1.93,1.72
190510,1.87,1.64
190511,1.88,1.64
190512,1.77,1.53
190601,1.68,1.50
190602,1.37,1.32
190603,1.50,1.32
190604,1.53,1.26
190605,0.99,0.79
190606,1.07,0.92
190607,2.12,1.97
190608,3.97,3.78
190609,4.15,3.94
190610,3.89,3.66
190611,3.70,3.46
190612,3.42,3.18
190701,3.78,3.60
190702,3.01,2.96
190703,1.97,1.79
190704,2.11,1.84
190705,2.29,2.09
190706,2.62,2.47
190707,2.68,2.53
190708,2.48,2.29
190709,1.64,1.43
190710,1.89,1.66
190711,1.69,1.45
190712,1.84,1.60
190801,1.76,1.58
190802,2.15,2.10
190803,1.51,1.33
190804,2.31,2.04
190805,3.12,2.92
190806,4.43,4.28
190807,4.67,4.52
190808,4.56,4.37
190809,4.46,4.25
190810,4.81,4.58
190811,5.35,5.11
190812,-0.36,-0.60
190901,-0.54,-0.72
190902,-0.77,-0.82
190903,-0.82,-1.00
190904,-1.20,-1.47
190905,-0.90,-1.10
190906,-0.77,-0.92
190907,-0.86,-1.01
190908,-1.63,-1.82
190909,-2.25,-2.46
190910,-2.33,-2.56
190911,-1.38,-1.62
190912,-1.22,-1.46
191001,-1.26,-1.44
191002,-1.35,-1.40
191003,-2.31,-2.49
