Oregon, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.94,0.97
189502,-0.88,-0.89
189503,-0.87,-0.78
189504,-0.96,-0.85
189505,0.89,0.95
189506,-0.61,-0.55
189507,-0.60,-0.58
189508,-0.67,-0.64
189509,0.91,0.85
189510,-1.07,-1.07
189511,-1.74,-1.80
189512,0.51,0.60
189601,1.32,1.35
189602,-0.44,-0.45
189603,-0.53,-0.44
189604,1.43,1.54
189605,2.88,2.94
189606,2.24,2.30
189607,1.90,1.92
189608,1.94,1.97
189609,1.56,1.50
189610,1.13,1.13
189611,2.69,2.63
189612,2.71,2.80
189701,1.69,1.72
189702,2.40,2.39
189703,3.11,3.20
189704,-0.50,-0.39
189705,-0.95,-0.89
189706,0.49,0.55
189707,0.49,0.51
189708,0.35,0.38
189709,0.62,0.56
189710,0.07,0.07
189711,0.72,0.66
189712,1.11,1.20
189801,-0.75,-0.72
189802,-0.77,-0.78
189803,-1.43,-1.34
189804,-1.86,-1.75
189805,-1.41,-1.35
189806,-1.30,-1.24
189807,-1.13,-1.11
189808,-1.17,-1.14
189809,-0.84,-0.90
189810,-1.04,-1.04
189811,-0.68,-0.74
189812,-1.33,-1.24
189901,0.08,0.11
189902,0.31,0.30
189903,0.74,0.83
189904,1.09,1.20
189905,1.52,1.58
189906,1.00,1.06
189907,0.74,0.76
189908,1.54,1.57
189909,1.27,1.21
189910,1.96,1.96
189911,2.43,2.37
189912,2.28,2.37
190001,-0.44,-0.41
190002,-0.56,-0.57
190003,-1.14,-1.05
190004,-0.04,0.07
190005,0.24,0.30
190006,0.30,0.36
190007,0.28,0.30
190008,0.38,0.41
190009,0.74,0.68
190010,1.79,1.79
190011,1.46,1.40
190012,0.91,1.00
190101,1.11,1.14
190102,1.74,1.73
190103,-0.27,-0.18
190104,0.27,0.38
190105,-0.23,-0.17
190106,-0.53,-0.47
190107,-0.85,-0.83
190108,-0.98,-0.95
190109,1.20,1.14
190110,-0.62,-0.62
190111,-1.15,-1.21
190112,-1.43,-1.34
190201,-2.12,-2.09
190202,1.70,1.69
190203,1.68,1.77
190204,2.19,2.30
190205,2.26,2.32
190206,1.57,1.63
190207,1.93,1.95
190208,1.83,1.86
190209,1.49,1.43
190210,0.82,0.82
190211,1.52,1.46
190212,2.15,2.24
190301,2.82,2.85
190302,-0.90,-0.91
190303,-0.69,-0.60
190304,-0.89,-0.78
190305,-1.26,-1.20
190306,-1.11,-1.05
190307,-1.10,-1.08
190308,-0.85,-0.82
190309,-0.92,-0.98
190310,-1.28,-1.28
190311,1.34,1.28
190312,-0.74,-0.65
190401,-1.00,-0.97
190402,2.44,2.43
190403,4.55,4.64
190404,4.29,4.40
190405,-0.62,-0.56
190406,-1.10,-1.04
190407,-0.87,-0.85
190408,-1.05,-1.02
190409,-1.21,-1.27
190410,-1.16,-1.16
190411,-1.66,-1.72
190412,-1.39,-1.30
190501,-1.58,-1.55
190502,-2.23,-2.24
190503,-1.77,-1.68
190504,-2.25,-2.14
190505,-1.63,-1.57
190506,-1.25,-1.19
190507,-0.92,-0.90
190508,-1.23,-1.20
190509,-0.92,-0.98
190510,-0.65,-0.65
190511,-1.23,-1.29
190512,-1.67,-1.58
190601,0.20,0.23
190602,0.57,0.56
190603,0.75,0.84
190604,0.11,0.22
190605,0.85,0.91
190606,1.51,1.57
190607,1.89,1.91
190608,1.54,1.57
190609,1.55,1.49
190610,1.03,1.03
190611,1.06,1.00
190612,0.93,1.02
190701,1.27,1.30
190702,1.85,1.84
190703,2.34,2.43
190704,2.35,2.46
190705,2.02,2.08
190706,2.25,2.31
190707,2.40,2.42
190708,2.70,2.73
190709,2.63,2.57
190710,-0.59,-0.59
190711,-0.94,-1.00
190712,0.86,0.95
190801,-0.69,-0.66
190802,-1.06,-1.07
190803,-1.13,-1.04
190804,-1.43,-1.32
190805,0.47,0.53
190806,0.53,0.59
190807,0.92,0.94
190808,0.89,0.92
190809,0.48,0.42
190810,1.08,1.08
190811,-0.53,-0.59
190812,-1.25,-1.16
190901,1.46,1.49
190902,2.17,2.16
190903,-0.72,-0.63
190904,-1.40,-1.29
190905,-1.32,-1.26
190906,-1.60,-1.54
190907,-1.27,-1.25
190908,-1.42,-1.39
190909,0.19,0.13
190910,0.26,0.26
190911,2.01,1.95
190912,-0.29,-0.20
191001,-0.51,-0.48
191002,0.55,0.54
191003,-0.90,-0.81
191004,-1.21,-1.10
191005,-1.40,-1.34
191006,-1.60,-1.54
191007,-1.94,-1.92
191008,-2.26,-2.23
191009,-1.96,-2.02
191010,-1.93,-1.93
191011,1.40,1.34
191012,-0.45,-0.36
191101,-0.23,-0.20
191102,-0.64,-0.65
191103,-1.86,-1.77
191104,-1.78,-1.67
191105,0.61,0.67
191106,0.68,0.74
191107,0.74,0.76
191108,0.32,0.35
191109,1.27,1.21
191110,-0.35,-0.35
191111,-0.73,-0.79
191112,-1.24,-1.15
191201,0.85,0.88
191202,0.92,0.91
191203,0.51,0.60
191204,1.23,1.34
191205,1.65,1.71
191206,2.05,2.11
191207,2.53,2.55
191208,3.31,3.34
191209,3.39,3.33
191210,3.26,3.26
191211,3.00,2.94
191212,2.65,2.74
191301,2.55,2.58
191302,1.23,1.22
191303,1.08,1.17
191304,1.22,1.33
191305,1.03,1.09
191306,2.18,2.24
191307,3.13,3.15
191308,3.52,3.55
191309,3.41,3.35
191310,3.22,3.22
191311,3.01,2.95
191312,2.29,2.38
191401,3.23,3.26
191402,-0.34,-0.35
191403,-1.27,-1.18
191404,-0.84,-0.73
191405,-1.04,-0.98
191406,-0.58,-0.52
191407,-0.45,-0.43
191408,-0.83,-0.80
191409,1.02,0.96
191410,1.36,1.36
191411,-0.70,-0.76
191412,-1.66,-1.57
191501,-1.95,-1.92
191502,-1.65,-1.66
191503,-2.23,-2.14
191504,-2.32,-2.21
191505,1.10,1.16
191506,0.64,0.70
191507,1.25,1.27
191508,-0.11,-0.08
191509,-0.46,-0.52
191510,-1.06,-1.06
191511,0.70,0.64
191512,0.83,0.92
191601,1.24,1.27
191602,1.78,1.77
191603,2.50,2.59
191604,2.21,2.32
191605,2.58,2.64
191606,2.69,2.75
191607,3.68,3.70
191608,3.87,3.90
191609,-0.18,-0.24
191610,-0.66,-0.66
191611,-0.70,-0.76
191612,-0.90,-0.81
191701,-1.45,-1.42
191702,0.12,0.11
191703,0.51,0.60
191704,1.40,1.51
191705,1.70,1.76
191706,-0.32,-0.26
191707,-0.48,-0.46
191708,-0.96,-0.93
191709,-0.67,-0.73
191710,-1.76,-1.76
191711,-1.84,-1.90
191712,0.38,0.47
191801,0.30,0.33
191802,0.82,0.81
191803,-0.42,-0.33
191804,-1.00,-0.89
191805,-1.24,-1.18
191806,-1.98,-1.92
191807,-2.37,-2.35
191808,-2.11,-2.08
191809,-1.80,-1.86
191810,-1.56,-1.56
191811,-1.81,-1.87
191812,-2.51,-2.42
191901,0.23,0.26
191902,1.47,1.46
191903,1.45,1.54
191904,1.49,1.60
191905,-0.44,-0.38
191906,-0.96,-0.90
191907,-1.55,-1.53
191908,-1.98,-1.95
191909,-1.31,-1.37
191910,-1.24,-1.24
191911,-1.04,-1.10
191912,-0.95,-0.86
192001,-1.76,-1.73
192002,-2.93,-2.94
192003,0.14,0.23
192004,0.92,1.03
192005,0.34,0.40
192006,0.44,0.50
192007,0.47,0.49
192008,0.83,0.86
192009,1.87,1.81
192010,2.16,2.16
192011,2.28,2.22
192012,2.71,2.80
192101,2.80,2.83
192102,3.11,3.10
192103,-0.40,-0.31
192104,0.03,0.14
192105,0.37,0.43
192106,-0.16,-0.10
192107,-0.31,-0.29
192108,-0.55,-0.52
192109,-0.21,-0.27
192110,-0.48,-0.48
192111,0.79,0.73
192112,-0.61,-0.52
192201,-1.21,-1.18
192202,0.18,0.17
192203,0.85,0.94
192204,0.97,1.08
192205,-0.29,-0.23
192206,-0.66,-0.60
192207,-1.24,-1.22
192208,-1.02,-0.99
192209,-1.22,-1.28
192210,-1.02,-1.02
192211,-1.52,-1.58
192212,0.52,0.61
192301,1.01,1.04
192302,-0.84,-0.85
192303,-1.58,-1.49
192304,0.18,0.29
192305,0.22,0.28
192306,0.76,0.82
192307,1.79,1.81
192308,1.93,1.96
192309,1.69,1.63
192310,1.90,1.90
192311,-0.67,-0.73
192312,-0.89,-0.80
192401,-1.72,-1.69
192402,-1.91,-1.92
192403,-2.46,-2.37
192404,-3.02,-2.91
192405,-3.86,-3.80
192406,-4.26,-4.20
192407,-4.87,-4.85
192408,-4.67,-4.64
192409,0.00,-0.06
192410,1.09,1.09
192411,1.60,1.54
192412,1.34,1.43
192501,1.26,1.29
192502,1.35,1.34
192503,0.26,0.35
192504,0.63,0.74
192505,0.74,0.80
192506,0.56,0.62
192507,0.45,0.47
192508,0.48,0.51
192509,0.96,0.90
192510,-0.65,-0.65
192511,-1.16,-1.22
192512,-1.72,-1.63
192601,-2.17,-2.14
192602,-1.18,-1.19
192603,-2.55,-2.46
192604,-3.03,-2.92
192605,-2.78,-2.72
192606,-3.28,-3.22
192607,-3.79,-3.77
192608,0.29,0.32
192609,0.21,0.15
192610,0.18,0.18
192611,1.26,1.20
192612,0.95,1.04
192701,1.12,1.15
192702,2.01,2.00
192703,1.57,1.66
192704,1.38,1.49
192705,1.54,1.60
192706,1.48,1.54
192707,1.41,1.43
192708,1.08,1.11
192709,2.34,2.28
192710,2.08,2.08
192711,2.61,2.55
192712,-0.59,-0.50
192801,-0.75,-0.72
192802,-1.56,-1.57
192803,0.93,1.02
192804,1.32,1.43
192805,-0.99,-0.93
192806,-1.33,-1.27
192807,-1.86,-1.84
192808,-2.26,-2.23
192809,-2.32,-2.38
192810,-2.49,-2.49
192811,-2.82,-2.88
192812,-3.01,-2.92
192901,-3.01,-2.98
192902,-3.76,-3.77
192903,-3.97,-3.88
192904,-2.87,-2.76
192905,-3.12,-3.06
192906,-2.44,-2.38
192907,-2.41,-2.39
192908,-2.66,-2.63
192909,-2.95,-3.01
192910,-3.41,-3.41
192911,-4.63,-4.69
192912,-3.65,-3.56
193001,-3.73,-3.70
193002,-3.35,-3.36
193003,-4.00,-3.91
193004,-3.83,-3.72
193005,-3.16,-3.10
193006,-3.17,-3.11
193007,-3.06,-3.04
193008,-3.11,-3.08
193009,-2.58,-2.64
193010,-2.73,-2.73
193011,-3.15,-3.21
193012,-4.02,-3.93
193101,-4.26,-4.23
193102,-4.51,-4.52
193103,-3.55,-3.46
193104,-3.53,-3.42
193105,-4.00,-3.94
193106,-3.26,-3.20
193107,-3.40,-3.38
193108,-3.72,-3.69
193109,-3.40,-3.46
193110,0.19,0.19
193111,0.19,0.13
193112,0.49,0.58
193201,-0.05,-0.02
193202,-0.63,-0.64
193203,0.66,0.75
193204,1.02,1.13
193205,1.24,1.30
193206,-0.50,-0.44
193207,-0.62,-0.60
193208,-0.80,-0.77
193209,-1.45,-1.51
193210,-1.53,-1.53
193211,-1.44,-1.50
193212,-1.47,-1.38
193301,-1.02,-0.99
193302,-1.02,-1.03
193303,-0.89,-0.80
193304,-1.26,-1.15
193305,0.81,0.87
193306,0.70,0.76
193307,0.60,0.62
193308,0.30,0.33
193309,0.71,0.65
193310,-0.22,-0.22
193311,-1.50,-1.56
193312,-1.06,-0.97
193401,-1.28,-1.25
193402,-2.22,-2.23
193403,-2.77,-2.68
193404,-3.13,-3.02
193405,-3.42,-3.36
193406,-3.16,-3.10
193407,-3.40,-3.38
193408,-3.54,-3.51
193409,-3.54,-3.60
193410,-2.79,-2.79
193411,-1.91,-1.97
193412,-1.57,-1.48
193501,-1.83,-1.80
193502,-2.25,-2.26
193503,-2.00,-1.91
193504,-1.12,-1.01
193505,-1.65,-1.59
193506,-2.04,-1.98
193507,-2.27,-2.25
193508,-2.53,-2.50
193509,-2.84,-2.90
193510,-2.61,-2.61
193511,-3.21,-3.27
