Pennsylvania, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.65,0.73
189502,-0.69,-0.70
189503,-1.05,-1.10
189504,-1.18,-1.26
189505,-1.72,-1.75
189506,-1.83,-1.86
189507,-2.02,-1.98
189508,-2.30,-2.35
189509,-3.07,-3.10
189510,-3.49,-3.52
189511,-3.96,-3.85
189512,-3.78,-3.63
189601,-4.03,-3.95
189602,-2.66,-2.67
189603,-1.88,-1.93
189604,-2.83,-2.91
189605,-3.40,-3.43
189606,0.16,0.13
189607,1.27,1.31
189608,0.44,0.39
189609,0.95,0.92
189610,1.24,1.21
189611,1.16,1.27
189612,-0.86,-0.71
189701,-1.14,-1.06
189702,0.41,0.40
189703,0.37,0.32
189704,0.24,0.16
189705,0.59,0.56
189706,0.27,0.24
189707,1.01,1.05
189708,-0.01,-0.06
189709,-0.43,-0.46
189710,-1.32,-1.35
189711,0.64,0.75
189712,0.95,1.10
189801,1.64,1.72
189802,-0.26,-0.27
189803,0.27,0.22
189804,0.08,0.00
189805,0.30,0.27
189806,-0.58,-0.61
189807,-1.18,-1.14
189808,1.00,0.95
189809,-0.90,-0.93
189810,0.85,0.82
189811,1.23,1.34
189812,1.10,1.25
189901,1.16,1.24
189902,1.77,1.76
189903,2.26,2.21
189904,-1.04,-1.12
189905,-1.05,-1.08
189906,-1.26,-1.29
189907,-1.35,-1.31
189908,-1.43,-1.48
189909,-0.88,-0.91
189910,-1.46,-1.49
189911,-1.68,-1.57
189912,0.08,0.23
190001,0.07,0.15
190002,0.89,0.88
190003,1.02,0.97
190004,-0.98,-1.06
190005,-1.50,-1.53
190006,-1.66,-1.69
190007,-1.37,-1.33
190008,-1.73,-1.78
190009,-2.76,-2.79
190010,-3.13,-3.16
190011,-2.79,-2.68
190012,-2.86,-2.71
190101,-2.81,-2.73
190102,-3.37,-3.38
190103,0.36,0.31
190104,1.40,1.32
190105,1.92,1.89
190106,1.59,1.56
190107,1.13,1.17
190108,2.46,2.41
190109,2.36,2.33
190110,1.52,1.49
190111,1.33,1.44
190112,2.59,2.74
190201,2.31,2.39
190202,2.61,2.60
190203,2.52,2.47
190204,2.23,2.15
190205,1.12,1.09
190206,2.00,1.97
190207,2.94,2.98
190208,2.27,2.22
190209,2.49,2.46
190210,2.89,2.86
190211,1.78,1.89
190212,2.77,2.92
190301,2.80,2.88
190302,3.51,3.50
190303,3.23,3.18
190304,2.86,2.78
190305,1.48,1.45
190306,2.71,2.68
190307,3.06,3.10
190308,3.98,3.93
190309,3.18,3.15
190310,3.51,3.48
190311,3.05,3.16
190312,2.53,2.68
190401,2.62,2.70
190402,2.34,2.33
190403,2.59,2.54
190404,2.56,2.48
190405,2.14,2.11
190406,1.77,1.74
190407,2.15,2.19
190408,2.36,2.31
190409,-0.03,-0.06
190410,0.03,0.00
190411,-0.77,-0.66
190412,-0.89,-0.74
190501,-0.35,-0.27
190502,-0.82,-0.83
190503,-0.51,-0.56
190504,-0.85,-0.93
190505,-1.38,-1.41
190506,0.42,0.39
190507,0.99,1.03
190508,1.73,1.68
190509,1.62,1.59
190510,2.25,2.22
190511,1.98,2.09
190512,2.12,2.27
190601,1.72,1.80
190602,1.04,1.03
190603,1.59,1.54
190604,1.16,1.08
190605,0.66,0.63
190606,0.84,0.81
190607,0.83,0.87
190608,1.46,1.41
190609,0.95,0.92
190610,1.52,1.49
190611,0.73,0.84
190612,1.16,1.31
190701,1.91,1.99
190702,1.34,1.33
190703,1.39,1.34
190704,1.09,1.01
190705,0.81,0.78
190706,1.37,1.34
190707,1.11,1.15
190708,0.59,0.54
190709,1.71,1.68
190710,2.07,2.04
190711,2.15,2.26
190712,2.60,2.75
190801,2.34,2.42
190802,3.23,3.22
190803,3.60,3.55
190804,3.12,3.04
190805,3.77,3.74
190806,-0.76,-0.79
190807,-0.58,-0.54
190808,-0.98,-1.03
190809,-2.00,-2.03
190810,-2.81,-2.84
190811,-4.19,-4.08
190812,-4.73,-4.58
190901,-4.25,-4.17
190902,-2.64,-2.65
190903,-2.47,-2.52
190904,-1.19,-1.27
190905,-1.48,-1.51
190906,-1.18,-1.21
190907,-1.99,-1.95
190908,-2.55,-2.60
190909,-2.92,-2.95
190910,-3.08,-3.11
190911,-4.26,-4.15
190912,-4.35,-4.20
191001,-2.51,-2.43
191002,-1.55,-1.56
191003,-3.11,-3.16
191004,-2.40,-2.48
191005,-2.41,-2.44
191006,-2.00,-2.03
191007,-2.62,-2.58
191008,-3.06,-3.11
191009,-2.47,-2.50
191010,-2.91,-2.94
191011,-3.06,-2.95
191012,-2.89,-2.74
191101,-2.22,-2.14
191102,-2.09,-2.10
191103,-2.10,-2.15
191104,-1.72,-1.80
191105,-2.77,-2.80
191106,-2.30,-2.33
191107,-2.97,-2.93
191108,1.46,1.41
191109,2.12,2.09
191110,2.93,2.90
191111,2.72,2.83
191112,2.63,2.78
191201,1.93,2.01
191202,1.59,1.58
191203,2.32,2.27
191204,2.40,2.32
191205,1.72,1.69
191206,1.22,1.19
191207,1.76,1.80
191208,2.25,2.20
191209,3.13,3.10
191210,2.80,2.77
191211,2.21,2.32
191212,2.13,2.28
191301,2.90,2.98
191302,2.21,2.20
191303,2.77,2.72
191304,2.55,2.47
191305,-0.08,-0.11
191306,-0.86,-0.89
191307,-0.84,-0.80
191308,-1.54,-1.59
191309,-1.65,-1.68
191310,0.72,0.69
191311,0.65,0.76
191312,0.50,0.65
191401,0.66,0.74
191402,0.74,0.73
191403,0.44,0.39
191404,1.09,1.01
191405,-0.28,-0.31
191406,-0.37,-0.40
191407,-0.43,-0.39
191408,-0.32,-0.37
191409,-1.28,-1.31
191410,-1.88,-1.91
191411,-2.78,-2.67
191412,0.31,0.46
191501,1.54,1.62
191502,2.00,1.99
191503,-0.93,-0.98
191504,-1.95,-2.03
191505,0.08,0.05
191506,0.33,0.30
191507,1.02,1.06
191508,2.48,2.43
191509,1.91,1.88
191510,1.66,1.63
191511,1.18,1.29
191512,1.65,1.80
191601,1.29,1.37
191602,1.43,1.42
191603,1.88,1.83
191604,1.88,1.80
191605,1.29,1.26
191606,2.69,2.66
191607,-0.10,-0.06
191608,-0.82,-0.87
191609,-0.54,-0.57
191610,-0.90,-0.93
191611,-1.43,-1.32
191612,-1.29,-1.14
191701,-0.84,-0.76
191702,-1.31,-1.32
191703,-1.05,-1.10
191704,-1.66,-1.74
191705,0.16,0.13
191706,0.98,0.95
191707,1.00,1.04
191708,1.52,1.47
191709,1.21,1.18
191710,2.99,2.96
191711,-0.90,-0.79
191712,-1.37,-1.22
191801,-0.86,-0.78
191802,-0.81,-0.82
191803,-1.25,-1.30
191804,0.45,0.37
191805,0.50,0.47
191806,-0.09,-0.12
191807,-0.51,-0.47
191808,-0.56,-0.61
191809,-0.09,-0.12
191810,-0.09,-0.12
191811,-0.57,-0.46
191812,-0.39,-0.24
191901,-0.58,-0.50
191902,-0.77,-0.78
191903,-0.82,-0.87
191904,-1.10,-1.18
191905,0.74,0.71
191906,0.30,0.27
191907,0.84,0.88
191908,1.70,1.65
191909,1.05,1.02
191910,1.58,1.55
191911,2.02,2.13
191912,-0.17,-0.02
192001,-0.28,-0.20
192002,-0.27,-0.28
192003,-0.57,-0.62
192004,0.60,0.52
192005,-0.68,-0.71
192006,0.49,0.46
192007,0.87,0.91
192008,1.29,1.24
192009,1.54,1.51
192010,-0.57,-0.60
192011,0.38,0.49
192012,0.48,0.63
192101,-0.14,-0.06
192102,-0.13,-0.14
192103,-0.64,-0.69
192104,-1.14,-1.22
192105,-1.05,-1.08
192106,-1.50,-1.53
192107,-1.58,-1.54
192108,-1.38,-1.43
192109,-1.00,-1.03
192110,-1.32,-1.35
192111,1.17,1.28
192112,-0.22,-0.07
192201,-0.46,-0.38
192202,-0.74,-0.75
192203,-0.30,-0.35
192204,-0.52,-0.60
192205,-1.00,-1.03
192206,-0.41,-0.44
192207,-0.59,-0.55
192208,-0.70,-0.75
192209,-1.55,-1.58
192210,-1.97,-2.00
192211,-3.13,-3.02
192212,-3.37,-3.22
192301,-2.34,-2.26
192302,-2.38,-2.39
192303,-2.56,-2.61
192304,-2.57,-2.65
192305,-2.42,-2.45
192306,-2.85,-2.88
192307,-2.48,-2.44
192308,-2.65,-2.70
192309,-2.53,-2.56
192310,-2.72,-2.75
192311,-2.84,-2.73
192312,0.78,0.93
192401,1.45,1.53
192402,1.45,1.44
192403,1.07,1.02
192404,1.40,1.32
192405,2.23,2.20
192406,2.74,2.71
192407,2.30,2.34
192408,2.04,1.99
192409,3.38,3.35
192410,-0.97,-1.00
192411,-1.69,-1.58
192412,-1.94,-1.79
192501,-1.43,-1.35
192502,-1.52,-1.53
192503,-1.86,-1.91
192504,-2.41,-2.49
192505,-2.19,-2.22
192506,-2.53,-2.56
192507,-1.62,-1.58
192508,-2.05,-2.10
192509,-2.27,-2.30
192510,0.89,0.86
192511,1.25,1.36
192512,0.58,0.73
192601,0.47,0.55
192602,1.26,1.25
192603,-0.60,-0.65
192604,-0.97,-1.05
192605,-1.84,-1.87
192606,-1.61,-1.64
192607,-1.72,-1.68
192608,0.78,0.73
192609,1.83,1.80
192610,2.61,2.58
192611,3.19,3.30
192612,2.67,2.82
192701,2.38,2.46
192702,2.66,2.65
192703,1.96,1.91
192704,1.92,1.84
192705,1.90,1.87
192706,1.76,1.73
192707,2.00,2.04
192708,2.18,2.13
192709,1.35,1.32
192710,2.42,2.39
192711,3.19,3.30
192712,3.56,3.71
192801,2.84,2.92
192802,2.93,2.92
192803,2.60,2.55
192804,3.52,3.44
192805,2.45,2.42
192806,4.22,4.19
192807,4.41,4.45
192808,4.26,4.21
192809,-0.22,-0.25
192810,-0.66,-0.69
192811,-1.03,-0.92
192812,-1.80,-1.65
192901,-1.33,-1.25
192902,-1.10,-1.11
192903,-1.52,-1.57
192904,1.24,1.16
192905,1.55,1.52
192906,-0.22,-0.25
192907,-0.69,-0.65
192908,-1.25,-1.30
192909,-1.26,-1.29
192910,1.08,1.05
192911,1.27,1.38
192912,-0.05,0.10
193001,-0.24,-0.16
193002,-0.22,-0.23
193003,-0.35,-0.40
193004,-0.56,-0.64
193005,-1.09,-1.12
193006,-0.94,-0.97
193007,-1.84,-1.80
193008,-3.06,-3.11
193009,-3.70,-3.73
193010,-4.63,-4.66
193011,-5.87,-5.76
193012,-6.59,-6.44
193101,-6.83,-6.75
193102,-6.55,-6.56
193103,-6.07,-6.12
193104,-5.40,-5.48
193105,-4.31,-4.34
193106,-4.07,-4.10
193107,-3.29,-3.25
193108,-3.01,-3.06
193109,-3.03,-3.06
193110,-3.54,-3.57
193111,-4.53,-4.42
193112,-4.59,-4.44
193201,-3.33,-3.25
193202,-3.44,-3.45
193203,-2.55,-2.60
193204,-2.98,-3.06
193205,-2.79,-2.82
193206,-2.93,-2.96
193207,-2.95,-2.91
193208,-3.39,-3.44
193209,-4.13,-4.16
193210,0.64,0.61
193211,1.36,1.47
193212,0.82,0.97
193301,0.26,0.34
193302,0.04,0.03
193303,1.03,0.98
193304,1.24,1.16
193305,1.67,1.64
193306,-0.86,-0.89
193307,-0.86,-0.82
193308,1.64,1.59
193309,2.10,2.07
193310,-0.14,-0.17
193311,-0.54,-0.43
193312,-0.49,-0.34
193401,-0.57,-0.49
193402,-1.25,-1.26
193403,-1.18,-1.23
193404,-1.30,-1.38
193405,-2.08,-2.11
193406,-2.44,-2.47
193407,-2.64,-2.60
193408,0.35,0.30
193409,1.45,1.42
193410,-0.35,-0.38
193411,-0.09,0.02
193412,-0.27,-0.12
193501,-0.12,-0.04
193502,-0.01,-0.02
193503,-0.57,-0.62
