Rhode Island, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.08,0.05
189502,-1.00,-0.99
189503,-1.15,-1.18
189504,-0.69,-0.67
189505,-0.91,-0.75
189506,-1.17,-1.08
189507,0.43,0.45
189508,0.41,0.52
189509,-0.47,-0.39
189510,1.24,1.30
189511,1.86,1.99
189512,1.41,1.42
189601,0.69,0.66
189602,1.79,1.80
189603,2.20,2.17
189604,-1.02,-1.00
189605,-1.38,-1.22
189606,-1.19,-1.10
189607,-1.08,-1.06
189608,-1.16,-1.05
189609,1.19,1.27
189610,1.37,1.43
189611,-0.25,-0.12
189612,-0.71,-0.70
189701,-0.47,-0.50
189702,-0.70,-0.69
189703,-0.84,-0.87
189704,-0.83,-0.81
189705,0.20,0.36
189706,0.42,0.51
189707,1.66,1.68
189708,2.10,2.21
189709,1.75,1.83
189710,0.79,0.85
189711,1.89,2.02
189712,2.09,2.10
189801,2.19,2.16
189802,2.84,2.85
189803,1.96,1.93
189804,2.45,2.47
189805,2.71,2.87
189806,1.90,1.99
189807,2.86,2.88
189808,3.86,3.97
189809,3.27,3.35
189810,4.87,4.93
189811,5.45,5.58
189812,4.47,4.48
189901,4.40,4.37
189902,4.54,4.55
189903,5.40,5.37
189904,-0.60,-0.58
189905,-1.14,-0.98
189906,-1.30,-1.21
189907,-1.15,-1.13
189908,-1.17,-1.06
189909,-0.21,-0.13
189910,-0.44,-0.38
189911,-0.92,-0.79
189912,-1.53,-1.52
190001,0.21,0.18
190002,1.65,1.66
190003,1.97,1.94
190004,-0.46,-0.44
190005,0.53,0.69
190006,-0.37,-0.28
190007,-0.59,-0.57
190008,-1.16,-1.05
190009,-1.34,-1.26
190010,-1.33,-1.27
190011,-1.10,-0.97
190012,-1.33,-1.32
190101,-1.73,-1.76
190102,-2.54,-2.53
190103,1.15,1.12
190104,2.89,2.91
190105,3.76,3.92
190106,2.83,2.92
190107,2.66,2.68
190108,2.19,2.30
190109,2.03,2.11
190110,1.56,1.62
190111,0.95,1.08
190112,2.58,2.59
190201,1.82,1.79
190202,2.58,2.59
190203,2.86,2.83
190204,-0.04,-0.02
190205,-0.76,-0.60
190206,-0.55,-0.46
190207,-0.30,-0.28
190208,-0.77,-0.66
190209,-0.55,-0.47
190210,-0.03,0.03
190211,-0.81,-0.68
190212,0.78,0.79
190301,0.89,0.86
190302,1.77,1.78
190303,2.49,2.46
190304,2.23,2.25
190305,0.98,1.14
190306,1.86,1.95
190307,1.85,1.87
190308,2.35,2.46
190309,-0.53,-0.45
190310,-0.28,-0.22
190311,-0.73,-0.60
190312,-0.81,-0.80
190401,-0.39,-0.42
190402,-0.26,-0.25
190403,-0.62,-0.65
190404,1.71,1.73
190405,1.14,1.30
190406,1.22,1.31
190407,0.93,0.95
190408,1.46,1.57
190409,0.02,0.10
190410,-0.33,-0.27
190411,-0.75,-0.62
190412,-0.69,-0.68
190501,-0.57,-0.60
190502,-1.11,-1.10
190503,-1.36,-1.39
190504,-1.66,-1.64
190505,-2.19,-2.03
190506,0.73,0.82
190507,0.77,0.79
190508,0.97,1.08
190509,1.58,1.66
190510,1.05,1.11
190511,0.71,0.84
190512,0.82,0.83
190601,0.72,0.69
190602,0.82,0.83
190603,1.39,1.36
190604,0.99,1.01
190605,1.18,1.34
190606,1.17,1.26
190607,1.69,1.71
190608,-0.44,-0.33
190609,-0.53,-0.45
190610,-0.02,0.04
190611,-0.35,-0.22
190612,-0.15,-0.14
190701,-0.27,-0.30
190702,-0.37,-0.36
190703,-0.94,-0.97
190704,-0.88,-0.86
190705,-0.30,-0.14
190706,-0.32,-0.23
190707,-0.90,-0.88
190708,-1.66,-1.55
190709,0.93,1.01
190710,1.12,1.18
190711,1.90,2.03
190712,2.39,2.40
190801,2.01,1.98
190802,2.48,2.49
190803,-0.10,-0.13
190804,-0.71,-0.69
190805,-0.19,-0.03
190806,-0.51,-0.42
190807,-0.64,-0.62
190808,0.00,0.11
190809,-0.72,-0.64
190810,-0.53,-0.47
190811,-1.44,-1.31
190812,-0.02,-0.01
190901,0.17,0.14
190902,1.33,1.34
190903,1.11,1.08
190904,1.64,1.66
190905,-0.18,-0.02
190906,-0.45,-0.36
190907,-0.99,-0.97
190908,-1.31,-1.20
190909,-1.05,-0.97
190910,-1.50,-1.44
190911,-1.87,-1.74
190912,-1.81,-1.80
191001,0.70,0.67
191002,1.10,1.11
191003,-0.98,-1.01
191004,-1.65,-1.63
191005,-1.75,-1.59
191006,-1.06,-0.97
191007,-1.06,-1.04
191008,-1.02,-0.91
191009,-1.21,-1.13
191010,-1.76,-1.70
191011,-1.67,-1.54
191012,-1.85,-1.84
191101,-1.72,-1.75
191102,-1.92,-1.91
191103,-1.80,-1.83
191104,-1.53,-1.51
191105,-2.20,-2.04
191106,-2.37,-2.28
191107,0.01,0.03
191108,0.40,0.51
191109,0.11,0.19
191110,0.30,0.36
191111,1.17,1.30
191112,0.98,0.99
191201,0.81,0.78
191202,0.62,0.63
191203,1.90,1.87
191204,1.75,1.77
191205,1.85,2.01
191206,-0.86,-0.77
191207,-1.13,-1.11
191208,-0.81,-0.70
191209,-1.18,-1.10
191210,-1.86,-1.80
191211,-2.04,-1.91
191212,0.49,0.50
191301,0.37,0.34
191302,0.27,0.28
191303,0.29,0.26
191304,0.95,0.97
191305,-0.30,-0.14
191306,-0.82,-0.73
191307,-0.98,-0.96
191308,-1.09,-0.98
191309,-1.11,-1.03
191310,1.29,1.35
191311,-0.54,-0.41
191312,-0.40,-0.39
191401,-0.45,-0.48
191402,0.02,0.03
191403,0.10,0.07
191404,0.52,0.54
191405,-0.41,-0.25
191406,-1.07,-0.98
191407,-0.66,-0.64
191408,-0.88,-0.77
191409,-1.68,-1.60
191410,-1.97,-1.91
191411,-2.43,-2.30
191412,0.02,0.03
191501,1.80,1.77
191502,2.07,2.08
191503,-1.27,-1.30
191504,-1.99,-1.97
191505,-2.08,-1.92
191506,-2.32,-2.23
191507,0.31,0.33
191508,1.22,1.33
191509,-0.33,-0.25
191510,-0.24,-0.18
