South Carolina, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.43,1.40
189502,1.23,1.17
189503,1.47,1.47
189504,2.16,2.26
189505,2.42,2.59
189506,-0.32,-0.35
189507,-0.69,-0.73
189508,-0.35,-0.36
189509,-1.33,-1.31
189510,-1.83,-1.91
189511,-1.91,-1.97
189512,-2.08,-2.19
189601,-2.08,-2.11
189602,-1.18,-1.24
189603,-1.64,-1.64
189604,-2.39,-2.29
189605,-2.95,-2.78
189606,-2.54,-2.57
189607,-1.41,-1.45
189608,-1.90,-1.91
189609,-2.10,-2.08
189610,-2.42,-2.50
189611,-2.03,-2.09
189612,-1.79,-1.90
189701,-1.97,-2.00
189702,1.25,1.19
189703,-0.01,-0.01
189704,0.00,0.10
189705,-0.33,-0.16
189706,-0.19,-0.22
189707,-0.16,-0.20
189708,-0.36,-0.37
189709,-0.75,-0.73
189710,-0.71,-0.79
189711,-0.98,-1.04
189712,-1.41,-1.52
189801,-2.03,-2.06
189802,-2.74,-2.80
189803,-2.97,-2.97
189804,-1.94,-1.84
189805,-2.76,-2.59
189806,-2.96,-2.99
189807,0.50,0.46
189808,1.66,1.65
189809,1.67,1.69
189810,1.92,1.84
189811,2.73,2.67
189812,2.34,2.23
189901,2.45,2.42
189902,3.46,3.40
189903,-0.14,-0.14
189904,-0.20,-0.10
189905,-1.01,-0.84
189906,-1.51,-1.54
189907,-2.10,-2.14
189908,-2.14,-2.15
189909,-2.53,-2.51
189910,-1.82,-1.90
189911,-1.74,-1.80
189912,-1.86,-1.97
190001,-2.04,-2.07
190002,0.73,0.67
190003,0.74,0.74
190004,1.49,1.59
190005,0.88,1.05
190006,1.93,1.90
190007,-0.21,-0.25
190008,-1.37,-1.38
190009,-2.02,-2.00
190010,-1.98,-2.06
190011,-0.03,-0.09
190012,0.62,0.51
190101,0.57,0.54
190102,0.39,0.33
190103,0.39,0.39
190104,1.30,1.40
190105,2.35,2.52
190106,3.02,2.99
190107,2.43,2.39
190108,3.44,3.43
190109,3.56,3.58
190110,2.80,2.72
190111,2.20,2.14
190112,2.72,2.61
190201,1.90,1.87
190202,2.50,2.44
190203,-0.04,-0.04
190204,-0.32,-0.22
190205,-0.90,-0.73
190206,-1.04,-1.07
190207,-1.70,-1.74
190208,-1.70,-1.71
190209,-1.67,-1.65
190210,0.39,0.31
190211,0.53,0.47
190212,0.93,0.82
190301,0.98,0.95
190302,1.84,1.78
190303,1.99,1.99
190304,1.65,1.75
190305,1.34,1.51
190306,2.68,2.65
190307,-0.51,-0.55
190308,-0.11,-0.12
190309,-0.14,-0.12
190310,-0.14,-0.22
190311,-0.45,-0.51
190312,-0.83,-0.94
190401,-0.83,-0.86
190402,-0.63,-0.69
190403,-0.92,-0.92
190404,-1.43,-1.33
190405,-1.84,-1.67
190406,-2.14,-2.17
190407,-1.98,-2.02
190408,-0.85,-0.86
190409,-1.10,-1.08
190410,-1.52,-1.60
190411,-1.31,-1.37
190412,-1.40,-1.51
190501,-1.74,-1.77
190502,-0.92,-0.98
190503,-1.60,-1.60
190504,-1.24,-1.14
190505,-0.61,-0.44
190506,-1.36,-1.39
190507,-1.14,-1.18
190508,-0.94,-0.95
190509,-1.69,-1.67
190510,-1.98,-2.06
190511,-2.48,-2.54
190512,0.93,0.82
190601,1.58,1.55
190602,-0.29,-0.35
190603,0.37,0.37
190604,-0.74,-0.64
190605,-0.84,-0.67
190606,1.22,1.19
190607,2.29,2.25
190608,2.53,2.52
190609,2.57,2.59
190610,2.89,2.81
190611,-0.42,-0.48
190612,-0.38,-0.49
190701,-1.52,-1.55
190702,-1.47,-1.53
190703,-2.47,-2.47
190704,0.57,0.67
190705,0.84,1.01
190706,1.52,1.49
190707,1.36,1.32
190708,1.34,1.33
190709,1.72,1.74
190710,1.08,1.00
190711,1.55,1.49
190712,2.48,2.37
190801,2.53,2.50
190802,2.95,2.89
190803,2.43,2.43
190804,2.39,2.49
190805,1.79,1.96
190806,1.86,1.83
190807,1.84,1.80
190808,3.18,3.17
190809,2.88,2.90
190810,3.26,3.18
190811,2.66,2.60
190812,2.34,2.23
190901,1.30,1.27
190902,1.27,1.21
190903,1.28,1.28
190904,0.99,1.09
190905,1.36,1.53
190906,2.07,2.04
190907,2.16,2.12
190908,2.06,2.05
190909,2.07,2.09
190910,-0.05,-0.13
190911,-0.64,-0.70
190912,-0.73,-0.84
191001,-0.83,-0.86
191002,-0.37,-0.43
191003,-1.43,-1.43
