California, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.23,2.28
189502,1.72,1.80
189503,1.35,1.40
189504,1.03,1.10
189505,1.41,1.39
189506,1.36,1.26
189507,1.23,1.04
189508,1.10,0.95
189509,1.56,1.39
189510,-0.50,-0.56
189511,-0.85,-0.84
189512,-1.22,-1.09
189601,1.25,1.30
189602,-1.00,-0.92
189603,0.29,0.34
189604,1.75,1.82
189605,2.52,2.50
189606,2.93,2.83
189607,2.89,2.70
189608,2.99,2.84
189609,2.77,2.60
189610,2.62,2.56
189611,3.00,3.01
189612,2.70,2.83
189701,2.29,2.34
189702,3.00,3.08
189703,3.48,3.53
189704,-0.59,-0.52
189705,-1.00,-1.02
189706,-1.18,-1.28
189707,-1.35,-1.54
189708,-1.30,-1.45
189709,-1.20,-1.37
189710,-0.53,-0.59
189711,-0.79,-0.78
189712,-1.21,-1.08
189801,-2.13,-2.08
189802,-2.33,-2.25
189803,-2.89,-2.84
189804,-3.28,-3.21
189805,-2.41,-2.43
189806,-2.00,-2.10
189807,-1.81,-2.00
189808,-1.72,-1.87
189809,-1.34,-1.51
189810,-1.53,-1.59
189811,-1.87,-1.86
189812,-2.56,-2.43
189901,-2.35,-2.30
189902,-3.08,-3.00
189903,0.99,1.04
189904,0.39,0.46
189905,0.60,0.58
189906,0.86,0.76
189907,0.85,0.66
189908,0.82,0.67
189909,0.42,0.25
189910,1.91,1.85
189911,2.44,2.45
189912,2.30,2.43
190001,-0.28,-0.23
190002,-0.98,-0.90
190003,-1.39,-1.34
190004,0.34,0.41
190005,0.90,0.88
190006,1.33,1.23
190007,1.40,1.21
190008,1.15,1.00
190009,0.97,0.80
190010,1.74,1.68
190011,2.39,2.40
190012,1.55,1.68
190101,1.99,2.04
190102,2.47,2.55
190103,1.38,1.43
190104,1.65,1.72
190105,1.83,1.81
190106,1.91,1.81
190107,1.82,1.63
190108,1.72,1.57
190109,2.28,2.11
190110,2.14,2.08
190111,-0.14,-0.13
190112,-0.92,-0.79
190201,-2.02,-1.97
190202,1.18,1.26
190203,1.23,1.28
190204,1.40,1.47
190205,1.53,1.51
190206,1.71,1.61
190207,1.67,1.48
190208,1.49,1.34
190209,0.96,0.79
190210,1.23,1.17
190211,1.68,1.69
190212,1.41,1.54
190301,1.73,1.78
190302,1.14,1.22
190303,2.01,2.06
190304,-0.19,-0.12
190305,-0.45,-0.47
190306,-0.53,-0.63
190307,-0.70,-0.89
190308,-0.76,-0.91
190309,-0.85,-1.02
190310,-1.28,-1.34
190311,0.88,0.89
190312,-0.68,-0.55
190401,-1.36,-1.31
190402,1.50,1.58
190403,2.98,3.03
190404,2.98,3.05
190405,2.40,2.38
190406,2.01,1.91
190407,1.72,1.53
190408,1.76,1.61
190409,2.59,2.42
190410,3.03,2.97
190411,2.11,2.12
190412,1.62,1.75
190501,1.21,1.26
190502,1.17,1.25
190503,1.91,1.96
190504,1.35,1.42
190505,2.09,2.07
190506,2.26,2.16
190507,2.34,2.15
190508,-0.05,-0.20
190509,-0.18,-0.35
190510,-0.79,-0.85
190511,-0.89,-0.88
190512,-1.60,-1.47
190601,0.69,0.74
190602,0.78,0.86
190603,2.71,2.76
190604,2.53,2.60
190605,3.78,3.76
190606,4.51,4.41
190607,5.77,5.58
190608,5.40,5.25
190609,4.70,4.53
190610,3.47,3.41
190611,2.81,2.82
190612,3.69,3.82
190701,4.53,4.58
190702,4.05,4.13
190703,6.10,6.15
190704,5.15,5.22
190705,4.65,4.63
190706,4.68,4.58
190707,4.59,4.40
190708,4.27,4.12
190709,-0.18,-0.35
190710,0.27,0.21
190711,-0.94,-0.93
190712,-0.66,-0.53
190801,-0.70,-0.65
190802,-0.41,-0.33
190803,-1.20,-1.15
190804,-1.64,-1.57
190805,0.49,0.47
190806,0.61,0.51
190807,0.92,0.73
190808,0.88,0.73
190809,1.11,0.94
190810,1.14,1.08
190811,-0.43,-0.42
190812,-1.06,-0.93
190901,2.79,2.84
190902,3.59,3.67
190903,0.03,0.08
190904,-0.78,-0.71
190905,-1.14,-1.16
190906,-1.41,-1.51
190907,-1.53,-1.72
