Tennessee, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.40,0.58
189502,-0.98,-0.77
189503,-0.82,-0.67
189504,-1.01,-0.99
189505,-1.31,-1.30
189506,-1.65,-1.87
189507,-0.96,-1.09
189508,-0.83,-1.03
189509,-1.30,-1.44
189510,-1.45,-1.54
189511,-1.82,-1.72
189512,-1.92,-1.91
189601,-2.40,-2.22
189602,-2.13,-1.92
189603,-1.46,-1.31
189604,-1.89,-1.87
189605,-2.19,-2.18
189606,0.45,0.23
189607,1.47,1.34
189608,-0.55,-0.75
189609,-0.42,-0.56
189610,-0.83,-0.92
189611,-0.14,-0.04
189612,-1.09,-1.08
189701,-1.28,-1.10
189702,0.13,0.34
189703,1.98,2.13
189704,2.50,2.52
189705,-0.38,-0.37
189706,-0.72,-0.94
189707,-0.65,-0.78
189708,-0.95,-1.15
189709,-2.17,-2.31
189710,-2.75,-2.84
189711,-3.13,-3.03
189712,-2.78,-2.77
189801,-1.41,-1.23
189802,-2.35,-2.14
189803,-2.44,-2.29
189804,-2.03,-2.01
189805,-2.43,-2.42
189806,-2.47,-2.69
189807,0.37,0.24
189808,0.51,0.31
189809,0.69,0.55
189810,1.26,1.17
189811,-0.05,0.05
189812,-0.60,-0.59
189901,0.29,0.47
189902,0.99,1.20
189903,1.92,2.07
189904,-0.30,-0.28
189905,-0.79,-0.78
189906,-1.33,-1.55
189907,-1.31,-1.44
189908,-1.81,-2.01
189909,-2.43,-2.57
189910,-2.51,-2.60
189911,-3.24,-3.14
189912,-3.07,-3.06
190001,-3.28,-3.10
190002,-2.70,-2.49
190003,-2.90,-2.75
190004,-2.50,-2.48
190005,-2.85,-2.84
190006,2.45,2.23
190007,0.05,-0.08
190008,-0.62,-0.82
190009,-0.91,-1.05
190010,-0.61,-0.70
190011,-0.05,0.05
190012,-0.52,-0.51
190101,-0.73,-0.55
190102,-1.49,-1.28
190103,-1.71,-1.56
190104,-1.12,-1.10
190105,-1.18,-1.17
190106,-1.40,-1.62
190107,-2.58,-2.71
190108,2.29,2.09
190109,2.62,2.48
190110,-0.26,-0.35
190111,-0.81,-0.71
190112,0.71,0.72
190201,0.73,0.91
190202,0.31,0.52
190203,0.87,1.02
190204,-0.54,-0.52
190205,-1.25,-1.24
190206,-1.15,-1.37
190207,-2.17,-2.30
190208,-2.34,-2.54
190209,0.63,0.49
190210,0.28,0.19
190211,0.07,0.17
190212,0.53,0.54
190301,-0.53,-0.35
190302,1.12,1.33
190303,0.91,1.06
190304,0.97,0.99
190305,0.91,0.92
190306,1.31,1.09
190307,-0.12,-0.25
190308,-0.04,-0.24
190309,-1.02,-1.16
190310,-1.34,-1.43
190311,-1.40,-1.30
190312,-1.58,-1.57
190401,-1.85,-1.67
190402,-2.42,-2.21
190403,-1.93,-1.78
190404,-1.97,-1.95
190405,-1.93,-1.92
190406,-1.76,-1.98
190407,-1.74,-1.87
190408,-1.71,-1.91
190409,-2.15,-2.29
190410,-2.83,-2.92
190411,-3.24,-3.14
190412,-2.76,-2.75
190501,-2.81,-2.63
190502,-2.56,-2.35
190503,-2.85,-2.70
190504,-2.95,-2.93
190505,0.32,0.33
190506,1.18,0.96
190507,1.16,1.03
190508,1.56,1.36
190509,1.16,1.02
190510,1.99,1.90
190511,-0.56,-0.46
190512,-0.33,-0.32
190601,-0.47,-0.29
190602,-1.48,-1.27
190603,-1.20,-1.05
190604,-1.92,-1.90
190605,-2.13,-2.12
190606,-2.08,-2.30
190607,1.30,1.17
190608,1.70,1.50
190609,2.76,2.62
190610,2.99,2.90
190611,3.67,3.77
190612,3.46,3.47
190701,-0.76,-0.58
190702,-0.88,-0.67
190703,-1.40,-1.25
190704,0.28,0.30
190705,1.00,1.01
190706,1.18,0.96
190707,1.01,0.88
190708,0.83,0.63
190709,1.20,1.06
190710,0.95,0.86
190711,1.14,1.24
190712,-0.22,-0.21
190801,-0.57,-0.39
190802,-0.34,-0.13
190803,-0.81,-0.66
190804,-0.62,-0.60
190805,-0.81,-0.80
190806,-0.51,-0.73
190807,-0.44,-0.57
190808,-0.03,-0.23
190809,-0.49,-0.63
190810,-0.99,-1.08
190811,-1.36,-1.26
190812,-1.50,-1.49
190901,-1.92,-1.74
190902,0.74,0.95
190903,0.77,0.92
190904,1.03,1.05
190905,1.52,1.53
190906,2.10,1.88
190907,2.28,2.15
190908,-0.24,-0.44
190909,-0.05,-0.19
190910,-0.16,-0.25
190911,-1.02,-0.92
190912,-1.28,-1.27
191001,-1.37,-1.19
191002,-1.33,-1.12
191003,-2.91,-2.76
191004,-0.04,-0.02
191005,0.42,0.43
191006,1.09,0.87
191007,2.01,1.88
191008,-0.14,-0.34
191009,-0.43,-0.57
191010,-0.13,-0.22
191011,-0.88,-0.78
191012,-0.99,-0.98
191101,-1.24,-1.06
191102,-1.40,-1.19
191103,-2.04,-1.89
191104,1.57,1.59
191105,-1.00,-0.99
191106,-1.32,-1.54
191107,-1.34,-1.47
191108,-0.80,-1.00
191109,-1.25,-1.39
191110,-1.23,-1.32
191111,0.02,0.12
191112,1.10,1.11
191201,-0.35,-0.17
191202,-0.42,-0.21
191203,0.80,0.95
191204,2.58,2.60
191205,2.14,2.15
191206,2.25,2.03
191207,2.50,2.37
191208,2.78,2.58
191209,2.51,2.37
191210,1.90,1.81
191211,0.91,1.01
191212,0.91,0.92
191301,2.30,2.48
191302,2.19,2.40
191303,2.58,2.73
191304,-0.49,-0.47
191305,-0.63,-0.62
191306,-1.11,-1.33
191307,-1.66,-1.79
191308,-2.29,-2.49
191309,-2.20,-2.34
191310,-1.94,-2.03
191311,-2.87,-2.77
191312,-3.37,-3.36
191401,-3.98,-3.80
191402,-3.82,-3.61
191403,-3.59,-3.44
191404,-3.33,-3.31
191405,-3.77,-3.76
191406,-4.26,-4.48
191407,-4.36,-4.49
191408,-3.31,-3.51
191409,-3.28,-3.42
191410,-2.88,-2.97
191411,-3.45,-3.35
191412,-2.56,-2.55
191501,-2.15,-1.97
191502,-2.36,-2.15
191503,-2.71,-2.56
191504,-3.78,-3.76
191505,-3.45,-3.44
191506,0.02,-0.20
191507,0.12,-0.01
191508,1.83,1.63
191509,1.91,1.77
191510,2.07,1.98
191511,2.71,2.81
191512,3.16,3.17
191601,3.45,3.63
191602,2.53,2.74
191603,1.57,1.72
191604,0.86,0.88
191605,0.88,0.89
191606,1.69,1.47
191607,2.54,2.41
191608,2.74,2.54
191609,2.34,2.20
191610,2.15,2.06
191611,1.29,1.39
191612,1.15,1.16
191701,1.47,1.65
191702,0.91,1.12
191703,2.29,2.44
191704,1.94,1.96
191705,1.68,1.69
191706,2.01,1.79
191707,2.87,2.74
191708,3.04,2.84
191709,2.82,2.68
191710,2.78,2.69
191711,-0.75,-0.65
191712,-1.43,-1.42
191801,-0.63,-0.45
191802,-1.42,-1.21
191803,-2.70,-2.55
191804,-1.92,-1.90
191805,-2.03,-2.02
191806,-1.69,-1.91
191807,-1.71,-1.84
191808,-2.03,-2.23
191809,0.27,0.13
191810,1.06,0.97
191811,-0.34,-0.24
191812,-0.51,-0.50
191901,-0.32,-0.14
191902,-0.78,-0.57
191903,0.63,0.78
191904,0.12,0.14
191905,0.86,0.87
191906,-0.01,-0.23
191907,-0.74,-0.87
191908,-0.21,-0.41
191909,-1.03,-1.17
191910,1.39,1.30
191911,2.18,2.28
191912,1.72,1.73
192001,1.95,2.13
192002,1.40,1.61
192003,1.35,1.50
192004,2.67,2.69
192005,2.37,2.38
192006,2.61,2.39
192007,2.39,2.26
192008,3.88,3.68
192009,3.81,3.67
192010,-0.49,-0.58
192011,-0.68,-0.58
192012,-0.47,-0.46
192101,-0.94,-0.76
192102,-0.68,-0.47
192103,-0.99,-0.84
192104,-0.57,-0.55
192105,-1.18,-1.17
192106,-1.62,-1.84
192107,-1.62,-1.75
192108,0.66,0.46
192109,0.64,0.50
192110,0.30,0.21
192111,0.62,0.72
192112,-0.63,-0.62
192201,-0.76,-0.58
192202,-0.88,-0.67
192203,1.25,1.40
192204,1.33,1.35
192205,1.25,1.26
192206,1.23,1.01
192207,1.59,1.46
192208,-0.03,-0.23
192209,-0.73,-0.87
192210,-1.28,-1.37
192211,-1.92,-1.82
192212,0.55,0.56
192301,0.75,0.93
192302,0.69,0.90
192303,1.40,1.55
192304,1.66,1.68
192305,2.30,2.31
192306,2.22,2.00
192307,1.93,1.80
192308,2.80,2.60
192309,-0.10,-0.24
192310,-0.35,-0.44
192311,-0.57,-0.47
192312,0.20,0.21
192401,0.47,0.65
192402,-0.18,0.03
192403,-0.72,-0.57
192404,0.13,0.15
192405,0.75,0.76
192406,-0.17,-0.39
192407,-0.45,-0.58
192408,-0.90,-1.10
192409,-0.34,-0.48
192410,-1.33,-1.42
192411,-2.28,-2.18
192412,-1.77,-1.76
192501,-1.99,-1.81
192502,-1.96,-1.75
192503,-2.78,-2.63
192504,-3.16,-3.14
192505,-3.50,-3.49
192506,-3.82,-4.04
192507,-4.10,-4.23
192508,-4.76,-4.96
192509,-5.24,-5.38
192510,-2.82,-2.91
192511,-2.06,-1.96
192512,-2.65,-2.64
192601,-2.51,-2.33
192602,-2.99,-2.78
192603,-2.97,-2.82
192604,-3.21,-3.19
192605,-3.46,-3.45
192606,0.33,0.11
192607,-0.39,-0.52
192608,1.60,1.40
192609,0.97,0.83
192610,1.32,1.23
192611,1.71,1.81
192612,3.24,3.25
192701,2.63,2.81
192702,2.07,2.28
192703,2.56,2.71
192704,3.19,3.21
192705,2.99,3.00
192706,3.17,2.95
192707,2.68,2.55
192708,2.71,2.51
192709,-0.43,-0.57
192710,-0.56,-0.65
192711,-0.60,-0.50
192712,-0.40,-0.39
192801,-0.91,-0.73
192802,-1.59,-1.38
192803,-1.69,-1.54
192804,0.71,0.73
192805,0.78,0.79
192806,3.34,3.12
192807,2.69,2.56
192808,3.03,2.83
192809,2.55,2.41
192810,3.08,2.99
192811,2.83,2.93
192812,1.73,1.74
192901,1.57,1.75
192902,1.62,1.83
192903,2.07,2.22
192904,2.01,2.03
192905,2.81,2.82
192906,2.96,2.74
192907,2.79,2.66
192908,2.21,2.01
192909,2.51,2.37
192910,2.68,2.59
192911,3.21,3.31
192912,-0.45,-0.44
193001,-0.28,-0.10
193002,-0.53,-0.32
193003,-0.65,-0.50
193004,-1.75,-1.73
193005,-1.45,-1.44
193006,-2.18,-2.40
193007,-3.26,-3.39
193008,-3.66,-3.86
193009,-3.66,-3.80
193010,-3.49,-3.58
193011,-3.64,-3.54
193012,-3.88,-3.87
193101,-4.33,-4.15
193102,-4.10,-3.89
193103,-4.00,-3.85
193104,-3.84,-3.82
193105,-3.87,-3.86
193106,-4.31,-4.53
193107,-4.23,-4.36
193108,-3.54,-3.74
193109,-4.21,-4.35
193110,-4.51,-4.60
193111,-4.68,-4.58
193112,0.85,0.86
193201,1.60,1.78
193202,1.68,1.89
193203,1.45,1.60
193204,1.47,1.49
193205,0.56,0.57
193206,0.44,0.22
193207,0.30,0.17
193208,0.23,0.03
193209,0.60,0.46
193210,1.57,1.48
193211,1.36,1.46
193212,1.91,1.92
193301,1.21,1.39
193302,1.59,1.80
193303,1.57,1.72
193304,1.32,1.34
193305,1.84,1.85
193306,-0.83,-1.05
193307,-0.39,-0.52
193308,-0.06,-0.26
193309,-0.27,-0.41
193310,-0.87,-0.96
193311,-1.65,-1.55
193312,-1.66,-1.65
193401,-2.06,-1.88
193402,-2.37,-2.16
193403,-1.24,-1.09
193404,-1.92,-1.90
193405,-2.38,-2.37
193406,0.41,0.19
193407,-0.37,-0.50
193408,0.13,-0.07
193409,0.54,0.40
193410,-0.23,-0.32
193411,-0.37,-0.27
193412,-0.83,-0.82
193501,-0.44,-0.26
193502,-0.67,-0.46
193503,0.52,0.67
193504,0.61,0.63
193505,0.65,0.66
193506,1.09,0.87
193507,-0.29,-0.42
193508,-0.67,-0.87
193509,-1.26,-1.40
193510,-1.16,-1.25
193511,-1.09,-0.99
193512,-1.76,-1.75
193601,-1.54,-1.36
193602,-1.82,-1.61
193603,-1.37,-1.22
193604,-1.14,-1.12
193605,-2.20,-2.19
193606,-3.39,-3.61
193607,-2.95,-3.08
193608,-3.74,-3.94
193609,-3.87,-4.01
193610,-3.26,-3.35
193611,-3.31,-3.21
193612,0.38,0.39
193701,2.83,3.01
193702,-0.37,-0.16
193703,-1.27,-1.12
193704,-1.17,-1.15
193705,-0.98,-0.97
193706,-1.04,-1.26
193707,-1.00,-1.13
193708,0.26,0.06
193709,0.07,-0.07
193710,1.09,1.00
193711,-0.40,-0.30
193712,-0.64,-0.63
193801,-0.41,-0.23
193802,-1.22,-1.01
193803,-1.22,-1.07
193804,-0.04,-0.02
193805,0.42,0.43
193806,0.98,0.76
193807,1.56,1.43
193808,1.81,1.61
193809,-0.12,-0.26
193810,-0.96,-1.05
193811,-0.95,-0.85
193812,-1.46,-1.45
193901,0.35,0.53
193902,1.98,2.19
193903,1.54,1.69
193904,1.78,1.80
193905,1.33,1.34
193906,2.04,1.82
193907,-0.15,-0.28
193908,-0.22,-0.42
193909,-1.12,-1.26
193910,-1.91,-2.00
193911,-2.71,-2.61
193912,-3.13,-3.12
194001,-3.63,-3.45
194002,-3.05,-2.84
194003,-2.60,-2.45
194004,-2.21,-2.19
194005,-2.21,-2.20
194006,-1.87,-2.09
194007,-1.75,-1.88
194008,-1.29,-1.49
194009,-1.88,-2.02
194010,-2.18,-2.27
194011,-2.26,-2.16
194012,-2.56,-2.55
194101,-2.92,-2.74
194102,-3.71,-3.50
194103,-4.00,-3.85
194104,-4.01,-3.99
194105,-4.84,-4.83
194106,-4.88,-5.10
194107,-3.74,-3.87
194108,-3.23,-3.43
194109,-4.08,-4.22
194110,-3.83,-3.92
194111,-4.04,-3.94
194112,-4.31,-4.30
194201,-4.13,-3.95
194202,-3.85,-3.64
194203,-3.63,-3.48
194204,-3.97,-3.95
194205,-4.05,-4.04
194206,-3.82,-4.04
194207,-3.57,-3.70
194208,-2.05,-2.25
194209,-1.89,-2.03
194210,-1.63,-1.72
194211,-1.94,-1.84
194212,-0.84,-0.83
194301,-1.59,-1.41
194302,-2.12,-1.91
194303,-1.30,-1.15
194304,-1.35,-1.33
194305,-1.51,-1.50
194306,-1.85,-2.07
194307,-2.09,-2.22
194308,-2.60,-2.80
194309,-1.70,-1.84
194310,-1.93,-2.02
194311,-2.41,-2.31
194312,-2.70,-2.69
194401,-3.08,-2.90
194402,1.44,1.65
194403,1.81,1.96
194404,2.06,2.08
194405,-0.62,-0.61
194406,-1.49,-1.71
194407,-2.53,-2.66
194408,0.05,-0.15
194409,1.10,0.96
194410,0.52,0.43
194411,0.09,0.19
194412,0.53,0.54
194501,0.30,0.48
194502,1.13,1.34
194503,-0.66,-0.51
194504,0.20,0.22
194505,0.70,0.71
194506,1.23,1.01
194507,1.04,0.91
194508,0.86,0.66
194509,0.72,0.58
194510,0.67,0.58
194511,1.53,1.63
194512,1.49,1.50
194601,2.27,2.45
194602,2.38,2.59
194603,-0.28,-0.13
194604,-0.84,-0.82
194605,-0.33,-0.32
194606,-0.52,-0.74
194607,-0.52,-0.65
194608,-0.44,-0.64
194609,-0.34,-0.48
194610,-0.39,-0.48
194611,-0.27,-0.17
194612,-0.52,-0.51
194701,0.86,1.04
194702,-0.87,-0.66
194703,-1.27,-1.12
194704,-1.34,-1.32
194705,-0.91,-0.90
194706,-0.80,-1.02
194707,-0.80,-0.93
194708,-1.00,-1.20
194709,-1.57,-1.71
194710,-1.89,-1.98
194711,-1.78,-1.68
194712,-2.30,-2.29
194801,-2.22,-2.04
194802,1.27,1.48
194803,1.55,1.70
194804,-0.78,-0.76
194805,-1.15,-1.14
194806,-1.33,-1.55
194807,-1.14,-1.27
194808,-1.64,-1.84
194809,-1.65,-1.79
194810,-1.77,-1.86
194811,1.75,1.85
194812,1.91,1.92
194901,2.61,2.79
194902,1.89,2.10
194903,1.80,1.95
194904,1.54,1.56
194905,1.15,1.16
194906,2.08,1.86
194907,2.42,2.29
194908,2.75,2.55
194909,2.31,2.17
194910,3.23,3.14
194911,2.23,2.33
194912,2.17,2.18
195001,3.95,4.13
195002,4.08,4.29
195003,3.88,4.03
195004,2.85,2.87
195005,2.98,2.99
195006,2.99,2.77
195007,3.90,3.77
195008,4.81,4.61
195009,4.97,4.83
195010,4.06,3.97
195011,4.09,4.19
195012,3.24,3.25
195101,3.56,3.74
195102,3.42,3.63
195103,3.26,3.41
195104,3.22,3.24
195105,1.94,1.95
195106,2.42,2.20
195107,2.13,2.00
195108,1.22,1.02
195109,1.38,1.24
195110,0.98,0.89
195111,1.71,1.81
195112,2.67,2.68
195201,2.50,2.68
195202,-0.51,-0.30
195203,0.54,0.69
195204,-0.59,-0.57
195205,-0.93,-0.92
195206,-1.91,-2.13
195207,-3.01,-3.14
195208,-2.77,-2.97
195209,-2.78,-2.92
195210,-3.05,-3.14
195211,-3.20,-3.10
195212,-3.41,-3.40
195301,-3.02,-2.84
195302,-2.40,-2.19
195303,-2.10,-1.95
195304,-1.39,-1.37
195305,-0.82,-0.81
195306,-1.37,-1.59
195307,-1.14,-1.27
195308,-2.07,-2.27
195309,-2.54,-2.68
195310,-3.35,-3.44
195311,-4.14,-4.04
195312,-4.16,-4.15
195401,-2.45,-2.27
195402,-2.68,-2.47
195403,-2.85,-2.70
195404,-2.90,-2.88
195405,-2.56,-2.55
195406,-2.83,-3.05
195407,-3.65,-3.78
195408,-4.11,-4.31
195409,-4.47,-4.61
195410,-4.50,-4.59
195411,-4.90,-4.80
195412,-4.22,-4.21
195501,-4.58,-4.40
195502,0.67,0.88
195503,1.49,1.64
195504,1.65,1.67
195505,1.57,1.58
195506,1.55,1.33
195507,-0.08,-0.21
195508,-0.54,-0.74
195509,-0.91,-1.05
195510,-1.03,-1.12
195511,-1.21,-1.11
195512,-1.77,-1.76
195601,0.03,0.21
195602,1.53,1.74
195603,0.96,1.11
195604,1.50,1.52
195605,-0.54,-0.53
195606,-0.74,-0.96
195607,-0.83,-0.96
195608,-1.11,-1.31
195609,-1.63,-1.77
195610,-1.92,-2.01
195611,-2.52,-2.42
195612,0.10,0.11
195701,1.25,1.43
195702,1.67,1.88
195703,0.70,0.85
195704,0.80,0.82
195705,0.97,0.98
195706,1.67,1.45
195707,1.01,0.88
195708,0.57,0.37
195709,1.57,1.43
195710,1.90,1.81
195711,3.67,3.77
195712,3.48,3.49
195801,-0.57,-0.39
195802,-1.01,-0.80
195803,-1.17,-1.02
195804,0.80,0.82
195805,0.74,0.75
195806,0.41,0.19
195807,0.97,0.84
195808,0.84,0.64
195809,1.13,0.99
195810,-0.57,-0.66
195811,-0.76,-0.66
195812,-1.53,-1.52
195901,-1.40,-1.22
195902,-1.32,-1.11
195903,-1.54,-1.39
195904,-1.60,-1.58
195905,-1.65,-1.64
195906,0.03,-0.19
195907,0.46,0.33
195908,0.75,0.55
195909,0.44,0.30
195910,0.88,0.79
195911,1.00,1.10
195912,1.08,1.09
196001,-0.39,-0.21
196002,-0.61,-0.40
196003,-0.42,-0.27
196004,-1.26,-1.24
196005,-1.45,-1.44
196006,0.55,0.33
196007,0.31,0.18
196008,0.42,0.22
196009,0.60,0.46
196010,0.68,0.59
196011,-0.23,-0.13
196012,-0.52,-0.51
196101,-1.12,-0.94
196102,0.52,0.73
196103,0.81,0.96
196104,0.85,0.87
196105,0.97,0.98
196106,1.56,1.34
196107,1.77,1.64
196108,1.71,1.51
196109,-0.55,-0.69
196110,-0.85,-0.94
196111,0.12,0.22
196112,1.26,1.27
196201,1.77,1.95
196202,2.74,2.95
196203,2.60,2.75
196204,2.69,2.71
196205,-1.03,-1.02
196206,-0.59,-0.81
196207,-0.91,-1.04
196208,-1.40,-1.60
196209,-0.62,-0.76
196210,-0.58,-0.67
196211,-0.61,-0.51
196212,-1.08,-1.07
196301,-1.69,-1.51
196302,-2.09,-1.88
196303,1.06,1.21
196304,0.61,0.63
196305,0.44,0.45
196306,0.43,0.21
196307,0.95,0.82
196308,1.05,0.85
196309,-0.55,-0.69
196310,-1.74,-1.83
196311,-1.92,-1.82
196312,-2.41,-2.40
196401,-2.24,-2.06
196402,-2.11,-1.90
196403,0.75,0.90
196404,1.93,1.95
196405,-0.45,-0.44
196406,-1.10,-1.32
196407,0.12,-0.01
196408,0.83,0.63
196409,0.92,0.78
196410,1.00,0.91
196411,0.74,0.84
196412,1.08,1.09
196501,0.67,0.85
196502,0.68,0.89
196503,1.63,1.78
196504,-0.09,-0.07
196505,-0.47,-0.46
196506,0.18,-0.04
196507,0.42,0.29
196508,-0.37,-0.57
196509,-0.16,-0.30
196510,-0.57,-0.66
196511,-1.21,-1.11
196512,-2.35,-2.34
196601,-2.41,-2.23
196602,-2.03,-1.82
196603,-2.89,-2.74
196604,-2.37,-2.35
196605,-1.95,-1.94
196606,-2.39,-2.61
196607,-2.31,-2.44
196608,0.82,0.62
196609,0.92,0.78
196610,1.24,1.15
196611,-0.11,-0.01
196612,0.16,0.17
196701,-0.75,-0.57
196702,-1.06,-0.85
196703,-1.58,-1.43
196704,-1.97,-1.95
196705,1.16,1.17
196706,1.04,0.82
196707,2.72,2.59
196708,3.20,3.00
196709,3.03,2.89
196710,2.98,2.89
196711,2.90,3.00
196712,3.20,3.21
196801,-0.09,0.09
196802,-1.12,-0.91
196803,-0.83,-0.68
