Texas, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.32,0.46
189502,0.95,1.06
189503,0.56,0.55
189504,0.26,0.18
189505,1.19,1.12
189506,1.94,1.96
189507,3.03,3.03
189508,3.63,3.62
189509,2.28,2.39
189510,2.21,2.20
189511,2.55,2.59
189512,2.35,2.37
189601,2.52,2.66
189602,2.63,2.74
189603,-0.20,-0.21
189604,-0.23,-0.31
189605,-1.59,-1.66
189606,-2.68,-2.66
189607,-3.15,-3.15
189608,-3.71,-3.72
189609,-2.71,-2.60
189610,-1.87,-1.88
189611,-2.01,-1.97
189612,-2.06,-2.04
189701,-1.78,-1.64
189702,-2.33,-2.22
189703,-1.83,-1.84
189704,-1.77,-1.85
189705,-1.70,-1.77
189706,-1.64,-1.62
189707,-2.08,-2.08
189708,-1.59,-1.60
189709,-1.92,-1.81
189710,-1.99,-2.00
189711,-2.61,-2.57
189712,-2.43,-2.41
189801,-2.41,-2.27
189802,-2.58,-2.47
189803,-2.38,-2.39
189804,-2.22,-2.30
189805,-2.70,-2.77
189806,-1.97,-1.95
189807,-1.87,-1.87
189808,-1.64,-1.65
189809,-2.06,-1.95
189810,-2.40,-2.41
189811,-2.21,-2.17
189812,-1.85,-1.83
189901,-1.79,-1.65
189902,-1.98,-1.87
189903,-2.38,-2.39
189904,-2.23,-2.31
189905,-2.89,-2.96
189906,-1.85,-1.83
189907,-1.43,-1.43
189908,-2.28,-2.29
189909,-2.63,-2.52
189910,-2.43,-2.44
189911,0.15,0.19
189912,0.63,0.65
190001,0.91,1.05
190002,0.68,0.79
190003,1.31,1.30
190004,2.77,2.69
190005,3.11,3.04
190006,2.93,2.95
190007,3.85,3.85
190008,4.06,4.05
190009,4.37,4.48
190010,4.12,4.11
190011,-0.36,-0.32
190012,-0.81,-0.79
190101,-1.54,-1.40
190102,-1.66,-1.55
190103,-1.84,-1.85
190104,-2.04,-2.12
190105,-2.42,-2.49
190106,-3.59,-3.57
190107,-3.71,-3.71
190108,-4.08,-4.09
190109,-3.75,-3.64
190110,-3.91,-3.92
190111,-3.92,-3.88
190112,-4.05,-4.03
190201,-4.32,-4.18
190202,-4.56,-4.45
190203,-4.36,-4.37
190204,-4.67,-4.75
190205,-4.83,-4.90
190206,-5.69,-5.67
190207,-4.40,-4.40
190208,-5.13,-5.14
190209,0.31,0.42
190210,0.07,0.06
190211,1.29,1.33
190212,1.28,1.30
190301,1.49,1.63
190302,2.95,3.06
190303,3.09,3.08
190304,2.39,2.31
190305,1.93,1.86
190306,2.52,2.54
190307,3.47,3.47
190308,3.43,3.42
190309,-0.31,-0.20
190310,-0.48,-0.49
190311,-1.31,-1.27
190312,-1.74,-1.72
190401,-2.27,-2.13
190402,-2.82,-2.71
190403,-3.54,-3.55
190404,-3.62,-3.70
190405,-3.36,-3.43
190406,-2.97,-2.95
190407,-2.99,-2.99
190408,-2.95,-2.96
190409,-2.25,-2.14
190410,-2.09,-2.10
190411,-2.43,-2.39
190412,-2.43,-2.41
190501,-2.51,-2.37
190502,0.31,0.42
190503,1.22,1.21
190504,2.56,2.48
190505,2.65,2.58
190506,3.14,3.16
190507,4.03,4.03
190508,3.50,3.49
190509,2.77,2.88
190510,2.35,2.34
190511,2.57,2.61
190512,2.91,2.93
190601,2.39,2.53
190602,2.16,2.27
190603,1.99,1.98
190604,2.04,1.96
190605,1.64,1.57
190606,1.43,1.45
190607,2.39,2.39
190608,3.20,3.19
190609,3.03,3.14
190610,2.83,2.82
190611,2.66,2.70
190612,-0.20,-0.18
190701,-0.82,-0.68
190702,-1.39,-1.28
190703,-2.21,-2.22
190704,-2.29,-2.37
190705,-1.32,-1.39
190706,-1.74,-1.72
190707,-1.45,-1.45
190708,-1.87,-1.88
190709,-2.58,-2.47
190710,0.98,0.97
190711,2.38,2.42
190712,2.40,2.42
190801,2.15,2.29
190802,2.29,2.40
190803,1.64,1.63
190804,2.46,2.38
190805,3.01,2.94
190806,2.88,2.90
190807,3.51,3.51
190808,3.82,3.81
190809,-0.12,-0.01
190810,-0.42,-0.43
190811,-0.35,-0.31
190812,-0.87,-0.85
190901,-1.81,-1.67
190902,-2.51,-2.40
190903,-2.82,-2.83
190904,-3.34,-3.42
190905,-3.68,-3.75
190906,-3.94,-3.92
190907,-4.06,-4.06
190908,-3.97,-3.98
190909,-4.47,-4.36
190910,-4.26,-4.27
190911,-3.90,-3.86
190912,-3.36,-3.34
191001,-3.58,-3.44
191002,-3.54,-3.43
191003,-3.74,-3.75
191004,-3.53,-3.61
191005,-3.41,-3.48
191006,-3.83,-3.81
191007,-4.27,-4.27
191008,-4.65,-4.66
191009,-5.03,-4.92
191010,-4.87,-4.88
191011,-5.16,-5.12
191012,-4.87,-4.85
191101,-5.39,-5.25
191102,-4.71,-4.60
191103,-4.40,-4.41
191104,-3.25,-3.33
191105,-3.59,-3.66
191106,-4.49,-4.47
191107,-3.84,-3.84
191108,-3.82,-3.83
191109,-4.42,-4.31
191110,-4.28,-4.29
191111,-3.99,-3.95
191112,1.17,1.19
191201,0.73,0.87
191202,0.91,1.02
191203,1.43,1.42
191204,1.57,1.49
191205,-0.49,-0.56
191206,-0.11,-0.09
191207,-0.37,-0.37
191208,-0.46,-0.47
191209,-1.07,-0.96
191210,-1.09,-1.10
191211,-1.36,-1.32
191212,-0.94,-0.92
191301,-1.07,-0.93
191302,-0.86,-0.75
191303,-0.63,-0.64
191304,-0.57,-0.65
191305,-1.08,-1.15
191306,-0.55,-0.53
191307,-0.90,-0.90
191308,-1.48,-1.49
191309,1.24,1.35
191310,1.89,1.88
191311,2.63,2.67
191312,3.87,3.89
191401,3.10,3.24
191402,2.87,2.98
191403,2.91,2.90
191404,3.39,3.31
191405,4.80,4.73
191406,4.49,4.51
191407,4.12,4.12
191408,5.59,5.58
191409,4.26,4.37
191410,4.22,4.21
191411,4.45,4.49
191412,4.86,4.88
191501,4.73,4.87
191502,4.52,4.63
191503,4.49,4.48
191504,5.54,5.46
191505,4.70,4.63
191506,4.22,4.24
191507,3.80,3.80
191508,4.86,4.85
191509,4.54,4.65
191510,-0.44,-0.45
191511,-1.11,-1.07
191512,-1.32,-1.30
191601,-1.23,-1.09
191602,-2.12,-2.01
191603,-2.86,-2.87
191604,-2.32,-2.40
191605,-2.62,-2.69
191606,-3.33,-3.31
191607,-3.36,-3.36
191608,-2.86,-2.87
191609,-3.10,-2.99
191610,-2.96,-2.97
191611,-2.94,-2.90
191612,-3.36,-3.34
191701,-3.73,-3.59
191702,-4.16,-4.05
191703,-4.35,-4.36
191704,-4.45,-4.53
191705,-4.56,-4.63
191706,-5.69,-5.67
191707,-5.88,-5.88
191708,-5.74,-5.75
191709,-5.68,-5.57
191710,-5.88,-5.89
191711,-5.93,-5.89
191712,-6.19,-6.17
191801,-6.14,-6.00
191802,-6.31,-6.20
191803,-6.35,-6.36
191804,-5.66,-5.74
191805,-6.05,-6.12
191806,-6.54,-6.52
191807,-7.06,-7.06
191808,-7.04,-7.05
191809,-6.67,-6.56
191810,0.28,0.27
191811,1.31,1.35
191812,2.00,2.02
191901,2.57,2.71
191902,2.57,2.68
191903,3.04,3.03
191904,2.98,2.90
191905,3.45,3.38
191906,4.61,4.63
191907,6.13,6.13
191908,7.00,6.99
191909,7.31,7.42
191910,8.22,8.21
191911,7.96,8.00
191912,7.31,7.33
192001,7.82,7.96
192002,6.70,6.81
192003,5.86,5.85
192004,4.88,4.80
192005,4.87,4.80
192006,4.81,4.83
192007,4.69,4.69
192008,6.14,6.13
192009,5.08,5.19
192010,4.76,4.75
192011,4.66,4.70
192012,-0.23,-0.21
192101,-0.47,-0.33
192102,-0.66,-0.55
192103,-0.57,-0.58
192104,-0.18,-0.26
192105,-0.78,-0.85
192106,1.13,1.15
192107,1.26,1.26
192108,-0.64,-0.65
