Utah, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.61,1.30
189502,2.62,2.26
189503,3.17,2.81
189504,-0.52,-0.96
189505,-0.21,-0.65
189506,-0.22,-0.66
189507,-0.15,-0.57
189508,-0.62,-1.00
189509,-0.82,-1.25
189510,-1.11,-1.57
189511,0.50,0.24
189512,-0.25,-0.47
189601,-0.44,-0.75
189602,-0.86,-1.22
189603,-1.14,-1.50
189604,-0.98,-1.42
189605,-0.69,-1.13
189606,-1.27,-1.71
189607,0.52,0.10
189608,0.73,0.35
189609,1.11,0.68
189610,-0.36,-0.82
189611,-0.14,-0.40
189612,-0.70,-0.92
189701,0.33,0.02
189702,1.50,1.14
189703,2.50,2.14
189704,-0.10,-0.54
189705,-0.35,-0.79
189706,-0.57,-1.01
189707,-0.74,-1.16
189708,-1.19,-1.57
189709,0.90,0.47
189710,1.86,1.40
189711,1.62,1.36
189712,1.77,1.55
189801,1.84,1.53
189802,1.44,1.08
189803,1.65,1.29
189804,1.18,0.74
189805,2.71,2.27
189806,3.05,2.61
189807,3.09,2.67
189808,-0.29,-0.67
189809,-0.87,-1.30
189810,-0.92,-1.38
189811,-0.83,-1.09
189812,-1.22,-1.44
189901,-1.30,-1.61
189902,0.24,-0.12
189903,0.82,0.46
189904,0.39,-0.05
189905,0.28,-0.16
189906,0.40,-0.04
189907,0.42,0.00
189908,0.79,0.41
189909,-0.79,-1.22
189910,-0.35,-0.81
189911,-0.76,-1.02
189912,-0.71,-0.93
190001,-1.24,-1.55
190002,-1.74,-2.10
190003,-2.92,-3.28
190004,-1.39,-1.83
190005,-1.98,-2.42
190006,-2.65,-3.09
190007,-3.47,-3.89
190008,-3.91,-4.29
190009,-2.94,-3.37
190010,-2.77,-3.23
190011,-2.31,-2.57
190012,-2.89,-3.11
190101,-3.08,-3.39
190102,-2.11,-2.47
190103,-2.10,-2.46
190104,-2.07,-2.51
190105,-1.94,-2.38
190106,-2.12,-2.56
190107,-2.54,-2.96
190108,-1.88,-2.26
190109,-2.34,-2.77
190110,-2.21,-2.67
190111,-2.80,-3.06
190112,-2.86,-3.08
190201,-3.12,-3.43
190202,-3.35,-3.71
190203,-3.04,-3.40
190204,-2.99,-3.43
190205,-3.24,-3.68
190206,-3.81,-4.25
190207,-4.11,-4.53
190208,-4.29,-4.67
190209,-4.05,-4.48
190210,-4.33,-4.79
190211,0.80,0.54
190212,0.71,0.49
190301,0.96,0.65
190302,1.11,0.75
190303,1.26,0.90
190304,1.30,0.86
190305,1.85,1.41
190306,2.21,1.77
190307,2.33,1.91
190308,-0.51,-0.89
190309,-0.17,-0.60
190310,-0.31,-0.77
190311,-0.73,-0.99
190312,-1.40,-1.62
190401,-1.75,-2.06
190402,-1.63,-1.99
190403,0.60,0.24
190404,0.17,-0.27
190405,0.59,0.15
190406,-0.08,-0.52
190407,-0.25,-0.67
190408,-0.04,-0.42
190409,-0.36,-0.79
190410,-0.39,-0.85
190411,-1.29,-1.55
190412,-1.66,-1.88
190501,-1.76,-2.07
190502,0.67,0.31
190503,1.01,0.65
190504,1.09,0.65
190505,1.82,1.38
190506,1.74,1.30
190507,1.53,1.11
190508,1.09,0.71
190509,2.07,1.64
190510,1.49,1.03
190511,2.02,1.76
190512,1.49,1.27
190601,1.74,1.43
190602,1.57,1.21
190603,3.08,2.72
190604,3.81,3.37
190605,4.38,3.94
190606,4.47,4.03
190607,4.77,4.35
190608,5.32,4.94
190609,5.44,5.01
190610,4.43,3.97
190611,5.13,4.87
190612,5.46,5.24
190701,6.33,6.02
190702,6.50,6.14
190703,6.21,5.85
190704,5.40,4.96
190705,5.78,5.34
190706,6.10,5.66
190707,6.19,5.77
190708,6.54,6.16
190709,5.67,5.24
190710,5.26,4.80
190711,4.22,3.96
190712,3.98,3.76
190801,3.43,3.12
190802,3.37,3.01
190803,2.84,2.48
190804,2.04,1.60
190805,2.63,2.19
190806,2.78,2.34
190807,2.85,2.43
190808,3.06,2.68
190809,3.64,3.21
190810,4.41,3.95
190811,3.91,3.65
190812,3.85,3.63
190901,5.06,4.75
190902,5.98,5.62
190903,5.75,5.39
190904,5.47,5.03
190905,4.98,4.54
190906,4.64,4.20
190907,4.49,4.07
190908,5.78,5.40
190909,5.95,5.52
190910,4.65,4.19
190911,5.07,4.81
190912,5.49,5.27
191001,5.72,5.41
191002,5.71,5.35
191003,4.71,4.35
191004,3.42,2.98
191005,2.50,2.06
191006,1.79,1.35
191007,1.48,1.06
191008,1.00,0.62
191009,1.17,0.74
191010,1.29,0.83
191011,0.73,0.47
191012,0.74,0.52
191101,1.83,1.52
191102,2.32,1.96
191103,2.30,1.94
191104,1.92,1.48
191105,1.49,1.05
191106,1.74,1.30
191107,2.07,1.65
191108,1.37,0.99
191109,2.38,1.95
191110,2.41,1.95
191111,-0.11,-0.37
191112,-0.36,-0.58
191201,-0.87,-1.18
191202,-1.20,-1.56
191203,1.18,0.82
191204,1.56,1.12
191205,1.52,1.08
191206,1.77,1.33
191207,2.29,1.87
191208,2.16,1.78
191209,1.88,1.45
