Vermont, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-0.30,0.12
189502,-1.01,-0.62
189503,-1.68,-1.36
189504,-1.17,-0.84
189505,-1.43,-1.08
189506,-1.79,-1.46
189507,-1.86,-1.60
189508,-1.51,-1.31
189509,-1.77,-1.64
189510,-2.24,-2.05
189511,0.85,1.26
189512,1.02,1.48
189601,0.06,0.48
189602,0.93,1.32
189603,2.16,2.48
189604,-1.20,-0.87
189605,-2.00,-1.65
189606,-2.36,-2.03
189607,-2.39,-2.13
189608,-2.63,-2.43
189609,-2.14,-2.01
189610,-1.89,-1.70
189611,-1.83,-1.42
189612,-2.78,-2.32
189701,-2.32,-1.90
189702,-2.45,-2.06
189703,0.15,0.47
189704,0.16,0.49
189705,0.70,1.05
189706,1.63,1.96
189707,4.16,4.42
189708,3.70,3.90
189709,2.76,2.89
189710,1.63,1.82
189711,2.48,2.89
189712,2.66,3.12
189801,3.48,3.90
189802,4.06,4.45
189803,-0.91,-0.59
189804,-1.03,-0.70
189805,-1.11,-0.76
189806,-0.95,-0.62
189807,-1.66,-1.40
189808,-1.21,-1.01
189809,-1.02,-0.89
189810,-0.48,-0.29
189811,-0.49,-0.08
189812,-0.97,-0.51
189901,-1.00,-0.58
189902,0.09,0.48
189903,1.49,1.81
189904,-0.99,-0.66
189905,-1.72,-1.37
189906,-2.25,-1.92
189907,-1.85,-1.59
189908,-2.52,-2.32
189909,-2.14,-2.01
189910,-2.53,-2.34
189911,-3.00,-2.59
189912,-2.98,-2.52
190001,0.52,0.94
190002,1.98,2.37
190003,2.55,2.87
190004,-1.07,-0.74
190005,-1.18,-0.83
190006,-1.40,-1.07
190007,-1.32,-1.06
190008,-1.13,-0.93
190009,-1.64,-1.51
190010,-2.06,-1.87
190011,-0.77,-0.36
190012,-1.30,-0.84
190101,-1.42,-1.00
190102,-2.22,-1.83
190103,-1.47,-1.15
190104,-1.20,-0.87
190105,-0.68,-0.33
190106,-1.06,-0.73
190107,-0.91,-0.65
190108,-0.84,-0.64
190109,-1.19,-1.06
190110,-1.55,-1.36
190111,-2.08,-1.67
190112,0.78,1.24
190201,0.40,0.82
190202,0.21,0.60
190203,0.80,1.12
190204,0.73,1.06
190205,0.85,1.20
190206,1.32,1.65
190207,1.80,2.06
190208,2.13,2.33
190209,2.33,2.46
190210,2.82,3.01
190211,1.41,1.82
190212,1.54,2.00
190301,1.50,1.92
190302,1.92,2.31
190303,2.44,2.76
190304,-0.90,-0.57
190305,-2.26,-1.91
190306,0.81,1.14
190307,1.26,1.52
190308,1.65,1.85
190309,-0.90,-0.77
190310,-0.92,-0.73
190311,-1.74,-1.33
190312,-1.85,-1.39
190401,-1.77,-1.35
190402,-2.15,-1.76
190403,-2.42,-2.10
190404,-1.84,-1.51
190405,-2.06,-1.71
190406,-2.31,-1.98
190407,-2.13,-1.87
190408,0.44,0.64
190409,1.80,1.93
190410,1.79,1.98
190411,-1.14,-0.73
190412,-1.76,-1.30
190501,-1.83,-1.41
190502,-2.44,-2.05
190503,-2.47,-2.15
190504,-2.81,-2.48
190505,-3.05,-2.70
190506,0.50,0.83
190507,1.46,1.72
190508,1.75,1.95
190509,2.66,2.79
190510,-0.37,-0.18
190511,-0.81,-0.40
190512,-0.89,-0.43
190601,-1.25,-0.83
190602,-1.17,-0.78
190603,-1.26,-0.94
190604,-1.94,-1.61
190605,-1.28,-0.93
190606,-0.72,-0.39
190607,-0.71,-0.45
190608,-1.04,-0.84
190609,-1.61,-1.48
190610,-1.65,-1.46
190611,-1.91,-1.50
190612,-1.84,-1.38
190701,-2.04,-1.62
190702,-2.67,-2.28
190703,-2.84,-2.52
190704,0.32,0.65
190705,0.14,0.49
190706,0.31,0.64
190707,0.47,0.73
190708,-0.79,-0.59
190709,1.57,1.70
190710,2.39,2.58
190711,2.07,2.48
190712,2.02,2.48
190801,1.43,1.85
190802,2.03,2.42
190803,-0.37,-0.05
190804,0.04,0.37
190805,0.33,0.68
190806,-0.63,-0.30
190807,-1.35,-1.09
190808,-1.58,-1.38
190809,-2.95,-2.82
190810,-3.89,-3.70
190811,-5.17,-4.76
190812,-5.46,-5.00
190901,-4.17,-3.75
190902,-2.58,-2.19
190903,-2.84,-2.52
190904,-2.50,-2.17
190905,-1.78,-1.43
190906,-1.86,-1.53
190907,-2.18,-1.92
190908,-2.26,-2.06
190909,-1.95,-1.82
190910,-2.54,-2.35
190911,-3.19,-2.78
190912,-3.51,-3.05
191001,-3.04,-2.62
191002,-1.79,-1.40
191003,-2.62,-2.30
191004,-2.96,-2.63
191005,-2.33,-1.98
191006,-2.17,-1.84
191007,-2.72,-2.46
191008,-2.51,-2.31
191009,-2.12,-1.99
191010,-2.36,-2.17
191011,-2.56,-2.15
191012,-2.81,-2.35
191101,-3.00,-2.58
191102,-2.69,-2.30
191103,-2.31,-1.99
191104,-3.09,-2.76
191105,-4.01,-3.66
191106,-4.13,-3.80
191107,-4.07,-3.81
191108,-3.90,-3.70
191109,-3.55,-3.42
191110,-2.94,-2.75
191111,-3.09,-2.68
191112,-2.85,-2.39
191201,-2.88,-2.46
191202,-2.85,-2.46
191203,0.27,0.59
191204,0.22,0.55
191205,1.24,1.59
191206,-0.74,-0.41
191207,-1.32,-1.06
191208,0.26,0.46
191209,0.96,1.09
191210,1.05,1.24
191211,-0.03,0.38
191212,-0.18,0.28
191301,0.31,0.73
191302,-0.56,-0.17
191303,1.76,2.08
191304,-0.87,-0.54
191305,-0.70,-0.35
191306,-1.65,-1.32
191307,-1.63,-1.37
191308,-2.59,-2.39
191309,-3.09,-2.96
191310,-2.72,-2.53
191311,-3.33,-2.92
191312,-3.13,-2.67
191401,-3.22,-2.80
191402,-3.39,-3.00
191403,-2.92,-2.60
191404,-1.49,-1.16
191405,-2.43,-2.08
191406,-2.64,-2.31
191407,-2.46,-2.20
191408,-1.80,-1.60
191409,-2.26,-2.13
191410,-3.09,-2.90
191411,-3.62,-3.21
191412,-3.86,-3.40
191501,-3.44,-3.02
191502,-2.19,-1.80
191503,-3.35,-3.03
191504,-4.15,-3.82
191505,-4.26,-3.91
191506,-4.34,-4.01
191507,2.01,2.27
191508,2.75,2.95
191509,-0.45,-0.32
191510,-0.76,-0.57
191511,-1.24,-0.83
191512,-0.85,-0.39
191601,-1.12,-0.70
191602,-0.69,-0.30
191603,-0.95,-0.63
191604,-1.19,-0.86
191605,-1.06,-0.71
191606,-0.31,0.02
191607,-0.62,-0.36
191608,-1.21,-1.01
191609,-0.60,-0.47
191610,-0.98,-0.79
191611,-0.91,-0.50
191612,-1.20,-0.74
191701,-1.04,-0.62
191702,-1.44,-1.05
191703,-1.54,-1.22
191704,-1.80,-1.47
191705,0.08,0.43
191706,0.81,1.14
191707,0.39,0.65
191708,0.84,1.04
191709,0.22,0.35
191710,1.58,1.77
191711,-1.17,-0.76
191712,-1.48,-1.02
191801,-1.53,-1.11
191802,-1.45,-1.06
191803,-1.82,-1.50
191804,-2.38,-2.05
191805,-2.43,-2.08
191806,-1.91,-1.58
191807,-2.17,-1.91
191808,-2.30,-2.10
191809,1.58,1.71
191810,2.34,2.53
191811,-0.24,0.17
191812,-0.56,-0.10
191901,-0.94,-0.52
191902,-1.34,-0.95
191903,-0.81,-0.49
191904,-1.06,-0.73
191905,-0.66,-0.31
191906,-1.16,-0.83
191907,-1.78,-1.52
191908,-1.75,-1.55
191909,0.10,0.23
191910,0.55,0.74
191911,0.74,1.15
191912,-0.88,-0.42
192001,-1.24,-0.82
192002,0.41,0.80
192003,0.69,1.01
192004,2.36,2.69
192005,1.48,1.83
192006,1.07,1.40
192007,1.44,1.70
192008,0.89,1.09
192009,1.31,1.44
192010,0.85,1.04
192011,1.21,1.62
192012,2.08,2.54
192101,-0.79,-0.37
192102,-1.03,-0.64
192103,-0.95,-0.63
192104,-1.37,-1.04
192105,-2.15,-1.80
192106,-2.55,-2.22
192107,-2.71,-2.45
192108,-2.95,-2.75
192109,-3.70,-3.57
192110,-3.85,-3.66
192111,-2.89,-2.48
192112,-3.23,-2.77
192201,-3.28,-2.86
192202,0.17,0.56
192203,0.72,1.04
192204,1.04,1.37
192205,0.57,0.92
192206,2.75,3.08
192207,-0.75,-0.49
192208,-0.39,-0.19
192209,-1.16,-1.03
192210,-1.72,-1.53
192211,-2.72,-2.31
192212,-2.85,-2.39
192301,-1.90,-1.48
192302,-2.36,-1.97
192303,-2.46,-2.14
192304,-1.54,-1.21
192305,-1.76,-1.41
192306,-2.06,-1.73
192307,-2.03,-1.77
192308,-2.63,-2.43
192309,-2.74,-2.61
192310,-2.36,-2.17
192311,-1.84,-1.43
192312,-1.70,-1.24
192401,-1.17,-0.75
192402,-1.28,-0.89
192403,-2.16,-1.84
192404,0.90,1.23
192405,0.95,1.30
192406,0.41,0.74
192407,0.29,0.55
192408,0.23,0.43
192409,1.53,1.66
192410,-0.96,-0.77
192411,-1.10,-0.69
192412,-1.73,-1.27
192501,0.13,0.55
192502,0.34,0.73
192503,0.77,1.09
192504,-0.61,-0.28
192505,-0.78,-0.43
192506,0.63,0.96
192507,1.33,1.59
