Virginia, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.04,1.14
189502,-0.59,-0.58
189503,-0.56,-0.51
189504,0.90,0.89
189505,0.96,1.07
189506,0.75,0.72
189507,0.96,1.00
189508,-0.59,-0.49
189509,-1.75,-1.66
189510,-2.18,-2.07
189511,-2.47,-2.27
189512,-2.69,-2.60
189601,-2.93,-2.83
189602,0.71,0.72
189603,1.00,1.05
189604,-0.77,-0.78
189605,-1.10,-0.99
189606,0.60,0.57
189607,1.44,1.48
189608,0.62,0.72
189609,1.34,1.43
189610,-0.57,-0.46
189611,-0.26,-0.06
189612,-0.96,-0.87
189701,-1.31,-1.21
189702,1.47,1.48
189703,1.38,1.43
189704,-0.36,-0.37
189705,0.43,0.54
189706,-0.11,-0.14
189707,-0.08,-0.04
189708,-0.64,-0.54
189709,-1.65,-1.56
189710,-1.89,-1.78
189711,-2.11,-1.91
189712,-1.92,-1.83
189801,-1.74,-1.64
189802,-2.50,-2.49
189803,-2.31,-2.26
189804,0.26,0.25
189805,0.80,0.91
189806,0.36,0.33
189807,0.38,0.42
189808,0.73,0.83
189809,0.49,0.58
189810,1.33,1.44
189811,1.33,1.53
189812,1.32,1.41
189901,1.29,1.39
189902,2.68,2.69
189903,3.59,3.64
189904,-0.50,-0.51
189905,-0.53,-0.42
189906,-0.68,-0.71
189907,-0.85,-0.81
189908,-1.21,-1.11
189909,-0.90,-0.81
189910,-0.94,-0.83
189911,-1.57,-1.37
189912,-1.97,-1.88
190001,-1.84,-1.74
190002,-0.85,-0.84
190003,-0.68,-0.63
190004,-0.83,-0.84
190005,-1.28,-1.17
190006,-0.66,-0.69
190007,-1.08,-1.04
190008,-2.12,-2.02
190009,-2.38,-2.29
190010,-2.66,-2.55
190011,-2.68,-2.48
190012,-2.72,-2.63
190101,-2.53,-2.43
190102,-3.21,-3.20
190103,-2.98,-2.93
190104,1.66,1.65
190105,2.32,2.43
190106,2.44,2.41
190107,2.21,2.25
190108,3.91,4.01
190109,4.05,4.14
190110,3.11,3.22
190111,2.52,2.72
190112,3.97,4.06
190201,3.55,3.65
190202,4.14,4.15
190203,-0.22,-0.17
190204,-0.50,-0.51
190205,-1.15,-1.04
190206,-0.77,-0.80
190207,-1.40,-1.36
190208,-1.91,-1.81
190209,-0.04,0.05
190210,0.29,0.40
190211,0.31,0.51
190212,0.75,0.84
190301,1.01,1.11
190302,1.78,1.79
190303,2.25,2.30
190304,2.57,2.56
190305,1.56,1.67
190306,2.31,2.28
190307,-0.25,-0.21
190308,0.29,0.39
190309,-0.38,-0.29
190310,-0.34,-0.23
190311,-0.65,-0.45
190312,-0.94,-0.85
190401,-1.16,-1.06
190402,-1.23,-1.22
190403,-1.31,-1.26
190404,-1.42,-1.43
190405,-1.49,-1.38
190406,0.72,0.69
190407,0.97,1.01
190408,-0.06,0.04
190409,-0.20,-0.11
190410,-0.86,-0.75
190411,-1.20,-1.00
190412,-0.95,-0.86
190501,-0.90,-0.80
190502,-0.64,-0.63
190503,-1.24,-1.19
190504,-1.21,-1.22
190505,0.19,0.30
190506,0.40,0.37
190507,1.63,1.67
190508,1.97,2.07
190509,1.80,1.89
190510,1.57,1.68
190511,0.77,0.97
190512,1.68,1.77
190601,1.69,1.79
190602,1.03,1.04
190603,1.52,1.57
190604,-0.56,-0.57
190605,-0.90,-0.79
190606,0.42,0.39
190607,1.08,1.12
190608,2.87,2.97
190609,2.29,2.38
190610,3.25,3.36
190611,2.76,2.96
190612,2.50,2.59
190701,1.54,1.64
190702,1.22,1.23
190703,0.61,0.66
190704,1.25,1.24
190705,1.15,1.26
190706,2.57,2.54
190707,1.93,1.97
190708,1.76,1.86
190709,2.17,2.26
190710,1.60,1.71
190711,2.33,2.53
190712,2.59,2.68
190801,2.72,2.82
190802,2.91,2.92
190803,2.35,2.40
190804,1.66,1.65
190805,1.77,1.88
190806,2.05,2.02
190807,2.18,2.22
190808,3.13,3.23
190809,2.84,2.93
190810,3.00,3.11
190811,2.31,2.51
190812,2.43,2.52
190901,1.78,1.88
190902,1.48,1.49
190903,1.27,1.32
190904,1.20,1.19
190905,1.31,1.42
190906,2.21,2.18
190907,-0.30,-0.26
190908,-0.24,-0.14
190909,-0.37,-0.28
