Washington, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.43,0.52
189502,-0.82,-0.66
189503,-1.26,-1.06
189504,0.05,0.26
189505,0.65,0.62
189506,-0.58,-0.60
189507,-0.79,-0.81
189508,-1.27,-1.25
189509,-0.69,-0.65
189510,-1.95,-1.84
189511,-2.59,-2.56
189512,0.83,0.96
189601,1.47,1.56
189602,1.20,1.36
189603,0.58,0.78
189604,1.34,1.55
189605,1.99,1.96
189606,-0.23,-0.25
189607,-0.55,-0.57
189608,-0.66,-0.64
189609,-0.81,-0.77
189610,-1.13,-1.02
189611,1.62,1.65
189612,1.75,1.88
189701,1.41,1.50
189702,1.70,1.86
189703,2.13,2.33
189704,1.29,1.50
189705,0.76,0.73
189706,1.11,1.09
189707,1.55,1.53
189708,1.28,1.30
189709,1.21,1.25
189710,0.71,0.82
189711,2.29,2.32
189712,3.08,3.21
189801,-0.84,-0.75
189802,-0.30,-0.14
189803,-0.98,-0.78
189804,-1.36,-1.15
189805,-1.33,-1.36
189806,-0.83,-0.85
189807,-0.69,-0.71
189808,-0.96,-0.94
189809,-0.60,-0.56
189810,-0.90,-0.79
189811,-0.81,-0.78
189812,-1.43,-1.30
189901,0.67,0.76
189902,1.64,1.80
189903,1.02,1.22
189904,1.62,1.83
189905,1.98,1.95
189906,1.72,1.70
189907,1.52,1.50
189908,2.37,2.39
189909,2.01,2.05
189910,2.24,2.35
189911,2.99,3.02
189912,2.38,2.51
190001,1.80,1.89
190002,1.59,1.75
190003,1.47,1.67
190004,1.03,1.24
190005,1.40,1.37
190006,1.58,1.56
190007,1.62,1.60
190008,1.73,1.75
190009,1.72,1.76
190010,2.48,2.59
190011,2.00,2.03
190012,2.00,2.13
190101,2.00,2.09
190102,2.34,2.50
190103,1.59,1.79
190104,2.06,2.27
190105,1.90,1.87
190106,1.97,1.95
190107,1.94,1.92
190108,1.34,1.36
190109,1.82,1.86
190110,-0.74,-0.63
190111,-0.21,-0.18
190112,-1.02,-0.89
190201,-1.46,-1.37
190202,1.51,1.67
190203,1.47,1.67
190204,1.99,2.20
190205,2.15,2.12
190206,1.64,1.62
190207,2.22,2.20
190208,2.01,2.03
190209,1.89,1.93
190210,1.06,1.17
190211,1.90,1.93
190212,2.51,2.64
190301,2.57,2.66
190302,1.38,1.54
190303,1.37,1.57
190304,1.17,1.38
190305,0.99,0.96
190306,1.06,1.04
190307,1.17,1.15
190308,1.33,1.35
190309,1.98,2.02
190310,1.65,1.76
190311,2.69,2.72
190312,1.51,1.64
190401,1.21,1.30
190402,2.46,2.62
190403,3.88,4.08
190404,-0.07,0.14
190405,-0.68,-0.71
190406,-0.77,-0.79
190407,-0.80,-0.82
190408,-1.17,-1.15
190409,-1.73,-1.69
190410,-2.11,-2.00
190411,-1.83,-1.80
190412,-1.72,-1.59
190501,-1.81,-1.72
190502,-2.31,-2.15
190503,-2.11,-1.91
190504,-2.69,-2.48
190505,0.60,0.57
190506,1.49,1.47
190507,1.68,1.66
190508,1.58,1.60
190509,2.07,2.11
190510,2.75,2.86
190511,-0.69,-0.66
190512,-1.02,-0.89
190601,-1.13,-1.04
190602,-1.11,-0.95
190603,-1.61,-1.41
190604,-2.51,-2.30
190605,0.69,0.66
190606,1.27,1.25
190607,1.25,1.23
190608,0.71,0.73
190609,1.23,1.27
190610,1.36,1.47
190611,2.41,2.44
190612,2.42,2.55
190701,-0.18,-0.09
190702,0.22,0.38
190703,-0.30,-0.10
190704,-0.05,0.16
