West Virginia, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.78,0.57
189502,-0.88,-1.17
189503,-1.07,-1.35
189504,-1.03,-1.27
189505,-1.54,-1.78
189506,-1.96,-2.17
189507,-1.65,-1.80
189508,-2.37,-2.49
189509,-3.18,-3.29
189510,-3.73,-3.76
189511,-4.15,-4.08
189512,-4.16,-4.24
189601,-4.47,-4.68
189602,-3.82,-4.11
189603,-2.90,-3.18
189604,-3.76,-4.00
189605,-4.45,-4.69
189606,0.23,0.02
189607,1.71,1.56
189608,0.97,0.85
189609,1.57,1.46
189610,1.34,1.31
189611,1.63,1.70
189612,-0.72,-0.80
189701,-1.34,-1.55
189702,1.71,1.42
189703,1.24,0.96
189704,0.82,0.58
189705,1.12,0.88
189706,1.14,0.93
189707,1.50,1.35
189708,-0.36,-0.48
189709,-1.18,-1.29
189710,-2.36,-2.39
189711,0.21,0.28
189712,0.54,0.46
189801,1.37,1.16
189802,-0.58,-0.87
189803,0.40,0.12
189804,0.38,0.14
189805,0.46,0.22
189806,-0.51,-0.72
189807,-0.89,-1.04
189808,1.22,1.10
189809,0.87,0.76
189810,1.64,1.61
189811,1.68,1.75
189812,1.39,1.31
189901,1.51,1.30
189902,2.16,1.87
189903,2.78,2.50
189904,-0.73,-0.97
189905,-0.53,-0.77
189906,-0.44,-0.65
189907,-0.82,-0.97
189908,-1.41,-1.53
189909,-1.00,-1.11
189910,-1.74,-1.77
189911,-2.60,-2.53
189912,-2.78,-2.86
190001,-2.92,-3.13
190002,-1.91,-2.20
190003,-1.50,-1.78
190004,-2.31,-2.55
190005,-2.64,-2.88
190006,-2.15,-2.36
190007,-2.26,-2.41
190008,-2.92,-3.04
190009,-3.61,-3.72
190010,-3.93,-3.96
190011,-3.24,-3.17
190012,-3.25,-3.33
190101,-3.19,-3.40
190102,-3.87,-4.16
190103,-3.66,-3.94
190104,1.95,1.71
190105,2.47,2.23
190106,3.31,3.10
190107,1.97,1.82
190108,2.25,2.13
190109,2.25,2.14
190110,1.10,1.07
190111,0.70,0.77
190112,2.17,2.09
190201,2.22,2.01
190202,2.34,2.05
190203,2.40,2.12
190204,-0.08,-0.32
190205,-0.64,-0.88
190206,-0.19,-0.40
190207,-0.83,-0.98
190208,-1.55,-1.67
190209,-1.63,-1.74
190210,-1.90,-1.93
190211,-2.15,-2.08
190212,0.85,0.77
190301,0.85,0.64
190302,2.13,1.84
190303,1.83,1.55
190304,2.17,1.93
190305,-0.81,-1.05
190306,-0.12,-0.33
190307,-0.21,-0.36
190308,-0.68,-0.80
190309,-1.43,-1.54
190310,-1.62,-1.65
190311,-1.82,-1.75
190312,-2.14,-2.22
190401,-2.12,-2.33
190402,-2.21,-2.50
190403,-2.00,-2.28
190404,-1.77,-2.01
190405,-1.94,-2.18
190406,-1.39,-1.60
190407,-1.82,-1.97
190408,-2.14,-2.26
190409,-2.74,-2.85
190410,-3.39,-3.42
190411,-4.41,-4.34
190412,-4.31,-4.39
190501,-3.77,-3.98
190502,-3.66,-3.95
190503,-3.40,-3.68
190504,-3.32,-3.56
190505,0.16,-0.08
190506,0.33,0.12
190507,1.04,0.89
190508,1.05,0.93
190509,0.65,0.54
190510,1.45,1.42
190511,1.16,1.23
190512,1.18,1.10
190601,1.34,1.13
190602,0.56,0.27
190603,1.33,1.05
190604,-0.33,-0.57
190605,-0.97,-1.21
190606,0.33,0.12
190607,0.24,0.09
190608,0.72,0.60
190609,0.66,0.55
190610,0.91,0.88
190611,0.84,0.91
190612,1.50,1.42
190701,2.48,2.27
190702,2.19,1.90
190703,1.98,1.70
190704,2.22,1.98
190705,2.05,1.81
190706,3.13,2.92
190707,3.59,3.44
190708,3.84,3.72
190709,4.13,4.02
190710,4.02,3.99
190711,4.33,4.40
190712,4.02,3.94
190801,3.71,3.50
190802,3.81,3.52
190803,4.26,3.98
190804,4.24,4.00
190805,4.52,4.28
190806,-0.36,-0.57
190807,-0.26,-0.41
190808,-0.60,-0.72
190809,-1.63,-1.74
190810,-2.15,-2.18
190811,-3.19,-3.12
190812,-3.17,-3.25
190901,0.01,-0.20
190902,0.31,0.02
190903,0.19,-0.09
190904,0.83,0.59
190905,0.56,0.32
190906,1.19,0.98
190907,0.05,-0.10
190908,-0.33,-0.45
190909,-0.27,-0.38
190910,-0.07,-0.10
190911,-0.85,-0.78
190912,-0.96,-1.04
191001,1.21,1.00
191002,1.34,1.05
191003,-1.76,-2.04
191004,-1.80,-2.04
191005,0.09,-0.15
191006,1.39,1.18
191007,1.58,1.43
191008,-0.76,-0.88
191009,-0.68,-0.79
191010,-1.26,-1.29
191011,-1.63,-1.56
191012,-1.54,-1.62
191101,1.40,1.19
191102,-0.54,-0.83
191103,-0.60,-0.88
191104,0.63,0.39
191105,-1.40,-1.64
191106,-1.39,-1.60
191107,-2.37,-2.52
191108,0.87,0.75
191109,1.07,0.96
191110,2.03,2.00
191111,2.10,2.17
191112,2.03,1.95
191201,1.72,1.51
191202,1.40,1.11
191203,2.37,2.09
191204,2.24,2.00
191205,1.87,1.63
191206,1.91,1.70
191207,2.99,2.84
191208,2.62,2.50
191209,2.65,2.54
191210,1.77,1.74
191211,1.13,1.20
191212,1.02,0.94
191301,2.03,1.82
191302,1.52,1.23
191303,1.60,1.32
191304,1.30,1.06
191305,1.60,1.36
191306,1.16,0.95
191307,1.48,1.33
191308,1.08,0.96
191309,0.85,0.74
191310,1.52,1.49
191311,2.24,2.31
191312,1.77,1.69
191401,1.59,1.38
