Wisconsin, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.35,0.04
189502,-0.29,-0.59
189503,-0.99,-1.23
189504,-1.92,-2.14
189505,-1.40,-1.59
189506,-1.83,-2.02
189507,-1.97,-2.30
189508,-2.60,-2.79
189509,-2.77,-3.01
189510,-3.31,-3.56
189511,-3.77,-3.98
189512,-3.89,-4.07
189601,-3.85,-4.16
189602,-3.91,-4.21
189603,-3.71,-3.95
189604,1.02,0.80
189605,1.24,1.05
189606,-0.31,-0.50
189607,-0.56,-0.89
189608,-1.12,-1.31
189609,0.02,-0.22
189610,0.35,0.10
189611,0.93,0.72
189612,0.69,0.51
189701,1.25,0.94
189702,1.32,1.02
189703,1.78,1.54
189704,-0.22,-0.44
189705,-0.84,-1.03
189706,0.77,0.58
189707,0.88,0.55
189708,-0.35,-0.54
189709,-1.11,-1.35
189710,-1.64,-1.89
189711,-2.19,-2.40
189712,-2.56,-2.74
189801,-2.67,-2.98
189802,-2.07,-2.37
189803,-1.42,-1.66
189804,-1.57,-1.79
189805,-1.71,-1.90
189806,-1.80,-1.99
189807,-2.29,-2.62
189808,-2.50,-2.69
189809,-3.26,-3.50
189810,0.81,0.56
189811,-0.25,-0.46
189812,-0.74,-0.92
189901,-0.70,-1.01
189902,0.12,-0.18
189903,0.45,0.21
189904,0.15,-0.07
189905,0.65,0.46
189906,1.19,1.00
189907,-0.17,-0.50
189908,-0.34,-0.53
189909,-0.69,-0.93
189910,-0.54,-0.79
189911,-1.19,-1.40
189912,0.16,-0.02
190001,0.17,-0.14
190002,0.46,0.16
190003,-0.20,-0.44
190004,-0.46,-0.68
190005,-1.51,-1.70
190006,-2.46,-2.65
190007,2.02,1.69
190008,2.06,1.87
190009,2.83,2.59
190010,4.34,4.09
190011,3.94,3.73
190012,3.40,3.22
190101,2.87,2.56
190102,2.39,2.09
190103,2.97,2.73
190104,-1.11,-1.33
190105,-1.68,-1.87
190106,-1.71,-1.90
190107,-1.42,-1.75
190108,-2.43,-2.62
190109,-2.17,-2.41
190110,-2.05,-2.30
190111,-2.54,-2.75
190112,-2.79,-2.97
190201,-2.81,-3.12
190202,-2.34,-2.64
190203,-2.47,-2.71
190204,-2.52,-2.74
190205,0.73,0.54
190206,0.69,0.50
190207,2.02,1.69
190208,1.31,1.12
190209,1.20,0.96
190210,0.99,0.74
190211,1.33,1.12
190212,2.01,1.83
190301,1.49,1.18
190302,1.40,1.10
190303,1.58,1.34
190304,1.63,1.41
190305,2.45,2.26
190306,1.27,1.08
190307,2.43,2.10
190308,3.72,3.53
190309,4.36,4.12
190310,4.18,3.93
190311,3.60,3.39
190312,3.11,2.93
190401,2.46,2.15
190402,2.31,2.01
190403,2.37,2.13
190404,2.01,1.79
190405,2.34,2.15
190406,2.10,1.91
190407,1.93,1.60
190408,1.54,1.35
190409,1.94,1.70
190410,2.93,2.68
190411,1.99,1.78
190412,2.30,2.12
190501,2.06,1.75
190502,1.90,1.60
190503,1.68,1.44
190504,0.91,0.69
190505,1.76,1.57
190506,2.77,2.58
190507,2.78,2.45
190508,2.98,2.79
190509,2.59,2.35
190510,2.81,2.56
190511,2.87,2.66
190512,2.51,2.33
190601,3.02,2.71
190602,2.57,2.27
190603,2.67,2.43
190604,1.57,1.35
190605,1.98,1.79
190606,2.07,1.88
190607,1.44,1.11
190608,1.35,1.16
190609,0.95,0.71
190610,1.17,0.92
190611,1.73,1.52
190612,1.86,1.68
190701,2.19,1.88
190702,1.70,1.40
190703,1.57,1.33
190704,1.67,1.45
190705,1.52,1.33
190706,1.03,0.84
190707,1.55,1.22
190708,1.78,1.59
190709,2.29,2.05
190710,1.64,1.39
190711,1.34,1.13
190712,1.19,1.01
190801,0.95,0.64
190802,1.25,0.95
190803,1.35,1.11
190804,1.57,1.35
190805,2.22,2.03
190806,2.11,1.92
190807,1.95,1.62
190808,-0.91,-1.10
190809,-1.68,-1.92
190810,-2.18,-2.43
190811,-2.71,-2.92
190812,-3.00,-3.18
190901,-2.98,-3.29
190902,0.32,0.02
190903,0.03,-0.21
190904,1.30,1.08
190905,-0.14,-0.33
190906,-0.45,-0.64
190907,-0.59,-0.92
190908,-0.87,-1.06
190909,-1.07,-1.31
190910,-1.39,-1.64
190911,0.49,0.28
190912,1.07,0.89
191001,1.12,0.81
191002,-0.12,-0.42
191003,-1.60,-1.84
191004,-1.89,-2.11
191005,-1.95,-2.14
191006,-3.35,-3.54
191007,-4.22,-4.55
191008,-4.21,-4.40
191009,-4.22,-4.46
191010,-4.74,-4.99
191011,-5.42,-5.63
191012,-6.08,-6.26
191101,-6.41,-6.72
191102,-5.70,-6.00
191103,-6.00,-6.24
191104,-5.89,-6.11
191105,-5.03,-5.22
191106,-5.08,-5.27
191107,0.17,-0.16
191108,0.19,0.00
191109,0.76,0.52
191110,2.74,2.49
191111,3.11,2.90
191112,3.45,3.27
191201,2.89,2.58
191202,2.33,2.03
191203,1.55,1.31
191204,1.09,0.87
191205,2.02,1.83
191206,0.71,0.52
191207,1.82,1.49
191208,2.91,2.72
191209,2.83,2.59
191210,2.59,2.34
191211,2.08,1.87
191212,2.40,2.22
191301,2.09,1.78
191302,1.92,1.62
191303,2.48,2.24
191304,1.72,1.50
191305,2.71,2.52
191306,1.86,1.67
191307,3.28,2.95
191308,2.39,2.20
191309,2.20,1.96
191310,2.51,2.26
191311,2.18,1.97
191312,1.44,1.26
191401,1.45,1.14
191402,1.08,0.78
191403,0.86,0.62
191404,1.08,0.86
191405,0.82,0.63
191406,2.24,2.05
191407,1.84,1.51
191408,1.81,1.62
191409,1.81,1.57
191410,1.50,1.25
191411,1.05,0.84
191412,0.80,0.62
191501,0.97,0.66
191502,1.70,1.40
191503,-0.66,-0.90
191504,-2.10,-2.32
191505,0.94,0.75
191506,1.13,0.94
191507,1.59,1.26
191508,1.73,1.54
191509,2.36,2.12
191510,2.14,1.89
191511,2.88,2.67
191512,2.44,2.26
191601,3.13,2.82
191602,2.69,2.39
191603,2.62,2.38
191604,2.68,2.46
191605,2.79,2.60
191606,3.77,3.58
191607,-1.26,-1.59
191608,-1.83,-2.02
191609,0.38,0.14
191610,0.81,0.56
191611,0.80,0.59
191612,0.65,0.47
191701,0.92,0.61
191702,0.69,0.39
191703,0.99,0.75
191704,1.09,0.87
191705,0.79,0.60
191706,1.45,1.26
191707,1.05,0.72
191708,0.64,0.45
191709,0.31,0.07
191710,1.24,0.99
191711,0.53,0.32
191712,0.17,-0.01
191801,0.63,0.32
191802,0.67,0.37
191803,0.36,0.12
191804,0.19,-0.03
191805,1.57,1.38
191806,-0.76,-0.95
191807,-1.02,-1.35
191808,-1.16,-1.35
191809,-1.70,-1.94
191810,-1.68,-1.93
191811,-1.77,-1.98
191812,-1.51,-1.69
191901,-1.61,-1.92
191902,0.59,0.29
191903,0.52,0.28
191904,0.93,0.71
191905,0.56,0.37
191906,0.72,0.53
191907,1.06,0.73
191908,-0.34,-0.53
191909,-0.41,-0.65
191910,0.89,0.64
191911,1.73,1.52
191912,1.38,1.20
192001,1.50,1.19
192002,1.06,0.76
192003,1.91,1.67
192004,1.99,1.77
192005,1.47,1.28
192006,2.34,2.15
192007,-0.38,-0.71
192008,-0.83,-1.02
192009,-1.67,-1.91
192010,-2.06,-2.31
192011,-2.11,-2.32
192012,-1.75,-1.93
192101,-1.87,-2.18
192102,-1.85,-2.15
192103,-1.33,-1.57
192104,-0.67,-0.89
192105,-0.77,-0.96
192106,-1.75,-1.94
192107,-1.96,-2.29
192108,-2.09,-2.28
192109,-1.73,-1.97
192110,-1.88,-2.13
192111,-2.21,-2.42
192112,0.24,0.06
192201,0.12,-0.19
192202,1.64,1.34
192203,1.68,1.44
192204,2.08,1.86
192205,-0.32,-0.51
192206,0.07,-0.12
192207,0.39,0.06
192208,-0.98,-1.17
192209,-1.22,-1.46
192210,-2.01,-2.26
192211,-1.77,-1.98
192212,-2.08,-2.26
192301,-1.67,-1.98
192302,-1.69,-1.99
192303,-1.21,-1.45
192304,-1.13,-1.35
192305,-1.63,-1.82
192306,-1.33,-1.52
192307,-1.38,-1.71
192308,-1.68,-1.87
192309,-1.85,-2.09
192310,-2.08,-2.33
192311,-2.88,-3.09
192312,-3.02,-3.20
192401,-3.13,-3.44
192402,-0.03,-0.33
192403,0.32,0.08
192404,1.25,1.03
192405,1.47,1.28
192406,1.58,1.39
192407,1.63,1.30
