Wyoming, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.10,1.61
189502,2.83,2.29
189503,3.87,3.40
189504,3.10,2.44
189505,3.22,2.57
189506,3.62,3.17
189507,3.81,3.34
189508,3.53,3.05
189509,2.94,2.43
189510,2.38,1.84
189511,2.60,2.05
189512,2.56,2.13
189601,2.92,2.43
189602,2.71,2.17
189603,3.54,3.07
189604,3.46,2.80
189605,3.81,3.16
189606,3.17,2.72
189607,3.41,2.94
189608,3.24,2.76
189609,3.59,3.08
189610,2.80,2.26
189611,3.69,3.14
189612,2.91,2.48
189701,2.69,2.20
189702,3.09,2.55
189703,3.97,3.50
189704,-0.14,-0.80
189705,-1.15,-1.80
189706,-1.54,-1.99
189707,-1.74,-2.21
189708,-1.81,-2.29
189709,-2.42,-2.93
189710,-2.23,-2.77
189711,-1.69,-2.24
189712,-1.20,-1.63
189801,-1.09,-1.58
189802,-1.29,-1.83
189803,-1.08,-1.55
189804,-1.69,-2.35
189805,1.42,0.77
189806,-0.26,-0.71
189807,-0.09,-0.56
189808,-0.49,-0.97
189809,-1.15,-1.66
189810,0.36,-0.18
189811,-0.07,-0.62
189812,-0.46,-0.89
189901,0.83,0.34
189902,2.22,1.68
189903,4.23,3.76
189904,3.63,2.97
189905,3.53,2.88
189906,3.74,3.29
189907,4.00,3.53
189908,3.78,3.30
189909,2.82,2.31
189910,3.27,2.73
189911,-0.43,-0.98
189912,-0.33,-0.76
190001,-0.88,-1.37
190002,-0.68,-1.22
190003,-1.11,-1.58
190004,1.40,0.74
190005,-1.07,-1.72
190006,-2.29,-2.74
190007,-3.00,-3.47
190008,-3.63,-4.11
190009,-3.35,-3.86
190010,-3.12,-3.66
190011,-3.05,-3.60
190012,-3.24,-3.67
190101,-3.53,-4.02
190102,-3.24,-3.78
190103,-3.44,-3.91
190104,-3.38,-4.04
190105,-3.15,-3.80
190106,-2.70,-3.15
190107,-2.89,-3.36
190108,-2.77,-3.25
190109,-2.84,-3.35
190110,-2.94,-3.48
190111,-3.28,-3.83
190112,-2.66,-3.09
190201,-3.13,-3.62
190202,-3.20,-3.74
190203,-3.38,-3.85
190204,-3.36,-4.02
190205,-3.59,-4.24
190206,-3.71,-4.16
190207,-3.84,-4.31
190208,-4.36,-4.84
190209,-4.15,-4.66
190210,-4.41,-4.95
190211,-4.27,-4.82
190212,-3.81,-4.24
190301,-3.30,-3.79
190302,-3.03,-3.57
190303,-3.08,-3.55
190304,0.03,-0.63
190305,0.31,-0.34
190306,-0.38,-0.83
190307,0.75,0.28
190308,1.02,0.54
190309,1.58,1.07
190310,-0.45,-0.99
190311,-0.16,-0.71
190312,-0.37,-0.80
190401,-0.62,-1.11
190402,1.04,0.50
190403,2.51,2.04
190404,2.71,2.05
190405,2.89,2.24
190406,2.84,2.39
190407,2.97,2.50
190408,2.78,2.30
190409,-0.57,-1.08
190410,-0.88,-1.42
190411,-1.93,-2.48
190412,-2.19,-2.62
190501,-2.18,-2.67
190502,-2.51,-3.05
190503,-2.87,-3.34
190504,0.04,-0.62
190505,1.01,0.36
190506,1.16,0.71
190507,2.02,1.55
190508,2.25,1.77
190509,2.22,1.71
190510,2.41,1.87
190511,1.98,1.43
190512,1.26,0.83
190601,1.11,0.62
190602,1.14,0.60
190603,2.17,1.70
190604,2.20,1.54
190605,3.06,2.41
190606,2.63,2.18
190607,2.67,2.20
190608,3.66,3.18
190609,3.57,3.06
190610,3.36,2.82
190611,3.04,2.49
190612,2.97,2.54
190701,2.97,2.48
190702,3.05,2.51
190703,3.68,3.21
190704,3.48,2.82
190705,4.05,3.40
190706,3.97,3.52
190707,4.22,3.75
190708,4.23,3.75
190709,4.11,3.60
190710,-0.71,-1.25
190711,-1.12,-1.67
190712,-0.81,-1.24
190801,-1.17,-1.66
190802,-1.37,-1.91
190803,-1.73,-2.20
190804,-2.60,-3.26
190805,2.10,1.45
190806,2.68,2.23
190807,2.90,2.43
190808,3.66,3.18
190809,3.20,2.69
190810,3.83,3.29
190811,3.20,2.65
190812,3.28,2.85
190901,4.34,3.85
190902,4.88,4.34
190903,4.91,4.44
190904,4.66,4.00
190905,4.80,4.15
190906,4.54,4.09
190907,4.59,4.12
190908,4.46,3.98
190909,4.46,3.95
190910,3.44,2.90
190911,3.69,3.14
190912,3.95,3.52
191001,3.74,3.25
191002,3.48,2.94
191003,-1.03,-1.50
191004,-2.21,-2.87
191005,-2.31,-2.96
191006,-3.09,-3.54
191007,-3.78,-4.25
191008,-4.48,-4.96
191009,-4.11,-4.62
191010,-3.66,-4.20
191011,-3.68,-4.23
191012,-3.89,-4.32
191101,-3.28,-3.77
191102,-3.29,-3.83
191103,-4.08,-4.55
191104,-4.30,-4.96
191105,-4.54,-5.19
191106,-4.77,-5.22
191107,-5.28,-5.75
191108,-5.48,-5.96
191109,-5.30,-5.81
191110,0.64,0.10
191111,1.00,0.45
191112,0.82,0.39
191201,0.77,0.28
191202,0.99,0.45
191203,1.83,1.36
191204,2.10,1.44
191205,1.91,1.26
191206,1.47,1.02
191207,2.32,1.85
191208,3.36,2.88
191209,4.44,3.93
191210,5.10,4.56
191211,4.55,4.00
191212,4.17,3.74
191301,4.26,3.77
191302,4.43,3.89
191303,4.96,4.49
191304,3.91,3.25
191305,3.05,2.40
191306,2.79,2.34
191307,3.05,2.58
191308,2.46,1.98
191309,2.24,1.73
191310,2.59,2.05
191311,2.18,1.63
191312,2.01,1.58
191401,2.37,1.88
191402,2.27,1.73
191403,1.82,1.35
191404,2.50,1.84
191405,-0.43,-1.08
191406,-0.66,-1.11
191407,-0.84,-1.31
191408,-1.31,-1.79
191409,-1.65,-2.16
191410,-1.25,-1.79
191411,-2.17,-2.72
191412,-2.79,-3.22
191501,-3.14,-3.63
191502,-3.51,-4.05
191503,-4.06,-4.53
191504,-4.80,-5.46
191505,0.39,-0.26
191506,1.11,0.66
191507,1.55,1.08
191508,1.82,1.34
191509,3.51,3.00
191510,2.76,2.22
191511,2.69,2.14
191512,2.77,2.34
191601,3.26,2.77
191602,3.68,3.14
191603,3.97,3.50
191604,3.24,2.58
191605,2.91,2.26
191606,2.18,1.73
191607,1.76,1.29
191608,1.50,1.02
191609,0.68,0.17
191610,1.42,0.88
191611,1.08,0.53
191612,1.36,0.93
191701,1.25,0.76
191702,1.68,1.14
191703,2.06,1.59
191704,3.04,2.38
191705,4.05,3.40
191706,-0.39,-0.84
191707,-0.73,-1.20
191708,-1.07,-1.55
191709,-1.22,-1.73
191710,-1.32,-1.86
191711,-2.07,-2.62
191712,-1.87,-2.30
191801,-1.45,-1.94
191802,-1.31,-1.85
191803,-1.60,-2.07
191804,0.78,0.12
191805,0.66,0.01
191806,0.32,-0.13
191807,0.79,0.32
191808,0.66,0.18
191809,1.58,1.07
191810,-0.24,-0.78
191811,-0.44,-0.99
191812,-0.75,-1.18
191901,-1.52,-2.01
191902,-1.73,-2.27
191903,-2.61,-3.08
191904,-2.93,-3.59
191905,-4.01,-4.66
191906,-5.26,-5.71
191907,-6.20,-6.67
191908,-6.98,-7.46
191909,-6.49,-7.00
191910,1.62,1.08
