Colorado, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.64,1.27
189502,2.80,2.41
189503,2.79,2.43
189504,1.91,1.51
189505,2.25,1.90
189506,2.62,2.35
189507,3.88,3.45
189508,3.92,3.46
189509,3.03,2.56
189510,2.80,2.35
189511,3.15,2.72
189512,3.12,2.77
189601,3.12,2.75
189602,3.07,2.68
189603,3.36,3.00
189604,-0.39,-0.79
189605,-1.00,-1.35
189606,-1.39,-1.66
189607,-1.03,-1.46
189608,-1.46,-1.92
189609,0.62,0.15
189610,0.52,0.07
189611,0.45,0.02
189612,0.05,-0.30
189701,0.05,-0.32
189702,0.77,0.38
189703,1.75,1.39
189704,1.34,0.94
189705,1.12,0.77
189706,1.41,1.14
189707,1.57,1.14
189708,1.95,1.49
189709,1.91,1.44
189710,2.69,2.24
189711,2.12,1.69
189712,2.38,2.03
189801,2.25,1.88
189802,1.75,1.36
189803,1.48,1.12
189804,1.11,0.71
189805,2.44,2.09
189806,2.49,2.22
189807,2.92,2.49
189808,2.45,1.99
189809,1.85,1.38
189810,1.50,1.05
189811,1.59,1.16
189812,1.55,1.20
189901,1.45,1.08
189902,1.87,1.48
189903,2.17,1.81
189904,-0.61,-1.01
189905,-1.46,-1.81
189906,-1.58,-1.85
189907,-0.99,-1.42
189908,-1.00,-1.46
189909,-1.52,-1.99
189910,-0.77,-1.22
189911,-0.94,-1.37
189912,-0.56,-0.91
190001,-1.09,-1.46
190002,-1.13,-1.52
190003,-2.06,-2.42
190004,2.64,2.24
190005,-0.52,-0.87
190006,-0.56,-0.83
190007,-1.36,-1.79
190008,-2.40,-2.86
190009,-2.30,-2.77
190010,-2.70,-3.15
190011,-2.90,-3.33
190012,-3.51,-3.86
190101,-3.87,-4.24
190102,-4.35,-4.74
190103,-4.33,-4.69
190104,-3.53,-3.93
190105,-3.04,-3.39
190106,-2.82,-3.09
190107,-3.41,-3.84
190108,-2.81,-3.27
190109,-3.19,-3.66
190110,-3.45,-3.90
190111,-4.10,-4.53
190112,-3.91,-4.26
190201,-4.27,-4.64
190202,-4.71,-5.10
190203,-4.88,-5.24
190204,-5.40,-5.80
190205,-4.92,-5.27
190206,-5.24,-5.51
190207,-5.53,-5.96
190208,-5.17,-5.63
190209,-4.26,-4.73
190210,-4.11,-4.56
190211,-3.77,-4.20
190212,-3.19,-3.54
190301,-3.35,-3.72
190302,0.65,0.26
190303,0.90,0.54
190304,1.01,0.61
190305,0.64,0.29
190306,1.80,1.53
190307,1.92,1.49
190308,-0.06,-0.52
190309,0.14,-0.33
190310,-0.16,-0.61
190311,-0.90,-1.33
190312,-1.60,-1.95
190401,-2.40,-2.77
190402,-3.19,-3.58
190403,-3.76,-4.12
190404,-4.15,-4.55
190405,0.09,-0.26
190406,0.46,0.19
190407,0.34,-0.09
190408,0.65,0.19
190409,1.19,0.72
190410,-0.15,-0.60
190411,-1.16,-1.59
190412,-1.50,-1.85
190501,-1.46,-1.83
190502,0.41,0.02
190503,0.95,0.59
190504,2.66,2.26
190505,3.05,2.70
190506,2.63,2.36
190507,2.74,2.31
190508,-0.37,-0.83
190509,-0.33,-0.80
190510,-0.23,-0.68
190511,-0.10,-0.53
190512,-0.79,-1.14
190601,-0.84,-1.21
190602,-1.45,-1.84
190603,1.08,0.72
190604,2.41,2.01
190605,2.32,1.97
190606,1.88,1.61
190607,2.23,1.80
190608,2.17,1.71
