Connecticut, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.35,0.43
189502,-1.04,-0.91
189503,-1.38,-1.40
189504,-1.05,-1.05
189505,-1.54,-1.39
189506,-1.80,-1.62
189507,-1.36,-1.24
189508,-1.25,-1.23
189509,-1.69,-1.68
189510,0.55,0.55
189511,1.18,1.26
189512,-0.12,0.03
189601,-0.84,-0.76
189602,1.78,1.91
189603,2.27,2.25
189604,-1.09,-1.09
189605,-1.39,-1.24
189606,-1.41,-1.23
189607,-1.44,-1.32
189608,-1.62,-1.60
189609,-0.90,-0.89
189610,-0.57,-0.57
189611,-0.83,-0.75
189612,-1.25,-1.10
189701,-0.95,-0.87
189702,-0.96,-0.83
189703,-1.07,-1.09
189704,-1.35,-1.35
189705,0.30,0.45
189706,0.31,0.49
189707,3.03,3.15
189708,3.67,3.69
189709,2.97,2.98
189710,1.97,1.97
189711,2.49,2.57
189712,2.79,2.94
189801,2.73,2.81
189802,3.23,3.36
189803,2.32,2.30
189804,2.50,2.50
189805,3.19,3.34
189806,2.19,2.37
189807,2.22,2.34
189808,3.17,3.19
189809,2.58,2.59
189810,3.27,3.27
189811,3.96,4.04
189812,3.12,3.27
189901,2.92,3.00
189902,3.48,3.61
189903,4.48,4.46
189904,-0.67,-0.67
189905,-1.27,-1.12
189906,-1.37,-1.19
189907,-0.72,-0.60
189908,-1.13,-1.11
189909,-0.61,-0.60
189910,-1.07,-1.07
189911,-1.64,-1.56
189912,-2.00,-1.85
190001,0.06,0.14
190002,2.17,2.30
190003,2.68,2.66
190004,-0.69,-0.69
190005,-0.35,-0.20
190006,-0.74,-0.56
190007,-0.96,-0.84
190008,-1.60,-1.58
190009,-1.96,-1.95
190010,-2.09,-2.09
190011,-1.54,-1.46
190012,-1.78,-1.63
190101,-2.23,-2.15
190102,-3.07,-2.94
190103,1.03,1.01
190104,3.10,3.10
190105,3.93,4.08
190106,2.74,2.92
190107,2.74,2.86
190108,3.52,3.54
190109,3.69,3.70
190110,3.41,3.41
190111,2.72,2.80
190112,4.33,4.48
190201,3.46,3.54
190202,4.24,4.37
190203,4.41,4.39
190204,3.86,3.86
190205,2.79,2.94
190206,2.73,2.91
190207,3.03,3.15
190208,2.44,2.46
190209,3.19,3.20
190210,3.87,3.87
190211,2.55,2.63
190212,3.23,3.38
190301,2.91,2.99
190302,3.57,3.70
190303,3.93,3.91
190304,3.14,3.14
190305,1.65,1.80
190306,3.60,3.78
190307,3.22,3.34
190308,3.96,3.98
190309,3.18,3.19
190310,3.28,3.28
190311,2.44,2.52
190312,2.23,2.38
190401,2.05,2.13
190402,1.82,1.95
190403,1.50,1.48
190404,2.45,2.45
190405,-0.41,-0.26
190406,-0.63,-0.45
190407,-0.85,-0.73
190408,0.50,0.52
190409,0.83,0.84
190410,-0.02,-0.02
190411,-0.58,-0.50
190412,-0.74,-0.59
190501,-0.57,-0.49
