Delaware, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.45,0.71
189502,-0.62,-0.46
189503,-0.60,-0.42
189504,0.83,1.01
189505,-0.08,0.20
189506,-0.01,0.14
189507,-0.13,-0.04
189508,-0.73,-0.62
189509,-1.42,-1.27
189510,-1.45,-1.34
189511,-1.98,-1.76
189512,-2.47,-2.37
189601,-3.00,-2.74
189602,-1.25,-1.09
189603,-0.59,-0.41
189604,-1.45,-1.27
189605,-1.77,-1.49
189606,-0.96,-0.81
189607,-0.62,-0.53
189608,-1.30,-1.19
189609,-0.94,-0.79
189610,-0.89,-0.78
189611,-1.29,-1.07
189612,-1.93,-1.83
189701,-2.14,-1.88
189702,0.76,0.92
189703,0.21,0.39
189704,0.08,0.26
189705,0.10,0.38
189706,0.07,0.22
189707,1.53,1.62
189708,-0.01,0.10
189709,-0.74,-0.59
189710,0.42,0.53
189711,0.82,1.04
189712,1.04,1.14
189801,-0.16,0.10
189802,-0.53,-0.37
189803,-0.84,-0.66
189804,-0.72,-0.54
189805,-0.35,-0.07
189806,-0.72,-0.57
189807,-0.90,-0.81
189808,-0.77,-0.66
189809,-1.31,-1.16
189810,0.18,0.29
189811,0.64,0.86
189812,0.77,0.87
189901,0.81,1.07
189902,2.00,2.16
189903,2.44,2.62
189904,-0.71,-0.53
189905,-1.15,-0.87
189906,-1.63,-1.48
189907,-1.47,-1.38
189908,-1.49,-1.38
189909,-1.45,-1.30
189910,-1.61,-1.50
189911,-2.06,-1.84
189912,-2.71,-2.61
190001,-2.56,-2.30
190002,-1.52,-1.36
190003,-1.42,-1.24
190004,-1.81,-1.63
190005,-1.97,-1.69
190006,-1.42,-1.27
190007,-1.58,-1.49
190008,-1.95,-1.84
190009,-1.66,-1.51
190010,-2.06,-1.95
190011,-2.42,-2.20
190012,-2.64,-2.54
190101,-2.55,-2.29
190102,-3.27,-3.11
190103,-3.17,-2.99
190104,0.77,0.95
190105,0.70,0.98
190106,0.19,0.34
190107,0.37,0.46
190108,0.90,1.01
190109,-0.16,-0.01
190110,-0.61,-0.50
190111,-0.84,-0.62
190112,1.07,1.17
190201,1.10,1.36
190202,1.95,2.11
190203,1.44,1.62
190204,1.56,1.74
190205,0.78,1.06
190206,2.01,2.16
190207,1.82,1.91
190208,1.04,1.15
190209,1.69,1.84
190210,2.39,2.50
190211,2.20,2.42
190212,3.01,3.11
190301,2.75,3.01
190302,3.45,3.61
190303,3.85,4.03
190304,3.57,3.75
190305,2.43,2.71
190306,2.49,2.64
190307,2.47,2.56
190308,2.42,2.53
190309,1.98,2.13
190310,3.13,3.24
190311,-0.33,-0.11
190312,0.34,0.44
190401,-0.46,-0.20
190402,-0.63,-0.47
190403,-0.64,-0.46
190404,-0.80,-0.62
190405,-1.37,-1.09
190406,-0.01,0.14
190407,0.52,0.61
190408,-0.26,-0.15
190409,-0.32,-0.17
190410,-0.33,-0.22
190411,-0.63,-0.41
190412,0.49,0.59
190501,0.71,0.97
190502,0.88,1.04
190503,0.46,0.64
190504,0.32,0.50
190505,0.09,0.37
190506,0.19,0.34
190507,0.85,0.94
190508,1.15,1.26
190509,1.43,1.58
190510,-0.33,-0.22
190511,-0.86,-0.64
190512,0.49,0.59
190601,0.14,0.40
190602,0.55,0.71
190603,1.32,1.50
190604,-0.51,-0.33
190605,-0.70,-0.42
190606,0.98,1.13
190607,1.70,1.79
190608,2.61,2.72
190609,-0.66,-0.51
190610,-0.13,-0.02
190611,-0.32,-0.10
190612,-0.05,0.05
190701,-0.37,-0.11
190702,-0.44,-0.28
190703,-0.87,-0.69
190704,0.36,0.54
190705,1.47,1.75
190706,2.33,2.48
190707,1.96,2.05
190708,1.49,1.60
190709,2.08,2.23
190710,2.27,2.38
190711,3.46,3.68
190712,3.53,3.63
190801,3.12,3.38
190802,3.19,3.35
190803,-0.73,-0.55
190804,-1.02,-0.84
190805,-0.28,0.00
190806,-0.69,-0.54
190807,-0.57,-0.48
190808,-0.26,-0.15
190809,-0.53,-0.38
190810,-0.90,-0.79
190811,-1.67,-1.45
190812,0.22,0.32
190901,-0.23,0.03
190902,0.10,0.26
190903,0.13,0.31
190904,0.42,0.60
190905,0.36,0.64
190906,0.96,1.11
190907,-0.33,-0.24
190908,-0.73,-0.62
190909,-0.67,-0.52
190910,-1.14,-1.03
190911,-1.66,-1.44
190912,-1.25,-1.15
191001,-0.69,-0.43
191002,-1.15,-0.99
191003,-1.75,-1.57
191004,-1.37,-1.19
191005,-1.64,-1.36
191006,1.24,1.39
191007,-0.30,-0.21
191008,-0.22,-0.11
191009,-1.00,-0.85
191010,0.48,0.59
191011,0.51,0.73
191012,0.59,0.69
191101,0.67,0.93
191102,-0.41,-0.25
191103,-0.48,-0.30
191104,-0.06,0.12
191105,-1.27,-0.99
191106,-1.33,-1.18
191107,-2.01,-1.92
191108,1.65,1.76
191109,1.16,1.31
191110,1.15,1.26
191111,2.04,2.26
191112,2.10,2.20
191201,2.02,2.28
191202,1.63,1.79
191203,2.89,3.07
191204,-0.28,-0.10
191205,-0.11,0.17
191206,-0.39,-0.24
191207,-0.40,-0.31
191208,-0.97,-0.86
191209,-0.79,-0.64
191210,-1.21,-1.10
191211,-1.57,-1.35
191212,-1.23,-1.13
191301,-1.25,-0.99
191302,-1.62,-1.46
191303,-1.68,-1.50
191304,-0.89,-0.71
191305,-0.78,-0.50
191306,-0.83,-0.68
191307,-1.38,-1.29
191308,-1.42,-1.31
191309,-1.37,-1.22
191310,-0.73,-0.62
191311,-1.28,-1.06
191312,-1.48,-1.38
191401,-1.22,-0.96
191402,-1.18,-1.02
191403,-1.08,-0.90
191404,-1.20,-1.02
191405,-1.71,-1.43
191406,-1.70,-1.55
191407,-1.80,-1.71
191408,-1.98,-1.87
191409,-2.66,-2.51
191410,-3.27,-3.16
191411,-3.69,-3.47
191412,0.47,0.57
191501,1.24,1.50
191502,1.51,1.67
191503,-0.74,-0.56
191504,-1.35,-1.17
191505,0.06,0.34
191506,0.64,0.79
191507,0.58,0.67
191508,1.60,1.71
191509,0.93,1.08
191510,1.46,1.57
191511,-0.53,-0.31
191512,-0.33,-0.23
191601,-0.97,-0.71
191602,0.33,0.49
191603,0.33,0.51
191604,0.11,0.29
191605,0.31,0.59
191606,0.71,0.86
191607,1.11,1.20
191608,-0.66,-0.55
191609,-0.59,-0.44
191610,-1.11,-1.00
191611,-1.55,-1.33
191612,0.38,0.48
191701,-0.18,0.08
191702,-0.47,-0.31
191703,1.11,1.29
191704,0.71,0.89
191705,0.62,0.90
191706,1.17,1.32
191707,1.94,2.03
191708,1.67,1.78
191709,1.50,1.65
191710,3.37,3.48
191711,-0.61,-0.39
191712,-0.76,-0.66
191801,-0.35,-0.09
191802,-1.04,-0.88
191803,0.17,0.35
191804,0.90,1.08
191805,-0.39,-0.11
191806,-0.71,-0.56
191807,-0.79,-0.70
191808,-1.44,-1.33
191809,-1.22,-1.07
191810,-2.05,-1.94
191811,-2.87,-2.65
191812,-2.87,-2.77
191901,-2.53,-2.27
191902,-2.44,-2.28
191903,-0.03,0.15
191904,0.39,0.57
191905,0.95,1.23
191906,0.49,0.64
191907,2.15,2.24
191908,3.46,3.57
191909,2.74,2.89
191910,2.34,2.45
191911,2.28,2.50
191912,2.17,2.27
192001,1.83,2.09
192002,2.50,2.66
192003,2.28,2.46
192004,2.44,2.62
192005,1.85,2.13
192006,2.61,2.76
192007,2.73,2.82
192008,3.40,3.51
192009,-0.18,-0.03
192010,-0.83,-0.72
192011,0.76,0.98
192012,0.82,0.92
192101,-0.39,-0.13
192102,-0.31,-0.15
192103,-1.19,-1.01
192104,-1.31,-1.13
192105,-1.15,-0.87
192106,-1.64,-1.49
192107,-1.93,-1.84
192108,-2.21,-2.10
192109,-2.77,-2.62
192110,-3.45,-3.34
192111,-3.25,-3.03
192112,-3.40,-3.30
192201,0.27,0.53
192202,0.60,0.76
192203,0.88,1.06
192204,-0.51,-0.33
192205,-1.12,-0.84
192206,0.46,0.61
192207,1.30,1.39
192208,1.41,1.52
192209,-0.31,-0.16
