Florida, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.49,0.31
189502,0.90,0.76
189503,0.48,0.34
189504,1.17,1.17
189505,1.52,1.49
189506,1.27,1.09
189507,1.27,1.24
189508,1.33,1.34
189509,-0.86,-0.76
189510,-1.00,-1.07
189511,0.17,0.12
189512,-0.19,-0.34
189601,0.38,0.20
189602,0.58,0.44
189603,-0.25,-0.39
189604,-1.08,-1.08
189605,-1.80,-1.83
189606,1.07,0.89
189607,1.04,1.01
189608,-0.65,-0.64
189609,-1.38,-1.28
189610,-1.34,-1.41
189611,0.32,0.27
189612,0.35,0.20
189701,0.02,-0.16
189702,1.12,0.98
189703,-0.42,-0.56
189704,0.46,0.46
189705,-0.67,-0.70
189706,-1.20,-1.38
189707,0.16,0.13
189708,0.42,0.43
189709,1.48,1.58
189710,1.53,1.46
189711,-0.27,-0.32
189712,-0.01,-0.16
189801,-0.71,-0.89
189802,-1.09,-1.23
189803,-1.99,-2.13
189804,-2.16,-2.16
189805,-3.04,-3.07
189806,-4.01,-4.19
189807,0.32,0.29
189808,2.59,2.60
189809,2.14,2.24
189810,3.13,3.06
189811,3.32,3.27
189812,3.70,3.55
189901,4.05,3.87
189902,4.69,4.55
189903,-0.63,-0.77
189904,-0.19,-0.19
189905,-1.32,-1.35
189906,-1.53,-1.71
189907,-1.65,-1.68
189908,-1.97,-1.96
189909,-2.27,-2.17
189910,-1.69,-1.76
189911,-2.19,-2.24
189912,-2.34,-2.49
190001,0.21,0.03
190002,0.95,0.81
190003,1.87,1.73
190004,2.33,2.33
190005,2.40,2.37
190006,3.10,2.92
190007,0.05,0.02
190008,-0.87,-0.86
190009,-1.60,-1.50
190010,-1.21,-1.28
190011,-1.39,-1.44
190012,0.87,0.72
190101,0.80,0.62
190102,1.27,1.13
190103,1.73,1.59
190104,1.55,1.55
190105,1.63,1.60
190106,2.37,2.19
190107,2.26,2.23
190108,3.77,3.78
190109,-0.11,-0.01
190110,-0.66,-0.73
190111,-0.87,-0.92
190112,-0.52,-0.67
190201,-1.06,-1.24
190202,0.96,0.82
190203,1.33,1.19
190204,-0.52,-0.52
190205,-1.27,-1.30
190206,-1.75,-1.93
190207,-2.68,-2.71
190208,-3.76,-3.75
190209,0.67,0.77
190210,1.49,1.42
190211,1.51,1.46
190212,1.89,1.74
190301,2.48,2.30
190302,3.01,2.87
190303,3.16,3.02
190304,2.11,2.11
190305,2.31,2.28
190306,2.17,1.99
190307,1.86,1.83
190308,1.78,1.79
190309,2.13,2.23
190310,1.38,1.31
190311,1.61,1.56
190312,1.60,1.45
190401,2.19,2.01
190402,-0.19,-0.33
190403,-0.84,-0.98
190404,-1.21,-1.21
190405,-1.54,-1.57
190406,-1.23,-1.41
190407,-1.48,-1.51
190408,-1.27,-1.26
190409,-2.10,-2.00
190410,0.48,0.41
190411,0.89,0.84
190412,0.73,0.58
190501,0.46,0.28
190502,0.57,0.43
190503,0.39,0.25
190504,0.17,0.17
190505,0.69,0.66
190506,-0.62,-0.80
190507,0.39,0.36
190508,1.59,1.60
190509,-0.17,-0.07
190510,-0.39,-0.46
190511,-0.94,-0.99
190512,1.77,1.62
190601,2.15,1.97
190602,1.81,1.67
190603,1.52,1.38
190604,0.75,0.75
190605,1.77,1.74
190606,2.24,2.06
190607,3.05,3.02
190608,3.36,3.37
190609,-0.58,-0.48
190610,-0.55,-0.62
190611,-1.04,-1.09
190612,-1.65,-1.80
190701,-2.45,-2.63
190702,-2.95,-3.09
190703,-4.11,-4.25
190704,-3.69,-3.69
190705,-2.91,-2.94
190706,-2.82,-3.00
190707,-2.75,-2.78
190708,-2.79,-2.78
190709,-2.01,-1.91
190710,-2.49,-2.56
190711,-0.02,-0.07
190712,1.28,1.13
190801,1.34,1.16
190802,-0.13,-0.27
190803,-1.19,-1.33
190804,-1.48,-1.48
190805,-1.86,-1.89
190806,-2.02,-2.20
190807,-2.36,-2.39
190808,-2.19,-2.18
190809,-1.14,-1.04
190810,-1.16,-1.23
190811,-1.20,-1.25
190812,-1.79,-1.94
190901,-2.24,-2.42
190902,-2.52,-2.66
190903,-2.62,-2.76
190904,-2.46,-2.46
190905,0.27,0.24
190906,0.28,0.10
190907,1.67,1.64
190908,2.20,2.21
190909,-0.84,-0.74
190910,-1.42,-1.49
190911,-2.12,-2.17
190912,-1.93,-2.08
191001,-2.18,-2.36
191002,-1.89,-2.03
191003,-2.32,-2.46
191004,-2.52,-2.52
191005,-2.63,-2.66
191006,1.13,0.95
191007,1.42,1.39
191008,1.93,1.94
191009,0.73,0.83
191010,2.28,2.21
191011,2.12,2.07
191012,-0.27,-0.42
191101,-0.81,-0.99
191102,-1.87,-2.01
191103,-2.33,-2.47
191104,-2.50,-2.50
191105,-1.97,-2.00
191106,-2.46,-2.64
191107,-2.53,-2.56
191108,-2.01,-2.00
191109,-2.82,-2.72
191110,0.30,0.23
191111,0.92,0.87
191112,1.72,1.57
191201,2.36,2.18
191202,2.32,2.18
191203,2.17,2.03
191204,2.31,2.31
191205,2.55,2.52
191206,3.84,3.66
191207,2.90,2.87
191208,2.27,2.28
191209,2.79,2.89
191210,2.74,2.67
191211,3.07,3.02
191212,2.69,2.54
191301,1.88,1.70
191302,2.20,2.06
191303,2.38,2.24
191304,-0.17,-0.17
191305,-0.19,-0.22
191306,-0.39,-0.57
191307,-1.10,-1.13
191308,-1.08,-1.07
191309,-1.22,-1.12
191310,-1.19,-1.26
191311,-1.52,-1.57
191312,0.09,-0.06
191401,0.63,0.45
191402,1.34,1.20
191403,-0.44,-0.58
191404,-0.54,-0.54
191405,-1.15,-1.18
191406,-2.01,-2.19
191407,-2.58,-2.61
191408,-3.17,-3.16
191409,0.27,0.37
191410,0.44,0.37
191411,0.65,0.60
191412,1.43,1.28
191501,2.37,2.19
191502,2.41,2.27
191503,2.11,1.97
191504,1.46,1.46
191505,1.93,1.90
191506,1.48,1.30
191507,1.40,1.37
191508,1.31,1.32
191509,0.67,0.77
191510,1.68,1.61
191511,1.67,1.62
191512,1.80,1.65
191601,-0.80,-0.98
191602,-1.37,-1.51
191603,-1.97,-2.11
191604,-1.76,-1.76
191605,-1.68,-1.71
191606,-1.55,-1.73
191607,-0.91,-0.94
191608,-1.09,-1.08
191609,-1.48,-1.38
191610,0.30,0.23
191611,0.83,0.78
191612,1.56,1.41
191701,-0.50,-0.68
191702,-0.79,-0.93
191703,-1.29,-1.43
191704,-1.66,-1.66
191705,-1.82,-1.85
191706,-1.94,-2.12
191707,-1.98,-2.01
191708,-1.67,-1.66
