Alabama, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,43.1,-2.0
189502,37.4,-10.6
189503,54.5,-0.6
189504,63.4,0.5
189505,69.5,-1.2
189506,77.5,0.0
189507,79.2,-0.7
189508,79.5,0.1
189509,77.8,3.1
189510,59.7,-4.2
189511,53.2,-0.3
189512,44.9,-1.5
189601,43.5,-1.6
189602,47.7,-0.3
189603,52.5,-2.6
189604,68.0,5.1
189605,75.9,5.2
189606,77.4,-0.1
189607,81.2,1.3
189608,82.2,2.8
189609,75.9,1.2
189610,63.2,-0.7
189611,57.3,3.8
189612,46.4,0.0
189701,41.8,-3.3
189702,51.1,3.1
189703,60.2,5.1
189704,62.4,-0.5
189705,69.0,-1.7
189706,81.2,3.7
189707,81.5,1.6
189708,78.8,-0.6
189709,75.6,0.9
189710,67.1,3.2
189711,54.2,0.7
189712,47.4,1.0
189801,49.0,3.9
189802,46.1,-1.9
189803,59.2,4.1
189804,58.8,-4.1
189805,74.1,3.4
189806,80.4,2.9
189807,80.0,0.1
189808,78.8,-0.6
189809,75.2,0.5
189810,61.0,-2.9
189811,49.8,-3.7
189812,43.4,-3.0
189901,43.8,-1.3
189902,40.0,-8.0
189903,55.6,0.5
189904,61.7,-1.2
189905,76.1,5.4
189906,79.9,2.4
189907,80.4,0.5
189908,80.9,1.5
189909,72.8,-1.9
189910,66.0,2.1
189911,55.3,1.8
189912,44.7,-1.7
190001,43.6,-1.5
190002,44.4,-3.6
190003,52.9,-2.2
190004,64.2,1.3
190005,71.4,0.7
190006,76.3,-1.2
190007,79.8,-0.1
190008,81.2,1.8
190009,77.6,2.9
190010,68.2,4.3
190011,54.7,1.2
190012,46.6,0.2
190101,46.0,0.9
190102,43.1,-4.9
190103,53.3,-1.8
190104,58.1,-4.8
190105,70.6,-0.1
190106,78.8,1.3
190107,82.4,2.5
190108,78.7,-0.7
190109,72.4,-2.3
190110,62.5,-1.4
190111,48.7,-4.8
190112,42.1,-4.3
190201,43.2,-1.9
190202,40.8,-7.2
190203,55.1,0.0
190204,62.1,-0.8
190205,75.7,5.0
190206,81.2,3.7
190207,83.1,3.2
190208,82.3,2.9
190209,73.6,-1.1
190210,63.1,-0.8
190211,57.6,4.1
190212,45.2,-1.2
190301,43.4,-1.7
190302,48.2,0.2
190303,59.5,4.4
190304,61.1,-1.8
190305,69.8,-0.9
190306,73.6,-3.9
190307,80.4,0.5
190308,80.6,1.2
190309,73.2,-1.5
190310,63.2,-0.7
190311,50.6,-2.9
190312,40.1,-6.3
190401,41.1,-4.0
190402,48.9,0.9
190403,58.1,3.0
190404,60.0,-2.9
190405,70.2,-0.5
190406,78.1,0.6
190407,78.6,-1.3
190408,78.6,-0.8
190409,77.0,2.3
190410,64.6,0.7
190411,52.1,-1.4
190412,45.9,-0.5
190501,38.6,-6.5
190502,39.1,-8.9
190503,59.1,4.0
190504,63.7,0.8
190505,74.5,3.8
190506,79.4,1.9
190507,79.8,-0.1
190508,79.4,0.0
190509,76.2,1.5
190510,63.7,-0.2
190511,55.4,1.9
190512,42.7,-3.7
190601,46.2,1.1
190602,45.1,-2.9
190603,50.9,-4.2
190604,64.9,2.0
190605,69.9,-0.8
190606,79.1,1.6
190607,79.2,-0.7
190608,80.5,1.1
190609,78.3,3.6
190610,60.6,-3.3
190611,55.0,1.5
190612,49.6,3.2
190701,53.6,8.5
190702,48.3,0.3
190703,64.3,9.2
190704,58.1,-4.8
190705,68.3,-2.4
190706,75.6,-1.9
190707,81.2,1.3
190708,80.5,1.1
190709,75.2,0.5
190710,63.3,-0.6
190711,51.0,-2.5
190712,45.3,-1.1
190801,43.4,-1.7
190802,44.0,-4.0
190803,62.2,7.1
190804,67.4,4.5
190805,71.8,1.1
190806,78.0,0.5
190807,80.3,0.4
190808,79.7,0.3
190809,74.5,-0.2
190810,60.3,-3.6
190811,56.8,3.3
190812,50.1,3.7
190901,49.6,4.5
190902,50.2,2.2
190903,55.9,0.8
190904,63.1,0.2
190905,69.0,-1.7
190906,78.2,0.7
190907,80.4,0.5
190908,81.0,1.6
190909,75.3,0.6
190910,63.2,-0.7
190911,59.5,6.0
190912,40.8,-5.6
191001,45.3,0.2
191002,44.9,-3.1
191003,60.6,5.5
191004,61.7,-1.2
191005,69.0,-1.7
191006,75.5,-2.0
191007,78.8,-1.1
191008,79.6,0.2
191009,77.4,2.7
191010,66.4,2.5
191011,50.9,-2.6
191012,41.9,-4.5
191101,49.9,4.8
191102,54.2,6.2
191103,57.7,2.6
191104,63.5,0.6
191105,72.7,2.0
191106,80.7,3.2
191107,78.1,-1.8
191108,79.0,-0.4
191109,80.2,5.5
191110,68.5,4.6
191111,50.1,-3.4
191112,49.3,2.9
191201,40.2,-4.9
191202,42.7,-5.3
191203,52.3,-2.8
191204,64.4,1.5
191205,72.0,1.3
191206,75.1,-2.4
191207,79.7,-0.2
191208,79.1,-0.3
191209,76.9,2.2
191210,65.9,2.0
191211,50.2,-3.3
191212,46.9,0.5
191301,51.2,6.1
191302,46.8,-1.2
191303,55.0,-0.1
191304,62.0,-0.9
191305,71.4,0.7
191306,77.8,0.3
191307,81.3,1.4
191308,80.6,1.2
191309,73.2,-1.5
191310,60.8,-3.1
191311,55.8,2.3
191312,47.4,1.0
191401,47.0,1.9
191402,45.4,-2.6
191403,50.0,-5.1
191404,63.8,0.9
191405,71.6,0.9
191406,83.1,5.6
191407,81.8,1.9
191408,79.2,-0.2
191409,73.2,-1.5
191410,63.8,-0.1
191411,52.3,-1.2
191412,42.8,-3.6
191501,42.5,-2.6
191502,47.8,-0.2
191503,46.4,-8.7
191504,64.3,1.4
191505,74.3,3.6
191506,78.5,1.0
191507,80.4,0.5
191508,79.1,-0.3
191509,76.4,1.7
191510,66.3,2.4
191511,56.3,2.8
191512,46.1,-0.3
191601,51.8,6.7
191602,46.8,-1.2
191603,53.8,-1.3
191604,61.8,-1.1
191605,73.0,2.3
191606,77.1,-0.4
191607,78.6,-1.3
191608,79.8,0.4
191609,73.6,-1.1
191610,64.2,0.3
191611,54.0,0.5
191612,46.8,0.4
191701,49.7,4.6
191702,48.4,0.4
191703,56.4,1.3
191704,63.6,0.7
191705,66.0,-4.7
191706,77.8,0.3
191707,79.8,-0.1
191708,78.4,-1.0
191709,73.2,-1.5
191710,58.5,-5.4
191711,50.6,-2.9
191712,39.8,-6.6
191801,37.4,-7.7
191802,53.2,5.2
191803,61.8,6.7
191804,60.9,-2.0
191805,72.6,1.9
191806,79.6,2.1
191807,78.2,-1.7
191808,80.3,0.9
191809,70.4,-4.3
191810,68.6,4.7
191811,52.6,-0.9
191812,49.8,3.4
191901,44.0,-1.1
191902,47.5,-0.5
191903,56.1,1.0
191904,62.3,-0.6
191905,69.0,-1.7
191906,78.2,0.7
191907,79.7,-0.2
191908,79.2,-0.2
191909,75.1,0.4
191910,74.0,10.1
191911,57.0,3.5
191912,47.0,0.6
192001,46.9,1.8
192002,46.2,-1.8
192003,52.1,-3.0
192004,62.2,-0.7
192005,70.4,-0.3
192006,76.9,-0.6
192007,79.4,-0.5
192008,77.6,-1.8
192009,76.8,2.1
192010,63.8,-0.1
192011,50.6,-2.9
192012,44.7,-1.7
192101,49.3,4.2
192102,50.3,2.3
192103,63.4,8.3
192104,61.8,-1.1
192105,69.9,-0.8
192106,80.5,3.0
192107,81.4,1.5
192108,80.4,1.0
192109,80.9,6.2
192110,62.4,-1.5
192111,57.6,4.1
192112,50.6,4.2
192201,46.4,1.3
192202,53.8,5.8
192203,55.4,0.3
192204,66.3,3.4
192205,71.6,0.9
192206,78.5,1.0
192207,79.8,-0.1
192208,78.8,-0.6
192209,77.0,2.3
192210,64.6,0.7
192211,56.5,3.0
192212,53.3,6.9
192301,50.9,5.8
192302,46.8,-1.2
192303,54.2,-0.9
192304,62.8,-0.1
192305,69.1,-1.6
192306,76.6,-0.9
192307,78.5,-1.4
192308,78.7,-0.7
192309,75.8,1.1
192310,63.0,-0.9
192311,51.1,-2.4
192312,53.5,7.1
192401,40.6,-4.5
192402,46.5,-1.5
192403,50.4,-4.7
192404,62.6,-0.3
192405,67.3,-3.4
192406,79.5,2.0
192407,79.7,-0.2
192408,81.5,2.1
192409,72.4,-2.3
192410,64.0,0.1
192411,55.1,1.6
192412,47.4,1.0
192501,47.1,2.0
192502,52.2,4.2
192503,57.2,2.1
192504,67.3,4.4
192505,69.4,-1.3
192506,80.6,3.1
192507,81.6,1.7
