Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.0,-2.1
189502,23.6,-2.8
189503,30.5,-2.2
189504,43.4,2.4
189505,48.6,-0.7
189506,54.5,-2.2
189507,62.8,-2.3
189508,63.7,0.2
189509,51.0,-3.7
189510,45.7,1.6
189511,31.0,-0.6
189512,22.1,-1.9
189601,26.9,4.8
189602,30.3,3.9
189603,31.0,-1.7
189604,38.0,-3.0
189605,43.7,-5.6
189606,59.2,2.5
189607,67.5,2.4
189608,63.6,0.1
189609,53.1,-1.6
189610,43.5,-0.6
189611,26.8,-4.8
189612,29.7,5.7
189701,22.0,-0.1
189702,25.3,-1.1
189703,25.1,-7.6
189704,42.1,1.1
189705,56.1,6.8
189706,56.5,-0.2
189707,62.1,-3.0
189708,66.0,2.5
189709,55.1,0.4
189710,43.6,-0.5
189711,33.0,1.4
189712,23.9,-0.1
189801,17.2,-4.9
189802,29.6,3.2
189803,28.7,-4.0
189804,44.3,3.3
189805,49.2,-0.1
189806,57.9,1.2
189807,65.2,0.1
189808,67.1,3.6
189809,55.0,0.3
189810,40.3,-3.8
189811,27.6,-4.0
189812,18.4,-5.6
189901,25.7,3.6
189902,21.2,-5.2
189903,30.6,-2.1
189904,40.0,-1.0
189905,44.9,-4.4
189906,55.2,-1.5
189907,65.3,0.2
189908,58.6,-4.9
189909,56.7,2.0
189910,40.3,-3.8
189911,37.4,5.8
189912,22.3,-1.7
190001,28.0,5.9
190002,26.1,-0.3
190003,38.4,5.7
190004,43.2,2.2
190005,51.6,2.3
190006,62.0,5.3
190007,63.4,-1.7
190008,60.0,-3.5
190009,52.8,-1.9
190010,42.8,-1.3
190011,31.2,-0.4
190012,28.2,4.2
190101,24.9,2.8
190102,24.6,-1.8
190103,32.0,-0.7
190104,38.7,-2.3
190105,52.9,3.6
190106,51.9,-4.8
190107,66.9,1.8
190108,66.3,2.8
190109,50.6,-4.1
190110,47.8,3.7
190111,35.7,4.1
190112,25.9,1.9
190201,21.4,-0.7
190202,30.0,3.6
190203,30.2,-2.5
190204,39.6,-1.4
190205,49.4,0.1
190206,56.2,-0.5
190207,60.8,-4.3
190208,62.0,-1.5
190209,53.2,-1.5
190210,44.9,0.8
190211,30.9,-0.7
190212,24.7,0.7
190301,24.1,2.0
190302,16.1,-10.3
190303,31.1,-1.6
190304,38.7,-2.3
190305,47.1,-2.2
190306,60.2,3.5
190307,60.9,-4.2
190308,63.3,-0.2
190309,51.3,-3.4
190310,44.7,0.6
190311,31.4,-0.2
190312,23.8,-0.2
190401,22.6,0.5
190402,26.7,0.3
190403,30.7,-2.0
190404,41.8,0.8
190405,49.1,-0.2
190406,55.7,-1.0
190407,63.1,-2.0
190408,64.7,1.2
190409,56.4,1.7
190410,46.0,1.9
190411,37.1,5.5
190412,25.1,1.1
190501,24.6,2.5
190502,22.8,-3.6
190503,37.0,4.3
190504,43.0,2.0
190505,46.9,-2.4
190506,54.7,-2.0
190507,65.4,0.3
190508,64.6,1.1
190509,55.8,1.1
190510,39.1,-5.0
190511,31.9,0.3
190512,20.5,-3.5
190601,22.9,0.8
190602,26.8,0.4
190603,28.2,-4.5
190604,43.4,2.4
190605,48.6,-0.7
190606,53.0,-3.7
190607,67.5,2.4
190608,63.7,0.2
190609,56.0,1.3
190610,45.4,1.3
190611,30.3,-1.3
190612,29.6,5.6
190701,18.9,-3.2
190702,32.4,6.0
190703,34.3,1.6
190704,41.0,0.0
190705,48.7,-0.6
190706,52.7,-4.0
190707,63.1,-2.0
190708,59.4,-4.1
190709,53.9,-0.8
190710,48.6,4.5
190711,33.3,1.7
190712,25.9,1.9
190801,23.5,1.4
190802,27.4,1.0
190803,32.9,0.2
190804,43.2,2.2
190805,45.4,-3.9
190806,52.3,-4.4
190807,66.1,1.0
190808,61.6,-1.9
190809,54.9,0.2
190810,41.5,-2.6
190811,33.1,1.5
190812,22.7,-1.3
190901,24.8,2.7
190902,28.4,2.0
190903,33.8,1.1
190904,37.2,-3.8
190905,46.2,-3.1
190906,57.4,0.7
190907,63.4,-1.7
190908,63.7,0.2
190909,55.2,0.5
190910,43.9,-0.2
190911,34.0,2.4
190912,17.4,-6.6
191001,17.5,-4.6
191002,19.8,-6.6
191003,39.2,6.5
191004,45.9,4.9
191005,51.1,1.8
191006,57.6,0.9
191007,66.9,1.8
191008,60.4,-3.1
191009,55.2,0.5
191010,45.5,1.4
191011,33.9,2.3
191012,27.2,3.2
191101,24.1,2.0
191102,20.4,-6.0
191103,34.1,1.4
191104,38.9,-2.1
191105,46.3,-3.0
191106,57.6,0.9
191107,63.8,-1.3
191108,60.8,-2.7
191109,52.6,-2.1
191110,40.7,-3.4
191111,27.6,-4.0
191112,22.3,-1.7
191201,22.7,0.6
191202,28.1,1.7
191203,29.6,-3.1
191204,39.4,-1.6
191205,47.8,-1.5
191206,57.9,1.2
191207,61.1,-4.0
191208,59.7,-3.8
191209,48.6,-6.1
191210,40.0,-4.1
191211,33.5,1.9
191212,23.1,-0.9
191301,19.0,-3.1
191302,19.1,-7.3
191303,28.8,-3.9
191304,41.6,0.6
191305,50.2,0.9
191306,56.7,0.0
191307,62.1,-3.0
191308,64.1,0.6
191309,54.7,0.0
191310,40.7,-3.4
191311,34.2,2.6
191312,21.3,-2.7
191401,26.9,4.8
191402,25.2,-1.2
191403,35.0,2.3
191404,42.6,1.6
191405,52.1,2.8
191406,54.7,-2.0
191407,65.8,0.7
191408,63.2,-0.3
191409,52.3,-2.4
191410,45.3,1.2
191411,33.7,2.1
191412,16.5,-7.5
191501,20.1,-2.0
191502,31.0,4.6
191503,36.9,4.2
191504,46.8,5.8
191505,47.4,-1.9
191506,53.5,-3.2
191507,61.6,-3.5
191508,67.2,3.7
191509,52.5,-2.2
191510,45.6,1.5
191511,30.6,-1.0
191512,24.0,0.0
191601,14.8,-7.3
191602,26.9,0.5
191603,35.1,2.4
191604,42.2,1.2
191605,44.1,-5.2
191606,53.8,-2.9
191607,63.7,-1.4
191608,62.0,-1.5
191609,54.0,-0.7
191610,40.4,-3.7
191611,26.6,-5.0
191612,18.6,-5.4
191701,15.2,-6.9
191702,22.5,-3.9
191703,22.2,-10.5
191704,36.0,-5.0
191705,46.1,-3.2
191706,53.8,-2.9
