Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,18.6,-6.8
189502,17.6,-11.5
189503,37.6,-2.2
189504,53.8,2.3
189505,62.7,0.5
189506,73.7,2.3
189507,72.9,-2.7
189508,74.1,0.6
189509,69.6,3.4
189510,47.4,-7.3
189511,37.6,-3.2
189512,31.0,1.6
189601,28.6,3.2
189602,29.9,0.8
189603,34.7,-5.1
189604,58.4,6.9
189605,68.9,6.7
189606,71.0,-0.4
189607,74.9,-0.7
189608,73.9,0.4
189609,62.6,-3.6
189610,50.2,-4.5
189611,39.6,-1.2
189612,33.7,4.3
189701,23.6,-1.8
189702,30.4,1.3
189703,39.0,-0.8
189704,49.9,-1.6
189705,58.6,-3.6
189706,70.8,-0.6
189707,76.6,1.0
189708,71.6,-1.9
189709,71.3,5.1
189710,59.6,4.9
189711,39.5,-1.3
189712,25.9,-3.5
189801,29.5,4.1
189802,29.8,0.7
189803,42.5,2.7
189804,48.9,-2.6
189805,61.8,-0.4
189806,72.9,1.5
189807,75.0,-0.6
189808,73.1,-0.4
189809,68.9,2.7
189810,51.2,-3.5
189811,36.5,-4.3
189812,25.5,-3.9
189901,25.2,-0.2
189902,18.0,-11.1
189903,33.1,-6.7
189904,52.6,1.1
189905,63.2,1.0
189906,72.6,1.2
189907,74.5,-1.1
189908,75.5,2.0
189909,64.6,-1.6
189910,58.2,3.5
189911,44.9,4.1
189912,27.4,-2.0
190001,30.0,4.6
190002,22.3,-6.8
190003,33.9,-5.9
190004,52.3,0.8
190005,63.9,1.7
190006,70.3,-1.1
190007,74.6,-1.0
190008,78.8,5.3
190009,68.3,2.1
190010,60.6,5.9
190011,39.3,-1.5
190012,30.8,1.4
190101,28.5,3.1
190102,21.0,-8.1
190103,38.1,-1.7
190104,49.0,-2.5
190105,60.8,-1.4
190106,74.1,2.7
190107,81.5,5.9
190108,74.1,0.6
190109,65.7,-0.5
190110,55.5,0.8
190111,36.8,-4.0
190112,24.3,-5.1
190201,25.5,0.1
190202,19.2,-9.9
190203,41.7,1.9
190204,49.3,-2.2
190205,66.2,4.0
190206,68.6,-2.8
190207,75.2,-0.4
190208,70.7,-2.8
190209,61.6,-4.6
190210,55.8,1.1
190211,46.9,6.1
190212,26.8,-2.6
190301,25.2,-0.2
190302,26.3,-2.8
190303,44.1,4.3
190304,51.7,0.2
190305,64.4,2.2
190306,65.6,-5.8
190307,75.2,-0.4
190308,71.6,-1.9
190309,64.9,-1.3
190310,53.8,-0.9
190311,36.4,-4.4
190312,22.7,-6.7
190401,18.9,-6.5
190402,21.6,-7.5
190403,38.6,-1.2
190404,45.6,-5.9
190405,61.4,-0.8
190406,68.9,-2.5
190407,72.4,-3.2
190408,69.8,-3.7
190409,66.1,-0.1
190410,53.7,-1.0
190411,41.3,0.5
190412,27.9,-1.5
190501,18.9,-6.5
190502,17.6,-11.5
190503,44.4,4.6
190504,51.1,-0.4
190505,62.5,0.3
190506,72.1,0.7
190507,72.5,-3.1
190508,74.1,0.6
190509,67.3,1.1
190510,52.7,-2.0
190511,40.4,-0.4
190512,30.0,0.6
190601,31.1,5.7
190602,27.2,-1.9
190603,30.0,-9.8
190604,54.4,2.9
190605,63.2,1.0
190606,69.8,-1.6
190607,73.2,-2.4
190608,75.4,1.9
190609,69.7,3.5
190610,52.8,-1.9
190611,38.7,-2.1
190612,31.4,2.0
190701,29.7,4.3
190702,28.6,-0.5
190703,46.7,6.9
190704,43.1,-8.4
190705,55.9,-6.3
190706,67.7,-3.7
190707,75.2,-0.4
190708,72.0,-1.5
190709,64.7,-1.5
190710,51.5,-3.2
190711,38.3,-2.5
190712,32.2,2.8
190801,28.0,2.6
190802,27.6,-1.5
190803,43.4,3.6
190804,51.6,0.1
190805,62.5,0.3
190806,69.8,-1.6
190807,74.7,-0.9
190808,73.1,-0.4
190809,69.4,3.2
190810,53.7,-1.0
190811,42.0,1.2
190812,31.7,2.3
190901,27.7,2.3
190902,32.8,3.7
190903,38.1,-1.7
190904,49.3,-2.2
190905,59.4,-2.8
190906,71.3,-0.1
190907,72.8,-2.8
190908,76.3,2.8
190909,63.9,-2.3
190910,50.2,-4.5
190911,48.8,8.0
190912,20.2,-9.2
191001,25.2,-0.2
191002,24.4,-4.7
191003,50.5,10.7
191004,52.1,0.6
191005,57.0,-5.2
191006,69.3,-2.1
191007,75.5,-0.1
191008,72.2,-1.3
191009,65.9,-0.3
191010,56.7,2.0
191011,35.7,-5.1
191012,25.6,-3.8
191101,28.6,3.2
191102,33.2,4.1
191103,40.8,1.0
191104,49.0,-2.5
191105,67.6,5.4
191106,75.3,3.9
191107,75.8,0.2
191108,72.5,-1.0
191109,68.8,2.6
191110,52.9,-1.8
191111,34.6,-6.2
191112,33.5,4.1
191201,12.9,-12.5
191202,21.8,-7.3
191203,30.0,-9.8
191204,52.6,1.1
191205,64.3,2.1
191206,67.8,-3.6
191207,75.3,-0.3
191208,71.7,-1.8
191209,67.0,0.8
191210,55.1,0.4
191211,41.1,0.3
191212,32.8,3.4
191301,29.2,3.8
191302,25.0,-4.1
191303,36.3,-3.5
191304,51.3,-0.2
191305,62.4,0.2
191306,73.4,2.0
191307,77.8,2.2
191308,77.4,3.9
191309,66.2,0.0
191310,52.3,-2.4
191311,46.4,5.6
191312,35.4,6.0
191401,32.6,7.2
191402,20.6,-8.5
191403,37.3,-2.5
191404,51.7,0.2
191405,64.4,2.2
191406,75.0,3.6
191407,78.4,2.8
191408,75.1,1.6
191409,65.6,-0.6
191410,56.9,2.2
191411,43.3,2.5
191412,22.6,-6.8
191501,22.0,-3.4
191502,35.1,6.0
191503,34.2,-5.6
191504,57.9,6.4
191505,59.1,-3.1
191506,67.9,-3.5
191507,72.2,-3.4
191508,66.9,-6.6
191509,67.5,1.3
191510,55.6,0.9
191511,44.0,3.2
191512,28.4,-1.0
191601,28.5,3.1
191602,25.5,-3.6
191603,37.4,-2.4
191604,49.8,-1.7
191605,62.6,0.4
191606,66.3,-5.1
191607,80.4,4.8
191608,76.1,2.6
191609,64.2,-2.0
191610,54.0,-0.7
191611,42.4,1.6
191612,26.4,-3.0
191701,26.3,0.9
191702,23.2,-5.9
191703,40.6,0.8
191704,48.8,-2.7
191705,55.8,-6.4
191706,67.9,-3.5
191707,74.6,-1.0
191708,71.1,-2.4
191709,64.1,-2.1
191710,45.5,-9.2
191711,41.5,0.7
191712,20.6,-8.8
191801,10.9,-14.5
191802,29.2,0.1
191803,46.0,6.2
191804,46.7,-4.8
191805,66.2,4.0
191806,71.5,0.1
191807,73.2,-2.4
191808,77.8,4.3
191809,58.9,-7.3
191810,56.7,2.0
191811,41.1,0.3
191812,37.0,7.6
191901,30.1,4.7
191902,31.2,2.1
191903,41.4,1.6
