Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,11.2,-6.6
189502,14.6,-8.0
189503,33.4,-1.2
189504,53.1,5.0
189505,61.0,1.2
189506,69.3,0.2
189507,71.6,-2.3
189508,71.8,0.4
189509,66.8,3.8
189510,44.6,-6.9
189511,32.4,-3.3
189512,23.6,0.9
189601,21.6,3.8
189602,26.0,3.4
189603,29.4,-5.2
189604,53.5,5.4
189605,65.2,5.4
189606,69.5,0.4
189607,72.3,-1.6
189608,70.9,-0.5
189609,57.4,-5.6
189610,46.6,-4.9
189611,27.3,-8.4
189612,29.1,6.4
189701,15.0,-2.8
189702,23.4,0.8
189703,30.4,-4.2
189704,47.0,-1.1
189705,57.8,-2.0
189706,68.2,-0.9
189707,75.0,1.1
189708,68.0,-3.4
189709,70.0,7.0
189710,55.4,3.9
189711,32.6,-3.1
189712,16.0,-6.7
189801,21.7,3.9
189802,22.6,0.0
189803,36.5,1.9
189804,47.0,-1.1
189805,59.0,-0.8
189806,70.8,1.7
189807,72.9,-1.0
189808,71.4,0.0
189809,64.5,1.5
189810,46.5,-5.0
189811,30.8,-4.9
189812,16.8,-5.9
189901,18.2,0.4
189902,11.2,-11.4
189903,23.4,-11.2
189904,48.0,-0.1
189905,59.6,-0.2
189906,70.1,1.0
189907,72.5,-1.4
189908,73.5,2.1
189909,61.7,-1.3
189910,55.6,4.1
189911,42.6,6.9
189912,21.0,-1.7
190001,24.2,6.4
190002,13.7,-8.9
190003,29.9,-4.7
190004,51.6,3.5
190005,62.9,3.1
190006,69.0,-0.1
190007,73.1,-0.8
190008,76.9,5.5
190009,63.9,0.9
190010,58.4,6.9
190011,32.0,-3.7
190012,25.4,2.7
190101,21.9,4.1
190102,16.2,-6.4
190103,33.4,-1.2
190104,49.0,0.9
190105,60.2,0.4
190106,71.7,2.6
190107,82.0,8.1
190108,73.1,1.7
190109,62.4,-0.6
190110,52.9,1.4
190111,34.0,-1.7
190112,18.6,-4.1
190201,20.6,2.8
190202,16.1,-6.5
190203,37.8,3.2
190204,47.2,-0.9
190205,63.2,3.4
190206,64.7,-4.4
190207,72.6,-1.3
190208,68.4,-3.0
190209,58.2,-4.8
190210,52.4,0.9
190211,39.5,3.8
190212,18.4,-4.3
190301,21.1,3.3
190302,18.6,-4.0
190303,37.9,3.3
190304,49.0,0.9
190305,61.2,1.4
190306,64.1,-5.0
190307,72.4,-1.5
190308,68.4,-3.0
190309,60.1,-2.9
190310,51.1,-0.4
190311,32.9,-2.8
190312,18.1,-4.6
190401,12.7,-5.1
190402,13.5,-9.1
190403,33.7,-0.9
190404,43.2,-4.9
190405,59.2,-0.6
190406,66.7,-2.4
190407,70.2,-3.7
190408,68.3,-3.1
190409,63.1,0.1
190410,51.8,0.3
190411,39.2,3.5
190412,21.6,-1.1
190501,9.4,-8.4
190502,11.7,-10.9
190503,40.3,5.7
190504,46.7,-1.4
190505,57.8,-2.0
190506,69.5,0.4
190507,70.2,-3.7
190508,73.7,2.3
190509,65.0,2.0
190510,48.3,-3.2
190511,37.0,1.3
190512,25.4,2.7
190601,23.6,5.8
190602,22.3,-0.3
190603,26.1,-8.5
190604,51.5,3.4
190605,60.3,0.5
190606,67.5,-1.6
190607,70.6,-3.3
190608,73.5,2.1
190609,66.3,3.3
190610,49.5,-2.0
190611,33.7,-2.0
190612,24.7,2.0
190701,17.2,-0.6
190702,23.7,1.1
190703,39.6,5.0
190704,40.6,-7.5
190705,52.7,-7.1
190706,66.1,-3.0
190707,73.4,-0.5
190708,70.3,-1.1
190709,61.9,-1.1
190710,49.0,-2.5
190711,35.1,-0.6
190712,27.1,4.4
190801,23.2,5.4
190802,22.9,0.3
190803,36.8,2.2
190804,49.4,1.3
190805,59.0,-0.8
190806,66.6,-2.5
190807,72.7,-1.2
190808,69.4,-2.0
190809,67.0,4.0
190810,50.0,-1.5
190811,37.5,1.8
190812,25.5,2.8
190901,19.6,1.8
190902,24.7,2.1
190903,31.3,-3.3
190904,42.9,-5.2
190905,57.2,-2.6
190906,68.6,-0.5
190907,71.8,-2.1
190908,75.4,4.0
190909,61.5,-1.5
190910,48.4,-3.1
190911,40.8,5.1
190912,13.4,-9.3
191001,16.1,-1.7
191002,16.4,-6.2
191003,47.7,13.1
191004,51.7,3.6
191005,54.9,-4.9
191006,69.0,-0.1
191007,74.2,0.3
191008,71.4,0.0
191009,62.4,-0.6
191010,54.0,2.5
191011,31.7,-4.0
191012,21.6,-1.1
191101,18.4,0.6
191102,25.9,3.3
191103,38.3,3.7
191104,45.9,-2.2
