Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,28.4,-5.2
189502,24.4,-12.0
189503,43.1,-2.2
189504,56.3,1.1
189505,63.3,-1.1
189506,75.0,2.4
189507,73.9,-2.4
189508,75.4,0.6
189509,72.2,3.5
189510,50.4,-6.7
189511,44.6,-0.7
189512,37.1,0.8
189601,33.9,0.3
189602,36.1,-0.3
189603,39.0,-6.3
189604,62.0,6.8
189605,70.4,6.0
189606,72.0,-0.6
189607,76.2,-0.1
189608,75.6,0.8
189609,67.1,-1.6
189610,53.9,-3.2
189611,48.1,2.8
189612,38.0,1.7
189701,30.0,-3.6
189702,38.5,2.1
189703,48.1,2.8
189704,54.3,-0.9
189705,60.6,-3.8
189706,72.6,0.0
189707,76.9,0.6
189708,74.4,-0.4
189709,70.7,2.0
189710,61.6,4.5
189711,46.4,1.1
189712,37.0,0.7
189801,38.4,4.8
189802,36.6,0.2
189803,49.6,4.3
189804,51.1,-4.1
189805,66.8,2.4
189806,75.2,2.6
189807,77.1,0.8
189808,76.2,1.4
189809,72.0,3.3
189810,56.2,-0.9
189811,41.7,-3.6
189812,32.7,-3.6
189901,32.8,-0.8
189902,25.3,-11.1
189903,42.9,-2.4
189904,56.2,1.0
189905,67.8,3.4
189906,75.1,2.5
189907,76.5,0.2
189908,77.1,2.3
189909,67.6,-1.1
189910,60.0,2.9
189911,48.3,3.0
189912,33.6,-2.7
190001,35.6,2.0
190002,31.5,-4.9
190003,41.4,-3.9
190004,55.3,0.1
190005,65.5,1.1
190006,73.4,0.8
190007,77.2,0.9
190008,79.5,4.7
190009,73.5,4.8
190010,62.9,5.8
190011,45.8,0.5
190012,37.2,0.9
190101,35.2,1.6
190102,31.4,-5.0
190103,45.8,0.5
190104,50.2,-5.0
190105,63.3,-1.1
190106,75.0,2.4
190107,81.2,4.9
190108,74.9,0.1
190109,67.3,-1.4
190110,56.7,-0.4
190111,40.1,-5.2
190112,31.3,-5.0
190201,32.2,-1.4
190202,26.9,-9.5
190203,46.0,0.7
190204,52.9,-2.3
190205,69.1,4.7
190206,72.6,0.0
190207,77.6,1.3
190208,74.9,0.1
190209,66.5,-2.2
190210,59.0,1.9
190211,52.4,7.1
190212,35.6,-0.7
190301,33.0,-0.6
190302,36.4,0.0
190303,51.7,6.4
190304,54.2,-1.0
190305,67.6,3.2
190306,68.0,-4.6
190307,76.8,0.5
190308,75.1,0.3
190309,68.3,-0.4
190310,56.4,-0.7
190311,41.0,-4.3
190312,29.4,-6.9
190401,30.7,-2.9
190402,33.5,-2.9
190403,46.3,1.0
190404,49.9,-5.3
190405,64.2,-0.2
190406,72.3,-0.3
190407,74.5,-1.8
190408,74.6,-0.2
190409,70.1,1.4
190410,56.4,-0.7
190411,43.4,-1.9
190412,35.0,-1.3
190501,26.4,-7.2
190502,26.6,-9.8
190503,50.4,5.1
190504,55.5,0.3
190505,67.4,3.0
190506,74.3,1.7
190507,75.2,-1.1
190508,74.9,0.1
190509,69.4,0.7
190510,56.1,-1.0
190511,45.0,-0.3
190512,36.0,-0.3
190601,38.1,4.5
190602,33.7,-2.7
190603,37.9,-7.4
190604,57.9,2.7
190605,65.4,1.0
190606,73.4,0.8
190607,74.8,-1.5
190608,77.3,2.5
190609,72.5,3.8
190610,56.1,-1.0
190611,44.6,-0.7
190612,38.1,1.8
190701,42.0,8.4
190702,34.8,-1.6
190703,53.7,8.4
190704,47.5,-7.7
190705,60.9,-3.5
190706,69.6,-3.0
190707,77.4,1.1
190708,74.0,-0.8
190709,68.5,-0.2
190710,54.2,-2.9
190711,42.6,-2.7
190712,37.3,1.0
190801,33.4,-0.2
190802,34.5,-1.9
190803,50.5,5.2
190804,56.8,1.6
190805,66.1,1.7
190806,72.5,-0.1
190807,76.2,-0.1
190808,75.1,0.3
190809,70.6,1.9
190810,56.1,-1.0
190811,47.0,1.7
190812,38.8,2.5
190901,37.4,3.8
190902,41.3,4.9
190903,43.8,-1.5
190904,55.2,0.0
190905,63.3,-1.1
190906,73.9,1.3
190907,74.0,-2.3
190908,76.1,1.3
190909,67.1,-1.6
190910,53.7,-3.4
190911,52.9,7.6
190912,29.0,-7.3
191001,32.8,-0.8
191002,32.3,-4.1
191003,53.6,8.3
191004,55.0,-0.2
191005,60.5,-3.9
191006,69.4,-3.2
191007,75.9,-0.4
191008,73.2,-1.6
191009,70.8,2.1
191010,59.4,2.3
191011,40.0,-5.3
191012,30.2,-6.1
191101,38.7,5.1
191102,41.4,5.0
191103,45.2,-0.1
191104,52.9,-2.3
191105,68.7,4.3
191106,74.7,2.1
191107,75.6,-0.7
191108,75.7,0.9
191109,73.6,4.9
191110,58.8,1.7
191111,40.7,-4.6
191112,40.5,4.2
191201,24.9,-8.7
191202,29.0,-7.4
191203,40.2,-5.1
191204,57.8,2.6
191205,66.0,1.6
191206,69.9,-2.7
191207,76.5,0.2
191208,73.2,-1.6
191209,70.6,1.9
191210,58.0,0.9
191211,43.9,-1.4
191212,36.0,-0.3
191301,41.1,7.5
191302,34.0,-2.4
191303,45.4,0.1
191304,54.4,-0.8
191305,65.2,0.8
191306,74.2,1.6
191307,79.2,2.9
191308,77.4,2.6
191309,68.8,0.1
191310,56.0,-1.1
191311,48.7,3.4
191312,38.7,2.4
191401,38.1,4.5
191402,31.2,-5.2
191403,40.8,-4.5
191404,55.2,0.0
191405,65.6,1.2
191406,77.6,5.0
191407,78.2,1.9
191408,75.3,0.5
191409,67.0,-1.7
191410,58.8,1.7
191411,45.2,-0.1
191412,31.7,-4.6
191501,31.6,-2.0
191502,40.9,4.5
191503,37.0,-8.3
191504,59.0,3.8
191505,64.6,0.2
191506,71.1,-1.5
191507,75.2,-1.1
191508,71.1,-3.7
191509,70.3,1.6
191510,59.3,2.2
191511,48.5,3.2
191512,35.7,-0.6
191601,39.9,6.3
191602,34.3,-2.1
191603,42.6,-2.7
191604,53.3,-1.9
191605,66.7,2.3
191606,69.5,-3.1
191607,78.1,1.8
191608,76.4,1.6
191609,66.2,-2.5
191610,56.4,-0.7
191611,46.5,1.2
191612,34.2,-2.1
191701,35.5,1.9
191702,34.0,-2.4
191703,44.7,-0.6
191704,54.9,-0.3
191705,58.0,-6.4
191706,70.2,-2.4
191707,74.7,-1.6
191708,73.3,-1.5
191709,66.7,-2.0
191710,50.1,-7.0
191711,43.0,-2.3
191712,25.9,-10.4
191801,19.9,-13.7
191802,38.5,2.1
191803,50.6,5.3
191804,53.1,-2.1
191805,68.4,4.0
191806,72.9,0.3
191807,73.1,-3.2
191808,79.0,4.2
191809,62.0,-6.7
191810,61.0,3.9
191811,44.5,-0.8
191812,43.3,7.0
191901,36.2,2.6
191902,37.2,0.8
191903,46.4,1.1
191904,55.5,0.3
191905,63.0,-1.4
191906,75.7,3.1
191907,78.3,2.0
191908,73.9,-0.9
191909,70.0,1.3
191910,64.5,7.4
191911,46.0,0.7
191912,33.2,-3.1
192001,31.8,-1.8
192002,34.4,-2.0
192003,45.0,-0.3
192004,52.4,-2.8
192005,63.3,-1.1
192006,71.2,-1.4
192007,74.0,-2.3
192008,72.4,-2.4
192009,69.8,1.1
192010,59.6,2.5
192011,43.1,-2.2
192012,37.4,1.1
192101,38.1,4.5
192102,40.2,3.8
192103,55.4,10.1
192104,57.2,2.0
192105,64.7,0.3
192106,76.7,4.1
192107,79.7,3.4
192108,74.6,-0.2
192109,74.1,5.4
192110,55.5,-1.6
192111,48.2,2.9
192112,40.0,3.7
192201,32.9,-0.7
192202,40.1,3.7
192203,47.8,2.5
192204,58.2,3.0
192205,66.9,2.5
192206,74.4,1.8
192207,75.5,-0.8
192208,73.8,-1.0
192209,71.4,2.7
192210,58.5,1.4
192211,46.6,1.3
192212,40.3,4.0
192301,39.3,5.7
192302,33.6,-2.8
192303,44.4,-0.9
192304,53.8,-1.4
192305,63.0,-1.4
192306,73.1,0.5
192307,75.9,-0.4
192308,74.6,-0.2
192309,68.8,0.1
192310,55.0,-2.1
192311,44.8,-0.5
192312,45.1,8.8
192401,30.1,-3.5
192402,35.0,-1.4
192403,40.4,-4.9
192404,56.2,1.0
192405,59.0,-5.4
192406,73.3,0.7
192407,72.9,-3.4
192408,75.5,0.7
192409,64.2,-4.5
192410,59.3,2.2
192411,46.0,0.7
192412,34.6,-1.7
192501,34.3,0.7
192502,43.1,6.7
192503,47.9,2.6
192504,59.9,4.7
192505,60.1,-4.3
192506,76.0,3.4
192507,75.7,-0.6
192508,75.2,0.4
192509,76.0,7.3
192510,51.6,-5.5
192511,43.3,-2.0
192512,33.5,-2.8
192601,32.9,-0.7
192602,39.6,3.2
192603,38.7,-6.6
192604,50.4,-4.8
192605,65.1,0.7
192606,69.7,-2.9
192607,76.6,0.3
192608,76.3,1.5
192609,72.3,3.6
192610,58.1,1.0
192611,41.2,-4.1
192612,36.3,0.0
192701,34.2,0.6
192702,44.3,7.9
192703,46.9,1.6
192704,57.5,2.3
192705,64.8,0.4
192706,69.4,-3.2
192707,74.9,-1.4
192708,70.0,-4.8
192709,71.0,2.3
192710,59.4,2.3
192711,49.8,4.5
192712,35.7,-0.6
192801,33.3,-0.3
192802,36.7,0.3
192803,44.0,-1.3
192804,51.6,-3.6
192805,62.4,-2.0
192806,68.8,-3.8
192807,76.2,-0.1
192808,76.2,1.4
192809,64.4,-4.3
192810,60.0,2.9
192811,45.3,0.0
192812,37.8,1.5
192901,33.3,-0.3
192902,30.2,-6.2
192903,50.5,5.2
192904,58.7,3.5
192905,63.3,-1.1
192906,71.0,-1.6
192907,76.1,-0.2
192908,72.9,-1.9
192909,68.5,-0.2
192910,55.1,-2.0
192911,43.2,-2.1
192912,37.3,1.0
193001,33.3,-0.3
193002,44.5,8.1
193003,43.2,-2.1
193004,57.9,2.7
193005,65.9,1.5
193006,72.3,-0.3
193007,79.9,3.6
193008,75.6,0.8
193009,71.6,2.9
193010,54.2,-2.9
193011,45.2,-0.1
193012,33.7,-2.6
193101,36.0,2.4
193102,40.0,3.6
193103,40.1,-5.2
193104,54.5,-0.7
193105,62.1,-2.3
193106,74.5,1.9
193107,79.3,3.0
193108,74.2,-0.6
193109,74.0,5.3
193110,60.5,3.4
193111,53.4,8.1
193112,44.6,8.3
193201,42.8,9.2
193202,45.3,8.9
193203,39.6,-5.7
193204,55.1,-0.1
193205,64.7,0.3
193206,74.2,1.6
193207,77.7,1.4
193208,75.8,1.0
193209,68.9,0.2
193210,56.1,-1.0
193211,42.5,-2.8
193212,36.7,0.4
193301,42.0,8.4
193302,36.3,-0.1
193303,44.6,-0.7
193304,54.6,-0.6
193305,68.3,3.9
193306,75.9,3.3
193307,76.6,0.3
193308,74.2,-0.6
193309,73.7,5.0
193310,55.9,-1.2
193311,44.1,-1.2
193312,42.5,6.2
193401,38.6,5.0
193402,30.2,-6.2
193403,42.3,-3.0
193404,56.0,0.8
193405,67.0,2.6
193406,77.0,4.4
193407,80.7,4.4
193408,75.9,1.1
193409,68.7,0.0
193410,58.0,0.9
193411,48.7,3.4
193412,35.4,-0.9
193501,35.7,2.1
193502,38.5,2.1
193503,52.6,7.3
193504,53.9,-1.3
193505,62.8,-1.6
193506,69.7,-2.9
193507,78.2,1.9
193508,76.5,1.7
193509,67.8,-0.9
193510,58.1,1.0
193511,46.0,0.7
193512,28.6,-7.7
193601,27.9,-5.7
193602,30.7,-5.7
193603,49.3,4.0
193604,52.0,-3.2
193605,68.0,3.6
193606,75.3,2.7
193607,80.4,4.1
193608,80.2,5.4
193609,73.2,4.5
193610,57.4,0.3
193611,41.6,-3.7
193612,39.3,3.0
193701,42.3,8.7
193702,36.9,0.5
193703,40.9,-4.4
193704,54.7,-0.5
193705,64.5,0.1
193706,73.8,1.2
193707,75.2,-1.1
193708,77.5,2.7
193709,66.9,-1.8
193710,54.3,-2.8
193711,41.7,-3.6
193712,34.3,-2.0
193801,34.7,1.1
193802,44.6,8.2
193803,52.0,6.7
193804,58.1,2.9
193805,65.1,0.7
193806,70.9,-1.7
193807,76.7,0.4
193808,77.1,2.3
193809,69.3,0.6
193810,58.4,1.3
193811,46.7,1.4
193812,36.5,0.2
193901,38.6,5.0
193902,39.7,3.3
193903,48.0,2.7
193904,52.8,-2.4
193905,66.0,1.6
193906,74.9,2.3
193907,76.3,0.0
193908,74.8,0.0
193909,73.8,5.1
193910,59.8,2.7
193911,42.2,-3.1
193912,37.8,1.5
194001,20.0,-13.6
194002,34.9,-1.5
194003,42.7,-2.6
194004,53.4,-1.8
194005,61.5,-2.9
194006,72.9,0.3
194007,75.4,-0.9
194008,75.7,0.9
194009,66.1,-2.6
194010,59.1,2.0
194011,44.4,-0.9
194012,41.5,5.2
194101,35.0,1.4
194102,32.0,-4.4
194103,39.2,-6.1
194104,59.0,3.8
194105,67.0,2.6
194106,74.1,1.5
194107,77.7,1.4
194108,76.4,1.6
194109,72.2,3.5
194110,62.9,5.8
194111,45.0,-0.3
194112,41.1,4.8
194201,31.2,-2.4
194202,32.7,-3.7
194203,47.2,1.9
194204,57.5,2.3
194205,65.1,0.7
194206,74.4,1.8
194207,77.8,1.5
194208,74.4,-0.4
194209,67.5,-1.2
194210,57.4,0.3
194211,48.0,2.7
194212,34.8,-1.5
194301,36.4,2.8
194302,38.6,2.2
194303,41.5,-3.8
194304,53.2,-2.0
194305,66.9,2.5
194306,77.4,4.8
194307,77.5,1.2
194308,77.4,2.6
194309,65.8,-2.9
194310,55.1,-2.0
194311,43.1,-2.2
194312,33.7,-2.6
194401,36.0,2.4
194402,41.1,4.7
194403,43.9,-1.4
194404,54.5,-0.7
194405,69.8,5.4
194406,76.9,4.3
194407,76.9,0.6
194408,75.8,1.0
194409,68.1,-0.6
194410,56.1,-1.0
194411,44.8,-0.5
194412,31.5,-4.8
194501,30.2,-3.4
194502,37.4,1.0
194503,55.1,9.8
194504,57.5,2.3
194505,61.0,-3.4
194506,71.0,-1.6
194507,74.9,-1.4
194508,74.7,-0.1
194509,71.8,3.1
194510,55.5,-1.6
194511,46.8,1.5
194512,30.5,-5.8
194601,35.2,1.6
194602,39.4,3.0
194603,54.7,9.4
194604,58.5,3.3
194605,63.0,-1.4
194606,72.7,0.1
194607,75.9,-0.4
194608,70.4,-4.4
194609,67.9,-0.8
194610,58.6,1.5
194611,49.8,4.5
194612,41.0,4.7
194701,39.1,5.5
194702,28.0,-8.4
