Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,47.6,-1.7
189502,41.2,-11.2
189503,59.3,0.3
189504,65.8,-0.5
189505,72.6,-0.8
189506,79.6,-0.2
189507,81.6,-0.3
189508,81.1,-0.5
189509,79.6,2.4
189510,63.2,-4.3
189511,55.9,-1.5
189512,49.8,-1.1
189601,47.6,-1.7
189602,52.0,-0.4
189603,57.5,-1.5
189604,69.9,3.6
189605,77.8,4.4
189606,80.4,0.6
189607,83.7,1.8
189608,83.4,1.8
189609,77.0,-0.2
189610,66.6,-0.9
189611,60.6,3.2
189612,50.4,-0.5
189701,46.2,-3.1
189702,54.3,1.9
189703,66.1,7.1
189704,66.5,0.2
189705,72.1,-1.3
189706,81.1,1.3
189707,83.0,1.1
189708,81.5,-0.1
189709,77.1,-0.1
189710,70.7,3.2
189711,58.5,1.1
189712,50.4,-0.5
189801,53.6,4.3
189802,53.6,1.2
189803,61.7,2.7
189804,62.6,-3.7
189805,74.8,1.4
189806,80.2,0.4
189807,81.2,-0.7
189808,81.1,-0.5
189809,78.2,1.0
189810,64.8,-2.7
189811,52.9,-4.5
189812,46.8,-4.1
189901,48.4,-0.9
189902,43.2,-9.2
189903,60.6,1.6
189904,64.6,-1.7
189905,78.1,4.7
189906,80.2,0.4
189907,82.6,0.7
189908,83.3,1.7
189909,74.8,-2.4
189910,69.6,2.1
189911,58.2,0.8
189912,49.4,-1.5
190001,48.7,-0.6
190002,49.0,-3.4
190003,57.7,-1.3
190004,67.0,0.7
190005,73.9,0.5
190006,79.8,0.0
190007,81.0,-0.9
190008,81.5,-0.1
190009,81.4,4.2
190010,70.9,3.4
190011,59.3,1.9
190012,50.8,-0.1
190101,51.8,2.5
190102,48.8,-3.6
190103,57.6,-1.4
190104,62.9,-3.4
190105,72.4,-1.0
190106,81.3,1.5
190107,83.3,1.4
190108,81.9,0.3
190109,75.6,-1.6
190110,66.5,-1.0
190111,54.9,-2.5
190112,48.1,-2.8
190201,46.6,-2.7
190202,46.2,-6.2
190203,60.1,1.1
190204,67.2,0.9
190205,76.9,3.5
190206,81.7,1.9
190207,82.2,0.3
190208,84.0,2.4
190209,75.8,-1.4
190210,66.7,-0.8
190211,62.2,4.8
190212,49.6,-1.3
190301,47.2,-2.1
190302,51.1,-1.3
190303,61.4,2.4
190304,65.3,-1.0
190305,71.6,-1.8
190306,75.5,-4.3
190307,80.6,-1.3
190308,81.4,-0.2
190309,74.9,-2.3
190310,65.6,-1.9
190311,54.9,-2.5
190312,46.6,-4.3
190401,46.0,-3.3
190402,55.8,3.4
190403,63.4,4.4
190404,64.5,-1.8
190405,71.7,-1.7
190406,79.9,0.1
190407,79.7,-2.2
190408,79.7,-1.9
190409,78.8,1.6
190410,68.5,1.0
190411,55.9,-1.5
190412,49.7,-1.2
190501,44.1,-5.2
190502,41.9,-10.5
190503,62.4,3.4
190504,67.3,1.0
190505,76.9,3.5
190506,81.3,1.5
190507,80.1,-1.8
190508,82.4,0.8
190509,78.7,1.5
190510,67.1,-0.4
190511,60.5,3.1
190512,45.1,-5.8
190601,49.5,0.2
190602,48.7,-3.7
190603,55.4,-3.6
190604,67.2,0.9
190605,73.5,0.1
190606,81.5,1.7
190607,81.1,-0.8
190608,81.6,0.0
190609,79.6,2.4
190610,63.4,-4.1
190611,59.8,2.4
190612,55.1,4.2
190701,59.0,9.7
190702,54.5,2.1
190703,68.4,9.4
190704,63.4,-2.9
190705,70.5,-2.9
190706,78.9,-0.9
190707,82.7,0.8
190708,82.6,1.0
190709,78.4,1.2
190710,67.9,0.4
190711,54.6,-2.8
190712,51.7,0.8
190801,49.4,0.1
190802,51.4,-1.0
190803,66.3,7.3
190804,71.5,5.2
190805,73.9,0.5
190806,80.7,0.9
190807,81.2,-0.7
190808,81.5,-0.1
190809,76.8,-0.4
190810,63.0,-4.5
190811,59.6,2.2
190812,54.7,3.8
190901,53.8,4.5
190902,53.5,1.1
190903,60.6,1.6
190904,66.1,-0.2
190905,72.3,-1.1
190906,80.0,0.2
190907,83.7,1.8
190908,82.9,1.3
190909,77.6,0.4
190910,68.1,0.6
190911,63.5,6.1
190912,45.1,-5.8
191001,50.5,1.2
191002,49.0,-3.4
191003,63.8,4.8
191004,65.3,-1.0
191005,72.2,-1.2
191006,77.8,-2.0
191007,81.2,-0.7
191008,82.5,0.9
191009,79.3,2.1
191010,68.4,0.9
191011,58.1,0.7
191012,50.2,-0.7
191101,57.1,7.8
191102,60.0,7.6
191103,63.5,4.5
191104,68.6,2.3
191105,74.0,0.6
191106,82.9,3.1
191107,80.1,-1.8
191108,81.2,-0.4
191109,82.1,4.9
191110,69.5,2.0
191111,54.2,-3.2
191112,52.0,1.1
191201,44.8,-4.5
191202,46.5,-5.9
191203,55.7,-3.3
191204,68.2,1.9
191205,74.6,1.2
191206,77.6,-2.2
191207,82.4,0.5
191208,81.5,-0.1
191209,79.4,2.2
191210,69.5,2.0
191211,54.7,-2.7
191212,49.8,-1.1
191301,54.3,5.0
191302,50.0,-2.4
191303,57.8,-1.2
191304,64.6,-1.7
191305,72.5,-0.9
191306,78.5,-1.3
191307,81.8,-0.1
191308,81.4,-0.2
191309,75.0,-2.2
191310,64.6,-2.9
191311,62.2,4.8
191312,50.2,-0.7
191401,52.6,3.3
191402,48.9,-3.5
191403,54.8,-4.2
191404,66.1,-0.2
191405,73.6,0.2
191406,83.2,3.4
191407,83.1,1.2
191408,80.7,-0.9
191409,77.0,-0.2
191410,67.5,0.0
191411,56.9,-0.5
191412,45.7,-5.2
191501,46.6,-2.7
191502,52.1,-0.3
191503,50.0,-9.0
191504,66.6,0.3
191505,75.1,1.7
191506,81.6,1.8
191507,81.9,0.0
191508,80.2,-1.4
191509,78.5,1.3
191510,69.0,1.5
191511,60.3,2.9
191512,50.8,-0.1
191601,55.4,6.1
191602,52.2,-0.2
191603,60.4,1.4
191604,64.3,-2.0
191605,74.6,1.2
191606,79.8,0.0
191607,81.9,0.0
191608,81.7,0.1
191609,76.0,-1.2
191610,66.7,-0.8
191611,56.6,-0.8
191612,52.0,1.1
191701,52.9,3.6
191702,53.9,1.5
191703,60.6,1.6
191704,64.7,-1.6
191705,69.2,-4.2
191706,79.5,-0.3
191707,82.6,0.7
191708,81.0,-0.6
191709,75.0,-2.2
191710,62.5,-5.0
191711,53.4,-4.0
191712,46.2,-4.7
191801,41.3,-8.0
191802,57.3,4.9
191803,64.8,5.8
191804,65.2,-1.1
191805,74.8,1.4
191806,82.4,2.6
191807,82.1,0.2
191808,81.6,0.0
191809,72.9,-4.3
191810,70.4,2.9
191811,55.2,-2.2
191812,53.2,2.3
191901,46.9,-2.4
191902,52.1,-0.3
191903,59.8,0.8
191904,65.4,-0.9
191905,71.4,-2.0
191906,78.2,-1.6
191907,81.6,-0.3
191908,82.3,0.7
191909,77.3,0.1
191910,74.8,7.3
191911,60.5,3.1
191912,51.6,0.7
192001,50.6,1.3
192002,52.7,0.3
192003,57.2,-1.8
192004,65.8,-0.5
192005,76.0,2.6
192006,78.0,-1.8
192007,81.3,-0.6
192008,79.9,-1.7
192009,79.4,2.2
192010,67.0,-0.5
192011,52.8,-4.6
192012,49.4,-1.5
192101,55.2,5.9
