Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,12.2,-1.0
189502,11.8,-3.2
189503,21.3,-4.6
189504,38.1,-0.2
189505,53.3,2.8
189506,62.7,2.9
189507,63.2,-2.1
189508,61.6,-1.4
189509,55.6,0.7
189510,39.3,-5.0
189511,32.6,0.3
189512,20.7,2.1
189601,10.4,-2.8
189602,13.7,-1.3
189603,20.9,-5.0
189604,38.3,0.0
189605,50.8,0.3
189606,58.9,-0.9
189607,64.8,-0.5
189608,61.7,-1.3
189609,52.8,-2.1
189610,41.3,-3.0
189611,31.4,-0.9
189612,15.0,-3.6
189701,12.8,-0.4
189702,16.0,1.0
189703,23.4,-2.5
189704,38.3,0.0
189705,49.5,-1.0
189706,55.2,-4.6
189707,65.1,-0.2
189708,61.2,-1.8
189709,52.9,-2.0
189710,44.5,0.2
189711,30.0,-2.3
189712,18.7,0.1
189801,9.4,-3.8
189802,19.2,4.2
189803,29.8,3.9
189804,36.2,-2.1
189805,50.4,-0.1
189806,58.8,-1.0
189807,64.8,-0.5
189808,64.1,1.1
189809,55.9,1.0
189810,44.3,0.0
189811,32.4,0.1
189812,16.6,-2.0
189901,11.7,-1.5
189902,11.9,-3.1
189903,21.7,-4.2
189904,39.0,0.7
189905,49.8,-0.7
189906,59.8,0.0
189907,63.8,-1.5
189908,62.4,-0.6
189909,53.1,-1.8
189910,45.6,1.3
189911,30.4,-1.9
189912,22.7,4.1
190001,13.9,0.7
190002,15.5,0.5
190003,21.6,-4.3
190004,39.5,1.2
190005,46.7,-3.8
190006,61.1,1.3
190007,64.8,-0.5
190008,63.7,0.7
190009,56.3,1.4
190010,48.0,3.7
190011,32.2,-0.1
190012,15.6,-3.0
190101,11.0,-2.2
190102,11.1,-3.9
190103,23.8,-2.1
190104,40.4,2.1
190105,50.8,0.3
190106,60.8,1.0
190107,65.5,0.2
190108,63.3,0.3
190109,56.1,1.2
190110,43.9,-0.4
190111,26.3,-6.0
190112,19.0,0.4
190201,12.5,-0.7
190202,16.7,1.7
190203,32.2,6.3
190204,39.2,0.9
190205,47.9,-2.6
190206,55.1,-4.7
190207,61.3,-4.0
190208,60.0,-3.0
190209,55.6,0.7
190210,43.8,-0.5
190211,34.3,2.0
190212,14.7,-3.9
190301,13.4,0.2
190302,16.7,1.7
190303,32.7,6.8
190304,38.9,0.6
190305,51.6,1.1
190306,56.0,-3.8
190307,61.3,-4.0
190308,57.3,-5.7
190309,56.2,1.3
190310,43.8,-0.5
190311,29.4,-2.9
190312,14.3,-4.3
190401,5.9,-7.3
190402,7.5,-7.5
190403,23.8,-2.1
190404,36.5,-1.8
190405,53.9,3.4
190406,58.2,-1.6
190407,65.1,-0.2
190408,60.2,-2.8
190409,51.1,-3.8
190410,41.6,-2.7
190411,26.6,-5.7
190412,7.8,-10.8
190501,7.3,-5.9
190502,9.5,-5.5
190503,23.6,-2.3
190504,38.2,-0.1
190505,49.1,-1.4
190506,57.2,-2.6
190507,65.1,-0.2
190508,60.2,-2.8
190509,53.0,-1.9
190510,42.7,-1.6
190511,29.8,-2.5
190512,19.0,0.4
190601,19.0,5.8
190602,15.5,0.5
190603,18.6,-7.3
190604,35.7,-2.6
190605,47.9,-2.6
190606,58.9,-0.9
190607,64.9,-0.4
190608,64.2,1.2
190609,54.7,-0.2
190610,44.1,-0.2
190611,30.7,-1.6
190612,12.9,-5.7
190701,7.6,-5.6
190702,7.2,-7.8
190703,22.7,-3.2
190704,35.1,-3.2
190705,45.2,-5.3
190706,58.5,-1.3
190707,64.0,-1.3
190708,60.9,-2.1
190709,54.1,-0.8
190710,40.4,-3.9
190711,31.0,-1.3
190712,22.5,3.9
190801,15.4,2.2
190802,12.0,-3.0
190803,23.5,-2.4
190804,35.2,-3.1
190805,51.3,0.8
190806,61.5,1.7
190807,66.8,1.5
190808,61.0,-2.0
190809,58.3,3.4
190810,46.6,2.3
190811,31.0,-1.3
190812,14.4,-4.2
190901,12.5,-0.7
190902,14.4,-0.6
190903,23.5,-2.4
190904,35.6,-2.7
190905,48.6,-1.9
190906,59.9,0.1
190907,62.4,-2.9
190908,61.7,-1.3
190909,54.6,-0.3
190910,45.1,0.8
190911,34.3,2.0
190912,19.4,0.8
191001,17.4,4.2
191002,14.1,-0.9
191003,29.5,3.6
191004,43.0,4.7
191005,49.4,-1.1
191006,57.4,-2.4
191007,65.6,0.3
191008,61.4,-1.6
191009,53.4,-1.5
191010,44.1,-0.2
191011,31.4,-0.9
191012,14.0,-4.6
191101,12.7,-0.5
191102,9.6,-5.4
191103,20.5,-5.4
