Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,22.4,-1.7
189502,18.5,-6.5
189503,30.8,-3.3
189504,43.7,-1.0
189505,57.7,2.0
189506,66.5,2.1
189507,66.0,-3.7
189508,67.4,-0.2
189509,62.0,1.6
189510,44.4,-5.7
189511,40.4,1.2
189512,30.8,2.7
189601,20.5,-3.6
189602,25.1,0.1
189603,28.4,-5.7
189604,46.5,1.8
189605,59.3,3.6
189606,62.8,-1.6
189607,69.9,0.2
189608,68.1,0.5
189609,58.8,-1.6
189610,46.0,-4.1
189611,42.0,2.8
189612,25.1,-3.0
189701,24.4,0.3
189702,25.6,0.6
189703,33.3,-0.8
189704,46.0,1.3
189705,55.8,0.1
189706,60.4,-4.0
189707,70.1,0.4
189708,65.6,-2.0
189709,59.0,-1.4
189710,49.8,-0.3
189711,37.1,-2.1
189712,29.5,1.4
189801,23.6,-0.5
189802,27.1,2.1
189803,39.1,5.0
189804,41.5,-3.2
189805,54.4,-1.3
189806,64.4,0.0
189807,69.8,0.1
189808,69.1,1.5
189809,62.4,2.0
189810,50.7,0.6
189811,37.3,-1.9
189812,26.8,-1.3
189901,23.9,-0.2
189902,21.8,-3.2
189903,30.5,-3.6
189904,44.6,-0.1
189905,56.0,0.3
189906,66.9,2.5
189907,69.2,-0.5
189908,66.6,-1.0
189909,58.6,-1.8
189910,50.8,0.7
189911,37.1,-2.1
189912,30.8,2.7
190001,24.9,0.8
190002,24.2,-0.8
190003,29.1,-5.0
190004,44.3,-0.4
190005,53.4,-2.3
190006,65.3,0.9
190007,70.4,0.7
190008,68.7,1.1
190009,62.4,2.0
190010,53.6,3.5
190011,39.7,0.5
190012,27.7,-0.4
190101,23.1,-1.0
190102,18.7,-6.3
190103,32.2,-1.9
190104,43.5,-1.2
190105,54.0,-1.7
190106,65.3,0.9
190107,71.4,1.7
190108,68.2,0.6
190109,61.3,0.9
190110,49.5,-0.6
190111,32.5,-6.7
190112,27.0,-1.1
190201,22.2,-1.9
190202,24.1,-0.9
190203,39.7,5.6
190204,45.6,0.9
190205,55.1,-0.6
190206,61.7,-2.7
190207,65.7,-4.0
190208,64.3,-3.3
190209,59.5,-0.9
190210,49.3,-0.8
190211,41.7,2.5
190212,23.7,-4.4
190301,24.1,0.0
190302,26.6,1.6
190303,41.3,7.2
190304,45.1,0.4
190305,57.7,2.0
190306,58.4,-6.0
190307,68.4,-1.3
190308,61.4,-6.2
190309,60.4,0.0
190310,49.9,-0.2
190311,34.7,-4.5
190312,22.9,-5.2
190401,15.7,-8.4
190402,17.5,-7.5
190403,30.8,-3.3
190404,42.1,-2.6
190405,58.9,3.2
190406,62.4,-2.0
190407,68.7,-1.0
190408,65.1,-2.5
190409,58.9,-1.5
190410,46.3,-3.8
190411,32.9,-6.3
190412,20.1,-8.0
190501,20.1,-4.0
190502,17.6,-7.4
190503,32.2,-1.9
190504,44.4,-0.3
190505,55.4,-0.3
190506,62.5,-1.9
190507,70.1,0.4
190508,65.0,-2.6
190509,58.7,-1.7
190510,49.4,-0.7
190511,36.1,-3.1
190512,30.0,1.9
190601,29.9,5.8
190602,24.8,-0.2
190603,27.9,-6.2
190604,44.4,-0.3
190605,55.7,0.0
190606,64.0,-0.4
190607,68.8,-0.9
190608,69.6,2.0
190609,62.0,1.6
190610,49.7,-0.4
190611,37.1,-2.1
190612,24.1,-4.0
190701,22.4,-1.7
190702,16.8,-8.2
190703,34.1,0.0
190704,40.4,-4.3
190705,50.4,-5.3
190706,61.6,-2.8
190707,69.3,-0.4
190708,65.5,-2.1
190709,60.7,0.3
190710,45.1,-5.0
190711,37.6,-1.6
190712,31.1,3.0
190801,25.9,1.8
190802,20.9,-4.1
190803,34.1,0.0
190804,43.8,-0.9
190805,57.2,1.5
190806,66.0,1.6
190807,71.3,1.6
190808,65.4,-2.2
190809,61.6,1.2
190810,51.7,1.6
190811,37.5,-1.7
190812,27.5,-0.6
190901,25.7,1.6
190902,28.2,3.2
190903,32.0,-2.1
190904,43.7,-1.0
190905,54.0,-1.7
