Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,40.4,-0.3
189502,43.5,-1.2
189503,50.0,0.5
189504,58.3,1.6
189505,65.8,0.7
189506,71.6,-2.8
189507,78.3,-1.4
189508,77.8,0.0
189509,71.5,-0.5
189510,61.2,0.2
189511,46.0,-3.2
189512,37.5,-4.0
189601,44.6,3.9
189602,45.3,0.6
189603,51.3,1.8
189604,55.2,-1.5
189605,65.8,0.7
189606,77.9,3.5
189607,78.5,-1.2
189608,77.3,-0.5
189609,71.5,-0.5
189610,60.8,-0.2
189611,48.3,-0.9
189612,43.3,1.8
189701,41.2,0.5
189702,41.8,-2.9
189703,45.1,-4.4
189704,57.4,0.7
189705,68.1,3.0
189706,72.7,-1.7
189707,78.8,-0.9
189708,79.0,1.2
189709,72.2,0.2
189710,58.5,-2.5
189711,50.3,1.1
189712,38.4,-3.1
189801,35.1,-5.6
189802,46.9,2.2
189803,47.0,-2.5
189804,61.7,5.0
189805,63.6,-1.5
189806,75.9,1.5
189807,81.0,1.3
189808,79.5,1.7
189809,73.0,1.0
189810,60.6,-0.4
189811,48.2,-1.0
189812,35.7,-5.8
189901,38.0,-2.7
189902,43.2,-1.5
189903,50.1,0.6
189904,58.3,1.6
189905,61.4,-3.7
189906,74.7,0.3
189907,80.2,0.5
189908,76.0,-1.8
189909,75.1,3.1
189910,59.0,-2.0
189911,51.0,1.8
189912,43.0,1.5
190001,45.5,4.8
190002,45.9,1.2
190003,55.0,5.5
190004,52.9,-3.8
190005,67.1,2.0
190006,76.1,1.7
190007,81.0,1.3
190008,75.0,-2.8
190009,68.3,-3.7
190010,60.6,-0.4
190011,51.1,1.9
190012,42.3,0.8
190101,41.5,0.8
190102,45.3,0.6
190103,48.8,-0.7
190104,54.8,-1.9
190105,65.6,0.5
190106,72.8,-1.6
190107,82.4,2.7
190108,79.6,1.8
190109,71.4,-0.6
190110,62.1,1.1
190111,52.7,3.5
190112,42.3,0.8
190201,41.9,1.2
190202,45.7,1.0
190203,46.0,-3.5
190204,59.5,2.8
190205,65.4,0.3
190206,76.8,2.4
190207,77.8,-1.9
190208,78.0,0.2
190209,72.1,0.1
190210,62.8,1.8
190211,48.9,-0.3
190212,40.9,-0.6
190301,41.4,0.7
190302,38.1,-6.6
190303,49.4,-0.1
190304,56.4,-0.3
190305,64.3,-0.8
190306,74.2,-0.2
190307,79.7,0.0
190308,79.6,1.8
190309,70.8,-1.2
190310,60.6,-0.4
190311,52.2,3.0
190312,41.2,-0.3
190401,37.7,-3.0
190402,48.6,3.9
190403,53.0,3.5
190404,57.7,1.0
190405,66.0,0.9
190406,74.6,0.2
190407,78.3,-1.4
190408,77.4,-0.4
190409,70.9,-1.1
