Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,13.3,-4.9
189502,11.5,-7.6
189503,22.8,-6.1
189504,43.8,1.9
189505,55.3,1.7
189506,66.0,2.7
189507,65.2,-2.9
189508,65.7,-0.2
189509,61.2,2.7
189510,40.7,-6.8
189511,31.1,-3.4
189512,24.0,0.7
189601,19.4,1.2
189602,19.3,0.2
189603,22.7,-6.2
189604,45.9,4.0
189605,60.3,6.7
189606,64.3,1.0
189607,67.0,-1.1
189608,65.6,-0.3
189609,54.1,-4.4
189610,41.9,-5.6
189611,32.0,-2.5
189612,24.2,0.9
189701,17.9,-0.3
189702,20.4,1.3
189703,26.2,-2.7
189704,39.9,-2.0
189705,50.2,-3.4
189706,59.8,-3.5
189707,70.4,2.3
189708,62.5,-3.4
189709,61.4,2.9
189710,49.6,2.1
189711,31.3,-3.2
189712,20.5,-2.8
189801,20.8,2.6
189802,19.3,0.2
189803,32.1,3.2
189804,39.9,-2.0
189805,53.6,0.0
189806,64.0,0.7
189807,68.4,0.3
189808,65.2,-0.7
189809,60.7,2.2
189810,46.3,-1.2
189811,31.5,-3.0
189812,19.9,-3.4
189901,15.6,-2.6
189902,9.9,-9.2
189903,20.5,-8.4
189904,43.9,2.0
189905,54.5,0.9
189906,64.4,1.1
189907,66.8,-1.3
189908,67.2,1.3
189909,54.6,-3.9
189910,49.7,2.2
189911,37.6,3.1
189912,23.0,-0.3
190001,21.7,3.5
190002,12.8,-6.3
190003,20.8,-8.1
190004,44.2,2.3
190005,55.0,1.4
190006,62.3,-1.0
190007,66.1,-2.0
190008,70.7,4.8
190009,61.0,2.5
190010,54.4,6.9
190011,31.9,-2.6
190012,23.8,0.5
190101,18.1,-0.1
190102,11.8,-7.3
190103,25.7,-3.2
190104,43.2,1.3
190105,53.2,-0.4
190106,64.9,1.6
190107,71.4,3.3
190108,66.0,0.1
190109,58.5,0.0
190110,47.7,0.2
190111,31.2,-3.3
190112,19.8,-3.5
190201,18.9,0.7
190202,17.2,-1.9
190203,34.4,5.5
190204,42.0,0.1
190205,54.1,0.5
190206,58.8,-4.5
190207,68.3,0.2
190208,62.4,-3.5
190209,56.5,-2.0
190210,46.0,-1.5
190211,39.6,5.1
190212,21.7,-1.6
190301,18.0,-0.2
190302,18.4,-0.7
190303,35.2,6.3
190304,41.8,-0.1
190305,55.6,2.0
190306,59.1,-4.2
190307,66.9,-1.2
190308,61.4,-4.5
190309,57.9,-0.6
190310,47.6,0.1
190311,30.4,-4.1
190312,16.5,-6.8
190401,10.3,-7.9
190402,5.9,-13.2
190403,25.9,-3.0
190404,36.8,-5.1
190405,53.2,-0.4
190406,62.3,-1.0
190407,65.4,-2.7
190408,61.8,-4.1
190409,57.0,-1.5
190410,45.0,-2.5
190411,35.2,0.7
190412,18.9,-4.4
190501,13.5,-4.7
190502,11.1,-8.0
190503,29.2,0.3
190504,40.2,-1.7
190505,51.6,-2.0
190506,61.9,-1.4
190507,66.2,-1.9
190508,65.9,0.0
190509,60.1,1.6
190510,46.4,-1.1
190511,32.5,-2.0
190512,25.7,2.4
190601,25.6,7.4
190602,18.0,-1.1
190603,21.8,-7.1
190604,44.2,2.3
190605,52.5,-1.1
190606,63.0,-0.3
190607,66.4,-1.7
190608,68.4,2.5
190609,62.9,4.4
190610,45.9,-1.6
190611,33.9,-0.6
190612,22.5,-0.8
190701,17.2,-1.0
190702,15.4,-3.7
190703,32.0,3.1
190704,33.5,-8.4
190705,45.6,-8.0
190706,61.6,-1.7
190707,66.1,-2.0
190708,63.1,-2.8
190709,57.7,-0.8
190710,43.1,-4.4
190711,32.5,-2.0
190712,24.6,1.3
190801,20.2,2.0
190802,16.7,-2.4
190803,28.7,-0.2
190804,41.9,0.0
190805,54.3,0.7
190806,63.6,0.3
190807,68.4,0.3
190808,64.8,-1.1
190809,63.4,4.9
190810,49.0,1.5
190811,35.2,0.7
190812,22.5,-0.8
190901,20.8,2.6
190902,21.7,2.6
190903,26.9,-2.0
190904,37.4,-4.5
190905,51.2,-2.4
190906,63.4,0.1
190907,66.4,-1.7
190908,67.4,1.5
190909,56.8,-1.7
190910,43.4,-4.1
190911,39.2,4.7
190912,20.1,-3.2
191001,18.2,0.0
191002,15.7,-3.4
191003,38.7,9.8
191004,45.3,3.4
191005,49.0,-4.6
191006,63.1,-0.2
191007,69.0,0.9
191008,65.0,-0.9
191009,56.9,-1.6
191010,49.3,1.8
191011,30.8,-3.7
191012,18.9,-4.4
191101,19.2,1.0
191102,22.6,3.5
191103,28.8,-0.1
191104,40.4,-1.5
191105,58.8,5.2
191106,65.7,2.4
191107,68.9,0.8
191108,64.8,-1.1
191109,57.6,-0.9
191110,44.9,-2.6
191111,29.9,-4.6
191112,27.8,4.5
191201,4.0,-14.2
191202,11.9,-7.2
191203,19.6,-9.3
191204,41.8,-0.1
191205,54.1,0.5
191206,60.9,-2.4
191207,66.8,-1.3
191208,61.6,-4.3
191209,59.9,1.4
191210,48.5,1.0
191211,34.9,0.4
191212,26.3,3.0
191301,21.4,3.2
191302,13.9,-5.2
191303,26.0,-2.9
191304,42.9,1.0
191305,52.4,-1.2
191306,65.0,1.7
191307,67.3,-0.8
191308,67.0,1.1
191309,58.0,-0.5
191310,47.4,-0.1
191311,38.1,3.6
191312,29.7,6.4
191401,22.7,4.5
191402,9.9,-9.2
191403,26.3,-2.6
191404,40.0,-1.9
191405,55.9,2.3
191406,62.6,-0.7
191407,68.6,0.5
191408,65.4,-0.5
191409,58.2,-0.3
191410,51.8,4.3
191411,33.8,-0.7
191412,18.8,-4.5
191501,16.4,-1.8
191502,24.2,5.1
191503,26.3,-2.6
191504,48.2,6.3
191505,49.3,-4.3
191506,58.3,-5.0
191507,64.5,-3.6
191508,60.8,-5.1
191509,59.5,1.0
191510,47.7,0.2
191511,36.2,1.7
191512,22.0,-1.3
191601,21.7,3.5
191602,14.8,-4.3
191603,21.8,-7.1
191604,41.3,-0.6
191605,52.6,-1.0
191606,58.2,-5.1
191607,73.3,5.2
191608,68.4,2.5
191609,57.0,-1.5
191610,45.8,-1.7
191611,33.6,-0.9
191612,18.8,-4.5
191701,14.6,-3.6
191702,9.2,-9.9
191703,27.8,-1.1
191704,38.1,-3.8
191705,47.0,-6.6
191706,58.2,-5.1
191707,67.5,-0.6
191708,63.2,-2.7
191709,55.7,-2.8
191710,38.9,-8.6
191711,32.8,-1.7
191712,15.3,-8.0
191801,6.2,-12.0
191802,15.3,-3.8
191803,32.0,3.1
191804,39.8,-2.1
191805,56.4,2.8
191806,61.4,-1.9
191807,66.2,-1.9
191808,68.0,2.1
191809,51.8,-6.7
191810,48.6,1.1
191811,36.9,2.4
191812,28.2,4.9
191901,23.8,5.6
191902,22.0,2.9
191903,30.3,1.4
191904,41.5,-0.4
191905,52.1,-1.5
191906,69.4,6.1
191907,69.8,1.7
191908,65.0,-0.9
191909,60.3,1.8
191910,48.0,0.5
191911,31.7,-2.8
191912,15.3,-8.0
192001,9.3,-8.9
192002,14.7,-4.4
192003,29.7,0.8
192004,36.2,-5.7
192005,51.5,-2.1
192006,63.9,0.6
192007,64.5,-3.6
192008,64.4,-1.5
192009,60.8,2.3
192010,53.9,6.4
192011,33.0,-1.5
192012,26.8,3.5
192101,23.6,5.4
192102,23.4,4.3
192103,34.5,5.6
192104,47.6,5.7
192105,56.6,3.0
192106,67.9,4.6
192107,74.7,6.6
192108,65.8,-0.1
192109,63.5,5.0
192110,47.5,0.0
192111,31.1,-3.4
192112,24.0,0.7
192201,16.4,-1.8
192202,19.0,-0.1
192203,30.3,1.4
192204,42.1,0.2
192205,58.8,5.2
192206,64.1,0.8
192207,66.2,-1.9
192208,66.0,0.1
192209,61.1,2.6
192210,48.0,0.5
192211,37.1,2.6
192212,21.3,-2.0
192301,18.8,0.6
192302,12.7,-6.4
192303,21.8,-7.1
192304,38.5,-3.4
192305,51.5,-2.1
192306,66.1,2.8
192307,67.8,-0.3
192308,62.9,-3.0
192309,58.2,-0.3
192310,45.2,-2.3
192311,35.6,1.1
192312,31.2,7.9
192401,13.3,-4.9
192402,17.6,-1.5
192403,26.9,-2.0
192404,40.5,-1.4
192405,46.9,-6.7
192406,60.4,-2.9
192407,64.3,-3.8
192408,63.6,-2.3
192409,54.0,-4.5
192410,50.9,3.4
192411,34.6,0.1
192412,17.0,-6.3
192501,15.3,-2.9
192502,21.9,2.8
192503,30.4,1.5
192504,45.8,3.9
192505,49.4,-4.2
192506,65.1,1.8
192507,65.9,-2.2
192508,66.6,0.7
192509,60.5,2.0
192510,38.1,-9.4
192511,31.7,-2.8
192512,21.1,-2.2
192601,18.9,0.7
192602,19.1,0.0
192603,21.3,-7.6
192604,35.6,-6.3
192605,52.9,-0.7
192606,58.3,-5.0
192607,66.9,-1.2
192608,65.9,0.0
