Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,42.5,-2.6
189502,37.4,-10.9
189503,55.4,-0.2
189504,64.4,0.8
189505,70.2,-1.1
189506,78.4,0.1
189507,80.5,-0.3
189508,80.2,0.0
189509,78.5,3.3
189510,59.5,-5.0
189511,52.8,-1.1
189512,46.0,-0.8
189601,43.8,-1.3
189602,48.0,-0.3
189603,53.2,-2.4
189604,68.8,5.2
189605,77.0,5.7
189606,78.4,0.1
189607,82.8,2.0
189608,82.5,2.3
189609,74.5,-0.7
189610,63.2,-1.3
189611,56.9,3.0
189612,47.2,0.4
189701,41.6,-3.5
189702,51.0,2.7
189703,61.1,5.5
189704,63.3,-0.3
189705,69.7,-1.6
189706,80.8,2.5
189707,82.3,1.5
189708,80.2,0.0
189709,76.6,1.4
189710,68.2,3.7
189711,54.9,1.0
189712,47.0,0.2
189801,49.8,4.7
189802,48.1,-0.2
189803,59.0,3.4
189804,59.9,-3.7
189805,74.1,2.8
189806,80.5,2.2
189807,80.3,-0.5
189808,80.2,0.0
189809,76.1,0.9
189810,61.0,-3.5
189811,49.8,-4.1
189812,42.4,-4.4
189901,44.4,-0.7
189902,37.5,-10.8
189903,56.0,0.4
189904,62.5,-1.1
189905,76.9,5.6
189906,79.8,1.5
189907,81.4,0.6
189908,82.4,2.2
189909,72.9,-2.3
189910,67.3,2.8
189911,56.0,2.1
189912,44.9,-1.9
190001,44.5,-0.6
190002,44.8,-3.5
190003,53.5,-2.1
190004,64.4,0.8
190005,71.7,0.4
190006,77.3,-1.0
190007,80.5,-0.3
190008,81.5,1.3
190009,79.1,3.9
190010,68.0,3.5
190011,55.0,1.1
190012,47.1,0.3
190101,47.0,1.9
190102,44.2,-4.1
190103,54.3,-1.3
190104,59.4,-4.2
190105,70.1,-1.2
190106,80.2,1.9
190107,83.3,2.5
190108,80.1,-0.1
190109,73.0,-2.2
190110,63.7,-0.8
190111,50.5,-3.4
190112,42.5,-4.3
190201,43.0,-2.1
190202,41.0,-7.3
190203,56.6,1.0
190204,63.7,0.1
190205,76.2,4.9
190206,81.3,3.0
190207,82.5,1.7
190208,82.4,2.2
190209,73.1,-2.1
190210,63.9,-0.6
190211,59.1,5.2
190212,45.8,-1.0
190301,44.2,-0.9
190302,47.8,-0.5
190303,59.1,3.5
190304,62.7,-0.9
190305,70.7,-0.6
190306,73.8,-4.5
190307,80.9,0.1
190308,80.7,0.5
190309,73.2,-2.0
190310,63.8,-0.7
190311,50.9,-3.0
190312,42.0,-4.8
190401,42.0,-3.1
190402,50.6,2.3
190403,59.5,3.9
190404,61.0,-2.6
190405,70.2,-1.1
190406,78.5,0.2
190407,79.0,-1.8
190408,79.4,-0.8
190409,77.7,2.5
190410,65.4,0.9
190411,52.4,-1.5
190412,46.2,-0.6
190501,39.2,-5.9
190502,38.4,-9.9
190503,60.0,4.4
190504,64.2,0.6
190505,74.6,3.3
190506,79.6,1.3
190507,79.3,-1.5
190508,80.8,0.6
190509,76.5,1.3
190510,64.1,-0.4
190511,56.3,2.4
190512,42.3,-4.5
190601,46.2,1.1
190602,45.0,-3.3
190603,51.0,-4.6
190604,65.4,1.8
190605,70.4,-0.9
190606,79.4,1.1
190607,79.5,-1.3
190608,80.7,0.5
190609,78.3,3.1
190610,61.2,-3.3
190611,55.7,1.8
190612,51.0,4.2
190701,54.7,9.6
190702,49.9,1.6
190703,65.1,9.5
190704,58.9,-4.7
190705,67.9,-3.4
190706,76.5,-1.8
190707,81.7,0.9
190708,81.9,1.7
190709,75.4,0.2
190710,64.2,-0.3
190711,51.0,-2.9
190712,47.0,0.2
190801,44.9,-0.2
190802,46.3,-2.0
190803,62.9,7.3
190804,68.4,4.8
190805,72.2,0.9
190806,78.5,0.2
190807,80.4,-0.4
190808,79.9,-0.3
