Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,24.5,-4.9
189502,23.6,-10.1
189503,42.6,-0.9
189504,58.0,3.4
189505,64.8,0.5
189506,73.5,0.5
189507,74.7,-2.9
189508,75.4,-0.6
189509,71.6,3.3
189510,51.3,-5.8
189511,41.1,-2.5
189512,34.0,1.0
189601,32.3,2.9
189602,35.5,1.8
189603,38.5,-5.0
189604,61.8,7.2
189605,70.0,5.7
189606,72.7,-0.3
189607,77.6,0.0
189608,76.7,0.7
189609,65.2,-3.1
189610,54.0,-3.1
189611,42.1,-1.5
189612,38.2,5.2
189701,27.7,-1.7
189702,34.5,0.8
189703,44.0,0.5
189704,54.0,-0.6
189705,62.2,-2.1
189706,73.6,0.6
189707,78.9,1.3
189708,74.1,-1.9
189709,73.8,5.5
189710,62.5,5.4
189711,42.7,-0.9
189712,28.7,-4.3
189801,33.9,4.5
189802,34.9,1.2
189803,44.4,0.9
189804,52.0,-2.6
189805,65.4,1.1
189806,75.4,2.4
189807,76.2,-1.4
189808,75.7,-0.3
189809,70.8,2.5
189810,53.2,-3.9
189811,39.4,-4.2
189812,28.2,-4.8
189901,29.4,0.0
189902,20.1,-13.6
189903,37.1,-6.4
189904,53.6,-1.0
189905,66.9,2.6
189906,74.0,1.0
189907,75.9,-1.7
189908,78.7,2.7
189909,67.0,-1.3
189910,61.8,4.7
189911,48.5,4.9
189912,29.8,-3.2
190001,33.7,4.3
190002,26.1,-7.6
190003,40.6,-2.9
190004,55.9,1.3
190005,65.9,1.6
190006,73.0,0.0
190007,76.6,-1.0
190008,79.9,3.9
190009,70.9,2.6
190010,61.5,4.4
190011,43.0,-0.6
190012,35.0,2.0
190101,34.0,4.6
190102,27.9,-5.8
190103,42.6,-0.9
190104,52.8,-1.8
190105,63.5,-0.8
190106,77.5,4.5
190107,85.0,7.4
190108,78.1,2.1
190109,68.4,0.1
190110,59.2,2.1
190111,42.5,-1.1
190112,27.9,-5.1
190201,29.3,-0.1
190202,23.4,-10.3
190203,44.8,1.3
190204,53.2,-1.4
190205,69.3,5.0
190206,70.9,-2.1
190207,76.8,-0.8
190208,74.9,-1.1
190209,62.4,-5.9
190210,58.5,1.4
190211,49.2,5.6
190212,30.1,-2.9
190301,30.5,1.1
190302,29.3,-4.4
190303,46.1,2.6
190304,55.1,0.5
190305,64.8,0.5
190306,66.9,-6.1
190307,77.2,-0.4
190308,74.2,-1.8
190309,65.9,-2.4
190310,56.3,-0.8
190311,39.9,-3.7
190312,29.5,-3.5
190401,26.4,-3.0
190402,29.9,-3.8
190403,44.4,0.9
190404,48.3,-6.3
190405,63.0,-1.3
190406,70.4,-2.6
190407,74.0,-3.6
190408,73.2,-2.8
190409,69.1,0.8
190410,56.8,-0.3
190411,44.9,1.3
190412,32.2,-0.8
190501,21.3,-8.1
190502,20.8,-12.9
190503,49.3,5.8
190504,54.2,-0.4
190505,64.8,0.5
190506,74.8,1.8
190507,73.2,-4.4
190508,75.8,-0.2
190509,69.0,0.7
190510,54.3,-2.8
190511,44.7,1.1
190512,32.0,-1.0
190601,33.5,4.1
190602,32.0,-1.7
190603,32.8,-10.7
190604,58.2,3.6
190605,65.4,1.1
190606,71.7,-1.3
190607,73.9,-3.7
190608,75.6,-0.4
190609,71.3,3.0
190610,54.8,-2.3
190611,40.5,-3.1
190612,35.3,2.3
190701,34.3,4.9
190702,33.6,-0.1
190703,52.4,8.9
190704,47.2,-7.4
190705,58.7,-5.6
190706,70.2,-2.8
190707,77.5,-0.1
190708,76.5,0.5
190709,67.7,-0.6
190710,55.2,-1.9
190711,41.7,-1.9
190712,35.7,2.7
190801,32.0,2.6
190802,33.7,0.0
190803,48.5,5.0
190804,54.8,0.2
190805,65.4,1.1
190806,71.3,-1.7
190807,75.7,-1.9
190808,75.3,-0.7
190809,70.1,1.8
190810,54.8,-2.3
190811,45.2,1.6
190812,36.6,3.6
190901,31.5,2.1
190902,37.0,3.3
190903,42.9,-0.6
190904,53.2,-1.4
190905,62.4,-1.9
190906,73.0,0.0
190907,76.4,-1.2
190908,79.0,3.0
190909,68.0,-0.3
190910,56.0,-1.1
190911,51.9,8.3
190912,23.7,-9.3
191001,30.6,1.2
191002,28.4,-5.3
191003,55.2,11.7
191004,54.3,-0.3
191005,60.2,-4.1
191006,70.1,-2.9
191007,76.8,-0.8
191008,74.6,-1.4
191009,69.0,0.7
191010,58.5,1.4
191011,41.2,-2.4
191012,30.2,-2.8
191101,34.2,4.8
191102,37.8,4.1
191103,46.1,2.6
191104,53.0,-1.6
191105,68.4,4.1
191106,78.5,5.5
191107,77.7,0.1
191108,75.2,-0.8
191109,73.1,4.8
191110,55.9,-1.2
191111,37.8,-5.8
191112,35.3,2.3
191201,18.4,-11.0
191202,26.9,-6.8
191203,34.2,-9.3
191204,55.0,0.4
191205,67.0,2.7
191206,69.0,-4.0
191207,78.4,0.8
191208,75.6,-0.4
191209,68.0,-0.3
191210,57.9,0.8
191211,44.0,0.4
191212,34.9,1.9
191301,31.2,1.8
191302,28.9,-4.8
191303,39.7,-3.8
191304,54.9,0.3
