Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,9.6,-7.2
189502,15.3,-6.0
189503,28.6,-0.8
189504,44.7,4.0
189505,49.2,-1.1
189506,54.5,-3.8
189507,63.2,-2.5
189508,62.2,-1.8
189509,50.7,-3.1
189510,42.8,-0.4
189511,27.0,-2.5
189512,20.1,-0.6
189601,15.7,-1.1
189602,26.5,5.2
189603,23.7,-5.7
189604,37.9,-2.8
189605,47.0,-3.3
189606,60.3,2.0
189607,66.0,0.3
189608,62.2,-1.8
189609,49.4,-4.4
189610,42.4,-0.8
189611,12.9,-16.6
189612,29.2,8.5
189701,16.2,-0.6
189702,17.7,-3.6
189703,16.8,-12.6
189704,42.6,1.9
189705,56.8,6.5
189706,57.9,-0.4
189707,62.9,-2.8
189708,65.3,1.3
189709,56.9,3.1
189710,42.9,-0.3
189711,22.5,-7.0
189712,19.7,-1.0
189801,19.3,2.5
189802,25.6,4.3
189803,20.7,-8.7
189804,41.2,0.5
189805,49.0,-1.3
189806,57.6,-0.7
189807,64.0,-1.7
189808,66.2,2.2
189809,53.5,-0.3
189810,37.1,-6.1
189811,25.4,-4.1
189812,18.5,-2.2
189901,16.8,0.0
189902,6.5,-14.8
189903,17.1,-12.3
189904,36.9,-3.8
189905,45.4,-4.9
189906,56.0,-2.3
189907,65.2,-0.5
189908,60.3,-3.7
189909,56.0,2.2
189910,39.6,-3.6
189911,37.0,7.5
189912,20.4,-0.3
190001,25.8,9.0
190002,16.7,-4.6
190003,31.9,2.5
190004,45.2,4.5
190005,54.6,4.3
190006,64.2,5.9
190007,64.9,-0.8
190008,62.2,-1.8
190009,52.0,-1.8
190010,43.4,0.2
190011,25.4,-4.1
190012,27.9,7.2
190101,18.4,1.6
190102,16.4,-4.9
190103,31.4,2.0
190104,40.9,0.2
190105,56.1,5.8
190106,53.0,-5.3
190107,67.9,2.2
190108,65.6,1.6
190109,48.7,-5.1
190110,46.7,3.5
190111,33.4,3.9
190112,23.1,2.4
190201,19.0,2.2
190202,21.4,0.1
190203,28.8,-0.6
190204,38.6,-2.1
190205,51.7,1.4
190206,54.6,-3.7
190207,61.8,-3.9
190208,62.2,-1.8
190209,51.3,-2.5
190210,44.2,1.0
190211,27.8,-1.7
190212,16.3,-4.4
190301,21.9,5.1
190302,14.3,-7.0
190303,24.4,-5.0
190304,39.4,-1.3
190305,47.5,-2.8
190306,60.0,1.7
190307,61.4,-4.3
190308,61.8,-2.2
190309,50.8,-3.0
190310,45.3,2.1
190311,26.6,-2.9
190312,25.6,4.9
190401,20.3,3.5
190402,12.4,-8.9
190403,21.4,-8.0
190404,41.6,0.9
190405,49.7,-0.6
190406,57.1,-1.2
190407,64.2,-1.5
190408,62.9,-1.1
190409,54.3,0.5
190410,45.3,2.1
190411,37.2,7.7
190412,23.9,3.2
190501,14.3,-2.5
190502,14.3,-7.0
190503,36.3,6.9
190504,40.8,0.1
190505,46.8,-3.5
190506,55.3,-3.0
190507,64.5,-1.2
190508,65.8,1.8
190509,56.8,3.0
190510,38.4,-4.8
190511,31.5,2.0
190512,22.3,1.6
190601,22.0,5.2
190602,25.0,3.7
190603,22.6,-6.8
190604,44.8,4.1
190605,48.4,-1.9
190606,55.5,-2.8
190607,66.1,0.4
190608,62.8,-1.2
190609,56.8,3.0
190610,44.8,1.6
190611,27.7,-1.8
