Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,16.7,-5.5
189502,18.4,-8.3
189503,34.4,-1.4
189504,53.6,5.9
189505,59.0,0.6
189506,66.2,-2.1
189507,71.0,-3.5
189508,71.0,-1.4
189509,65.5,2.7
189510,46.1,-4.7
189511,32.4,-3.5
189512,25.8,0.5
189601,26.9,4.7
189602,31.2,4.5
189603,28.8,-7.0
189604,50.4,2.7
189605,62.2,3.8
189606,68.8,0.5
189607,72.8,-1.7
189608,71.2,-1.2
189609,58.2,-4.6
189610,46.7,-4.1
189611,24.7,-11.2
189612,32.4,7.1
189701,20.2,-2.0
189702,25.8,-0.9
189703,32.4,-3.4
189704,46.6,-1.1
189705,59.7,1.3
189706,67.7,-0.6
189707,74.1,-0.4
189708,69.1,-3.3
189709,69.4,6.6
189710,52.0,1.2
189711,33.1,-2.8
189712,21.0,-4.3
189801,25.2,3.0
189802,29.4,2.7
189803,33.9,-1.9
189804,47.4,-0.3
189805,55.8,-2.6
189806,69.5,1.2
189807,72.9,-1.6
189808,72.8,0.4
189809,62.2,-0.6
189810,45.0,-5.8
189811,29.8,-6.1
189812,21.6,-3.7
189901,21.4,-0.8
189902,10.4,-16.3
189903,25.4,-10.4
189904,47.2,-0.5
189905,58.0,-0.4
189906,68.6,0.3
189907,72.6,-1.9
189908,72.9,0.5
189909,63.1,0.3
189910,51.0,0.2
189911,41.9,6.0
189912,23.8,-1.5
190001,29.0,6.8
190002,19.8,-6.9
190003,35.2,-0.6
190004,50.1,2.4
190005,62.2,3.8
190006,70.8,2.5
190007,73.2,-1.3
190008,75.6,3.2
190009,62.9,0.1
190010,54.2,3.4
190011,34.0,-1.9
190012,30.5,5.2
190101,25.3,3.1
190102,19.3,-7.4
190103,34.7,-1.1
190104,47.5,-0.2
190105,59.5,1.1
190106,69.3,1.0
190107,80.5,6.0
190108,73.4,1.0
190109,61.1,-1.7
190110,52.3,1.5
190111,38.2,2.3
190112,22.8,-2.5
190201,23.5,1.3
190202,22.6,-4.1
190203,37.6,1.8
190204,47.7,0.0
190205,61.9,3.5
190206,65.3,-3.0
190207,71.5,-3.0
190208,70.6,-1.8
190209,58.7,-4.1
190210,52.1,1.3
190211,37.2,1.3
190212,19.4,-5.9
190301,25.0,2.8
190302,17.7,-9.0
190303,34.2,-1.6
190304,48.4,0.7
190305,57.3,-1.1
190306,63.2,-5.1
190307,72.4,-2.1
190308,69.7,-2.7
190309,59.6,-3.2
190310,51.8,1.0
190311,35.4,-0.5
190312,26.8,1.5
190401,21.8,-0.4
190402,23.3,-3.4
190403,37.2,1.4
190404,45.2,-2.5
190405,58.2,-0.2
190406,65.3,-3.0
190407,70.4,-4.1
190408,70.1,-2.3
190409,62.6,-0.2
190410,52.5,1.7
190411,40.3,4.4
190412,26.8,1.5
190501,16.0,-6.2
190502,14.6,-12.1
190503,41.7,5.9
190504,45.2,-2.5
190505,55.0,-3.4
190506,67.6,-0.7
190507,69.8,-4.7
190508,73.3,0.9
190509,64.8,2.0
190510,46.4,-4.4
190511,38.6,2.7
190512,27.8,2.5
190601,28.4,6.2
190602,28.1,1.4
190603,24.4,-11.4
190604,51.1,3.4
190605,59.2,0.8
190606,65.6,-2.7
190607,69.6,-4.9
190608,71.4,-1.0
190609,63.4,0.6
190610,47.6,-3.2
190611,34.4,-1.5
190612,29.4,4.1
190701,18.0,-4.2
190702,29.0,2.3
190703,41.9,6.1
190704,41.4,-6.3
190705,52.6,-5.8
190706,66.2,-2.1
190707,73.1,-1.4
190708,72.0,-0.4
190709,62.0,-0.8
190710,51.2,0.4
190711,35.3,-0.6
190712,27.6,2.3
190801,28.4,6.2
190802,27.3,0.6
190803,38.7,2.9
190804,50.1,2.4
190805,55.9,-2.5
190806,65.5,-2.8
190807,71.8,-2.7
190808,69.4,-3.0
190809,67.0,4.2
190810,48.4,-2.4
190811,37.0,1.1
190812,26.7,1.4
190901,21.7,-0.5
190902,26.6,-0.1
190903,33.6,-2.2
190904,43.3,-4.4
190905,56.4,-2.0
190906,68.1,-0.2
190907,73.7,-0.8
190908,75.7,3.3
190909,62.6,-0.2
190910,50.0,-0.8
190911,38.1,2.2
190912,12.6,-12.7
191001,20.3,-1.9
191002,22.9,-3.8
191003,49.9,14.1
191004,51.9,4.2
191005,54.3,-4.1
191006,68.5,0.2
191007,74.4,-0.1
191008,69.4,-3.0
191009,63.8,1.0
