Nevada, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,27.3,-2.7
189502,31.5,-2.7
189503,38.4,-1.2
189504,47.3,0.7
189505,55.2,0.2
189506,62.9,-1.0
189507,70.6,-1.5
189508,71.2,1.1
189509,59.9,-1.8
189510,50.7,0.0
189511,35.8,-3.1
189512,28.0,-3.2
189601,34.2,4.2
189602,36.1,1.9
189603,38.9,-0.7
189604,41.6,-5.0
189605,50.1,-4.9
189606,67.7,3.8
189607,73.1,1.0
189608,69.7,-0.4
189609,60.3,-1.4
189610,51.8,1.1
189611,37.4,-1.5
189612,36.1,4.9
189701,31.6,1.6
189702,30.2,-4.0
189703,31.1,-8.5
189704,47.7,1.1
189705,60.3,5.3
189706,62.9,-1.0
189707,69.9,-2.2
189708,72.7,2.6
189709,61.0,-0.7
189710,48.2,-2.5
189711,40.2,1.3
189712,28.8,-2.4
189801,21.9,-8.1
189802,37.2,3.0
189803,34.5,-5.1
189804,51.4,4.8
189805,52.9,-2.1
189806,65.2,1.3
189807,73.2,1.1
189808,72.8,2.7
189809,61.9,0.2
189810,47.6,-3.1
189811,36.6,-2.3
189812,27.0,-4.2
189901,32.8,2.8
189902,34.2,0.0
189903,39.0,-0.6
189904,47.2,0.6
189905,49.3,-5.7
189906,63.0,-0.9
189907,72.6,0.5
189908,64.7,-5.4
189909,63.8,2.1
189910,47.2,-3.5
189911,41.7,2.8
189912,29.2,-2.0
190001,37.0,7.0
190002,36.8,2.6
190003,44.5,4.9
190004,43.8,-2.8
190005,56.6,1.6
190006,68.4,4.5
190007,71.6,-0.5
190008,66.0,-4.1
190009,56.2,-5.5
190010,48.4,-2.3
190011,41.2,2.3
190012,33.7,2.5
190101,30.8,0.8
190102,33.0,-1.2
190103,39.0,-0.6
190104,44.9,-1.7
190105,56.7,1.7
190106,61.7,-2.2
190107,73.4,1.3
190108,70.2,0.1
190109,58.5,-3.2
190110,52.8,2.1
190111,43.4,4.5
190112,33.6,2.4
190201,29.2,-0.8
190202,37.3,3.1
190203,35.0,-4.6
190204,46.6,0.0
190205,54.0,-1.0
190206,66.1,2.2
190207,68.6,-3.5
190208,68.4,-1.7
190209,61.7,0.0
190210,51.0,0.3
190211,36.6,-2.3
190212,32.3,1.1
190301,32.2,2.2
190302,20.7,-13.5
190303,38.2,-1.4
190304,44.5,-2.1
190305,54.2,-0.8
190306,65.8,1.9
190307,68.1,-4.0
190308,70.2,0.1
190309,59.4,-2.3
190310,51.8,1.1
190311,42.0,3.1
190312,30.5,-0.7
190401,28.4,-1.6
190402,36.1,1.9
190403,40.1,0.5
190404,46.4,-0.2
190405,55.9,0.9
190406,63.9,0.0
190407,70.2,-1.9
190408,70.6,0.5
190409,62.2,0.5
190410,49.0,-1.7
190411,41.8,2.9
190412,31.8,0.6
190501,33.6,3.6
190502,34.9,0.7
190503,41.6,2.0
190504,47.0,0.4
190505,50.6,-4.4
190506,62.4,-1.5
190507,72.1,0.0
190508,70.3,0.2
190509,61.6,-0.1
190510,47.4,-3.3
190511,37.4,-1.5
190512,24.3,-6.9
190601,29.4,-0.6
190602,36.8,2.6
190603,37.1,-2.5
190604,46.4,-0.2
190605,52.8,-2.2
190606,60.6,-3.3
190607,73.5,1.4
190608,70.1,0.0
190609,60.7,-1.0
190610,50.9,0.2
190611,35.1,-3.8
190612,33.5,2.3
190701,26.6,-3.4
190702,41.4,7.2
190703,38.9,-0.7
190704,49.5,2.9
190705,52.5,-2.5
190706,57.4,-6.5
190707,69.4,-2.7
190708,66.6,-3.5
190709,59.2,-2.5
190710,52.2,1.5
190711,38.8,-0.1
190712,34.4,3.2
190801,32.7,2.7
190802,34.1,-0.1
190803,40.4,0.8
190804,49.0,2.4
190805,49.4,-5.6
190806,59.9,-4.0
190807,73.6,1.5
190808,69.2,-0.9
190809,60.2,-1.5
190810,46.3,-4.4
190811,38.5,-0.4
190812,28.8,-2.4
190901,36.4,6.4
190902,34.1,-0.1
190903,38.0,-1.6
190904,46.4,-0.2
190905,52.6,-2.4
190906,66.3,2.4
190907,70.3,-1.8
190908,70.4,0.3
190909,60.5,-1.2
190910,50.5,-0.2
190911,39.5,0.6
190912,23.6,-7.6
191001,23.7,-6.3
191002,29.6,-4.6
191003,45.7,6.1
191004,50.8,4.2
191005,58.4,3.4
191006,65.2,1.3
191007,73.0,0.9
191008,69.6,-0.5
191009,61.7,0.0
191010,51.6,0.9
191011,41.6,2.7
191012,33.8,2.6
191101,32.6,2.6
191102,27.5,-6.7
191103,41.3,1.7
191104,44.6,-2.0
191105,51.4,-3.6
191106,63.9,0.0
191107,71.4,-0.7
191108,68.1,-2.0
191109,59.0,-2.7
191110,47.5,-3.2
191111,36.2,-2.7
191112,26.6,-4.6
191201,31.6,1.6
191202,36.1,1.9
191203,37.3,-2.3
191204,42.6,-4.0
191205,52.7,-2.3
191206,63.4,-0.5
191207,68.2,-3.9
191208,67.5,-2.6
191209,56.3,-5.4
191210,46.1,-4.6
191211,40.2,1.3
191212,29.4,-1.8
191301,25.7,-4.3
191302,30.4,-3.8
191303,37.1,-2.5
191304,45.8,-0.8
191305,55.8,0.8
191306,60.8,-3.1
191307,68.6,-3.5
191308,69.5,-0.6
191309,61.7,0.0
191310,48.5,-2.2
191311,40.2,1.3
191312,28.9,-2.3
191401,33.2,3.2
191402,33.9,-0.3
191403,43.4,3.8
191404,47.5,0.9
191405,57.4,2.4
191406,61.4,-2.5
191407,71.7,-0.4
191408,71.2,1.1
191409,61.0,-0.7
191410,51.2,0.5
191411,40.9,2.0
191412,24.0,-7.2
191501,29.1,-0.9
191502,35.3,1.1
191503,41.6,2.0
191504,49.2,2.6
191505,51.8,-3.2
191506,61.8,-2.1
191507,70.1,-2.0
191508,72.5,2.4
191509,59.9,-1.8
191510,52.9,2.2
191511,38.9,0.0
191512,32.0,0.8
191601,23.9,-6.1
191602,35.9,1.7
191603,43.5,3.9
191604,48.8,2.2
191605,51.7,-3.3
191606,62.3,-1.6
191607,70.4,-1.7
191608,67.4,-2.7
