New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,15.7,-1.4
189502,13.3,-5.2
189503,24.4,-4.4
189504,40.2,-0.5
189505,55.7,3.1
189506,65.0,3.5
189507,64.0,-2.5
189508,63.1,-1.0
189509,57.7,1.1
189510,40.3,-5.5
189511,34.9,0.7
189512,24.1,2.4
189601,14.8,-2.3
189602,18.0,-0.5
189603,22.8,-6.0
189604,42.3,1.6
189605,56.0,3.4
189606,60.6,-0.9
189607,67.6,1.1
189608,64.6,0.5
189609,55.2,-1.4
189610,42.5,-3.3
189611,36.0,1.8
189612,18.8,-2.9
189701,17.9,0.8
189702,19.5,1.0
189703,27.3,-1.5
189704,42.1,1.4
189705,53.0,0.4
189706,57.4,-4.1
189707,68.8,2.3
189708,62.7,-1.4
189709,55.3,-1.3
189710,45.2,-0.6
189711,31.3,-2.9
189712,22.4,0.7
189801,15.2,-1.9
189802,22.2,3.7
189803,33.7,4.9
189804,37.8,-2.9
189805,51.9,-0.7
189806,61.7,0.2
189807,67.3,0.8
189808,65.9,1.8
189809,58.6,2.0
189810,46.6,0.8
189811,32.4,-1.8
189812,20.1,-1.6
189901,15.9,-1.2
189902,16.0,-2.5
189903,24.3,-4.5
189904,39.7,-1.0
189905,52.5,-0.1
189906,63.2,1.7
189907,66.0,-0.5
189908,63.8,-0.3
189909,54.5,-2.1
189910,46.7,0.9
189911,31.5,-2.7
189912,25.1,3.4
190001,17.2,0.1
190002,17.5,-1.0
190003,22.2,-6.6
190004,40.1,-0.6
190005,49.0,-3.6
190006,62.9,1.4
190007,67.0,0.5
190008,65.1,1.0
190009,58.2,1.6
190010,50.3,4.5
190011,35.0,0.8
190012,19.9,-1.8
190101,15.8,-1.3
190102,12.3,-6.2
190103,26.9,-1.9
190104,42.5,1.8
190105,52.5,-0.1
190106,63.5,2.0
190107,68.5,2.0
190108,65.4,1.3
190109,57.6,1.0
190110,45.5,-0.3
190111,27.7,-6.5
190112,21.5,-0.2
190201,15.4,-1.7
190202,18.8,0.3
190203,35.6,6.8
190204,42.0,1.3
190205,51.2,-1.4
190206,58.0,-3.5
190207,63.1,-3.4
190208,60.7,-3.4
190209,56.8,0.2
190210,44.5,-1.3
190211,37.0,2.8
190212,17.6,-4.1
190301,17.2,0.1
190302,20.7,2.2
190303,36.7,7.9
190304,40.7,0.0
190305,54.6,2.0
190306,56.4,-5.1
190307,64.6,-1.9
190308,57.6,-6.5
190309,57.5,0.9
190310,45.3,-0.5
190311,29.9,-4.3
190312,17.1,-4.6
190401,9.1,-8.0
190402,11.4,-7.1
190403,25.8,-3.0
190404,38.3,-2.4
190405,57.0,4.4
190406,60.5,-1.0
190407,65.6,-0.9
190408,61.6,-2.5
190409,54.2,-2.4
190410,41.9,-3.9
190411,27.1,-7.1
190412,12.8,-8.9
190501,12.8,-4.3
190502,11.8,-6.7
190503,26.4,-2.4
190504,39.6,-1.1
190505,51.8,-0.8
190506,59.3,-2.2
190507,66.7,0.2
190508,61.6,-2.5
190509,55.2,-1.4
190510,44.8,-1.0
190511,30.8,-3.4
190512,23.4,1.7
190601,23.6,6.5
190602,18.4,-0.1
190603,21.8,-7.0
190604,39.4,-1.3
190605,51.2,-1.4
190606,60.8,-0.7
190607,65.9,-0.6
190608,66.6,2.5
190609,58.2,1.6
190610,45.8,0.0
190611,31.8,-2.4
190612,15.9,-5.8
190701,13.8,-3.3
190702,10.4,-8.1
190703,27.6,-1.2
190704,36.5,-4.2
190705,47.0,-5.6
190706,60.0,-1.5
190707,65.9,-0.6
190708,61.6,-2.5
190709,56.6,0.0
190710,40.7,-5.1
190711,32.1,-2.1
190712,25.3,3.6
190801,19.0,1.9
190802,14.4,-4.1
190803,28.1,-0.7
190804,38.1,-2.6
190805,54.8,2.2
190806,62.4,0.9
190807,68.7,2.2
190808,62.0,-2.1
190809,59.4,2.8
190810,47.6,1.8
190811,32.8,-1.4
190812,20.2,-1.5
190901,18.6,1.5
190902,20.3,1.8
190903,26.1,-2.7
190904,39.4,-1.3
190905,50.5,-2.1
190906,61.9,0.4
190907,63.5,-3.0
190908,62.0,-2.1
190909,55.7,-0.9
190910,44.2,-1.6
190911,36.4,2.2
190912,20.2,-1.5
191001,19.8,2.7
191002,17.0,-1.5
191003,33.5,4.7
191004,45.5,4.8
191005,51.6,-1.0
191006,58.9,-2.6
191007,67.1,0.6
191008,62.0,-2.1
191009,55.8,-0.8
191010,46.2,0.4
191011,32.0,-2.2
191012,15.4,-6.3
191101,18.9,1.8
191102,15.0,-3.5
191103,23.9,-4.9
191104,37.6,-3.1
191105,58.7,6.1
191106,59.5,-2.0
191107,69.4,2.9
191108,63.4,-0.7
191109,54.5,-2.1
191110,43.9,-1.9
191111,31.6,-2.6
191112,28.1,6.4
191201,8.4,-8.7
191202,15.8,-2.7
191203,24.2,-4.6
191204,39.9,-0.8
191205,53.1,0.5
191206,58.8,-2.7
191207,66.2,-0.3
191208,60.1,-4.0
191209,55.1,-1.5
191210,47.2,1.4
191211,34.5,0.3
191212,26.6,4.9
191301,26.4,9.3
191302,16.1,-2.4
191303,32.4,3.6
191304,42.5,1.8
191305,49.7,-2.9
191306,59.9,-1.6
191307,66.2,-0.3
191308,63.3,-0.8
191309,54.9,-1.7
191310,50.2,4.4
191311,36.4,2.2
191312,25.3,3.6
191401,14.9,-2.2
191402,11.0,-7.5
191403,28.0,-0.8
191404,37.0,-3.7
191405,53.7,1.1
191406,59.0,-2.5
191407,63.5,-3.0
191408,63.4,-0.7
191409,55.7,-0.9
191410,48.9,3.1
191411,31.0,-3.2
191412,18.8,-2.9
191501,20.3,3.2
191502,23.3,4.8
191503,25.9,-2.9
191504,45.1,4.4
191505,49.1,-3.5
191506,59.4,-2.1
191507,64.4,-2.1
191508,62.3,-1.8
191509,59.4,2.8
191510,46.9,1.1
191511,35.0,0.8
191512,22.8,1.1
191601,20.4,3.3
191602,15.6,-2.9
191603,20.7,-8.1
191604,39.9,-0.8
191605,52.0,-0.6
191606,57.4,-4.1
191607,68.4,1.9
191608,65.4,1.3
191609,56.0,-0.6
191610,46.1,0.3
191611,31.3,-2.9
191612,20.4,-1.3
191701,16.3,-0.8
191702,13.6,-4.9
191703,26.9,-1.9
191704,37.4,-3.3
191705,44.3,-8.3
191706,60.3,-1.2
191707,67.5,1.0
191708,66.0,1.9
191709,53.3,-3.3
191710,42.5,-3.3
191711,28.7,-5.5
191712,9.6,-12.1
191801,7.2,-9.9
191802,13.5,-5.0
191803,26.9,-1.9
191804,40.8,0.1
191805,57.4,4.8
191806,57.1,-4.4
191807,66.4,-0.1
191808,64.6,0.5
191809,52.9,-3.7
191810,47.0,1.2
191811,34.4,0.2
191812,23.5,1.8
191901,20.9,3.8
191902,20.7,2.2
191903,32.0,3.2
191904,40.3,-0.4
191905,53.0,0.4
191906,64.5,3.0
191907,68.0,1.5
191908,61.7,-2.4
191909,56.3,-0.3
191910,45.9,0.1
191911,32.8,-1.4
191912,16.2,-5.5
192001,8.1,-9.0
192002,16.3,-2.2
192003,29.0,0.2
192004,37.5,-3.2
192005,50.1,-2.5
192006,60.7,-0.8
192007,64.4,-2.1
192008,67.0,2.9
192009,57.9,1.3
192010,51.0,5.2
192011,30.3,-3.9
