New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,33.3,-0.4
189502,31.0,-6.8
189503,44.1,0.6
189504,52.5,1.1
189505,59.9,-0.3
189506,67.1,-2.1
189507,70.1,-2.6
189508,69.5,-1.4
189509,64.6,0.1
189510,51.8,-2.3
189511,38.6,-3.5
189512,31.5,-2.9
189601,35.9,2.2
189602,36.5,-1.3
189603,44.9,1.4
189604,52.6,1.2
189605,63.3,3.1
189606,72.9,3.7
189607,72.0,-0.7
189608,71.3,0.4
189609,64.5,0.0
189610,52.1,-2.0
189611,42.4,0.3
189612,37.1,2.7
189701,30.2,-3.5
189702,36.9,-0.9
189703,42.0,-1.5
189704,52.0,0.6
189705,62.3,2.1
189706,68.9,-0.3
189707,71.3,-1.4
189708,70.5,-0.4
189709,64.9,0.4
189710,53.4,-0.7
189711,44.8,2.7
189712,32.6,-1.8
189801,30.5,-3.2
189802,41.0,3.2
189803,42.4,-1.1
189804,53.6,2.2
189805,60.1,-0.1
189806,68.9,-0.3
189807,72.1,-0.6
189808,71.2,0.3
189809,63.8,-0.7
189810,53.4,-0.7
189811,40.0,-2.1
189812,28.1,-6.3
189901,31.1,-2.6
189902,32.7,-5.1
189903,44.8,1.3
189904,52.4,1.0
189905,59.7,-0.5
189906,69.0,-0.2
189907,72.0,-0.7
189908,71.6,0.7
189909,65.5,1.0
189910,53.4,-0.7
189911,43.3,1.2
189912,34.6,0.2
190001,37.5,3.8
190002,37.5,-0.3
190003,46.2,2.7
190004,47.9,-3.5
190005,61.6,1.4
190006,70.9,1.7
190007,73.2,0.5
190008,71.4,0.5
190009,64.1,-0.4
190010,54.5,0.4
190011,44.6,2.5
190012,35.2,0.8
190101,35.6,1.9
190102,37.6,-0.2
190103,42.4,-1.1
190104,49.8,-1.6
190105,61.0,0.8
190106,68.9,-0.3
190107,73.5,0.8
190108,72.8,1.9
190109,64.4,-0.1
190110,55.1,1.0
190111,45.0,2.9
190112,35.0,0.6
190201,34.9,1.2
190202,38.9,1.1
190203,40.2,-3.3
