Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,36.1,-3.2
189502,33.0,-10.1
189503,51.2,-0.1
189504,62.2,1.7
189505,68.3,-0.4
189506,76.7,0.2
189507,78.7,-1.6
189508,78.8,-0.6
189509,76.4,3.5
189510,55.7,-6.1
189511,47.6,-2.3
189512,41.6,0.1
189601,40.2,0.9
189602,43.9,0.8
189603,47.7,-3.6
189604,67.4,6.9
189605,74.2,5.5
189606,77.3,0.8
189607,83.3,3.0
189608,82.2,2.8
189609,72.9,0.0
189610,59.6,-2.2
189611,51.6,1.7
189612,44.6,3.1
189701,37.7,-1.6
189702,45.8,2.7
189703,55.1,3.8
189704,60.5,0.0
189705,67.7,-1.0
189706,77.7,1.2
189707,82.2,1.9
189708,78.9,-0.5
189709,75.6,2.7
189710,66.2,4.4
189711,49.4,-0.5
189712,38.8,-2.7
189801,43.8,4.5
189802,44.2,1.1
189803,53.3,2.0
189804,57.6,-2.9
189805,71.6,2.9
189806,78.5,2.0
189807,79.6,-0.7
189808,78.9,-0.5
189809,74.6,1.7
189810,59.1,-2.7
189811,46.3,-3.6
189812,37.8,-3.7
189901,38.2,-1.1
189902,31.4,-11.7
189903,49.8,-1.5
189904,59.6,-0.9
189905,72.7,4.0
189906,77.0,0.5
189907,79.1,-1.2
189908,82.2,2.8
189909,71.4,-1.5
189910,64.6,2.8
189911,53.1,3.2
189912,40.5,-1.0
190001,42.1,2.8
190002,39.1,-4.0
190003,50.5,-0.8
190004,61.3,0.8
190005,68.8,0.1
190006,76.5,0.0
190007,79.3,-1.0
190008,80.6,1.2
190009,77.2,4.3
190010,65.2,3.4
190011,50.7,0.8
190012,43.4,1.9
190101,44.0,4.7
190102,39.8,-3.3
190103,50.2,-1.1
190104,57.4,-3.1
190105,67.7,-1.0
190106,78.8,2.3
190107,83.9,3.6
190108,80.3,0.9
190109,71.8,-1.1
190110,62.7,0.9
190111,48.8,-1.1
190112,37.5,-4.0
190201,36.8,-2.5
190202,34.0,-9.1
190203,51.7,0.4
190204,60.4,-0.1
190205,73.0,4.3
190206,77.3,0.8
190207,79.6,-0.7
190208,80.6,1.2
190209,68.0,-4.9
190210,61.4,-0.4
190211,54.8,4.9
190212,39.2,-2.3
190301,38.8,-0.5
190302,40.0,-3.1
190303,53.8,2.5
190304,59.6,-0.9
190305,67.3,-1.4
190306,70.3,-6.2
190307,79.2,-1.1
190308,78.4,-1.0
190309,70.0,-2.9
190310,59.9,-1.9
190311,46.2,-3.7
190312,38.3,-3.2
190401,37.4,-1.9
190402,43.4,0.3
190403,54.0,2.7
190404,55.9,-4.6
190405,66.8,-1.9
190406,75.1,-1.4
190407,77.4,-2.9
190408,77.7,-1.7
190409,74.4,1.5
190410,61.7,-0.1
190411,49.6,-0.3
190412,41.0,-0.5
190501,31.9,-7.4
190502,31.0,-12.1
190503,55.9,4.6
190504,60.1,-0.4
190505,70.2,1.5
190506,77.4,0.9
190507,76.5,-3.8
190508,78.8,-0.6
190509,73.7,0.8
190510,60.3,-1.5
190511,51.9,2.0
190512,37.3,-4.2
190601,41.4,2.1
190602,40.5,-2.6
190603,43.8,-7.5
190604,62.7,2.2
190605,68.5,-0.2
190606,76.0,-0.5
190607,76.5,-3.8
190608,77.7,-1.7
190609,75.4,2.5
190610,57.5,-4.3
190611,48.7,-1.2
190612,45.5,4.0
190701,48.4,9.1
190702,43.8,0.7
190703,60.9,9.6
190704,54.0,-6.5
190705,63.5,-5.2
190706,74.7,-1.8
190707,80.9,0.6
190708,81.8,2.4
190709,73.3,0.4
190710,61.1,-0.7
190711,47.5,-2.4
190712,43.4,1.9
190801,40.3,1.0
190802,43.2,0.1
190803,58.4,7.1
190804,62.7,2.2
190805,69.5,0.8
190806,75.9,-0.6
190807,79.0,-1.3
190808,78.9,-0.5
190809,73.0,0.1
190810,58.4,-3.4
190811,52.4,2.5
190812,44.9,3.4
190901,42.8,3.5
190902,46.3,3.2
190903,51.7,0.4
190904,60.0,-0.5
190905,66.4,-2.3
190906,76.5,0.0
190907,81.5,1.2
190908,81.9,2.5
190909,74.0,1.1
190910,62.0,0.2
190911,58.0,8.1
190912,34.4,-7.1
191001,40.8,1.5
191002,37.7,-5.4
191003,59.2,7.9
191004,58.8,-1.7
191005,65.6,-3.1
191006,73.7,-2.8
191007,79.1,-1.2
191008,78.7,-0.7
191009,76.1,3.2
191010,62.5,0.7
191011,50.0,0.1
191012,39.4,-2.1
191101,46.3,7.0
191102,49.0,5.9
191103,55.3,4.0
191104,59.5,-1.0
191105,70.3,1.6
191106,80.4,3.9
191107,78.1,-2.2
191108,77.7,-1.7
191109,78.3,5.4
191110,62.2,0.4
191111,45.6,-4.3
191112,41.9,0.4
191201,32.9,-6.4
191202,36.8,-6.3
191203,44.5,-6.8
191204,60.9,0.4
191205,69.2,0.5
191206,72.9,-3.6
191207,80.8,0.5
191208,78.3,-1.1
191209,74.0,1.1
191210,62.7,0.9
191211,48.9,-1.0
191212,40.2,-1.3
191301,42.4,3.1
191302,39.8,-3.3
191303,48.4,-2.9
191304,60.1,-0.4
191305,68.6,-0.1
191306,76.8,0.3
191307,81.2,0.9
191308,81.5,2.1
191309,71.2,-1.7
191310,59.2,-2.6
191311,55.8,5.9
191312,42.5,1.0
191401,44.7,5.4
191402,38.9,-4.2
191403,48.6,-2.7
191404,59.8,-0.7
191405,68.8,0.1
191406,81.8,5.3
191407,82.3,2.0
191408,77.9,-1.5
191409,73.5,0.6
191410,61.9,0.1
191411,50.8,0.9
191412,34.7,-6.8
191501,37.5,-1.8
191502,44.9,1.8
191503,41.2,-10.1
191504,63.1,2.6
191505,69.4,0.7
191506,75.5,-1.0
191507,78.3,-2.0
191508,74.4,-5.0
191509,74.0,1.1
191510,62.4,0.6
191511,53.0,3.1
191512,43.3,1.8
191601,42.8,3.5
191602,42.0,-1.1
191603,52.4,1.1
191604,58.7,-1.8
191605,70.9,2.2
191606,74.8,-1.7
191607,82.0,1.7
191608,81.0,1.6
191609,71.7,-1.2
191610,61.8,0.0
191611,50.6,0.7
191612,40.7,-0.8
191701,42.3,3.0
191702,42.6,-0.5
