New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,17.6,-2.3
189502,14.1,-6.6
189503,24.7,-5.8
189504,42.7,-0.1
189505,57.2,2.7
189506,67.3,3.8
189507,64.8,-3.4
189508,65.8,-0.3
189509,60.9,1.9
189510,41.8,-6.3
189511,36.8,0.5
189512,27.8,3.3
189601,17.2,-2.7
189602,20.6,-0.1
189603,22.4,-8.1
189604,46.4,3.6
189605,59.6,5.1
189606,63.0,-0.5
189607,68.8,0.6
189608,66.9,0.8
189609,57.2,-1.8
189610,43.9,-4.2
189611,39.6,3.3
189612,23.1,-1.4
189701,19.3,-0.6
189702,22.1,1.4
189703,30.6,0.1
189704,43.6,0.8
189705,54.0,-0.5
189706,60.0,-3.5
189707,70.8,2.6
189708,63.9,-2.2
189709,58.1,-0.9
189710,49.0,0.9
189711,35.0,-1.3
189712,25.8,1.3
189801,20.8,0.9
189802,24.0,3.3
189803,37.8,7.3
189804,40.8,-2.0
189805,54.9,0.4
189806,65.2,1.7
189807,70.4,2.2
189808,68.0,1.9
189809,61.6,2.6
189810,49.2,1.1
189811,34.6,-1.7
189812,24.1,-0.4
189901,19.2,-0.7
189902,17.5,-3.2
189903,27.6,-2.9
189904,44.7,1.9
189905,55.6,1.1
189906,65.8,2.3
189907,68.2,0.0
189908,67.5,1.4
189909,57.4,-1.6
189910,50.4,2.3
189911,35.7,-0.6
189912,26.5,2.0
190001,21.7,1.8
190002,19.9,-0.8
190003,22.7,-7.8
190004,43.2,0.4
190005,54.2,-0.3
190006,65.3,1.8
190007,69.1,0.9
190008,69.7,3.6
190009,62.1,3.1
190010,53.7,5.6
190011,37.0,0.7
190012,23.7,-0.8
190101,20.0,0.1
190102,13.5,-7.2
190103,28.5,-2.0
190104,43.8,1.0
190105,54.5,0.0
190106,65.6,2.1
190107,71.9,3.7
190108,67.6,1.5
190109,59.4,0.4
190110,47.7,-0.4
190111,30.4,-5.9
190112,23.6,-0.9
190201,17.9,-2.0
190202,18.5,-2.2
190203,36.1,5.6
190204,44.0,1.2
190205,53.4,-1.1
190206,60.2,-3.3
190207,67.3,-0.9
190208,63.6,-2.5
190209,59.1,0.1
190210,47.2,-0.9
190211,41.2,4.9
190212,21.2,-3.3
190301,20.2,0.3
190302,23.6,2.9
190303,39.7,9.2
190304,43.1,0.3
190305,57.1,2.6
190306,59.3,-4.2
190307,66.6,-1.6
190308,60.8,-5.3
190309,59.4,0.4
190310,48.5,0.4
190311,31.7,-4.6
190312,18.7,-5.8
190401,12.3,-7.6
190402,12.9,-7.8
190403,27.8,-2.7
190404,39.0,-3.8
190405,58.0,3.5
190406,63.9,0.4
190407,66.7,-1.5
190408,64.0,-2.1
190409,57.2,-1.8
190410,44.6,-3.5
190411,31.8,-4.5
190412,17.2,-7.3
190501,15.5,-4.4
190502,13.6,-7.1
190503,29.2,-1.3
190504,41.7,-1.1
190505,54.4,-0.1
190506,63.0,-0.5
190507,68.8,0.6
190508,64.6,-1.5
190509,58.9,-0.1
190510,48.0,-0.1
190511,33.1,-3.2
190512,27.1,2.6
190601,27.3,7.4
190602,20.4,-0.3
190603,24.2,-6.3
190604,42.8,0.0
190605,54.5,0.0
190606,64.8,1.3
190607,67.8,-0.4
190608,68.7,2.6
190609,61.8,2.8
190610,47.8,-0.3
190611,34.0,-2.3
190612,21.2,-3.3
190701,19.6,-0.3
190702,13.8,-6.9
190703,32.5,2.0
190704,37.9,-4.9
190705,48.9,-5.6
190706,61.6,-1.9
190707,67.3,-0.9
190708,63.9,-2.2
190709,59.8,0.8
190710,43.1,-5.0
190711,34.2,-2.1
190712,27.6,3.1
190801,19.8,-0.1
190802,16.2,-4.5
190803,30.8,0.3
190804,41.5,-1.3
190805,56.9,2.4
190806,64.8,1.3
190807,69.9,1.7
190808,65.0,-1.1
190809,61.9,2.9
190810,50.1,2.0
190811,36.2,-0.1
190812,24.2,-0.3
190901,22.7,2.8
190902,25.0,4.3
190903,27.6,-2.9
190904,41.4,-1.4
190905,53.7,-0.8
190906,64.0,0.5
190907,66.0,-2.2
190908,64.8,-1.3
190909,58.0,-1.0
190910,44.6,-3.5
190911,39.3,3.0
190912,21.6,-2.9
191001,21.2,1.3
191002,18.2,-2.5
191003,37.0,6.5
191004,47.2,4.4
191005,52.7,-1.8
191006,61.5,-2.0
191007,69.0,0.8
191008,65.1,-1.0
191009,58.9,-0.1
191010,49.4,1.3
191011,32.3,-4.0
191012,17.1,-7.4
191101,22.2,2.3
191102,20.4,-0.3
191103,26.7,-3.8
191104,40.4,-2.4
191105,61.3,6.8
191106,63.0,-0.5
191107,70.6,2.4
191108,67.0,0.9
191109,57.9,-1.1
191110,46.7,-1.4
191111,32.2,-4.1
191112,30.8,6.3
191201,10.8,-9.1
191202,16.4,-4.3
191203,24.9,-5.6
191204,41.7,-1.1
191205,55.6,1.1
191206,60.4,-3.1
191207,68.2,0.0
191208,62.3,-3.8
191209,59.1,0.1
191210,49.3,1.2
191211,37.5,1.2
191212,29.4,4.9
191301,29.4,9.5
191302,18.2,-2.5
191303,34.3,3.8
191304,45.4,2.6
191305,53.1,-1.4
191306,62.6,-0.9
191307,67.7,-0.5
191308,65.9,-0.2
191309,57.5,-1.5
191310,51.1,3.0
191311,39.3,3.0
191312,28.6,4.1
191401,19.7,-0.2
191402,12.1,-8.6
191403,27.9,-2.6
191404,39.5,-3.3
191405,56.5,2.0
191406,62.2,-1.3
191407,66.6,-1.6
191408,66.1,0.0
191409,57.5,-1.5
191410,51.3,3.2
191411,34.0,-2.3
191412,21.8,-2.7
191501,22.0,2.1
191502,25.0,4.3
191503,26.0,-4.5
191504,48.1,5.3
191505,50.2,-4.3
191506,61.6,-1.9
191507,66.5,-1.7
191508,64.0,-2.1
191509,61.8,2.8
191510,49.1,1.0
191511,37.0,0.7
191512,23.5,-1.0
191601,25.3,5.4
191602,16.2,-4.5
191603,21.8,-8.7
191604,42.3,-0.5
191605,54.5,0.0
191606,59.5,-4.0
191607,71.4,3.2
191608,68.2,2.1
191609,59.2,0.2
191610,48.3,0.2
191611,34.8,-1.5
191612,23.7,-0.8
191701,19.2,-0.7
191702,15.4,-5.3
191703,29.8,-0.7
191704,41.0,-1.8
191705,46.5,-8.0
191706,61.7,-1.8
191707,68.7,0.5
191708,67.3,1.2
191709,55.7,-3.3
191710,43.1,-5.0
191711,30.7,-5.6
191712,13.9,-10.6
191801,9.4,-10.5
191802,18.4,-2.3
191803,31.8,1.3
191804,42.7,-0.1
191805,59.3,4.8
191806,59.7,-3.8
191807,67.1,-1.1
191808,67.9,1.8
191809,54.0,-5.0
191810,49.6,1.5
191811,37.4,1.1
191812,28.3,3.8
191901,25.0,5.1
191902,24.4,3.7
191903,32.8,2.3
191904,41.0,-1.8
191905,54.4,-0.1
191906,67.9,4.4
191907,68.5,0.3
191908,63.8,-2.3
191909,59.6,0.6
191910,50.3,2.2
191911,35.1,-1.2
191912,18.7,-5.8
192001,10.4,-9.5
192002,17.5,-3.2
192003,31.3,0.8
192004,39.9,-2.9
192005,52.5,-2.0
192006,62.7,-0.8
192007,65.3,-2.9
192008,67.3,1.2
192009,60.4,1.4
192010,53.2,5.1
192011,33.8,-2.5
192012,27.1,2.6
192101,22.8,2.9
192102,24.2,3.5
192103,39.1,8.6
192104,49.7,6.9
192105,56.2,1.7
192106,64.5,1.0
192107,73.2,5.0
192108,64.7,-1.4
192109,63.1,4.1
192110,48.0,-0.1
192111,34.4,-1.9
192112,22.5,-2.0
192201,16.3,-3.6
192202,23.5,2.8
192203,32.2,1.7
192204,43.2,0.4
192205,57.3,2.8
192206,64.4,0.9
192207,67.5,-0.7
192208,65.0,-1.1
192209,60.7,1.7
192210,48.4,0.3
192211,36.7,0.4
192212,24.0,-0.5
192301,17.4,-2.5
192302,14.8,-5.9
192303,25.8,-4.7
192304,41.1,-1.7
192305,51.4,-3.1
192306,64.7,1.2
192307,66.0,-2.2
192308,63.9,-2.2
192309,59.6,0.6
192310,46.7,-1.4
192311,36.1,-0.2
192312,32.6,8.1
192401,21.4,1.5
192402,15.8,-4.9
192403,29.2,-1.3
192404,40.2,-2.6
192405,49.2,-5.3
192406,61.1,-2.4
192407,66.2,-2.0
192408,65.2,-0.9
192409,55.5,-3.5
192410,47.4,-0.7
192411,35.8,-0.5
192412,21.5,-3.0
192501,15.9,-4.0
192502,27.9,7.2
192503,34.6,4.1
192504,44.2,1.4
192505,49.9,-4.6
192506,66.2,2.7
192507,65.8,-2.4
192508,65.6,-0.5
192509,59.4,0.4
192510,40.2,-7.9
192511,34.7,-1.6
192512,24.1,-0.4
192601,20.8,0.9
192602,18.0,-2.7
192603,23.7,-6.8
192604,36.3,-6.5
192605,51.7,-2.8
192606,59.0,-4.5
192607,66.8,-1.4
192608,66.2,0.1
192609,57.8,-1.2
192610,45.5,-2.6
192611,35.3,-1.0
192612,19.0,-5.5
192701,18.6,-1.3
192702,25.6,4.9
192703,33.9,3.4
192704,41.4,-1.4
192705,51.8,-2.7
192706,59.3,-4.2
192707,66.8,-1.4
192708,61.5,-4.6
192709,59.4,0.4
192710,50.9,2.8
192711,39.3,3.0
192712,25.8,1.3
192801,22.2,2.3
192802,21.2,0.5
192803,28.3,-2.2
192804,39.3,-3.5
192805,52.7,-1.8
192806,60.3,-3.2
192807,68.4,0.2
192808,68.8,2.7
192809,55.7,-3.3
192810,49.3,1.2
192811,37.0,0.7
192812,29.1,4.6
192901,19.4,-0.5
192902,19.9,-0.8
192903,35.5,5.0
192904,43.8,1.0
192905,52.9,-1.6
192906,62.8,-0.7
192907,67.0,-1.2
192908,62.7,-3.4
192909,61.0,2.0
192910,45.6,-2.5
192911,35.5,-0.8
192912,23.5,-1.0
193001,21.4,1.5
193002,24.7,4.0
193003,29.6,-0.9
193004,41.0,-1.8
193005,55.9,1.4
193006,66.0,2.5
193007,67.3,-0.9
193008,65.2,-0.9
193009,61.6,2.6
193010,46.8,-1.3
193011,38.3,2.0
193012,25.0,0.5
193101,20.2,0.3
193102,22.1,1.4
193103,31.5,1.0
193104,43.9,1.1
193105,55.4,0.9
193106,63.6,0.1
193107,70.9,2.7
193108,66.5,0.4
193109,63.2,4.2
193110,51.0,2.9
193111,43.3,7.0
193112,29.2,4.7
193201,31.9,12.0
193202,24.8,4.1
193203,26.1,-4.4
193204,39.4,-3.4
193205,55.0,0.5
193206,63.1,-0.4
193207,65.7,-2.5
193208,66.9,0.8
193209,59.5,0.5
193210,50.3,2.2
193211,33.3,-3.0
193212,28.5,4.0
193301,30.0,10.1
193302,24.4,3.7
193303,28.6,-1.9
193304,44.4,1.6
193305,57.1,2.6
193306,66.2,2.7
193307,69.6,1.4
193308,66.0,-0.1
193309,60.7,1.7
193310,46.1,-2.0
193311,29.5,-6.8
193312,21.4,-3.1
193401,22.2,2.3
193402,7.6,-13.1
193403,27.7,-2.8
193404,42.7,-0.1
193405,56.5,2.0
193406,66.6,3.1
193407,69.7,1.5
193408,63.3,-2.8
193409,62.4,3.4
193410,45.0,-3.1
193411,39.5,3.2
193412,21.2,-3.3
193501,16.7,-3.2
193502,19.6,-1.1
193503,32.6,2.1
193504,41.0,-1.8
193505,49.6,-4.9
193506,62.7,-0.8
193507,71.0,2.8
193508,66.6,0.5
193509,55.9,-3.1
193510,47.9,-0.2
193511,38.2,1.9
193512,19.1,-5.4
193601,17.7,-2.2
193602,13.9,-6.8
193603,35.8,5.3
193604,40.0,-2.8
193605,57.4,2.9
193606,63.9,0.4
193607,68.2,0.0
193608,67.1,1.0
193609,60.1,1.1
193610,48.1,0.0
193611,31.6,-4.7
193612,27.6,3.1
193701,28.5,8.6
