North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,37.7,-2.3
189502,30.8,-11.1
189503,46.9,-2.4
189504,56.1,-1.7
189505,63.9,-2.5
189506,74.6,1.0
189507,75.3,-1.6
189508,76.1,0.5
189509,74.1,3.8
189510,55.4,-4.2
189511,50.0,0.6
189512,41.4,0.0
189601,37.9,-2.1
189602,42.3,0.4
189603,46.7,-2.6
189604,62.0,4.2
189605,72.7,6.3
189606,73.5,-0.1
189607,77.6,0.7
189608,77.1,1.5
189609,70.3,0.0
189610,57.0,-2.6
189611,54.4,5.0
189612,39.3,-2.1
189701,36.4,-3.6
189702,44.4,2.5
189703,51.1,1.8
189704,57.5,-0.3
189705,64.6,-1.8
189706,74.8,1.2
189707,77.1,0.2
189708,75.1,-0.5
189709,70.6,0.3
189710,61.9,2.3
189711,50.3,0.9
189712,42.8,1.4
189801,43.4,3.4
189802,39.3,-2.6
189803,53.5,4.2
189804,53.7,-4.1
189805,68.6,2.2
189806,75.0,1.4
189807,77.6,0.7
189808,76.9,1.3
189809,72.0,1.7
189810,60.0,0.4
189811,46.6,-2.8
189812,41.1,-0.3
189901,40.0,0.0
189902,36.3,-5.6
189903,49.7,0.4
189904,55.7,-2.1
189905,68.2,1.8
189906,75.7,2.1
189907,76.4,-0.5
189908,77.4,1.8
189909,69.4,-0.9
189910,61.1,1.5
189911,50.5,1.1
189912,40.1,-1.3
190001,39.7,-0.3
190002,39.0,-2.9
190003,46.3,-3.0
190004,57.6,-0.2
190005,66.9,0.5
190006,74.3,0.7
190007,79.1,2.2
190008,80.2,4.6
190009,74.1,3.8
190010,64.1,4.5
190011,51.5,2.1
190012,40.4,-1.0
190101,39.5,-0.5
190102,37.0,-4.9
190103,49.5,0.2
190104,51.7,-6.1
190105,66.8,0.4
190106,73.6,0.0
190107,78.6,1.7
190108,76.0,0.4
190109,69.6,-0.7
190110,58.7,-0.9
190111,42.8,-6.6
190112,38.9,-2.5
190201,36.8,-3.2
190202,34.6,-7.3
190203,49.4,0.1
190204,55.7,-2.1
190205,69.6,3.2
190206,74.3,0.7
190207,78.2,1.3
190208,75.4,-0.2
190209,68.4,-1.9
190210,60.7,1.1
190211,54.3,4.9
190212,40.9,-0.5
190301,39.1,-0.9
190302,44.0,2.1
190303,55.6,6.3
190304,56.4,-1.4
190305,67.2,0.8
190306,70.1,-3.5
190307,77.4,0.5
190308,76.3,0.7
190309,68.7,-1.6
190310,58.3,-1.3
190311,45.5,-3.9
190312,35.8,-5.6
190401,34.8,-5.2
190402,37.0,-4.9
190403,49.6,0.3
190404,54.5,-3.3
190405,65.7,-0.7
190406,73.2,-0.4
190407,75.8,-1.1
190408,74.7,-0.9
190409,69.8,-0.5
190410,57.4,-2.2
190411,46.5,-2.9
190412,38.6,-2.8
190501,35.1,-4.9
190502,33.0,-8.9
190503,51.9,2.6
190504,57.5,-0.3
190505,69.2,2.8
190506,74.2,0.6
190507,76.8,-0.1
190508,74.2,-1.4
190509,71.5,1.2
190510,59.3,-0.3
190511,48.9,-0.5
190512,40.3,-1.1
190601,42.9,2.9
190602,40.4,-1.5
190603,45.0,-4.3
190604,59.5,1.7
190605,66.2,-0.2
190606,74.4,0.8
190607,75.5,-1.4
190608,77.6,2.0
190609,73.6,3.3
190610,58.3,-1.3
190611,49.0,-0.4
190612,42.2,0.8
190701,46.5,6.5
190702,38.5,-3.4
190703,54.6,5.3
190704,50.8,-7.0
190705,64.7,-1.7
190706,69.6,-4.0
190707,77.5,0.6
190708,75.0,-0.6
190709,72.0,1.7
190710,56.0,-3.6
190711,47.1,-2.3
190712,41.5,0.1
190801,38.0,-2.0
190802,37.8,-4.1
190803,54.8,5.5
190804,61.2,3.4
190805,67.1,0.7
190806,72.5,-1.1
190807,76.8,-0.1
190808,74.3,-1.3
190809,68.0,-2.3
190810,58.4,-1.2
190811,50.5,1.1
190812,43.9,2.5
190901,44.2,4.2
190902,47.0,5.1
190903,47.4,-1.9
190904,58.7,0.9
190905,65.0,-1.4
190906,75.2,1.6
190907,74.1,-2.8
190908,74.1,-1.5
190909,67.7,-2.6
190910,55.8,-3.8
190911,52.9,3.5
190912,36.6,-4.8
191001,39.5,-0.5
191002,39.9,-2.0
191003,54.5,5.2
191004,58.5,0.7
191005,64.3,-2.1
191006,70.8,-2.8
191007,76.9,0.0
191008,74.8,-0.8
191009,71.7,1.4
191010,62.1,2.5
191011,44.0,-5.4
191012,35.4,-6.0
191101,44.0,4.0
191102,45.1,3.2
191103,47.5,-1.8
191104,54.5,-3.3
191105,68.7,2.3
191106,76.1,2.5
191107,76.9,0.0
191108,77.2,1.6
191109,74.5,4.2
191110,62.1,2.5
191111,46.3,-3.1
191112,44.5,3.1
191201,33.3,-6.7
191202,36.8,-5.1
191203,47.4,-1.9
191204,59.9,2.1
191205,67.5,1.1
191206,71.8,-1.8
191207,76.3,-0.6
191208,75.4,-0.2
191209,73.5,3.2
191210,60.4,0.8
191211,47.2,-2.2
191212,43.5,2.1
191301,48.1,8.1
191302,42.2,0.3
191303,52.6,3.3
191304,57.2,-0.6
191305,67.4,1.0
191306,73.0,-0.6
191307,78.3,1.4
191308,75.0,-0.6
191309,67.9,-2.4
191310,59.4,-0.2
191311,48.6,-0.8
191312,42.9,1.5
191401,42.0,2.0
191402,38.1,-3.8
191403,43.7,-5.6
191404,57.9,0.1
191405,67.5,1.1
191406,77.0,3.4
191407,76.7,-0.2
191408,76.5,0.9
191409,67.6,-2.7
191410,61.0,1.4
191411,47.3,-2.1
191412,38.3,-3.1
191501,39.8,-0.2
191502,43.8,1.9
191503,40.8,-8.5
191504,58.6,0.8
191505,67.8,1.4
191506,71.5,-2.1
191507,77.1,0.2
191508,75.5,-0.1
191509,72.0,1.7
191510,62.1,2.5
191511,50.5,1.1
191512,38.3,-3.1
191601,45.7,5.7
191602,41.9,0.0
191603,47.3,-2.0
191604,56.3,-1.5
191605,69.6,3.2
191606,71.8,-1.8
191607,75.8,-1.1
191608,76.0,0.4
191609,68.1,-2.2
191610,60.0,0.4
191611,49.5,0.1
191612,40.5,-0.9
191701,43.2,3.2
191702,40.8,-1.1
191703,48.4,-0.9
191704,59.3,1.5
191705,62.0,-4.4
191706,72.9,-0.7
191707,76.4,-0.5
191708,74.8,-0.8
191709,66.7,-3.6
191710,55.1,-4.5
191711,45.2,-4.2
191712,31.8,-9.6
191801,30.4,-9.6
191802,45.7,3.8
191803,53.9,4.6
191804,55.5,-2.3
191805,69.8,3.4
191806,72.6,-1.0
191807,73.5,-3.4
191808,77.2,1.6
191809,65.6,-4.7
191810,62.8,3.2
191811,48.4,-1.0
191812,45.3,3.9
191901,41.6,1.6
191902,40.6,-1.3
191903,50.9,1.6
191904,57.2,-0.6
191905,67.2,0.8
191906,73.1,-0.5
191907,76.7,-0.2
191908,75.2,-0.4
191909,70.0,-0.3
191910,69.0,9.4
191911,50.3,0.9
191912,39.8,-1.6
192001,39.1,-0.9
192002,38.0,-3.9
192003,48.0,-1.3
192004,56.7,-1.1
192005,62.6,-3.8
192006,73.0,-0.6
192007,75.3,-1.6
192008,74.6,-1.0
192009,71.7,1.4
192010,60.9,1.3
192011,48.0,-1.4
192012,41.7,0.3
192101,41.5,1.5
192102,44.3,2.4
192103,58.3,9.0
192104,59.8,2.0
192105,64.0,-2.4
192106,75.2,1.6
192107,77.7,0.8
192108,75.3,-0.3
192109,76.7,6.4
192110,59.2,-0.4
192111,52.7,3.3
192112,44.1,2.7
192201,38.5,-1.5
192202,46.4,4.5
192203,51.1,1.8
192204,60.0,2.2
192205,67.2,0.8
192206,74.9,1.3
192207,77.2,0.3
192208,73.2,-2.4
192209,71.3,1.0
192210,60.8,1.2
192211,48.9,-0.5
192212,45.1,3.7
192301,42.8,2.8
192302,39.8,-2.1
192303,50.5,1.2
192304,56.4,-1.4
192305,64.8,-1.6
192306,75.1,1.5
192307,76.2,-0.7
192308,76.4,0.8
192309,71.7,1.4
192310,58.0,-1.6
192311,47.3,-2.1
192312,48.0,6.6
192401,38.4,-1.6
192402,39.0,-2.9
192403,45.9,-3.4
192404,56.4,-1.4
192405,64.3,-2.1
192406,74.8,1.2
192407,74.9,-2.0
192408,76.5,0.9
192409,66.7,-3.6
192410,58.3,-1.3
192411,49.5,0.1
192412,42.4,1.0
192501,39.4,-0.6
192502,48.0,6.1
192503,51.5,2.2
192504,60.8,3.0
192505,63.4,-3.0
192506,76.7,3.1
192507,78.6,1.7
192508,74.9,-0.7
192509,76.4,6.1
192510,58.3,-1.3
192511,46.8,-2.6
192512,39.9,-1.5
192601,38.8,-1.2
192602,44.4,2.5
192603,43.3,-6.0
192604,55.8,-2.0
192605,66.4,0.0
192606,72.9,-0.7
192607,77.7,0.8
192608,78.3,2.7
192609,73.7,3.4
192610,61.3,1.7
192611,46.3,-3.1
192612,42.4,1.0
192701,39.9,-0.1
192702,50.1,8.2
192703,50.3,1.0
192704,57.9,0.1
192705,67.6,1.2
192706,71.3,-2.3
192707,75.8,-1.1
192708,72.7,-2.9
192709,71.4,1.1
192710,61.6,2.0
192711,52.5,3.1
192712,42.1,0.7
192801,39.7,-0.3
192802,41.7,-0.2
192803,48.8,-0.5
192804,55.2,-2.6
192805,64.0,-2.4
192806,73.0,-0.6
192807,77.2,0.3
192808,77.3,1.7
192809,67.4,-2.9
192810,61.9,2.3
192811,49.2,-0.2
192812,41.4,0.0
192901,41.4,1.4
192902,39.7,-2.2
192903,53.3,4.0
192904,60.5,2.7
192905,66.0,-0.4
192906,72.0,-1.6
192907,75.4,-1.5
192908,74.4,-1.2
192909,69.6,-0.7
192910,57.6,-2.0
192911,50.7,1.3
192912,42.0,0.6
193001,42.1,2.1
193002,46.4,4.5
193003,46.9,-2.4
193004,58.5,0.7
193005,68.6,2.2
193006,72.3,-1.3
193007,78.9,2.0
193008,74.0,-1.6
193009,74.5,4.2
193010,56.3,-3.3
193011,47.0,-2.4
193012,37.2,-4.2
193101,39.7,-0.3
193102,43.0,1.1
193103,43.9,-5.4
193104,55.8,-2.0
193105,65.0,-1.4
193106,74.2,0.6
193107,79.7,2.8
193108,75.1,-0.5
193109,73.9,3.6
193110,61.4,1.8
193111,54.6,5.2
193112,49.2,7.8
193201,49.5,9.5
193202,48.8,6.9
193203,46.0,-3.3
193204,57.1,-0.7
193205,65.4,-1.0
193206,74.6,1.0
193207,79.3,2.4
193208,76.2,0.6
193209,70.1,-0.2
193210,60.2,0.6
193211,47.4,-2.0
193212,45.0,3.6
193301,47.0,7.0
193302,43.3,1.4
193303,48.9,-0.4
193304,57.5,-0.3
193305,71.1,4.7
193306,75.5,1.9
193307,76.1,-0.8
193308,75.9,0.3
193309,75.1,4.8
193310,60.3,0.7
193311,47.8,-1.6
193312,47.1,5.7
193401,43.5,3.5
193402,34.8,-7.1
193403,46.6,-2.7
193404,58.7,0.9
193405,66.2,-0.2
193406,76.3,2.7
193407,79.3,2.4
193408,76.9,1.3
193409,72.3,2.0
193410,59.1,-0.5
193411,51.1,1.7
193412,40.6,-0.8
193501,40.6,0.6
193502,42.5,0.6
193503,54.8,5.5
193504,56.5,-1.3
193505,65.5,-0.9
193506,74.6,1.0
193507,77.0,0.1
193508,76.3,0.7
193509,69.9,-0.4
193510,60.0,0.4
193511,52.2,2.8
193512,33.8,-7.6
193601,35.8,-4.2
193602,37.4,-4.5
193603,52.0,2.7
193604,55.8,-2.0
193605,68.6,2.2
193606,73.9,0.3
193607,78.4,1.5
193608,77.0,1.4
193609,72.3,2.0
193610,61.8,2.2
193611,47.6,-1.8
193612,43.0,1.6
193701,50.5,10.5
193702,41.4,-0.5
193703,46.9,-2.4
193704,57.0,-0.8
193705,66.5,0.1
193706,75.8,2.2
193707,76.8,-0.1
193708,76.7,1.1
193709,67.8,-2.5
193710,56.9,-2.7
193711,46.0,-3.4
193712,39.8,-1.6
193801,39.9,-0.1
193802,47.0,5.1
193803,54.8,5.5
193804,59.2,1.4
193805,67.7,1.3
193806,72.1,-1.5
193807,76.0,-0.9
193808,77.8,2.2
193809,70.5,0.2
193810,58.9,-0.7
193811,52.0,2.6
193812,41.3,-0.1
193901,42.9,2.9
193902,47.9,6.0
193903,52.3,3.0
193904,57.6,-0.2
193905,66.4,0.0
193906,77.3,3.7
193907,76.2,-0.7
193908,76.0,0.4
193909,72.5,2.2
193910,62.2,2.6
193911,45.8,-3.6
193912,41.8,0.4
194001,28.8,-11.2
194002,41.2,-0.7
194003,46.3,-3.0
194004,56.0,-1.8
194005,65.4,-1.0
194006,75.4,1.8
194007,76.3,-0.6
194008,75.2,-0.4
194009,68.2,-2.1
194010,58.6,-1.0
194011,49.0,-0.4
194012,45.3,3.9
194101,39.3,-0.7
194102,36.4,-5.5
194103,43.1,-6.2
194104,60.3,2.5
194105,68.4,2.0
194106,74.0,0.4
194107,77.8,0.9
194108,76.8,1.2
194109,73.1,2.8
194110,66.0,6.4
194111,49.9,0.5
194112,44.1,2.7
194201,38.5,-1.5
194202,37.4,-4.5
194203,50.7,1.4
194204,59.8,2.0
194205,68.2,1.8
194206,75.8,2.2
194207,78.9,2.0
194208,75.2,-0.4
194209,71.5,1.2
194210,60.5,0.9
194211,51.1,1.7
194212,40.0,-1.4
194301,42.1,2.1
194302,43.3,1.4
194303,47.7,-1.6
194304,56.2,-1.6
194305,68.8,2.4
194306,78.3,4.7
194307,76.9,0.0
194308,77.0,1.4
194309,67.6,-2.7
194310,58.0,-1.6
194311,47.6,-1.8
194312,40.6,-0.8
194401,39.9,-0.1
194402,44.5,2.6
194403,48.1,-1.2
194404,57.6,-0.2
194405,70.4,4.0
194406,76.8,3.2
194407,75.5,-1.4
194408,74.3,-1.3
194409,71.4,1.1
194410,58.8,-0.8
194411,47.4,-2.0
194412,36.8,-4.6
194501,38.4,-1.6
194502,43.5,1.6
194503,58.6,9.3
194504,61.7,3.9
194505,63.9,-2.5
194506,74.8,1.2
194507,76.7,-0.2
194508,74.6,-1.0
194509,73.5,3.2
194510,58.8,-0.8
194511,50.9,1.5
194512,35.7,-5.7
194601,41.2,1.2
194602,43.9,2.0
194603,55.5,6.2
194604,58.7,0.9
194605,65.9,-0.5
194606,73.0,-0.6
194607,75.4,-1.5
194608,73.2,-2.4
194609,69.6,-0.7
194610,60.3,0.7
194611,54.1,4.7
194612,45.1,3.7
194701,45.4,5.4
194702,35.4,-6.5
194703,41.3,-8.0
194704,60.3,2.5
194705,67.3,0.9
194706,72.7,-0.9
194707,73.6,-3.3
194708,76.8,1.2
194709,71.2,0.9
194710,63.6,4.0
194711,46.8,-2.6
194712,39.9,-1.5
194801,34.1,-5.9
194802,42.0,0.1
194803,53.0,3.7
194804,60.9,3.1
194805,67.1,0.7
194806,74.4,0.8
194807,78.0,1.1
194808,74.8,-0.8
194809,68.9,-1.4
194810,55.9,-3.7
194811,54.0,4.6
194812,44.5,3.1
194901,48.6,8.6
194902,48.3,6.4
194903,49.6,0.3
194904,56.8,-1.0
194905,66.9,0.5
194906,74.6,1.0
194907,78.8,1.9
194908,75.9,0.3
194909,68.0,-2.3
194910,63.5,3.9
194911,48.0,-1.4
194912,43.9,2.5
195001,51.5,11.5
195002,45.5,3.6
195003,46.9,-2.4
195004,56.1,-1.7
195005,67.8,1.4
195006,73.9,0.3
195007,75.4,-1.5
195008,74.0,-1.6
195009,68.8,-1.5
195010,62.4,2.8
195011,46.4,-3.0
195012,36.5,-4.9
195101,41.4,1.4
195102,43.2,1.3
195103,48.8,-0.5
195104,57.0,-0.8
195105,65.4,-1.0
195106,74.3,0.7
195107,77.3,0.4
195108,76.7,1.1
195109,70.3,0.0
195110,62.5,2.9
195111,45.4,-4.0
195112,43.6,2.2
195201,45.8,5.8
195202,43.9,2.0
195203,48.3,-1.0
195204,58.2,0.4
195205,67.7,1.3
195206,78.6,5.0
195207,78.6,1.7
195208,75.5,-0.1
195209,69.2,-1.1
195210,55.5,-4.1
195211,49.2,-0.2
195212,40.5,-0.9
195301,44.8,4.8
195302,45.2,3.3
195303,50.6,1.3
195304,58.0,0.2
195305,71.8,5.4
195306,74.3,0.7
195307,77.7,0.8
195308,75.8,0.2
195309,69.6,-0.7
195310,61.2,1.6
195311,48.5,-0.9
195312,42.1,0.7
195401,41.1,1.1
195402,46.0,4.1
