North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-3.2,-9.7
189502,6.2,-5.6
189503,23.4,-1.4
189504,48.8,7.5
189505,52.9,-0.9
189506,59.1,-3.9
189507,66.5,-2.5
189508,64.4,-2.5
189509,55.7,-0.5
189510,39.7,-4.4
189511,19.4,-6.9
189512,13.2,0.5
189601,4.9,-1.6
189602,13.9,2.1
189603,15.0,-9.8
189604,39.6,-1.7
189605,55.7,1.9
189606,64.6,1.6
189607,67.0,-2.0
189608,64.1,-2.8
189609,52.0,-4.2
189610,38.6,-5.5
189611,6.1,-20.2
189612,15.6,2.9
189701,3.2,-3.3
189702,6.7,-5.1
189703,10.9,-13.9
189704,40.5,-0.8
189705,55.6,1.8
189706,61.7,-1.3
189707,68.6,-0.4
189708,63.5,-3.4
189709,63.5,7.3
189710,45.0,0.9
189711,19.2,-7.1
189712,10.7,-2.0
189801,13.4,6.9
189802,13.4,1.6
189803,19.9,-4.9
189804,41.1,-0.2
189805,52.2,-1.6
189806,62.2,-0.8
189807,67.4,-1.6
189808,65.8,-1.1
189809,56.1,-0.1
189810,37.4,-6.7
189811,21.3,-5.0
189812,11.4,-1.3
189901,4.5,-2.0
189902,-1.5,-13.3
189903,7.0,-17.8
189904,37.3,-4.0
189905,50.1,-3.7
189906,61.8,-1.2
189907,68.2,-0.8
189908,64.5,-2.4
189909,55.1,-1.1
189910,40.8,-3.3
189911,35.2,8.9
189912,12.0,-0.7
190001,15.4,8.9
190002,2.4,-9.4
190003,20.4,-4.4
190004,49.0,7.7
190005,59.2,5.4
190006,66.9,3.9
190007,68.0,-1.0
190008,69.3,2.4
190009,54.1,-2.1
190010,46.8,2.7
190011,19.0,-7.3
190012,16.9,4.2
190101,7.6,1.1
190102,6.7,-5.1
190103,25.4,0.6
190104,44.0,2.7
190105,60.5,6.7
190106,61.4,-1.6
190107,71.3,2.3
190108,66.6,-0.3
190109,52.5,-3.7
190110,46.6,2.5
190111,25.9,-0.4
190112,11.8,-0.9
190201,11.6,5.1
190202,10.4,-1.4
190203,25.9,1.1
190204,39.8,-1.5
190205,55.7,1.9
190206,57.7,-5.3
190207,67.0,-2.0
190208,63.9,-3.0
190209,52.7,-3.5
190210,42.0,-2.1
190211,26.1,-0.2
190212,5.6,-7.1
190301,9.6,3.1
190302,2.3,-9.5
190303,21.2,-3.6
190304,42.0,0.7
190305,52.9,-0.9
190306,62.1,-0.9
190307,66.0,-3.0
190308,62.9,-4.0
190309,50.5,-5.7
190310,45.6,1.5
190311,23.6,-2.7
190312,10.9,-1.8
190401,3.1,-3.4
190402,-2.5,-14.3
190403,16.7,-8.1
190404,37.3,-4.0
190405,53.6,-0.2
190406,60.7,-2.3
190407,64.2,-4.8
190408,62.7,-4.2
190409,54.1,-2.1
190410,45.6,1.5
190411,34.3,8.0
190412,13.4,0.7
190501,0.4,-6.1
190502,8.1,-3.7
190503,32.6,7.8
190504,40.0,-1.3
190505,49.5,-4.3
190506,59.4,-3.6
190507,65.9,-3.1
190508,68.0,1.1
190509,59.2,3.0
190510,39.2,-4.9
190511,30.4,4.1
190512,14.3,1.6
190601,11.2,4.7
190602,10.0,-1.8
190603,17.9,-6.9
190604,47.7,6.4
190605,51.3,-2.5
190606,62.1,-0.9
190607,67.8,-1.2
190608,66.0,-0.9
190609,61.9,5.7
190610,44.6,0.5
190611,24.7,-1.6
190612,8.0,-4.7
190701,-6.5,-13.0
190702,10.6,-1.2
190703,23.4,-1.4
190704,32.2,-9.1
190705,44.4,-9.4
190706,62.0,-1.0
190707,65.9,-3.1
190708,64.4,-2.5
190709,51.7,-4.5
190710,43.6,-0.5
190711,28.9,2.6
190712,19.0,6.3
190801,16.4,9.9
190802,13.1,1.3
190803,20.3,-4.5
190804,43.6,2.3
190805,50.7,-3.1
190806,60.6,-2.4
190807,69.0,0.0
190808,63.1,-3.8
190809,60.6,4.4
190810,42.1,-2.0
190811,29.9,3.6
190812,13.8,1.1
190901,3.2,-3.3
190902,9.8,-2.0
190903,23.8,-1.0
190904,34.1,-7.2
190905,51.6,-2.2
190906,63.3,0.3
190907,67.5,-1.5
190908,68.9,2.0
190909,58.9,2.7
190910,42.1,-2.0
190911,27.7,1.4
190912,4.0,-8.7
191001,8.3,1.8
191002,2.6,-9.2
191003,40.4,15.6
191004,47.6,6.3
191005,50.1,-3.7
191006,66.8,3.8
191007,70.0,1.0
191008,62.7,-4.2
191009,54.8,-1.4
191010,47.5,3.4
191011,22.8,-3.5
191012,12.1,-0.6
191101,-1.2,-7.7
191102,6.7,-5.1
191103,30.4,5.6
191104,41.2,-0.1
191105,55.0,1.2
191106,67.0,4.0
191107,65.6,-3.4
191108,62.0,-4.9
191109,54.4,-1.8
191110,41.9,-2.2
191111,15.5,-10.8
191112,14.4,1.7
191201,-5.3,-11.8
191202,10.8,-1.0
191203,14.3,-10.5
191204,44.0,2.7
191205,54.0,0.2
191206,61.7,-1.3
191207,66.2,-2.8
191208,63.1,-3.8
191209,51.1,-5.1
191210,43.6,-0.5
191211,30.9,4.6
191212,18.3,5.6
191301,2.0,-4.5
191302,7.4,-4.4
191303,16.7,-8.1
191304,46.1,4.8
191305,51.0,-2.8
191306,65.8,2.8
191307,65.7,-3.3
191308,68.6,1.7
191309,57.0,0.8
191310,38.8,-5.3
191311,32.6,6.3
191312,21.4,8.7
191401,14.0,7.5
191402,0.6,-11.2
191403,25.4,0.6
191404,41.0,-0.3
191405,55.0,1.2
191406,62.4,-0.6
191407,72.3,3.3
191408,64.0,-2.9
191409,58.6,2.4
191410,49.0,4.9
191411,30.4,4.1
191412,5.2,-7.5
191501,5.2,-1.3
191502,16.7,4.9
191503,22.4,-2.4
191504,49.9,8.6
191505,50.8,-3.0
191506,56.8,-6.2
191507,62.4,-6.6
191508,64.3,-2.6
191509,54.1,-2.1
191510,46.0,1.9
191511,27.4,1.1
191512,14.9,2.2
191601,-7.8,-14.3
191602,6.4,-5.4
191603,20.6,-4.2
191604,39.2,-2.1
191605,50.7,-3.1
191606,58.0,-5.0
191607,73.0,4.0
191608,65.5,-1.4
191609,54.6,-1.6
191610,39.5,-4.6
191611,27.5,1.2
191612,1.6,-11.1
191701,1.1,-5.4
191702,-1.2,-13.0
191703,21.5,-3.3
191704,36.8,-4.5
191705,50.9,-2.9
191706,59.8,-3.2
191707,71.0,2.0
191708,65.0,-1.9
191709,55.8,-0.4
191710,34.2,-9.9
191711,35.9,9.6
191712,0.2,-12.5
191801,-2.0,-8.5
191802,10.1,-1.7
191803,34.4,9.6
191804,40.9,-0.4
191805,51.5,-2.3
191806,63.3,0.3
191807,65.8,-3.2
191808,66.2,-0.7
191809,51.8,-4.4
191810,45.6,1.5
191811,27.8,1.5
191812,17.6,4.9
191901,18.3,11.8
191902,7.0,-4.8
191903,17.2,-7.6
191904,42.0,0.7
191905,55.3,1.5
191906,67.3,4.3
191907,71.5,2.5
191908,67.9,1.0
191909,58.6,2.4
191910,32.8,-11.3
191911,14.9,-11.4
191912,7.0,-5.7
192001,2.2,-4.3
192002,12.7,0.9
192003,22.4,-2.4
192004,32.1,-9.2
192005,53.5,-0.3
192006,62.3,-0.7
192007,68.6,-0.4
192008,68.7,1.8
192009,58.6,2.4
192010,48.3,4.2
192011,26.8,0.5
192012,14.2,1.5
192101,15.0,8.5
192102,19.3,7.5
192103,24.9,0.1
192104,40.9,-0.4
192105,53.7,-0.1
192106,68.4,5.4
192107,71.5,2.5
192108,67.0,0.1
192109,56.7,0.5
192110,46.8,2.7
192111,20.0,-6.3
192112,15.5,2.8
192201,5.8,-0.7
192202,-0.3,-12.1
192203,25.3,0.5
192204,42.0,0.7
192205,56.1,2.3
192206,64.6,1.6
192207,65.8,-3.2
192208,69.8,2.9
192209,59.7,3.5
192210,45.3,1.2
192211,30.6,4.3
192212,7.2,-5.5
192301,8.8,2.3
192302,3.6,-8.2
192303,17.6,-7.2
192304,38.6,-2.7
192305,53.9,0.1
192306,65.9,2.9
192307,71.3,2.3
192308,62.7,-4.2
192309,58.7,2.5
192310,43.2,-0.9
192311,35.2,8.9
192312,21.1,8.4
192401,1.3,-5.2
192402,20.0,8.2
192403,24.8,0.0
192404,38.8,-2.5
192405,46.8,-7.0
192406,58.8,-4.2
192407,65.7,-3.3
192408,63.6,-3.3
192409,54.8,-1.4
192410,49.6,5.5
192411,26.5,0.2
192412,1.9,-10.8
192501,7.6,1.1
192502,15.8,4.0
192503,27.2,2.4
192504,47.4,6.1
192505,53.5,-0.3
192506,61.4,-1.6
192507,66.9,-2.1
192508,67.8,0.9
192509,57.8,1.6
192510,32.6,-11.5
192511,27.8,1.5
192512,15.4,2.7
192601,15.4,8.9
192602,21.2,9.4
192603,25.6,0.8
192604,42.4,1.1
192605,58.3,4.5
192606,60.8,-2.2
192607,70.4,1.4
192608,65.1,-1.8
192609,52.0,-4.2
192610,42.1,-2.0
192611,20.6,-5.7
192612,8.1,-4.6
192701,9.0,2.5
192702,13.1,1.3
192703,29.7,4.9
192704,41.1,-0.2
192705,47.9,-5.9
192706,61.4,-1.6
192707,65.5,-3.5
192708,63.3,-3.6
192709,56.3,0.1
192710,46.4,2.3
192711,19.5,-6.8
192712,-3.2,-15.9
192801,11.7,5.2
192802,17.9,6.1
192803,28.0,3.2
192804,35.9,-5.4
192805,58.2,4.4
192806,58.2,-4.8
192807,67.3,-1.7
192808,64.4,-2.5
192809,53.6,-2.6
192810,42.6,-1.5
192811,30.1,3.8
192812,20.0,7.3
192901,-6.0,-12.5
192902,1.9,-9.9
192903,29.8,5.0
192904,40.9,-0.4
192905,49.1,-4.7
192906,61.4,-1.6
192907,70.9,1.9
192908,68.4,1.5
192909,52.1,-4.1
192910,45.8,1.7
192911,23.6,-2.7
192912,9.7,-3.0
193001,-3.3,-9.8
193002,20.9,9.1
193003,25.5,0.7
193004,47.0,5.7
193005,50.6,-3.2
193006,63.2,0.2
193007,72.4,3.4
193008,70.2,3.3
193009,56.0,-0.2
193010,39.8,-4.3
193011,28.1,1.8
193012,18.8,6.1
193101,19.8,13.3
193102,27.2,15.4
193103,25.2,0.4
193104,43.7,2.4
193105,52.9,-0.9
193106,68.2,5.2
193107,70.6,1.6
193108,66.5,-0.4
193109,60.7,4.5
193110,46.9,2.8
193111,28.9,2.6
193112,19.4,6.7
193201,8.2,1.7
193202,12.2,0.4
193203,18.2,-6.6
193204,43.8,2.5
193205,55.7,1.9
193206,66.8,3.8
193207,70.1,1.1
193208,68.1,1.2
193209,56.4,0.2
193210,37.6,-6.5
193211,24.2,-2.1
193212,11.4,-1.3
193301,10.9,4.4
193302,7.5,-4.3
193303,28.2,3.4
193304,39.6,-1.7
193305,54.3,0.5
193306,70.6,7.6
193307,72.0,3.0
193308,68.1,1.2
193309,60.6,4.4
193310,40.8,-3.3
193311,27.1,0.8
193312,7.6,-5.1
193401,15.0,8.5
193402,18.8,7.0
193403,25.9,1.1
193404,43.3,2.0
193405,63.4,9.6
193406,64.1,1.1
193407,71.8,2.8
193408,67.1,0.2
193409,52.1,-4.1
193410,48.2,4.1
193411,32.7,6.4
193412,11.7,-1.0
193501,2.4,-4.1
193502,23.3,11.5
193503,25.6,0.8
193504,37.9,-3.4
193505,49.1,-4.7
193506,60.4,-2.6
193507,73.8,4.8
193508,65.9,-1.0
193509,56.9,0.7
193510,42.9,-1.2
193511,16.4,-9.9
193512,11.9,-0.8
193601,-6.9,-13.4
193602,-14.1,-25.9
193603,24.8,0.0
193604,35.2,-6.1
193605,60.7,6.9
193606,66.4,3.4
193607,80.1,11.1
193608,69.5,2.6
193609,59.8,3.6
193610,41.7,-2.4
193611,26.8,0.5
193612,13.4,0.7
193701,-9.7,-16.2
193702,5.7,-6.1
193703,24.4,-0.4
193704,40.2,-1.1
193705,56.8,3.0
193706,63.2,0.2
193707,71.6,2.6
193708,72.7,5.8
193709,58.1,1.9
193710,43.4,-0.7
193711,24.0,-2.3
193712,10.1,-2.6
193801,8.3,1.8
193802,6.3,-5.5
193803,32.4,7.6
193804,42.5,1.2
193805,51.8,-2.0
193806,64.2,1.2
193807,69.5,0.5
193808,69.4,2.5
193809,61.4,5.2
193810,50.1,6.0
193811,22.7,-3.6
193812,17.0,4.3
193901,13.6,7.1
193902,-1.7,-13.5
193903,23.0,-1.8
193904,41.3,0.0
193905,60.1,6.3
193906,60.1,-2.9
193907,72.8,3.8
193908,68.5,1.6
193909,58.7,2.5
193910,40.9,-3.2
193911,33.8,7.5
193912,25.4,12.7
194001,1.8,-4.7
194002,14.0,2.2
194003,22.7,-2.1
194004,37.5,-3.8
194005,54.7,0.9
194006,63.1,0.1
194007,71.7,2.7
194008,67.5,0.6
194009,62.5,6.3
194010,49.9,5.8
194011,20.8,-5.5
194012,18.6,5.9
194101,9.6,3.1
194102,11.3,-0.5
194103,24.1,-0.7
194104,43.8,2.5
194105,58.3,4.5
194106,64.2,1.2
194107,70.9,1.9
194108,67.9,1.0
194109,55.2,-1.0
194110,43.9,-0.2
194111,29.2,2.9
194112,21.3,8.6
194201,17.1,10.6
194202,13.4,1.6
194203,29.4,4.6
194204,44.7,3.4
194205,49.8,-4.0
194206,60.0,-3.0
194207,67.1,-1.9
194208,66.0,-0.9
194209,53.8,-2.4
194210,45.8,1.7
194211,26.9,0.6
194212,9.6,-3.1
194301,-2.8,-9.3
194302,14.4,2.6
194303,16.6,-8.2
194304,44.8,3.5
194305,50.0,-3.8
194306,60.3,-2.7
194307,70.5,1.5
194308,67.4,0.5
194309,55.4,-0.8
194310,47.6,3.5
194311,27.4,1.1
194312,20.2,7.5
194401,20.4,13.9
194402,10.4,-1.4
194403,16.2,-8.6
194404,40.4,-0.9
194405,58.1,4.3
194406,61.8,-1.2
194407,67.6,-1.4
194408,65.3,-1.6
194409,56.1,-0.1
194410,48.0,3.9
194411,25.9,-0.4
194412,14.6,1.9
194501,11.4,4.9
194502,14.2,2.4
194503,33.0,8.2
194504,37.8,-3.5
194505,47.7,-6.1
194506,57.5,-5.5
194507,67.8,-1.2
194508,66.8,-0.1
194509,53.7,-2.5
194510,44.4,0.3
194511,21.1,-5.2
194512,5.8,-6.9
194601,10.0,3.5
194602,9.7,-2.1
194603,34.5,9.7
194604,48.0,6.7
194605,50.6,-3.2
194606,63.2,0.2
194607,70.6,1.6
194608,65.0,-1.9
194609,56.1,-0.1
194610,39.5,-4.6
194611,24.4,-1.9
194612,12.6,-0.1
