Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,21.8,-5.1
189502,18.4,-10.6
189503,34.2,-4.2
189504,50.8,1.6
189505,60.6,0.5
189506,71.6,2.7
189507,71.1,-1.9
189508,72.8,1.8
189509,68.4,3.8
189510,45.4,-7.5
189511,40.0,-0.8
189512,32.5,2.1
189601,27.8,0.9
189602,29.4,0.4
189603,31.3,-7.1
189604,56.4,7.2
189605,67.6,7.5
189606,69.0,0.1
189607,72.9,-0.1
189608,71.1,0.1
189609,61.7,-2.9
189610,47.8,-5.1
189611,43.9,3.1
189612,31.9,1.5
189701,24.0,-2.9
189702,31.5,2.5
189703,40.8,2.4
189704,48.4,-0.8
189705,56.4,-3.7
189706,67.2,-1.7
189707,75.2,2.2
189708,68.6,-2.4
189709,65.9,1.3
189710,56.7,3.8
189711,41.0,0.2
189712,31.7,1.3
189801,31.1,4.2
189802,29.2,0.2
189803,43.7,5.3
189804,46.5,-2.7
189805,60.9,0.8
189806,71.1,2.2
189807,75.5,2.5
189808,72.7,1.7
189809,67.6,3.0
189810,53.1,0.2
189811,37.6,-3.2
189812,27.9,-2.5
189901,26.6,-0.3
189902,21.2,-7.8
189903,36.2,-2.2
189904,52.6,3.4
189905,63.1,3.0
189906,71.2,2.3
189907,73.8,0.8
189908,73.2,2.2
189909,63.5,-1.1
189910,56.3,3.4
189911,42.8,2.0
189912,29.2,-1.2
190001,30.0,3.1
190002,25.0,-4.0
190003,32.0,-6.4
190004,49.3,0.1
190005,62.6,2.5
190006,69.5,0.6
190007,73.7,0.7
190008,75.8,4.8
190009,69.0,4.4
190010,59.4,6.5
190011,40.4,-0.4
190012,30.7,0.3
190101,28.0,1.1
190102,20.4,-8.6
190103,38.5,0.1
190104,46.1,-3.1
190105,59.0,-1.1
190106,70.7,1.8
190107,78.0,5.0
190108,72.6,1.6
190109,64.3,-0.3
190110,53.0,0.1
190111,36.4,-4.4
190112,26.8,-3.6
190201,26.0,-0.9
190202,21.3,-7.7
190203,40.8,2.4
190204,47.4,-1.8
190205,62.8,2.7
190206,66.9,-2.0
190207,74.0,1.0
190208,68.5,-2.5
190209,63.2,-1.4
190210,54.0,1.1
190211,47.6,6.8
190212,28.7,-1.7
190301,25.8,-1.1
190302,29.2,0.2
190303,45.9,7.5
190304,49.3,0.1
190305,63.8,3.7
190306,64.1,-4.8
190307,72.8,-0.2
190308,70.4,-0.6
190309,65.1,0.5
190310,52.9,0.0
190311,36.2,-4.6
190312,22.6,-7.8
190401,19.4,-7.5
190402,22.2,-6.8
190403,38.7,0.3
190404,43.6,-5.6
190405,60.5,0.4
190406,68.2,-0.7
190407,71.2,-1.8
190408,68.4,-2.6
190409,65.0,0.4
190410,51.4,-1.5
190411,39.4,-1.4
190412,27.0,-3.4
190501,21.3,-5.6
190502,19.8,-9.2
190503,41.7,3.3
190504,48.0,-1.2
190505,60.8,0.7
190506,69.2,0.3
190507,73.0,0.0
190508,71.4,0.4
190509,64.8,0.2
190510,51.7,-1.2
190511,38.5,-2.3
190512,31.8,1.4
190601,34.3,7.4
190602,26.4,-2.6
190603,30.3,-8.1
190604,51.5,2.3
190605,61.2,1.1
190606,69.5,0.6
190607,71.9,-1.1
190608,74.2,3.2
190609,68.4,3.8
190610,51.7,-1.2
190611,40.1,-0.7
190612,31.2,0.8
190701,31.2,4.3
190702,25.4,-3.6
190703,45.0,6.6
190704,41.6,-7.6
190705,54.5,-5.6
190706,65.2,-3.7
190707,72.4,-0.6
190708,68.8,-2.2
190709,65.1,0.5
190710,48.1,-4.8
190711,37.9,-2.9
190712,32.1,1.7
190801,27.7,0.8
190802,26.9,-2.1
190803,42.4,4.0
190804,50.2,1.0
190805,62.4,2.3
190806,68.9,0.0
190807,73.7,0.7
190808,70.6,-0.4
190809,67.3,2.7
190810,53.0,0.1
190811,40.7,-0.1
190812,32.1,1.7
190901,31.0,4.1
190902,34.0,5.0
190903,36.3,-2.1
190904,48.3,-0.9
190905,58.6,-1.5
190906,69.9,1.0
190907,70.5,-2.5
190908,71.4,0.4
190909,62.7,-1.9
190910,47.7,-5.2
190911,48.0,7.2
190912,24.4,-6.0
191001,26.4,-0.5
191002,24.8,-4.2
191003,47.0,8.6
191004,50.7,1.5
191005,55.8,-4.3
191006,65.6,-3.3
191007,73.7,0.7
191008,70.8,-0.2
191009,65.9,1.3
191010,55.6,2.7
191011,34.9,-5.9
191012,24.3,-6.1
191101,31.5,4.6
191102,33.8,4.8
191103,36.5,-1.9
191104,46.9,-2.3
191105,66.0,5.9
191106,70.6,1.7
191107,73.7,0.7
191108,72.0,1.0
191109,67.2,2.6
191110,52.2,-0.7
191111,36.5,-4.3
191112,35.2,4.8
191201,16.5,-10.4
191202,21.4,-7.6
191203,31.8,-6.6
191204,51.3,2.1
191205,62.2,2.1
191206,66.3,-2.6
191207,73.3,0.3
191208,68.6,-2.4
191209,66.7,2.1
191210,53.5,0.6
191211,41.0,0.2
191212,32.8,2.4
191301,34.5,7.6
191302,25.9,-3.1
191303,39.2,0.8
191304,49.2,0.0
191305,59.9,-0.2
191306,69.3,0.4
191307,74.3,1.3
191308,72.9,1.9
191309,63.5,-1.1
191310,52.9,0.0
191311,43.3,2.5
191312,33.3,2.9
191401,31.9,5.0
191402,21.0,-8.0
191403,34.6,-3.8
191404,49.0,-0.2
191405,61.5,1.4
191406,70.7,1.8
191407,73.7,0.7
191408,72.0,1.0
191409,62.7,-1.9
191410,55.7,2.8
191411,40.6,-0.2
191412,25.7,-4.7
191501,24.6,-2.3
191502,34.1,5.1
191503,31.7,-6.7
191504,53.6,4.4
191505,57.2,-2.9
191506,66.1,-2.8
191507,71.0,-2.0
191508,66.7,-4.3
191509,66.2,1.6
191510,53.9,1.0
191511,42.9,2.1
191512,29.0,-1.4
191601,33.8,6.9
191602,25.3,-3.7
191603,33.3,-5.1
191604,48.0,-1.2
191605,61.4,1.3
191606,64.0,-4.9
191607,76.3,3.3
191608,73.4,2.4
