Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,32.1,-4.4
189502,29.4,-11.8
189503,49.0,-0.3
189504,62.7,3.3
189505,69.6,1.6
189506,77.0,0.1
189507,79.1,-2.6
189508,80.1,-0.8
189509,76.5,3.4
189510,56.0,-5.6
189511,44.7,-3.7
189512,37.6,-1.4
189601,38.0,1.5
189602,41.7,0.5
189603,45.4,-3.9
189604,64.8,5.4
189605,73.4,5.4
189606,78.3,1.4
189607,82.9,1.2
189608,83.6,2.7
189609,72.6,-0.5
189610,58.9,-2.7
189611,45.4,-3.0
189612,42.4,3.4
189701,33.3,-3.2
189702,41.6,0.4
189703,50.2,0.9
189704,59.0,-0.4
189705,67.4,-0.6
189706,77.4,0.5
189707,82.9,1.2
189708,79.0,-1.9
189709,75.0,1.9
189710,65.1,3.5
189711,48.0,-0.4
189712,35.6,-3.4
189801,39.0,2.5
189802,43.6,2.4
189803,48.6,-0.7
189804,57.8,-1.6
189805,68.8,0.8
189806,77.5,0.6
189807,80.2,-1.5
189808,79.0,-1.9
189809,73.7,0.6
189810,58.6,-3.0
189811,44.3,-4.1
189812,33.1,-5.9
189901,35.0,-1.5
189902,28.0,-13.2
189903,46.5,-2.8
189904,58.6,-0.8
189905,71.2,3.2
189906,76.8,-0.1
189907,79.6,-2.1
189908,84.5,3.6
189909,72.3,-0.8
189910,64.6,3.0
189911,51.8,3.4
189912,37.2,-1.8
190001,39.8,3.3
190002,36.6,-4.6
190003,48.7,-0.6
190004,60.3,0.9
190005,68.3,0.3
190006,77.9,1.0
190007,79.8,-1.9
190008,82.0,1.1
190009,75.4,2.3
190010,64.6,3.0
190011,49.3,0.9
190012,41.0,2.0
190101,39.5,3.0
190102,37.0,-4.2
190103,48.5,-0.8
190104,57.3,-2.1
190105,67.6,-0.4
190106,79.8,2.9
190107,86.1,4.4
190108,81.7,0.8
190109,73.4,0.3
190110,64.4,2.8
190111,49.9,1.5
190112,36.4,-2.6
190201,35.6,-0.9
190202,35.5,-5.7
190203,49.8,0.5
190204,60.4,1.0
190205,70.8,2.8
190206,77.0,0.1
190207,79.7,-2.0
190208,83.2,2.3
190209,67.6,-5.5
190210,61.8,0.2
190211,51.9,3.5
190212,35.7,-3.3
190301,37.5,1.0
190302,34.7,-6.5
190303,48.3,-1.0
190304,59.4,0.0
190305,65.7,-2.3
190306,70.3,-6.6
