Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.7,-4.6
189502,17.0,-9.5
189503,31.3,-4.5
189504,46.9,0.1
189505,58.8,1.2
189506,69.2,3.2
189507,66.8,-3.6
189508,69.2,0.8
189509,64.8,3.0
189510,44.3,-6.4
189511,39.6,0.3
189512,31.2,2.3
189601,24.7,-0.6
189602,26.6,0.1
189603,27.8,-8.0
189604,51.0,4.2
189605,63.5,5.9
189606,65.2,-0.8
189607,70.5,0.1
189608,68.7,0.3
189609,60.5,-1.3
189610,46.3,-4.4
189611,43.4,4.1
189612,28.2,-0.7
189701,23.2,-2.1
189702,27.9,1.4
189703,36.9,1.1
189704,46.7,-0.1
189705,56.0,-1.6
189706,63.1,-2.9
189707,71.7,1.3
189708,65.8,-2.6
189709,61.5,-0.3
189710,51.8,1.1
189711,39.2,-0.1
189712,31.1,2.2
189801,28.3,3.0
189802,26.7,0.2
189803,42.0,6.2
189804,43.5,-3.3
189805,58.5,0.9
189806,67.8,1.8
189807,73.1,2.7
189808,70.4,2.0
189809,64.0,2.2
189810,51.6,0.9
189811,37.4,-1.9
189812,27.4,-1.5
189901,23.8,-1.5
189902,20.0,-6.5
189903,34.0,-1.8
189904,48.6,1.8
189905,59.4,1.8
189906,68.4,2.4
189907,70.6,0.2
189908,69.5,1.1
189909,59.9,-1.9
189910,52.6,1.9
189911,39.2,-0.1
189912,29.1,0.2
190001,27.0,1.7
190002,24.1,-2.4
190003,29.3,-6.5
190004,46.8,0.0
190005,58.6,1.0
190006,67.7,1.7
190007,72.0,1.6
190008,73.0,4.6
190009,66.1,4.3
190010,56.4,5.7
190011,40.8,1.5
190012,28.9,0.0
190101,26.4,1.1
190102,18.9,-7.6
190103,35.1,-0.7
190104,45.0,-1.8
190105,57.2,-0.4
190106,67.2,1.2
190107,74.6,4.2
190108,70.1,1.7
190109,61.7,-0.1
190110,50.0,-0.7
190111,33.9,-5.4
190112,26.8,-2.1
190201,23.4,-1.9
190202,21.0,-5.5
190203,38.8,3.0
190204,46.1,-0.7
190205,58.5,0.9
190206,64.0,-2.0
190207,70.6,0.2
190208,66.1,-2.3
190209,60.7,-1.1
190210,51.5,0.8
190211,45.0,5.7
190212,26.1,-2.8
190301,24.3,-1.0
190302,28.0,1.5
190303,44.5,8.7
190304,46.6,-0.2
190305,60.1,2.5
190306,61.8,-4.2
190307,69.5,-0.9
190308,65.7,-2.7
190309,61.5,-0.3
190310,51.5,0.8
190311,34.4,-4.9
190312,23.0,-5.9
190401,17.3,-8.0
190402,19.2,-7.3
190403,34.0,-1.8
190404,42.6,-4.2
190405,59.8,2.2
190406,66.3,0.3
190407,69.0,-1.4
190408,66.2,-2.2
190409,61.7,-0.1
190410,48.5,-2.2
190411,36.2,-3.1
190412,23.3,-5.6
190501,20.8,-4.5
190502,18.1,-8.4
190503,36.9,1.1
190504,46.0,-0.8
190505,59.0,1.4
190506,66.3,0.3
190507,70.7,0.3
190508,67.7,-0.7
190509,61.8,0.0
190510,50.7,0.0
190511,36.3,-3.0
190512,30.9,2.0
190601,32.3,7.0
190602,25.3,-1.2
190603,29.1,-6.7
190604,47.7,0.9
190605,58.2,0.6
190606,67.6,1.6
190607,69.8,-0.6
190608,71.4,3.0
190609,65.0,3.2
190610,50.0,-0.7
190611,39.0,-0.3
190612,28.1,-0.8
190701,27.0,1.7
