South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,42.7,-1.9
189502,36.2,-10.6
189503,51.5,-2.3
189504,60.4,-1.5
189505,68.2,-2.1
189506,78.0,1.0
189507,79.5,-0.4
189508,79.4,0.6
189509,77.2,3.4
189510,60.9,-2.3
189511,53.4,0.3
189512,44.6,-1.0
189601,42.3,-2.3
189602,47.0,0.2
189603,51.5,-2.3
189604,66.2,4.3
189605,76.6,6.3
189606,77.7,0.7
189607,81.0,1.1
189608,80.5,1.7
189609,74.5,0.7
189610,61.7,-1.5
189611,58.3,5.2
189612,43.3,-2.3
189701,41.0,-3.6
189702,49.1,2.3
189703,55.5,1.7
189704,61.7,-0.2
189705,69.2,-1.1
189706,79.5,2.5
189707,80.6,0.7
189708,78.5,-0.3
189709,73.8,0.0
189710,65.6,2.4
189711,54.4,1.3
189712,46.3,0.7
189801,48.1,3.5
189802,43.9,-2.9
189803,58.3,4.5
189804,57.7,-4.2
189805,73.5,3.2
189806,79.8,2.8
189807,80.5,0.6
189808,79.4,0.6
189809,75.2,1.4
189810,62.0,-1.2
189811,50.4,-2.7
189812,45.1,-0.5
189901,43.8,-0.8
189902,42.8,-4.0
189903,54.2,0.4
189904,59.6,-2.3
189905,73.7,3.4
189906,79.7,2.7
189907,80.2,0.3
189908,81.4,2.6
189909,73.1,-0.7
189910,64.0,0.8
189911,54.4,1.3
189912,44.2,-1.4
190001,43.6,-1.0
190002,43.4,-3.4
190003,51.0,-2.8
190004,62.3,0.4
190005,70.5,0.2
190006,76.8,-0.2
190007,81.5,1.6
190008,83.0,4.2
190009,77.2,3.4
190010,67.3,4.1
190011,55.1,2.0
190012,44.7,-0.9
190101,44.1,-0.5
190102,42.6,-4.2
190103,52.3,-1.5
190104,55.4,-6.5
190105,71.5,1.2
190106,77.0,0.0
190107,81.5,1.6
190108,78.8,0.0
190109,73.3,-0.5
190110,62.0,-1.2
