South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,6.9,-8.2
189502,12.1,-7.7
189503,29.0,-1.8
189504,51.6,6.9
189505,55.4,-0.7
189506,62.1,-3.7
189507,69.8,-2.8
189508,69.0,-1.5
189509,61.3,1.1
189510,43.4,-4.5
189511,27.1,-4.6
189512,21.3,1.6
189601,16.9,1.8
189602,24.1,4.3
189603,21.8,-9.0
189604,44.7,0.0
189605,58.9,2.8
189606,66.6,0.8
189607,70.2,-2.4
189608,69.3,-1.2
189609,55.4,-4.8
189610,43.0,-4.9
189611,14.4,-17.3
189612,25.0,5.3
189701,11.2,-3.9
189702,15.1,-4.7
189703,21.1,-9.7
189704,43.9,-0.8
189705,57.3,1.2
189706,64.5,-1.3
189707,72.2,-0.4
189708,66.2,-4.3
189709,67.7,7.5
189710,49.0,1.1
189711,26.1,-5.6
189712,16.9,-2.8
189801,20.7,5.6
189802,23.2,3.4
189803,27.8,-3.0
189804,44.4,-0.3
189805,53.5,-2.6
189806,66.0,0.2
189807,71.2,-1.4
189808,70.3,-0.2
189809,60.4,0.2
189810,41.7,-6.2
189811,25.9,-5.8
189812,17.4,-2.3
189901,15.2,0.1
189902,5.0,-14.8
189903,14.7,-16.1
189904,42.7,-2.0
189905,54.0,-2.1
189906,64.9,-0.9
189907,71.8,-0.8
189908,70.0,-0.5
189909,59.5,-0.7
189910,46.4,-1.5
189911,39.1,7.4
189912,18.0,-1.7
190001,23.7,8.6
190002,13.4,-6.4
190003,28.8,-2.0
190004,49.7,5.0
190005,61.2,5.1
190006,69.0,3.2
190007,71.0,-1.6
190008,73.8,3.3
190009,59.0,-1.2
190010,51.4,3.5
190011,27.6,-4.1
190012,25.4,5.7
190101,20.2,5.1
190102,14.8,-5.0
190103,31.4,0.6
190104,47.2,2.5
190105,60.1,4.0
190106,64.8,-1.0
190107,77.5,4.9
190108,71.3,0.8
190109,57.2,-3.0
190110,50.4,2.5
190111,33.6,1.9
190112,18.5,-1.2
190201,18.9,3.8
190202,17.2,-2.6
190203,32.1,1.3
190204,43.0,-1.7
190205,58.4,2.3
190206,61.3,-4.5
190207,70.5,-2.1
190208,67.7,-2.8
190209,56.2,-4.0
190210,48.1,0.2
190211,32.5,0.8
190212,13.7,-6.0
190301,17.4,2.3
190302,10.7,-9.1
190303,28.8,-2.0
190304,45.3,0.6
190305,55.6,-0.5
190306,63.5,-2.3
190307,70.1,-2.5
190308,67.6,-2.9
190309,55.6,-4.6
190310,49.7,1.8
190311,29.5,-2.2
190312,18.6,-1.1
190401,12.8,-2.3
190402,10.1,-9.7
190403,29.2,-1.6
190404,42.1,-2.6
190405,55.8,-0.3
190406,63.1,-2.7
190407,68.1,-4.5
190408,68.2,-2.3
190409,59.4,-0.8
190410,50.3,2.4
190411,38.1,6.4
190412,20.5,0.8
190501,9.2,-5.9
190502,11.6,-8.2
190503,37.9,7.1
190504,43.1,-1.6
190505,51.4,-4.7
190506,62.4,-3.4
190507,67.6,-5.0
190508,70.9,0.4
190509,62.6,2.4
190510,42.7,-5.2
190511,35.0,3.3
190512,22.5,2.8
190601,20.2,5.1
190602,20.8,1.0
190603,21.0,-9.8
190604,48.9,4.2
190605,55.1,-1.0
190606,62.8,-3.0
190607,69.4,-3.2
190608,68.7,-1.8
190609,62.6,2.4
190610,46.9,-1.0
190611,30.5,-1.2
190612,20.7,1.0
190701,6.0,-9.1
190702,21.9,2.1
190703,35.6,4.8
190704,37.9,-6.8
190705,48.0,-8.1
190706,63.5,-2.3
190707,69.5,-3.1
190708,69.0,-1.5
190709,56.8,-3.4
190710,47.6,-0.3
190711,33.1,1.4
190712,24.8,5.1
190801,23.0,7.9
190802,20.7,0.9
190803,31.2,0.4
190804,47.7,3.0
190805,53.4,-2.7
190806,62.6,-3.2
190807,71.1,-1.5
190808,66.6,-3.9
190809,65.6,5.4
190810,45.6,-2.3
190811,34.2,2.5
190812,19.6,-0.1
190901,12.2,-2.9
190902,18.8,-1.0
190903,29.7,-1.1
190904,38.4,-6.3
190905,53.8,-2.3
190906,66.1,0.3
190907,70.8,-1.8
190908,74.0,3.5
190909,60.8,0.6
190910,46.8,-1.1
190911,32.4,0.7
190912,8.1,-11.6
191001,14.2,-0.9
191002,10.2,-9.6
191003,45.9,15.1
191004,50.5,5.8
191005,52.2,-3.9
191006,67.7,1.9
191007,73.0,0.4
191008,66.9,-3.6
191009,59.8,-0.4
191010,52.6,4.7
191011,29.6,-2.1
191012,20.2,0.5
191101,14.6,-0.5
191102,19.0,-0.8
191103,38.3,7.5
191104,43.8,-0.9
191105,58.9,2.8
191106,72.4,6.6
191107,70.4,-2.2
191108,66.2,-4.3
191109,60.4,0.2
191110,43.3,-4.6
191111,22.3,-9.4
191112,19.2,-0.5
191201,4.1,-11.0
191202,19.0,-0.8
191203,21.2,-9.6
191204,47.3,2.6
191205,56.6,0.5
191206,64.3,-1.5
191207,70.7,-1.9
191208,67.4,-3.1
191209,54.4,-5.8
191210,47.7,-0.2
191211,36.4,4.7
191212,24.4,4.7
191301,14.2,-0.9
191302,14.2,-5.6
191303,24.1,-6.7
191304,47.8,3.1
191305,53.8,-2.3
191306,69.2,3.4
191307,70.6,-2.0
191308,73.4,2.9
191309,61.2,1.0
191310,43.1,-4.8
191311,38.0,6.3
191312,25.1,5.4
191401,23.5,8.4
191402,10.1,-9.7
191403,30.5,-0.3
191404,44.7,0.0
191405,56.8,0.7
191406,66.9,1.1
191407,75.2,2.6
