Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,34.0,-3.2
189502,29.3,-10.8
189503,47.0,-1.4
189504,58.3,0.7
189505,64.7,-1.4
189506,75.5,1.7
189507,75.3,-1.8
189508,76.0,0.0
189509,73.6,3.4
189510,52.5,-6.3
189511,47.9,0.5
189512,39.9,0.6
189601,37.4,0.2
189602,40.2,0.1
189603,44.5,-3.9
189604,63.8,6.2
189605,72.0,5.9
189606,73.1,-0.7
189607,77.6,0.5
189608,77.7,1.7
189609,69.6,-0.6
189610,56.7,-2.1
189611,50.8,3.4
189612,39.8,0.5
189701,34.2,-3.0
189702,43.5,3.4
189703,52.4,4.0
189704,57.5,-0.1
189705,63.1,-3.0
189706,75.1,1.3
189707,77.7,0.6
189708,75.8,-0.2
189709,72.1,1.9
189710,62.7,3.9
189711,48.5,1.1
189712,40.3,1.0
189801,42.7,5.5
189802,39.3,-0.8
189803,53.5,5.1
189804,53.1,-4.5
189805,69.1,3.0
189806,76.6,2.8
189807,77.4,0.3
189808,76.4,0.4
189809,72.8,2.6
189810,57.3,-1.5
189811,44.5,-2.9
189812,36.4,-2.9
189901,37.0,-0.2
189902,30.1,-10.0
189903,47.4,-1.0
189904,57.0,-0.6
189905,70.6,4.5
189906,76.5,2.7
189907,77.3,0.2
189908,78.5,2.5
189909,68.6,-1.6
189910,61.4,2.6
189911,50.8,3.4
189912,36.9,-2.4
190001,38.0,0.8
190002,36.3,-3.8
190003,45.7,-2.7
190004,58.2,0.6
190005,66.2,0.1
190006,73.7,-0.1
190007,77.6,0.5
190008,79.2,3.2
190009,74.6,4.4
190010,64.0,5.2
190011,48.5,1.1
190012,40.1,0.8
190101,38.4,1.2
190102,35.5,-4.6
190103,48.2,-0.2
190104,52.6,-5.0
190105,64.9,-1.2
190106,76.1,2.3
190107,80.9,3.8
190108,75.2,-0.8
190109,67.9,-2.3
190110,57.8,-1.0
190111,42.5,-4.9
190112,33.9,-5.4
190201,35.5,-1.7
190202,31.1,-9.0
190203,48.6,0.2
190204,55.9,-1.7
190205,71.2,5.1
190206,75.1,1.3
190207,78.8,1.7
190208,76.7,0.7
190209,67.4,-2.8
190210,59.5,0.7
190211,53.3,5.9
190212,38.2,-1.1
190301,37.0,-0.2
190302,40.1,0.0
190303,54.0,5.6
190304,56.3,-1.3
190305,67.4,1.3
190306,68.6,-5.2
190307,77.4,0.3
190308,76.6,0.6
190309,68.8,-1.4
190310,58.2,-0.6
190311,44.0,-3.4
190312,33.3,-6.0
190401,34.6,-2.6
190402,39.9,-0.2
190403,50.3,1.9
190404,53.0,-4.6
190405,65.2,-0.9
190406,73.3,-0.5
190407,74.8,-2.3
190408,75.5,-0.5
190409,71.7,1.5
190410,57.7,-1.1
190411,45.2,-2.2
190412,38.9,-0.4
190501,30.0,-7.2
190502,30.2,-9.9
190503,53.6,5.2
190504,58.0,0.4
190505,69.3,3.2
190506,75.2,1.4
190507,75.7,-1.4
190508,75.9,-0.1
190509,71.2,1.0
190510,58.7,-0.1
190511,48.2,0.8
190512,37.4,-1.9
190601,40.4,3.2
190602,37.6,-2.5
190603,42.9,-5.5
190604,59.8,2.2
190605,66.2,0.1
190606,74.3,0.5
190607,74.7,-2.4
190608,76.8,0.8
190609,73.7,3.5
190610,57.0,-1.8
190611,47.0,-0.4
190612,41.7,2.4
190701,46.8,9.6
190702,39.5,-0.6
190703,57.9,9.5
190704,50.6,-7.0
190705,62.6,-3.5
190706,71.1,-2.7
190707,78.3,1.2
190708,76.5,0.5
190709,70.0,-0.2
190710,56.6,-2.2
190711,45.1,-2.3
190712,40.1,0.8
190801,36.7,-0.5
190802,38.1,-2.0
190803,55.1,6.7
190804,60.9,3.3
190805,67.6,1.5
190806,73.6,-0.2
190807,76.7,-0.4
190808,75.9,-0.1
190809,70.5,0.3
190810,56.3,-2.5
190811,50.1,2.7
190812,42.0,2.7
190901,41.1,3.9
190902,44.6,4.5
190903,48.1,-0.3
190904,58.2,0.6
190905,64.9,-1.2
190906,74.6,0.8
190907,75.7,-1.4
190908,77.3,1.3
190909,68.9,-1.3
190910,56.5,-2.3
190911,54.6,7.2
190912,32.5,-6.8
191001,36.8,-0.4
191002,36.0,-4.1
191003,55.7,7.3
191004,56.8,-0.8
191005,62.9,-3.2
191006,70.5,-3.3
191007,76.3,-0.8
191008,75.0,-1.0
191009,72.9,2.7
191010,60.9,2.1
191011,43.4,-4.0
191012,33.9,-5.4
191101,42.2,5.0
191102,45.7,5.6
191103,50.0,1.6
191104,56.5,-1.1
191105,69.1,3.0
191106,76.4,2.6
191107,75.3,-1.8
191108,75.5,-0.5
191109,75.9,5.7
191110,62.2,3.4
191111,44.0,-3.4
191112,43.1,3.8
191201,31.3,-5.9
191202,34.3,-5.8
191203,44.6,-3.8
191204,59.7,2.1
191205,67.1,1.0
191206,70.9,-2.9
191207,76.7,-0.4
191208,74.9,-1.1
191209,72.6,2.4
191210,60.1,1.3
191211,44.8,-2.6
191212,38.8,-0.5
191301,44.1,6.9
191302,38.5,-1.6
191303,48.4,0.0
191304,57.1,-0.5
191305,66.7,0.6
191306,74.8,1.0
191307,79.0,1.9
191308,78.0,2.0
191309,70.1,-0.1
191310,56.7,-2.1
191311,50.7,3.3
191312,40.8,1.5
191401,40.9,3.7
191402,37.4,-2.7
191403,43.7,-4.7
191404,58.0,0.4
191405,66.7,0.6
191406,79.4,5.6
191407,78.6,1.5
191408,76.2,0.2
191409,69.5,-0.7
191410,60.4,1.6
191411,47.0,-0.4
191412,34.8,-4.5
191501,35.6,-1.6
191502,42.4,2.3
191503,39.3,-9.1
191504,60.4,2.8
191505,68.4,2.3
191506,72.9,-0.9
191507,76.3,-0.8
191508,73.3,-2.7
191509,72.1,1.9
191510,61.0,2.2
191511,50.7,3.3
191512,39.2,-0.1
191601,43.9,6.7
191602,38.4,-1.7
191603,46.7,-1.7
191604,56.0,-1.6
191605,68.9,2.8
191606,71.8,-2.0
191607,77.2,0.1
191608,76.9,0.9
191609,68.2,-2.0
191610,58.7,-0.1
191611,48.0,0.6
191612,37.7,-1.6
191701,40.6,3.4
191702,38.8,-1.3
191703,48.3,-0.1
191704,58.5,0.9
191705,60.2,-5.9
191706,71.8,-2.0
191707,75.9,-1.2
191708,73.8,-2.2
191709,68.4,-1.8
191710,52.3,-6.5
191711,45.6,-1.8
191712,30.0,-9.3
191801,25.4,-11.8
191802,43.8,3.7
191803,54.8,6.4
191804,56.4,-1.2
191805,69.5,3.4
191806,75.1,1.3
191807,74.2,-2.9
191808,78.8,2.8
191809,64.4,-5.8
191810,62.6,3.8
191811,46.4,-1.0
191812,45.1,5.8
191901,37.8,0.6
191902,40.0,-0.1
191903,49.3,0.9
191904,57.9,0.3
191905,64.8,-1.3
191906,75.6,1.8
191907,78.4,1.3
191908,75.9,-0.1
191909,71.0,0.8
191910,67.2,8.4
191911,49.0,1.6
191912,38.4,-0.9
192001,37.5,0.3
192002,38.5,-1.6
192003,47.1,-1.3
192004,56.0,-1.6
192005,65.9,-0.2
192006,72.2,-1.6
192007,75.8,-1.3
192008,73.9,-2.1
192009,71.6,1.4
192010,60.3,1.5
192011,44.5,-2.9
192012,39.8,0.5
192101,41.3,4.1
192102,43.8,3.7
192103,58.4,10.0
192104,58.3,0.7
192105,66.0,-0.1
192106,77.5,3.7
192107,79.3,2.2
192108,76.1,0.1
192109,76.5,6.3
192110,56.8,-2.0
192111,50.6,3.2
192112,43.2,3.9
192201,37.4,0.2
192202,44.7,4.6
192203,50.1,1.7
192204,61.0,3.4
192205,67.7,1.6
192206,75.2,1.4
192207,76.6,-0.5
192208,74.6,-1.4
192209,72.6,2.4
192210,59.9,1.1
192211,48.7,1.3
192212,44.7,5.4
192301,42.8,5.6
192302,37.4,-2.7
192303,47.6,-0.8
192304,56.4,-1.2
192305,64.3,-1.8
192306,73.6,-0.2
192307,76.4,-0.7
192308,75.8,-0.2
192309,70.5,0.3
192310,57.3,-1.5
192311,46.3,-1.1
192312,47.1,7.8
192401,33.0,-4.2
192402,38.0,-2.1
192403,42.9,-5.5
192404,57.8,0.2
192405,61.2,-4.9
192406,75.2,1.4
192407,75.0,-2.1
192408,77.8,1.8
192409,66.2,-4.0
192410,60.4,1.6
192411,48.8,1.4
192412,38.1,-1.2
192501,38.4,1.2
192502,46.0,5.9
192503,50.9,2.5
192504,62.5,4.9
192505,63.3,-2.8
