Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,44.6,-0.9
189502,38.5,-10.9
189503,56.4,0.1
189504,64.8,0.0
189505,69.7,-2.7
189506,78.0,-1.6
189507,80.3,-2.0
189508,81.4,-0.5
189509,77.1,1.2
189510,61.7,-4.4
189511,50.0,-4.6
189512,45.4,-1.5
189601,45.2,-0.3
189602,49.4,0.0
189603,53.8,-2.5
189604,67.3,2.5
189605,77.4,5.0
189606,82.0,2.4
189607,82.0,-0.3
189608,82.9,1.0
189609,75.3,-0.6
189610,63.4,-2.7
189611,53.8,-0.8
189612,48.4,1.5
189701,40.8,-4.7
189702,51.3,1.9
189703,59.1,2.8
189704,64.5,-0.3
189705,71.5,-0.9
189706,79.7,0.1
189707,83.4,1.1
189708,80.3,-1.6
189709,74.5,-1.4
189710,68.1,2.0
189711,55.7,1.1
189712,44.0,-2.9
189801,47.9,2.4
189802,52.0,2.6
189803,56.5,0.2
189804,63.6,-1.2
189805,73.2,0.8
189806,79.3,-0.3
189807,81.1,-1.2
189808,80.4,-1.5
189809,75.8,-0.1
189810,64.6,-1.5
189811,50.5,-4.1
189812,41.6,-5.3
189901,43.2,-2.3
189902,39.2,-10.2
189903,57.5,1.2
189904,63.2,-1.6
189905,75.6,3.2
189906,79.5,-0.1
189907,81.6,-0.7
189908,84.5,2.6
189909,75.9,0.0
189910,67.3,1.2
189911,55.4,0.8
189912,45.1,-1.8
190001,47.3,1.8
190002,47.1,-2.3
190003,56.3,0.0
190004,63.8,-1.0
190005,72.0,-0.4
190006,81.2,1.6
190007,81.2,-1.1
190008,80.9,-1.0
190009,78.8,2.9
190010,67.3,1.2
190011,55.4,0.8
190012,46.2,-0.7
190101,48.0,2.5
190102,46.2,-3.2
190103,55.4,-0.9
190104,62.6,-2.2
190105,72.5,0.1
190106,81.9,2.3
190107,83.9,1.6
190108,83.7,1.8
190109,76.1,0.2
190110,68.2,2.1
190111,56.4,1.8
190112,45.5,-1.4
190201,44.6,-0.9
190202,47.3,-2.1
190203,57.0,0.7
190204,67.9,3.1
190205,75.6,3.2
190206,82.3,2.7
190207,81.0,-1.3
190208,83.7,1.8
190209,74.2,-1.7
190210,66.3,0.2
190211,58.2,3.6
190212,46.1,-0.8
190301,45.1,-0.4
190302,43.8,-5.6
190303,54.3,-2.0
190304,64.0,-0.8
190305,69.9,-2.5
190306,73.7,-5.9
190307,81.5,-0.8
190308,81.1,-0.8
190309,74.2,-1.7
190310,63.7,-2.4
190311,53.8,-0.8
190312,46.8,-0.1
190401,44.0,-1.5
190402,53.4,4.0
190403,62.0,5.7
190404,65.0,0.2
190405,71.5,-0.9
190406,78.0,-1.6
190407,80.3,-2.0
190408,80.1,-1.8
190409,76.0,0.1
190410,66.0,-0.1
190411,54.1,-0.5
190412,46.4,-0.5
190501,42.2,-3.3
190502,38.0,-11.4
190503,59.2,2.9
190504,62.7,-2.1
190505,73.7,1.3
190506,79.7,0.1
190507,79.9,-2.4
190508,82.4,0.5
190509,77.5,1.6
190510,64.8,-1.3
190511,56.7,2.1
190512,41.4,-5.5
190601,46.0,0.5
190602,47.3,-2.1
190603,52.2,-4.1
190604,65.0,0.2
190605,72.4,0.0
190606,79.8,0.2
190607,79.4,-2.9
190608,79.2,-2.7
