Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,22.8,-2.6
189502,24.8,-5.5
189503,34.7,-2.6
189504,47.0,1.5
189505,54.5,-0.2
189506,61.3,-2.8
189507,68.8,-2.7
189508,69.4,0.0
189509,59.6,-0.9
189510,48.0,-0.9
189511,31.6,-4.4
189512,20.5,-6.6
189601,29.0,3.6
189602,30.0,-0.3
189603,36.8,-0.5
189604,43.3,-2.2
189605,51.5,-3.2
189606,67.6,3.5
189607,70.6,-0.9
189608,68.4,-1.0
189609,59.0,-1.5
189610,48.2,-0.7
189611,32.1,-3.9
189612,29.9,2.8
189701,24.9,-0.5
189702,26.4,-3.9
189703,29.8,-7.5
189704,45.3,-0.2
189705,59.3,4.6
189706,62.9,-1.2
189707,68.0,-3.5
189708,69.1,-0.3
189709,60.6,0.1
189710,45.9,-3.0
189711,36.5,0.5
189712,20.5,-6.6
189801,16.2,-9.2
189802,27.9,-2.4
189803,32.0,-5.3
189804,48.8,3.3
189805,51.6,-3.1
189806,64.3,0.2
189807,71.6,0.1
189808,71.4,2.0
189809,59.3,-1.2
189810,44.2,-4.7
189811,32.9,-3.1
189812,20.7,-6.4
189901,25.9,0.5
189902,26.9,-3.4
189903,36.6,-0.7
189904,46.2,0.7
189905,50.6,-4.1
189906,63.0,-1.1
189907,71.6,0.1
189908,64.8,-4.6
189909,62.1,1.6
189910,44.2,-4.7
189911,38.9,2.9
189912,23.0,-4.1
190001,30.6,5.2
190002,31.2,0.9
190003,42.3,5.0
190004,43.0,-2.5
190005,56.7,2.0
190006,67.6,3.5
190007,71.0,-0.5
190008,66.4,-3.0
190009,55.8,-4.7
190010,47.2,-1.7
190011,38.3,2.3
190012,28.6,1.5
190101,26.4,1.0
190102,30.5,0.2
190103,35.2,-2.1
190104,44.3,-1.2
190105,57.4,2.7
190106,61.8,-2.3
190107,74.0,2.5
190108,70.4,1.0
190109,57.8,-2.7
190110,50.1,1.2
190111,39.2,3.2
190112,28.2,1.1
190201,26.3,0.9
190202,33.0,2.7
190203,33.1,-4.2
190204,46.3,0.8
190205,54.7,0.0
190206,65.9,1.8
190207,67.6,-3.9
190208,68.0,-1.4
190209,59.3,-1.2
190210,49.3,0.4
190211,34.8,-1.2
190212,25.7,-1.4
190301,25.9,0.5
190302,15.1,-15.2
190303,35.1,-2.2
190304,43.7,-1.8
190305,52.0,-2.7
190306,65.1,1.0
190307,68.6,-2.9
190308,69.8,0.4
190309,57.4,-3.1
190310,48.2,-0.7
190311,36.6,0.6
190312,24.9,-2.2
190401,21.9,-3.5
190402,33.4,3.1
190403,38.2,0.9
190404,46.4,0.9
190405,54.7,0.0
190406,62.5,-1.6
190407,69.2,-2.3
190408,68.2,-1.2
190409,60.3,-0.2
190410,47.4,-1.5
190411,37.3,1.3
190412,27.2,0.1
190501,26.6,1.2
190502,28.6,-1.7
190503,40.0,2.7
190504,46.0,0.5
190505,50.7,-4.0
190506,63.4,-0.7
190507,69.7,-1.8
190508,69.5,0.1
190509,60.0,-0.5
190510,43.9,-5.0
190511,35.9,-0.1
190512,21.1,-6.0
190601,24.2,-1.2
190602,32.2,1.9
190603,35.5,-1.8
190604,45.6,0.1
190605,53.6,-1.1
190606,60.8,-3.3
190607,70.4,-1.1
190608,67.8,-1.6
190609,58.4,-2.1
190610,47.4,-1.5
190611,34.2,-1.8
190612,31.7,4.6
190701,27.0,1.6
190702,38.6,8.3
190703,40.6,3.3
190704,47.9,2.4
190705,51.2,-3.5
190706,57.9,-6.2
190707,69.8,-1.7
190708,66.6,-2.8
190709,58.8,-1.7
190710,51.4,2.5
190711,35.8,-0.2
190712,29.6,2.5
190801,26.2,0.8
190802,29.5,-0.8
190803,37.8,0.5
190804,47.1,1.6
190805,49.4,-5.3
190806,59.3,-4.8
190807,70.8,-0.7
190808,66.9,-2.5
190809,58.8,-1.7
190810,43.1,-5.8
190811,34.4,-1.6
190812,23.9,-3.2
190901,30.8,5.4
190902,29.1,-1.2
190903,35.2,-2.1
190904,42.7,-2.8
190905,51.1,-3.6
190906,65.2,1.1
190907,71.0,-0.5
190908,69.5,0.1
190909,59.0,-1.5
190910,49.8,0.9
190911,36.7,0.7
190912,17.0,-10.1
191001,22.6,-2.8
191002,26.2,-4.1
191003,44.3,7.0
191004,49.4,3.9
191005,56.5,1.8
191006,66.3,2.2
191007,71.9,0.4
191008,68.9,-0.5
191009,62.4,1.9
191010,48.7,-0.2
191011,40.8,4.8
191012,29.6,2.5
191101,30.9,5.5
191102,27.7,-2.6
191103,40.4,3.1
191104,44.5,-1.0
191105,53.6,-1.1
191106,63.7,-0.4
191107,68.9,-2.6
191108,68.6,-0.8
191109,60.6,0.1
191110,45.3,-3.6
191111,32.2,-3.8
191112,22.3,-4.8
191201,26.5,1.1
191202,32.1,1.8
191203,35.8,-1.5
191204,41.2,-4.3
191205,51.9,-2.8
191206,63.4,-0.7
191207,67.7,-3.8
191208,67.1,-2.3
191209,53.7,-6.8
191210,44.7,-4.2
191211,36.8,0.8
191212,23.6,-3.5
