Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,15.0,-0.3
189502,11.6,-4.9
189503,22.3,-4.8
189504,39.5,-0.4
189505,55.6,3.4
189506,64.9,3.8
189507,63.0,-2.9
189508,62.0,-1.4
189509,56.7,0.7
189510,39.4,-5.8
189511,33.6,0.4
189512,23.2,3.0
189601,13.5,-1.8
189602,16.4,-0.1
189603,20.8,-6.3
189604,41.9,2.0
189605,55.9,3.7
189606,60.0,-1.1
189607,66.8,0.9
189608,63.7,0.3
189609,54.6,-1.4
189610,41.9,-3.3
189611,35.6,2.4
189612,17.6,-2.6
189701,15.9,0.6
189702,17.6,1.1
189703,26.2,-0.9
189704,40.9,1.0
189705,52.3,0.1
189706,57.7,-3.4
189707,69.0,3.1
189708,61.6,-1.8
189709,54.2,-1.8
189710,45.3,0.1
189711,30.7,-2.5
189712,21.4,1.2
189801,13.5,-1.8
189802,21.2,4.7
189803,32.9,5.8
189804,38.3,-1.6
189805,52.0,-0.2
189806,61.6,0.5
189807,66.9,1.0
189808,65.1,1.7
189809,58.2,2.2
189810,46.2,1.0
189811,30.9,-2.3
189812,20.3,0.1
189901,14.9,-0.4
189902,14.6,-1.9
189903,23.6,-3.5
189904,39.8,-0.1
189905,52.1,-0.1
189906,62.8,1.7
189907,65.4,-0.5
189908,63.8,0.4
189909,54.2,-1.8
189910,47.0,1.8
189911,31.2,-2.0
189912,24.4,4.2
190001,16.4,1.1
190002,15.9,-0.6
190003,19.7,-7.4
190004,39.5,-0.4
190005,49.5,-2.7
190006,62.2,1.1
190007,65.9,0.0
190008,64.7,1.3
190009,57.7,1.7
190010,50.2,5.0
190011,33.7,0.5
190012,17.8,-2.4
190101,14.3,-1.0
190102,10.1,-6.4
190103,24.8,-2.3
190104,42.7,2.8
190105,52.5,0.3
190106,63.0,1.9
190107,67.9,2.0
190108,64.9,1.5
190109,56.7,0.7
190110,45.1,-0.1
190111,26.7,-6.5
190112,20.7,0.5
190201,13.6,-1.7
190202,16.3,-0.2
190203,33.3,6.2
190204,41.8,1.9
190205,49.9,-2.3
190206,57.2,-3.9
190207,63.2,-2.7
190208,60.2,-3.2
190209,56.6,0.6
190210,43.3,-1.9
190211,36.4,3.2
190212,15.9,-4.3
190301,15.8,0.5
190302,18.9,2.4
190303,35.8,8.7
190304,40.0,0.1
190305,54.3,2.1
190306,57.2,-3.9
190307,63.8,-2.1
190308,57.2,-6.2
190309,56.8,0.8
190310,44.9,-0.3
190311,28.7,-4.5
190312,15.1,-5.1
190401,7.3,-8.0
190402,9.3,-7.2
190403,24.2,-2.9
190404,37.6,-2.3
190405,56.5,4.3
190406,60.7,-0.4
190407,64.7,-1.2
190408,60.9,-2.5
190409,52.8,-3.2
190410,41.2,-4.0
190411,25.8,-7.4
190412,10.7,-9.5
190501,11.4,-3.9
190502,9.7,-6.8
190503,24.9,-2.2
190504,38.7,-1.2
190505,51.4,-0.8
190506,59.1,-2.0
190507,66.1,0.2
190508,61.1,-2.3
190509,55.0,-1.0
190510,44.5,-0.7
190511,29.6,-3.6
190512,22.0,1.8
190601,22.6,7.3
190602,16.1,-0.4
190603,20.3,-6.8
190604,38.9,-1.0
190605,50.7,-1.5
190606,61.1,0.0
190607,65.2,-0.7
190608,65.9,2.5
190609,57.5,1.5
190610,45.4,0.2
190611,30.3,-2.9
190612,14.6,-5.6
190701,12.6,-2.7
190702,8.3,-8.2
190703,26.8,-0.3
190704,35.4,-4.5
190705,46.0,-6.2
190706,60.3,-0.8
190707,65.1,-0.8
190708,60.4,-3.0
190709,56.2,0.2
190710,40.0,-5.2
190711,31.1,-2.1
190712,23.6,3.4
190801,16.3,1.0
190802,12.0,-4.5
190803,26.4,-0.7
190804,36.9,-3.0
190805,55.0,2.8
190806,61.5,0.4
190807,68.4,2.5
190808,61.8,-1.6
190809,59.3,3.3
190810,47.5,2.3
190811,32.7,-0.5
190812,18.2,-2.0
190901,17.2,1.9
190902,18.1,1.6
190903,24.2,-2.9
190904,37.9,-2.0
190905,50.2,-2.0
190906,61.3,0.2
190907,63.0,-2.9
190908,61.8,-1.6
190909,55.2,-0.8
190910,43.1,-2.1
190911,35.1,1.9
190912,18.7,-1.5
191001,17.7,2.4
191002,14.4,-2.1
191003,32.8,5.7
191004,44.9,5.0
191005,51.1,-1.1
191006,58.6,-2.5
191007,66.4,0.5
191008,61.8,-1.6
191009,54.9,-1.1
191010,45.6,0.4
191011,30.6,-2.6
191012,12.8,-7.4
191101,16.6,1.3
191102,13.0,-3.5
191103,22.0,-5.1
191104,36.3,-3.6
191105,58.8,6.6
191106,59.2,-1.9
191107,68.5,2.6
191108,63.9,0.5
191109,53.9,-2.1
191110,43.2,-2.0
191111,30.0,-3.2
191112,27.3,7.1
191201,6.2,-9.1
191202,12.9,-3.6
191203,21.1,-6.0
191204,38.6,-1.3
191205,52.3,0.1
191206,58.0,-3.1
191207,65.4,-0.5
191208,59.4,-4.0
191209,54.9,-1.1
191210,46.8,1.6
191211,33.8,0.6
191212,25.8,5.6
191301,24.9,9.6
191302,14.2,-2.3
191303,31.0,3.9
191304,42.4,2.5
191305,49.8,-2.4
191306,59.5,-1.6
191307,65.5,-0.4
191308,62.5,-0.9
191309,54.2,-1.8
191310,49.8,4.6
191311,35.7,2.5
191312,23.6,3.4
191401,12.7,-2.6
191402,8.0,-8.5
191403,26.2,-0.9
191404,35.6,-4.3
191405,53.6,1.4
191406,58.5,-2.6
191407,63.8,-2.1
191408,63.1,-0.3
191409,54.8,-1.2
191410,48.1,2.9
191411,29.8,-3.4
191412,17.6,-2.6
191501,18.4,3.1
191502,21.6,5.1
191503,23.6,-3.5
191504,45.3,5.4
191505,48.2,-4.0
191506,59.4,-1.7
191507,64.5,-1.4
191508,62.3,-1.1
191509,59.3,3.3
191510,46.6,1.4
191511,34.0,0.8
191512,21.1,0.9
191601,18.9,3.6
191602,13.9,-2.6
191603,18.7,-8.4
191604,39.8,-0.1
191605,51.5,-0.7
191606,57.7,-3.4
191607,68.8,2.9
191608,65.6,2.2
191609,55.9,-0.1
191610,45.4,0.2
191611,30.2,-3.0
191612,18.4,-1.8
191701,14.5,-0.8
191702,11.0,-5.5
191703,25.7,-1.4
191704,37.0,-2.9
191705,44.2,-8.0
191706,60.2,-0.9
191707,67.2,1.3
191708,65.6,2.2
191709,53.3,-2.7
191710,41.7,-3.5
191711,27.0,-6.2
191712,7.8,-12.4
191801,5.1,-10.2
191802,12.2,-4.3
191803,25.7,-1.4
191804,40.3,0.4
191805,57.2,5.0
191806,57.3,-3.8
191807,66.4,0.5
191808,64.2,0.8
191809,52.1,-3.9
191810,46.2,1.0
191811,33.7,0.5
191812,22.6,2.4
191901,19.5,4.2
191902,18.9,2.4
191903,29.3,2.2
191904,38.6,-1.3
191905,52.4,0.2
191906,64.5,3.4
191907,66.8,0.9
191908,61.3,-2.1
191909,56.0,0.0
191910,45.4,0.2
191911,31.9,-1.3
191912,14.4,-5.8
192001,5.5,-9.8
192002,14.8,-1.7
192003,27.7,0.6
192004,36.8,-3.1
192005,50.1,-2.1
192006,60.8,-0.3
192007,63.7,-2.2
192008,66.3,2.9
192009,57.7,1.7
192010,50.5,5.3
192011,30.0,-3.2
192012,22.8,2.6
192101,18.0,2.7
192102,19.5,3.0
192103,35.0,7.9
192104,46.4,6.5
192105,54.2,2.0
192106,60.9,-0.2
192107,71.3,5.4
192108,62.3,-1.1
192109,58.8,2.8
192110,45.2,0.0
192111,29.9,-3.3
192112,16.9,-3.3
192201,11.0,-4.3
192202,17.4,0.9
192203,28.3,1.2
192204,39.6,-0.3
192205,53.7,1.5
192206,62.6,1.5
192207,65.6,-0.3
192208,63.5,0.1
192209,58.0,2.0
192210,45.0,-0.2
192211,33.0,-0.2
192212,18.4,-1.8
192301,10.5,-4.8
192302,8.5,-8.0
192303,20.9,-6.2
192304,37.7,-2.2
192305,49.5,-2.7
192306,61.4,0.3
192307,62.9,-3.0
192308,61.1,-2.3
192309,57.5,1.5
192310,45.2,0.0
192311,33.2,0.0
192312,28.3,8.1
192401,17.3,2.0
192402,10.0,-6.5
192403,27.7,0.6
192404,37.6,-2.3
192405,48.1,-4.1
192406,58.8,-2.3
192407,64.9,-1.0
192408,63.0,-0.4
192409,53.8,-2.2
192410,45.4,0.2
192411,33.7,0.5
192412,16.8,-3.4
192501,10.0,-5.3
192502,23.8,7.3
192503,31.6,4.5
192504,40.4,0.5
192505,47.9,-4.3
192506,62.9,1.8
192507,63.4,-2.5
192508,63.2,-0.2
192509,55.5,-0.5
192510,37.6,-7.6
192511,32.0,-1.2
192512,20.3,0.1
192601,16.6,1.3
192602,12.9,-3.6
192603,19.4,-7.7
192604,33.2,-6.7
192605,48.9,-3.3
192606,56.6,-4.5
192607,64.0,-1.9
192608,63.0,-0.4
192609,54.6,-1.4
192610,42.6,-2.6
192611,32.5,-0.7
192612,14.1,-6.1
192701,15.6,0.3
192702,20.1,3.6
192703,30.1,3.0
192704,39.1,-0.8
192705,48.7,-3.5
192706,56.4,-4.7
192707,65.2,-0.7
192708,60.2,-3.2
192709,56.0,0.0
192710,47.9,2.7
192711,36.8,3.6
192712,22.5,2.3
192801,17.9,2.6
192802,16.5,0.0
192803,24.8,-2.3
192804,36.6,-3.3
192805,50.6,-1.6
192806,58.4,-2.7
192807,66.5,0.6
192808,66.8,3.4
192809,52.9,-3.1
192810,46.2,1.0
192811,32.9,-0.3
192812,25.4,5.2
192901,14.4,-0.9
192902,16.3,-0.2
192903,29.8,2.7
192904,39.5,-0.4
192905,51.9,-0.3
192906,61.6,0.5
192907,64.1,-1.8
192908,60.3,-3.1
192909,58.0,2.0
192910,43.5,-1.7
192911,33.0,-0.2
192912,18.9,-1.3
193001,17.4,2.1
193002,18.9,2.4
193003,26.7,-0.4
193004,37.7,-2.2
193005,53.6,1.4
193006,65.5,4.4
193007,64.4,-1.5
193008,62.1,-1.3
193009,58.7,2.7
193010,44.7,-0.5
193011,34.9,1.7
193012,21.9,1.7
193101,14.1,-1.2
193102,16.7,0.2
193103,29.8,2.7
193104,42.2,2.3
193105,53.0,0.8
193106,60.9,-0.2
193107,68.9,3.0
193108,62.9,-0.5
193109,58.9,2.9
193110,48.0,2.8
193111,39.2,6.0
193112,23.4,3.2
193201,27.0,11.7
193202,18.9,2.4
193203,22.8,-4.3
193204,37.7,-2.2
193205,52.5,0.3
193206,60.2,-0.9
193207,63.0,-2.9
193208,64.6,1.2
193209,57.2,1.2
193210,47.7,2.5
193211,30.2,-3.0
193212,25.5,5.3
193301,26.0,10.7
193302,21.6,5.1
193303,24.3,-2.8
193304,40.6,0.7
193305,54.1,1.9
193306,63.1,2.0
193307,66.3,0.4
193308,63.6,0.2
193309,57.4,1.4
193310,43.6,-1.6
193311,25.6,-7.6
193312,14.2,-6.0
193401,15.5,0.2
193402,3.4,-13.1
193403,24.2,-2.9
193404,41.2,1.3
193405,53.9,1.7
193406,62.7,1.6
193407,66.7,0.8
193408,60.5,-2.9
