Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.1,-3.7
189502,25.4,-11.2
189503,42.6,-2.1
189504,53.2,-0.8
189505,61.4,-1.8
189506,72.6,1.7
189507,72.2,-2.5
189508,74.5,1.3
189509,71.4,4.2
189510,51.0,-5.2
189511,46.0,0.5
189512,37.5,0.7
189601,33.4,-1.4
189602,36.8,0.2
189603,40.1,-4.6
189604,57.7,3.7
189605,69.1,5.9
189606,70.6,-0.3
189607,75.3,0.6
189608,74.3,1.1
189609,66.8,-0.4
189610,53.4,-2.8
189611,50.5,5.0
189612,35.7,-1.1
189701,31.6,-3.2
189702,38.3,1.7
189703,47.1,2.4
189704,53.7,-0.3
189705,61.4,-1.8
189706,71.3,0.4
189707,75.7,1.0
189708,73.2,0.0
189709,68.0,0.8
189710,58.3,2.1
189711,46.5,1.0
189712,38.4,1.6
189801,37.9,3.1
189802,35.2,-1.4
189803,49.4,4.7
189804,49.9,-4.1
189805,65.1,1.9
189806,72.3,1.4
189807,76.2,1.5
189808,75.2,2.0
189809,69.5,2.3
189810,57.1,0.9
189811,42.9,-2.6
189812,35.8,-1.0
189901,34.6,-0.2
189902,28.9,-7.7
189903,43.8,-0.9
189904,53.5,-0.5
189905,65.1,1.9
189906,73.7,2.8
189907,75.3,0.6
189908,75.3,2.1
189909,66.0,-1.2
189910,57.6,1.4
189911,46.4,0.9
189912,35.4,-1.4
190001,35.3,0.5
190002,34.1,-2.5
190003,40.7,-4.0
190004,53.8,-0.2
190005,64.2,1.0
190006,72.1,1.2
190007,77.0,2.3
190008,78.3,5.1
190009,72.2,5.0
190010,61.0,4.8
190011,48.0,2.5
190012,36.4,-0.4
190101,35.3,0.5
190102,31.2,-5.4
190103,45.5,0.8
190104,48.9,-5.1
190105,62.9,-0.3
190106,71.5,0.6
190107,77.7,3.0
190108,73.6,0.4
190109,66.0,-1.2
190110,55.3,-0.9
190111,39.2,-6.3
190112,33.8,-3.0
190201,31.9,-2.9
190202,29.4,-7.2
190203,45.8,1.1
190204,51.8,-2.2
190205,66.2,3.0
190206,70.7,-0.2
190207,76.0,1.3
190208,72.0,-1.2
190209,65.2,-2.0
190210,57.5,1.3
190211,51.0,5.5
190212,35.7,-1.1
190301,33.4,-1.4
190302,38.5,1.9
190303,50.9,6.2
190304,53.0,-1.0
190305,64.5,1.3
190306,66.9,-4.0
190307,75.0,0.3
190308,72.8,-0.4
190309,65.7,-1.5
190310,55.8,-0.4
190311,41.1,-4.4
190312,30.8,-6.0
190401,29.6,-5.2
190402,30.4,-6.2
190403,44.4,-0.3
190404,50.1,-3.9
190405,63.3,0.1
190406,70.8,-0.1
190407,73.4,-1.3
190408,71.8,-1.4
190409,67.0,-0.2
190410,54.6,-1.6
190411,42.6,-2.9
190412,33.0,-3.8
190501,30.1,-4.7
190502,27.5,-9.1
190503,47.0,2.3
190504,54.1,0.1
190505,65.8,2.6
190506,71.9,1.0
190507,75.0,0.3
190508,72.4,-0.8
190509,67.8,0.6
190510,56.2,0.0
190511,44.2,-1.3
190512,36.1,-0.7
190601,38.8,4.0
190602,35.2,-1.4
190603,38.9,-5.8
190604,55.2,1.2
190605,63.6,0.4
190606,72.3,1.4
190607,73.6,-1.1
190608,75.7,2.5
190609,70.4,3.2
190610,54.9,-1.3
190611,45.6,0.1
190612,37.7,0.9
190701,40.6,5.8
190702,32.6,-4.0
190703,49.8,5.1
190704,47.3,-6.7
190705,60.4,-2.8
190706,65.6,-5.3
190707,75.0,0.3
190708,71.9,-1.3
190709,68.5,1.3
190710,51.9,-4.3
190711,43.2,-2.3
190712,37.4,0.6
190801,33.1,-1.7
190802,31.6,-5.0
190803,49.3,4.6
190804,56.8,2.8
190805,64.4,1.2
190806,70.1,-0.8
190807,75.4,0.7
190808,71.8,-1.4
