Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,26.2,-2.2
189502,34.7,1.6
189503,37.7,-0.9
189504,45.6,0.5
189505,50.4,-1.4
189506,57.8,0.0
189507,62.0,-2.0
189508,62.3,-1.1
189509,51.0,-5.9
189510,47.6,0.4
189511,35.5,-1.1
189512,31.0,0.3
189601,30.2,1.8
189602,36.5,3.4
189603,36.4,-2.2
189604,41.9,-3.2
189605,48.4,-3.4
189606,57.7,-0.1
189607,66.5,2.5
189608,62.9,-0.5
189609,54.1,-2.8
189610,46.8,-0.4
189611,29.5,-7.1
189612,34.0,3.3
189701,28.0,-0.4
189702,32.5,-0.6
189703,31.7,-6.9
189704,47.3,2.2
189705,55.9,4.1
189706,57.1,-0.7
189707,60.3,-3.7
189708,66.2,2.8
189709,54.6,-2.3
189710,46.3,-0.9
189711,34.4,-2.2
189712,29.7,-1.0
189801,26.5,-1.9
189802,36.9,3.8
189803,35.7,-2.9
189804,45.5,0.4
189805,52.2,0.4
189806,57.8,0.0
189807,63.4,-0.6
189808,66.4,3.0
189809,57.4,0.5
189810,45.4,-1.8
189811,34.2,-2.4
189812,26.7,-4.0
189901,29.1,0.7
189902,28.2,-4.9
189903,36.2,-2.4
189904,43.1,-2.0
189905,47.6,-4.2
189906,55.1,-2.7
189907,64.2,0.2
189908,58.2,-5.2
189909,58.0,1.1
189910,44.9,-2.3
189911,43.0,6.4
189912,33.4,2.7
190001,34.0,5.6
190002,31.9,-1.2
190003,43.0,4.4
190004,47.3,2.2
190005,52.7,0.9
190006,60.1,2.3
190007,63.6,-0.4
190008,59.7,-3.7
190009,55.0,-1.9
190010,45.5,-1.7
190011,34.5,-2.1
190012,36.7,6.0
190101,28.7,0.3
190102,31.7,-1.4
190103,38.8,0.2
190104,42.5,-2.6
190105,52.3,0.5
190106,53.1,-4.7
190107,60.9,-3.1
190108,65.6,2.2
190109,52.9,-4.0
190110,51.7,4.5
190111,39.2,2.6
190112,32.6,1.9
190201,28.0,-0.4
190202,35.2,2.1
190203,37.5,-1.1
190204,43.5,-1.6
190205,51.8,0.0
190206,55.8,-2.0
190207,60.6,-3.4
190208,62.1,-1.3
190209,54.7,-2.2
190210,48.9,1.7
