West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,26.5,-4.1
189502,21.5,-11.1
189503,38.9,-2.2
189504,51.5,0.6
189505,60.0,-0.5
189506,70.5,2.4
189507,69.2,-2.7
189508,72.0,1.6
189509,68.5,4.0
189510,46.9,-6.4
189511,43.8,1.7
189512,34.9,1.8
189601,30.5,-0.1
189602,32.5,-0.1
189603,34.9,-6.2
189604,57.5,6.6
189605,67.7,7.2
189606,68.8,0.7
189607,72.4,0.5
189608,71.6,1.2
189609,64.2,-0.3
189610,49.7,-3.6
189611,47.4,5.3
189612,33.7,0.6
189701,27.0,-3.6
189702,35.1,2.5
189703,44.6,3.5
189704,50.7,-0.2
189705,57.8,-2.7
189706,68.4,0.3
189707,73.5,1.6
189708,69.9,-0.5
189709,64.7,0.2
189710,56.4,3.1
189711,43.2,1.1
189712,35.2,2.1
189801,34.4,3.8
189802,32.0,-0.6
189803,46.8,5.7
189804,46.5,-4.4
189805,62.8,2.3
189806,70.2,2.1
189807,74.5,2.6
189808,72.3,1.9
189809,66.5,2.0
189810,54.0,0.7
189811,39.4,-2.7
189812,30.8,-2.3
189901,30.0,-0.6
189902,24.2,-8.4
189903,41.1,0.0
189904,52.2,1.3
189905,63.4,2.9
189906,70.8,2.7
189907,72.5,0.6
189908,72.4,2.0
189909,62.7,-1.8
189910,56.2,2.9
189911,44.0,1.9
189912,31.5,-1.6
190001,32.4,1.8
190002,30.0,-2.6
190003,37.2,-3.9
190004,50.9,0.0
190005,61.7,1.2
190006,70.0,1.9
190007,73.8,1.9
190008,75.2,4.8
190009,69.9,5.4
190010,58.9,5.6
190011,43.8,1.7
190012,33.0,-0.1
190101,31.7,1.1
190102,25.7,-6.9
190103,41.5,0.4
190104,46.1,-4.8
190105,60.6,0.1
190106,69.8,1.7
190107,76.1,4.2
190108,71.6,1.2
190109,63.0,-1.5
190110,53.2,-0.1
190111,36.3,-5.8
190112,30.5,-2.6
190201,28.7,-1.9
190202,25.2,-7.4
190203,42.1,1.0
190204,47.9,-3.0
190205,63.4,2.9
190206,66.7,-1.4
190207,73.5,1.6
190208,69.0,-1.4
190209,63.0,-1.5
190210,54.8,1.5
190211,48.5,6.4
190212,32.8,-0.3
190301,29.5,-1.1
190302,33.5,0.9
190303,49.1,8.0
190304,50.6,-0.3
190305,63.7,3.2
190306,64.4,-3.7
190307,71.8,-0.1
190308,70.5,0.1
190309,63.7,-0.8
190310,52.9,-0.4
190311,37.1,-5.0
190312,25.3,-7.8
190401,25.9,-4.7
190402,28.2,-4.4
190403,42.2,1.1
190404,47.0,-3.9
190405,60.8,0.3
190406,68.4,0.3
190407,70.3,-1.6
190408,69.2,-1.2
190409,65.5,1.0
190410,52.7,-0.6
190411,39.3,-2.8
190412,31.2,-1.9
190501,25.2,-5.4
190502,24.5,-8.1
190503,45.2,4.1
190504,51.2,0.3
190505,63.2,2.7
190506,69.4,1.3
190507,72.3,0.4
190508,70.0,-0.4
190509,64.6,0.1
190510,53.0,-0.3
190511,40.5,-1.6
190512,33.6,0.5
190601,35.9,5.3
190602,31.3,-1.3
190603,35.8,-5.3
190604,52.7,1.8
190605,61.4,0.9
190606,69.8,1.7
190607,71.1,-0.8
190608,74.0,3.6
190609,68.4,3.9
190610,53.3,0.0
190611,42.7,0.6
190612,34.9,1.8
190701,37.4,6.8
190702,29.7,-2.9
190703,48.0,6.9
190704,44.3,-6.6
190705,58.1,-2.4
190706,64.0,-4.1
190707,71.8,-0.1
190708,68.4,-2.0
190709,64.9,0.4
190710,48.6,-4.7
190711,40.2,-1.9
190712,33.7,0.6
190801,28.9,-1.7
190802,29.4,-3.2
190803,46.5,5.4
190804,53.5,2.6
190805,62.2,1.7
190806,68.0,-0.1
190807,73.0,1.1
190808,69.8,-0.6
190809,64.5,0.0
190810,53.6,0.3
190811,42.1,0.0
190812,34.7,1.6
190901,35.5,4.9
190902,39.5,6.9
190903,39.2,-1.9
190904,51.7,0.8
190905,60.0,-0.5
190906,70.3,2.2
190907,69.5,-2.4
190908,69.8,-0.6
190909,62.9,-1.6
190910,48.8,-4.5
190911,47.8,5.7
190912,27.5,-5.6
191001,30.9,0.3
191002,30.8,-1.8
191003,48.2,7.1
191004,52.5,1.6
191005,57.2,-3.3
191006,65.3,-2.8
191007,72.9,1.0
191008,69.6,-0.8
191009,67.1,2.6
191010,56.7,3.4
191011,36.2,-5.9
191012,26.9,-6.2
191101,35.7,5.1
191102,37.8,5.2
191103,39.8,-1.3
191104,48.3,-2.6
191105,64.7,4.2
191106,69.2,1.1
191107,72.0,0.1
191108,72.8,2.4
191109,68.1,3.6
191110,55.2,1.9
191111,39.3,-2.8
191112,38.0,4.9
191201,22.2,-8.4
191202,26.4,-6.2
191203,38.6,-2.5
191204,54.2,3.3
191205,61.9,1.4
191206,66.0,-2.1
191207,72.0,0.1
191208,68.3,-2.1
191209,67.4,2.9
191210,54.6,1.3
191211,41.2,-0.9
191212,34.2,1.1
191301,39.0,8.4
191302,31.9,-0.7
191303,44.4,3.3
191304,50.8,-0.1
191305,60.2,-0.3
191306,68.5,0.4
191307,72.9,1.0
191308,71.1,0.7
191309,62.9,-1.6
191310,53.9,0.6
191311,43.0,0.9
191312,35.1,2.0
191401,33.7,3.1
191402,27.5,-5.1
191403,35.8,-5.3
191404,50.7,-0.2
191405,61.1,0.6
191406,70.7,2.6
191407,71.5,-0.4
191408,70.4,0.0
191409,61.9,-2.6
191410,56.2,2.9
191411,41.1,-1.0
191412,28.8,-4.3
191501,30.2,-0.4
191502,37.0,4.4
191503,33.3,-7.8
191504,53.6,2.7
191505,59.9,-0.6
191506,66.2,-1.9
191507,70.4,-1.5
191508,68.0,-2.4
191509,66.1,1.6
191510,55.8,2.5
191511,44.2,2.1
191512,31.6,-1.5
191601,37.4,6.8
191602,31.5,-1.1
191603,37.8,-3.3
191604,49.4,-1.5
191605,63.2,2.7
191606,64.5,-3.6
191607,73.2,1.3
191608,71.2,0.8
191609,61.8,-2.7
191610,52.9,-0.4
191611,42.8,0.7
191612,32.0,-1.1
191701,32.2,1.6
191702,30.4,-2.2
191703,40.7,-0.4
191704,50.7,-0.2
191705,54.7,-5.8
191706,66.3,-1.8
191707,70.8,-1.1
191708,70.1,-0.3
191709,61.2,-3.3
191710,48.0,-5.3
191711,38.2,-3.9
191712,22.7,-10.4
191801,19.3,-11.3
191802,34.6,2.0
191803,45.4,4.3
191804,49.2,-1.7
191805,65.4,4.9
191806,66.6,-1.5
191807,68.7,-3.2
191808,74.0,3.6
191809,59.2,-5.3
191810,56.6,3.3
191811,41.2,-0.9
191812,39.1,6.0
191901,32.0,1.4
191902,33.4,0.8
191903,43.2,2.1
191904,50.7,-0.2
191905,60.0,-0.5
191906,71.2,3.1
191907,72.9,1.0
191908,68.7,-1.7
191909,64.2,-0.3
191910,60.9,7.6
191911,42.7,0.6
191912,29.2,-3.9
192001,27.5,-3.1
192002,29.8,-2.8
192003,40.8,-0.3
192004,48.3,-2.6
192005,57.6,-2.9
192006,66.8,-1.3
192007,69.2,-2.7
192008,69.6,-0.8
192009,64.9,0.4
192010,55.4,2.1
192011,39.7,-2.4
192012,34.1,1.0
192101,33.5,2.9
192102,36.2,3.6
192103,51.3,10.2
192104,54.4,3.5
192105,60.1,-0.4
192106,71.1,3.0
192107,74.2,2.3
192108,68.5,-1.9
192109,69.8,5.3
192110,52.1,-1.2
192111,45.0,2.9
192112,35.6,2.5
