Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,7.3,-5.2
189502,8.9,-7.4
189503,25.7,-2.6
189504,46.3,3.6
189505,56.2,1.5
189506,66.2,2.1
189507,66.7,-2.2
189508,67.2,0.7
189509,62.0,4.0
189510,39.8,-7.1
189511,28.9,-2.7
189512,20.2,2.1
189601,15.4,2.9
189602,18.1,1.8
189603,23.2,-5.1
189604,46.4,3.7
189605,61.5,6.8
189606,66.0,1.9
189607,68.6,-0.3
189608,67.5,1.0
189609,54.1,-3.9
189610,41.8,-5.1
189611,24.8,-6.8
189612,21.7,3.6
189701,12.6,0.1
189702,19.2,2.9
189703,24.6,-3.7
189704,42.4,-0.3
189705,52.8,-1.9
189706,62.0,-2.1
189707,71.5,2.6
189708,63.5,-3.0
189709,63.6,5.6
189710,50.0,3.1
189711,27.8,-3.8
189712,13.3,-4.8
189801,18.5,6.0
189802,18.4,2.1
189803,32.2,3.9
189804,42.0,-0.7
189805,54.9,0.2
189806,65.9,1.8
189807,70.1,1.2
189808,65.9,-0.6
189809,61.0,3.0
189810,44.0,-2.9
189811,29.3,-2.3
189812,12.6,-5.5
189901,10.2,-2.3
189902,5.7,-10.6
189903,17.4,-10.9
189904,45.4,2.7
189905,55.1,0.4
189906,65.2,1.1
189907,69.1,0.2
189908,68.6,2.1
189909,55.2,-2.8
189910,50.1,3.2
189911,37.7,6.1
189912,18.1,0.0
190001,19.1,6.6
190002,8.1,-8.2
190003,22.4,-5.9
190004,46.6,3.9
190005,57.4,2.7
190006,64.7,0.6
190007,67.5,-1.4
190008,72.8,6.3
190009,59.6,1.6
190010,54.7,7.8
190011,27.5,-4.1
190012,20.8,2.7
190101,14.3,1.8
190102,9.7,-6.6
190103,26.1,-2.2
190104,45.4,2.7
190105,55.6,0.9
190106,66.2,2.1
190107,73.7,4.8
190108,67.8,1.3
190109,57.4,-0.6
190110,48.3,1.4
190111,28.9,-2.7
190112,15.1,-3.0
190201,15.4,2.9
190202,14.2,-2.1
190203,34.3,6.0
190204,42.4,-0.3
190205,56.9,2.2
190206,60.5,-3.6
190207,69.3,0.4
190208,63.9,-2.6
190209,55.2,-2.8
190210,46.5,-0.4
190211,36.4,4.8
190212,16.4,-1.7
190301,13.0,0.5
190302,14.6,-1.7
190303,34.1,5.8
190304,43.5,0.8
190305,56.4,1.7
190306,60.9,-3.2
190307,67.5,-1.4
190308,62.3,-4.2
190309,56.7,-1.3
190310,47.0,0.1
190311,27.8,-3.8
190312,10.1,-8.0
190401,5.7,-6.8
190402,4.7,-11.6
190403,26.1,-2.2
190404,37.8,-4.9
190405,54.5,-0.2
190406,63.1,-1.0
190407,65.7,-3.2
190408,63.1,-3.4
190409,57.2,-0.8
190410,46.0,-0.9
190411,35.1,3.5
190412,16.3,-1.8
190501,5.9,-6.6
190502,8.8,-7.5
190503,31.2,2.9
190504,41.8,-0.9
190505,52.4,-2.3
190506,62.9,-1.2
190507,66.7,-2.2
190508,67.0,0.5
190509,60.4,2.4
190510,44.3,-2.6
190511,31.8,0.2
190512,21.6,3.5
190601,18.9,6.4
190602,14.5,-1.8
190603,20.0,-8.3
190604,46.2,3.5
190605,53.6,-1.1
190606,63.6,-0.5
190607,67.2,-1.7
190608,68.4,1.9
190609,62.6,4.6
190610,45.4,-1.5
190611,31.5,-0.1
190612,19.8,1.7
190701,10.4,-2.1
190702,16.2,-0.1
190703,31.6,3.3
190704,34.8,-7.9
190705,46.7,-8.0
190706,63.1,-1.0
190707,67.4,-1.5
190708,64.3,-2.2
190709,56.6,-1.4
190710,44.0,-2.9
190711,31.2,-0.4
190712,21.4,3.3
190801,17.1,4.6
190802,18.1,1.8
190803,29.2,0.9
190804,43.8,1.1
190805,54.9,0.2
190806,63.0,-1.1
190807,68.7,-0.2
190808,65.4,-1.1
190809,63.7,5.7
190810,47.8,0.9
190811,33.4,1.8
190812,18.5,0.4
190901,15.0,2.5
190902,18.6,2.3
190903,26.4,-1.9
190904,36.5,-6.2
190905,52.4,-2.3
190906,64.6,0.5
190907,67.8,-1.1
190908,69.5,3.0
190909,57.2,-0.8
190910,43.6,-3.3
190911,37.1,5.5
190912,13.2,-4.9
191001,12.8,0.3
191002,11.4,-4.9
191003,40.7,12.4
191004,47.1,4.4
191005,50.4,-4.3
191006,66.4,2.3
191007,70.5,1.6
191008,66.6,0.1
191009,57.1,-0.9
191010,49.7,2.8
191011,26.2,-5.4
191012,15.5,-2.6
191101,12.3,-0.2
191102,21.2,4.9
191103,31.8,3.5
191104,41.7,-1.0
191105,59.6,4.9
191106,69.1,5.0
191107,68.7,-0.2
191108,64.5,-2.0
191109,57.4,-0.6
191110,43.8,-3.1
191111,24.1,-7.5
191112,23.9,5.8
191201,-5.1,-17.6
191202,10.5,-5.8
191203,20.3,-8.0
191204,44.4,1.7
191205,55.2,0.5
191206,62.0,-2.1
191207,68.1,-0.8
191208,62.7,-3.8
191209,58.6,0.6
191210,47.6,0.7
191211,33.4,1.8
191212,22.4,4.3
191301,13.6,1.1
191302,10.4,-5.9
191303,23.5,-4.8
191304,45.0,2.3
191305,53.0,-1.7
191306,66.5,2.4
191307,67.6,-1.3
191308,67.5,1.0
191309,58.0,0.0
191310,44.7,-2.2
191311,36.9,5.3
191312,27.6,9.5
191401,20.4,7.9
191402,7.0,-9.3
191403,26.6,-1.7
191404,41.2,-1.5
191405,57.1,2.4
191406,63.1,-1.0
191407,70.7,1.8
191408,65.7,-0.8
191409,58.3,0.3
191410,51.8,4.9
191411,32.4,0.8
191412,12.0,-6.1
191501,10.8,-1.7
191502,23.8,7.5
191503,26.3,-2.0
191504,51.4,8.7
191505,49.8,-4.9
191506,59.1,-5.0
191507,64.4,-4.5
191508,61.0,-5.5
191509,58.3,0.3
191510,47.4,0.5
191511,33.2,1.6
191512,19.4,1.3
191601,13.1,0.6
191602,11.2,-5.1
191603,23.5,-4.8
191604,41.8,-0.9
191605,53.3,-1.4
191606,59.1,-5.0
191607,74.9,6.0
191608,68.6,2.1
191609,56.0,-2.0
191610,45.5,-1.4
191611,30.2,-1.4
191612,12.0,-6.1
191701,7.3,-5.2
191702,4.8,-11.5
191703,26.2,-2.1
191704,39.3,-3.4
191705,49.6,-5.1
191706,59.6,-4.5
191707,69.1,0.2
191708,63.2,-3.3
191709,56.0,-2.0
191710,36.5,-10.4
191711,34.4,2.8
191712,9.7,-8.4
191801,1.8,-10.7
191802,13.9,-2.4
191803,34.0,5.7
191804,39.7,-3.0
191805,57.4,2.7
191806,63.2,-0.9
191807,66.9,-2.0
191808,68.0,1.5
191809,51.8,-6.2
191810,48.1,1.2
191811,35.3,3.7
191812,26.1,8.0
191901,19.8,7.3
191902,18.3,2.0
191903,29.4,1.1
191904,42.9,0.2
191905,53.4,-1.3
191906,68.7,4.6
191907,70.8,1.9
191908,65.1,-1.4
191909,60.1,2.1
191910,44.6,-2.3
191911,27.5,-4.1
191912,8.0,-10.1
192001,5.1,-7.4
192002,13.8,-2.5
192003,28.9,0.6
192004,36.7,-6.0
192005,53.7,-1.0
192006,65.4,1.3
192007,66.0,-2.9
192008,64.7,-1.8
192009,61.3,3.3
192010,53.2,6.3
192011,30.2,-1.4
192012,21.9,3.8
192101,20.2,7.7
192102,21.7,5.4
192103,32.6,4.3
192104,48.0,5.3
192105,57.5,2.8
192106,69.6,5.5
192107,75.0,6.1
192108,66.7,0.2
192109,61.8,3.8
192110,47.7,0.8
192111,26.8,-4.8
192112,19.0,0.9
192201,10.6,-1.9
192202,13.4,-2.9
192203,29.2,0.9
192204,42.3,-0.4
192205,60.5,5.8
192206,65.5,1.4
192207,66.4,-2.5
192208,67.5,1.0
192209,60.9,2.9
192210,48.9,2.0
192211,37.0,5.4
192212,16.4,-1.7
192301,15.7,3.2
192302,8.4,-7.9
