Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,14.4,-4.0
189502,14.5,-7.7
189503,25.2,-3.9
189504,42.0,3.2
189505,46.8,-1.7
189506,53.2,-4.5
189507,61.2,-4.1
189508,62.3,-1.1
189509,52.5,-1.0
189510,41.5,-1.0
189511,24.9,-4.1
189512,15.8,-4.8
189601,21.1,2.7
189602,24.0,1.8
189603,24.3,-4.8
189604,37.0,-1.8
189605,46.7,-1.8
189606,60.0,2.3
189607,64.1,-1.2
189608,62.2,-1.2
189609,50.6,-2.9
189610,41.2,-1.3
189611,19.4,-9.6
189612,27.2,6.6
189701,16.5,-1.9
189702,19.4,-2.8
189703,21.6,-7.5
189704,37.6,-1.2
189705,53.0,4.5
189706,58.0,0.3
189707,62.8,-2.5
189708,62.0,-1.4
189709,57.0,3.5
189710,42.8,0.3
189711,29.0,0.0
189712,16.2,-4.4
189801,13.3,-5.1
189802,25.3,3.1
189803,24.6,-4.5
189804,41.1,2.3
189805,47.0,-1.5
189806,58.4,0.7
189807,64.4,-0.9
189808,65.5,2.1
189809,53.3,-0.2
189810,38.0,-4.5
189811,25.3,-3.7
189812,14.1,-6.5
189901,20.2,1.8
189902,9.1,-13.1
189903,22.4,-6.7
189904,38.8,0.0
189905,45.8,-2.7
189906,55.7,-2.0
189907,64.5,-0.8
189908,61.2,-2.2
189909,54.5,1.0
189910,38.9,-3.6
189911,33.1,4.1
189912,17.6,-3.0
190001,23.5,5.1
190002,19.5,-2.7
190003,32.4,3.3
190004,40.6,1.8
190005,52.3,3.8
190006,62.9,5.2
190007,64.5,-0.8
190008,64.0,0.6
190009,52.2,-1.3
190010,42.9,0.4
190011,29.2,0.2
190012,24.4,3.8
190101,20.1,1.7
190102,17.1,-5.1
190103,28.2,-0.9
190104,38.7,-0.1
190105,53.4,4.9
190106,54.8,-2.9
190107,68.6,3.3
190108,64.8,1.4
190109,50.7,-2.8
190110,44.7,2.2
190111,32.7,3.7
190112,20.0,-0.6
190201,17.4,-1.0
190202,24.9,2.7
190203,27.9,-1.2
190204,37.3,-1.5
190205,49.8,1.3
190206,57.0,-0.7
190207,61.7,-3.6
190208,62.4,-1.0
190209,51.8,-1.7
190210,42.8,0.3
190211,29.1,0.1
190212,19.1,-1.5
190301,20.5,2.1
190302,10.0,-12.2
190303,26.7,-2.4
190304,37.7,-1.1
190305,45.0,-3.5
190306,57.0,-0.7
190307,62.6,-2.7
190308,63.1,-0.3
190309,49.6,-3.9
190310,43.2,0.7
190311,28.4,-0.6
190312,22.1,1.5
190401,18.2,-0.2
190402,22.8,0.6
190403,29.3,0.2
190404,40.0,1.2
190405,48.2,-0.3
190406,55.0,-2.7
190407,62.2,-3.1
190408,62.6,-0.8
190409,53.8,0.3
190410,44.2,1.7
190411,34.2,5.2
190412,22.6,2.0
190501,18.8,0.4
190502,15.4,-6.8
190503,34.6,5.5
190504,37.9,-0.9
190505,44.7,-3.8
190506,56.3,-1.4
190507,62.9,-2.4
190508,64.1,0.7
190509,54.8,1.3
190510,36.8,-5.7
190511,30.8,1.8
190512,18.4,-2.2
190601,20.7,2.3
190602,23.4,1.2
190603,20.3,-8.8
190604,40.7,1.9
190605,47.6,-0.9
190606,54.4,-3.3
190607,62.6,-2.7
190608,62.2,-1.2
190609,53.9,0.4
190610,41.5,-1.0
190611,27.0,-2.0
190612,26.2,5.6
190701,15.8,-2.6
190702,27.9,5.7
190703,34.0,4.9
190704,37.1,-1.7
190705,44.0,-4.5
190706,53.7,-4.0
190707,63.2,-2.1
190708,61.1,-2.3
190709,52.5,-1.0
190710,45.2,2.7
190711,29.1,0.1
190712,21.4,0.8
190801,19.9,1.5
190802,22.1,-0.1
190803,29.1,0.0
190804,42.0,3.2
190805,45.8,-2.7
190806,53.8,-3.9
190807,64.3,-1.0
190808,60.3,-3.1
190809,54.8,1.3
190810,38.9,-3.6
190811,27.8,-1.2
190812,18.7,-1.9
190901,20.1,1.7
190902,21.2,-1.0
190903,27.8,-1.3
190904,33.6,-5.2
190905,44.6,-3.9
190906,58.3,0.6
190907,65.3,0.0
190908,65.9,2.5
190909,54.1,0.6
190910,42.7,0.2
190911,31.5,2.5
190912,9.1,-11.5
191001,15.7,-2.7
191002,15.6,-6.6
191003,39.7,10.6
191004,45.0,6.2
191005,48.6,0.1
191006,60.3,2.6
191007,66.8,1.5
191008,61.4,-2.0
191009,54.4,0.9
191010,44.6,2.1
191011,32.5,3.5
191012,22.7,2.1
191101,21.7,3.3
191102,18.1,-4.1
191103,33.4,4.3
191104,37.4,-1.4
191105,48.8,0.3
191106,61.0,3.3
191107,62.8,-2.5
191108,60.6,-2.8
191109,54.2,0.7
191110,38.0,-4.5
191111,23.8,-5.2
191112,15.8,-4.8
191201,17.1,-1.3
191202,21.2,-1.0
191203,20.0,-9.1
191204,37.2,-1.6
191205,46.0,-2.5
191206,56.8,-0.9
191207,62.3,-3.0
191208,60.1,-3.3
191209,45.4,-8.1
191210,39.2,-3.3
191211,31.5,2.5
191212,19.3,-1.3
191301,16.7,-1.7
191302,13.1,-9.1
191303,24.4,-4.7
191304,41.3,2.5
191305,49.2,0.7
191306,59.0,1.3
191307,62.6,-2.7
191308,65.0,1.6
191309,52.5,-1.0
191310,37.8,-4.7
191311,32.5,3.5
191312,16.4,-4.2
191401,23.0,4.6
191402,19.4,-2.8
191403,29.7,0.6
191404,39.5,0.7
191405,49.9,1.4
191406,57.4,-0.3
191407,65.5,0.2
191408,62.3,-1.1
191409,54.1,0.6
191410,43.8,1.3
191411,33.5,4.5
191412,12.8,-7.8
191501,16.8,-1.6
191502,25.1,2.9
191503,26.8,-2.3
191504,46.0,7.2
191505,45.6,-2.9
191506,52.4,-5.3
191507,60.3,-5.0
191508,61.4,-2.0
191509,50.5,-3.0
191510,44.6,2.1
191511,30.3,1.3
191512,21.4,0.8
191601,8.9,-9.5
191602,23.1,0.9
191603,33.0,3.9
191604,38.7,-0.1
191605,44.2,-4.3
191606,55.0,-2.7
191607,66.0,0.7
191608,61.4,-2.0
191609,52.3,-1.2
191610,38.5,-4.0
191611,24.5,-4.5
191612,12.6,-8.0
191701,12.0,-6.4
191702,19.0,-3.2
191703,19.4,-9.7
191704,33.6,-5.2
191705,43.0,-5.5
191706,54.4,-3.3
191707,67.0,1.7
191708,60.2,-3.2
191709,54.7,1.2
191710,39.9,-2.6
191711,35.6,6.6
191712,24.2,3.6
191801,14.6,-3.8
191802,20.4,-1.8
191803,34.7,5.6
191804,33.7,-5.1
191805,46.7,-1.8
191806,62.6,4.9
191807,63.6,-1.7
191808,61.4,-2.0
191809,52.2,-1.3
191810,45.1,2.6
191811,26.0,-3.0
191812,21.3,0.7
191901,22.2,3.8
191902,20.1,-2.1
191903,30.0,0.9
191904,39.6,0.8
191905,50.4,1.9
191906,61.7,4.0
191907,68.4,3.1
191908,64.2,0.8
191909,56.1,2.6
191910,33.2,-9.3
