Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,21.6,-2.2
189502,19.2,-8.2
189503,31.7,-2.0
189504,44.5,2.0
189505,51.6,-0.2
189506,58.5,-2.8
189507,63.2,-3.9
189508,64.9,-0.3
189509,58.8,1.5
189510,45.1,-1.4
189511,29.2,-4.3
189512,20.9,-4.3
189601,27.4,3.6
189602,27.1,-0.3
189603,31.6,-2.1
189604,43.6,1.1
189605,53.1,1.3
189606,63.8,2.5
189607,67.0,-0.1
189608,65.9,0.7
189609,56.5,-0.8
189610,44.7,-1.8
189611,29.0,-4.5
189612,28.8,3.6
189701,21.5,-2.3
189702,24.7,-2.7
189703,30.2,-3.5
189704,42.3,-0.2
189705,55.5,3.7
189706,61.4,0.1
189707,65.8,-1.3
189708,64.3,-0.9
189709,60.8,3.5
189710,46.3,-0.2
189711,34.7,1.2
189712,20.9,-4.3
189801,19.4,-4.4
189802,28.9,1.5
189803,29.9,-3.8
189804,44.3,1.8
189805,49.2,-2.6
189806,61.7,0.4
189807,67.0,-0.1
189808,66.5,1.3
189809,55.5,-1.8
189810,43.0,-3.5
189811,29.4,-4.1
189812,17.8,-7.4
189901,21.2,-2.6
189902,16.5,-10.9
189903,31.2,-2.5
189904,43.4,0.9
189905,51.2,-0.6
189906,61.1,-0.2
189907,65.9,-1.2
189908,64.6,-0.6
189909,58.6,1.3
189910,44.6,-1.9
189911,37.0,3.5
189912,22.7,-2.5
190001,28.3,4.5
190002,25.3,-2.1
190003,36.9,3.2
190004,40.5,-2.0
190005,53.5,1.7
190006,63.7,2.4
190007,66.5,-0.6
190008,64.9,-0.3
190009,55.7,-1.6
190010,47.6,1.1
190011,34.8,1.3
190012,27.2,2.0
190101,25.2,1.4
190102,24.7,-2.7
190103,32.0,-1.7
190104,41.4,-1.1
190105,53.3,1.5
190106,61.0,-0.3
190107,70.0,2.9
190108,66.3,1.1
190109,56.5,-0.8
190110,47.9,1.4
190111,37.3,3.8
190112,25.7,0.5
190201,24.6,0.8
190202,29.5,2.1
190203,31.5,-2.2
190204,44.0,1.5
190205,53.7,1.9
190206,62.4,1.1
190207,64.4,-2.7
190208,65.7,0.5
190209,55.5,-1.8
190210,46.9,0.4
190211,34.0,0.5
190212,24.1,-1.1
190301,24.7,0.9
190302,15.5,-11.9
190303,31.5,-2.2
190304,41.9,-0.6
190305,49.4,-2.4
190306,57.4,-3.9
190307,65.9,-1.2
190308,65.0,-0.2
190309,54.8,-2.5
190310,46.4,-0.1
190311,34.6,1.1
190312,26.4,1.2
190401,21.8,-2.0
190402,32.0,4.6
190403,36.9,3.2
190404,43.4,0.9
190405,51.6,-0.2
190406,57.8,-3.5
190407,63.9,-3.2
190408,64.0,-1.2
190409,57.4,0.1
190410,46.0,-0.5
190411,35.6,2.1
190412,26.4,1.2
190501,23.1,-0.7
190502,20.8,-6.6
190503,37.7,4.0
190504,41.0,-1.5
190505,49.2,-2.6
190506,62.0,0.7
190507,64.2,-2.9
190508,65.9,0.7
190509,58.4,1.1
190510,42.7,-3.8
190511,35.4,1.9
190512,21.5,-3.7
190601,25.5,1.7
190602,29.1,1.7
190603,28.3,-5.4
190604,43.4,0.9
190605,51.6,-0.2
190606,59.2,-2.1
190607,63.0,-4.1
190608,63.5,-1.7
190609,56.1,-1.2
190610,43.7,-2.8
190611,32.6,-0.9
190612,31.5,6.3
190701,27.3,3.5
190702,34.5,7.1
190703,40.2,6.5
190704,41.9,-0.6
190705,46.3,-5.5
190706,57.5,-3.8
190707,65.9,-1.2
190708,64.3,-0.9
190709,57.1,-0.2
190710,48.4,1.9
190711,32.3,-1.2
190712,25.8,0.6
190801,24.5,0.7
190802,27.0,-0.4
190803,36.9,3.2
190804,43.9,1.4
190805,48.6,-3.2
190806,59.0,-2.3
190807,65.5,-1.6
190808,63.6,-1.6
190809,58.2,0.9
190810,42.8,-3.7
190811,31.2,-2.3
190812,22.3,-2.9
190901,27.5,3.7
190902,25.5,-1.9
190903,31.5,-2.2
190904,38.9,-3.6
190905,48.4,-3.4
190906,60.9,-0.4
190907,67.4,0.3
190908,66.5,1.3
190909,56.2,-1.1
190910,46.8,0.3
190911,35.1,1.6
190912,14.9,-10.3
191001,23.2,-0.6
191002,23.8,-3.6
191003,42.3,8.6
191004,45.2,2.7
191005,51.2,-0.6
191006,62.4,1.1
191007,67.9,0.8
191008,64.6,-0.6
191009,59.4,2.1
191010,47.4,0.9
191011,38.0,4.5
191012,27.8,2.6
191101,30.0,6.2
191102,25.7,-1.7
191103,37.9,4.2
191104,43.0,0.5
191105,53.0,1.2
191106,62.9,1.6
191107,64.7,-2.4
191108,63.8,-1.4
191109,59.5,2.2
191110,43.2,-3.3
191111,29.7,-3.8
191112,19.4,-5.8
191201,21.3,-2.5
191202,25.2,-2.2
191203,27.8,-5.9
191204,39.6,-2.9
191205,50.7,-1.1
191206,58.1,-3.2
191207,64.7,-2.4
191208,63.5,-1.7
191209,51.0,-6.3
191210,44.2,-2.3
191211,34.3,0.8
191212,21.0,-4.2
191301,19.9,-3.9
191302,20.8,-6.6
191303,30.5,-3.2
191304,43.2,0.7
191305,53.6,1.8
191306,60.4,-0.9
191307,66.0,-1.1
191308,67.0,1.8
191309,54.0,-3.3
191310,42.8,-3.7
191311,37.4,3.9
191312,18.1,-7.1
191401,26.0,2.2
191402,23.8,-3.6
191403,33.8,0.1
191404,43.2,0.7
191405,52.6,0.8
191406,61.8,0.5
191407,65.9,-1.2
191408,64.5,-0.7
191409,58.7,1.4
191410,46.8,0.3
191411,37.0,3.5
191412,18.8,-6.4
191501,20.2,-3.6
191502,28.0,0.6
191503,29.3,-4.4
191504,45.9,3.4
191505,48.1,-3.7
191506,57.6,-3.7
191507,63.7,-3.4
191508,61.6,-3.6
191509,56.1,-1.2
191510,46.9,0.4
191511,34.6,1.1
191512,25.9,0.7
191601,21.1,-2.7
191602,28.8,1.4
191603,38.2,4.5
191604,42.0,-0.5
191605,50.2,-1.6
191606,59.8,-1.5
191607,67.6,0.5
191608,63.5,-1.7
191609,55.4,-1.9
191610,44.3,-2.2
191611,30.4,-3.1
191612,20.5,-4.7
191701,19.6,-4.2
191702,26.3,-1.1
191703,27.4,-6.3
191704,38.6,-3.9
191705,45.2,-6.6
191706,59.1,-2.2
191707,67.6,0.5
191708,62.5,-2.7
191709,57.4,0.1
191710,43.9,-2.6
191711,37.9,4.4
191712,29.4,4.2
191801,18.6,-5.2
191802,27.7,0.3
191803,38.3,4.6
191804,38.5,-4.0
191805,51.6,-0.2
191806,65.3,4.0
191807,65.6,-1.5
191808,64.6,-0.6
191809,54.8,-2.5
191810,48.1,1.6
191811,29.6,-3.9
191812,22.5,-2.7
191901,19.3,-4.5
191902,22.2,-5.2
191903,32.4,-1.3
191904,43.1,0.6
191905,52.4,0.6
191906,60.6,-0.7
191907,68.4,1.3
191908,66.4,1.2
191909,59.8,2.5
191910,42.0,-4.5
191911,30.5,-3.0
191912,22.0,-3.2
192001,25.7,1.9
192002,28.6,1.2
192003,31.9,-1.8
192004,35.4,-7.1
192005,51.8,0.0
192006,60.0,-1.3
192007,66.2,-0.9
192008,62.0,-3.2
192009,56.0,-1.3
192010,45.5,-1.0
192011,31.6,-1.9
192012,23.6,-1.6
192101,26.9,3.1
192102,29.4,2.0
192103,38.1,4.4
192104,39.9,-2.6
192105,52.0,0.2
192106,61.0,-0.3
192107,66.6,-0.5
192108,64.4,-0.8
192109,58.1,0.8
192110,49.6,3.1
192111,36.3,2.8
192112,29.7,4.5
192201,19.5,-4.3
192202,25.2,-2.2
192203,31.8,-1.9
192204,39.9,-2.6
192205,51.3,-0.5
192206,63.4,2.1
